unit_id	page	register	group_count	field_or_locus_count	statement_count	nonmedical_article_or_diagram_title	complete_nonmedical_German_text	executable_workflow	teaching_purpose	explicit_iconographic_argument	explicit_historical_argument	strongest_nonmedical_contradiction	complete_selected_iatromedical_baseline	direct_iatromedical_comparison	nonmedical_assumption_cost	iatromedical_assumption_cost	nonmedical_score_of_30	iatromedical_score_of_30	unit_winner	semantic_contract
H1	f10r	HERBAL	14	2	2	Wurzelkraut als Scheuer- und Badhauslauge	Vom abgebildeten Wurzelkraut. Grabe den unteren Wurzelstock aus, klopfe Erde ab, wasche ihn zweimal und schneide ihn in dünne Stücke. Lege die Stücke in Regenwasser mit einer kleinen Portion Holzasche, erwärme den Topf gelinde und lasse den Ansatz über Nacht stehen. Ziehe den ersten klaren Lauf durch Leinwand ab, miss ihn nach dem örtlichen Werkstattmaß und prüfe ihn an einem alten Leinenrest. Verwende die milde Portion zum Scheuern hölzerner Wannen und zum Vorwaschen heller Tücher. Erwärme den zurückbehaltenen Wurzelposten ein zweites Mal, verbinde nur brauchbare klare Fraktionen und verwahre den Rest verschlossen und beschriftet im Materialschrank.	Wurzel ernten > reinigen > schneiden > mit Wasser/Asche ausziehen > klären > messen > Probestoff > Wannen/Tuch reinigen > zweiten Lauf gewinnen > lagern	Lehrt einen vollständigen Rohstoffartikel mit Erst- und Zweitauszug sowie Qualitätsprobe.	Die f10r-Pflanze liefert sichtbar einen großen Wurzelbereich; Asche, Tuch und Wanne sind nicht abgebildet.	Illustrierte Pflanzenbücher und Haushalts-/Werkstattrezepte kennen Pflanzenrohstoffe und Laugen; die konkrete Verbindung bleibt nur eine Gattungsanalogie.	Die aufwendige Pflanzenillustration und Wurzelgliederung passen unmittelbarer zu einem Arzneiherbal als zu einem Scheuermittelregister.	[IMAGE:Vom Teufelsabbiss.] [GENRE:Nimm] [IMAGE:den unteren Wurzelstock], [GENRE:säubere und zerschneide ihn], [GENRE:gib ihn mit Quellwasser in den Brennhafen] [GENRE:und fange den ersten Lauf in einem Glas auf]. [CARD:ANWENDEN?=Wende den aktiven Lauf an] [GENRE:innerlich] [CARD:MASS?=nach Maß] [EXEMPLAR:in kleiner Gabe] [GENRE:gegen Stechen im Leib]; [GENRE:verwahre den Rest verschlossen]. [EXEMPLAR:Nimm für frischen Gebrauch den ersten Lauf], [GENRE:erwärme ihn gelinde], [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN; ohne Wortbedeutung] [REGISTER:H1:I001 fortgeführt], [CARD:BEREIT?=bis bereit] [EXEMPLAR:nach örtlichem Kriterium].	IATROMEDICAL; NONMEDICAL=26/30; IATROMEDICAL=28/30. Iatromedizin liest Wurzelauszug und bemessene Gabe; der Rivale ersetzt Krankheit und Einnahme durch Tuchprobe und Wannenpflege, ohne strukturelle Karte zu ändern.	5	5	26	28	IATROMEDICAL	FULL_LOCAL_RIVAL_EDITION; NO_NEW_CARD_MEANING
H2	f10r	HERBAL	24	3	3	Zwei Blütenfraktionen für Farbe und duftende Ölpaste	Von derselben abgebildeten Pflanze nimm früh geöffnete Blütenköpfe und junge Blätter als ersten Werkstattposten. Zerstoße sie, presse den Saft durch ein Tuch, gib eine kleine bemessene Menge Alaunlösung hinzu und halte die klare farbige Fraktion getrennt. Ernte vor voller Blüte eine zweite Portion Spitzen, führe den vorigen H2-Posten recordlokal wieder heran und gleiche beide Fraktionen an einem Probestreifen ab. Gib einen Anteil in das kleine Färbebad für Bänder und Arbeitszeichen. Rühre den übrigen Pflanzenstoff mit Öl und wenig Wachs bei kleiner Wärme zu einer weichen, duftenden Paste, fülle sie in ein glasiertes Gefäß und verwende sie zum Einreiben von Holzgriffen oder Lederkanten.	Frühernte > pressen > erste Farbfraktion > spätere Fraktion > H2-Vorposten aufnehmen > Probestreifen > Färbebad > Öl-/Wachspaste > lagern	Lehrt Zweifraktionsarbeit und einen strikt recordlokalen VORIGES-Rückschlag.	Blüten und Blätter sind am selben f10r-Bild sichtbar; Alaun, Wachs, Bänder, Holz und Leder sind Exemplarfüllungen.	Pflanzenfarbstoffe, Beizen, Duftstoffe und handwerkliche Pasten sind spätmittelalterliche Werkstattklassen; diese Pflanze ist dafür nicht identifiziert.	Die zweifache Produktgabel Farbe plus Holz-/Lederpaste ist produktreicher und annahmelastiger als ein einziger medizinischer Salbenartikel.	[IMAGE:Von derselben Teufelsabbiss-Pflanze.] [GENRE:Nimm] [IMAGE:Blütenköpfe und junge Blätter] [CARD:BEREIT?] [EXEMPLAR:wenn sie eben aufgehen], [CARD:ANSATZ?=führe sie als frischen Ansatz], [GENRE:zerstoße sie und presse den Saft durch ein Tuch]. [EXEMPLAR:Fange die erste Fraktion auf], [GENRE:gib Olivenöl hinzu], [CARD:MASS?=nach Maß] [EXEMPLAR:in örtlicher Menge], [GENRE:und erwärme gelinde]. [IMAGE:Nimm vor voller Blüte eine zweite Portion der Spitzen], [CARD:ANSATZ?] [REGISTER:H2:I001 fortgeführt]; [EXEMPLAR:eine Handvoll]. [CARD:VORIGES?=Nimm den vorigen H2-Posten wieder auf] [REGISTER:H2:I001], [CARD:MASS?=in gleichem örtlichem Maß], [GENRE:und verbinde beide Fraktionen]. [GENRE:Gib sie in ein glasiertes Gefäß], [CARD:ANSATZ?] [CARD:ANSATZ?] [REGISTER:H2:I003 mit sichtbarer Doppelbelegung], [GENRE:rühre bei kleinem Feuer] [EXEMPLAR:bis eine weiche Salbe entsteht], [GENRE:bewahre sie bedeckt] [GENRE:und lege sie äußerlich auf ein Geschwür oder eine harte Schwellung].	IATROMEDICAL; NONMEDICAL=26/30; IATROMEDICAL=28/30. Beide Lesungen nutzen zwei Fraktionen und Öl; Medizin gewinnt beim einheitlichen Salbenziels, der Rivale bei der formalen Chargen- und Prüfstruktur.	4	4	26	28	IATROMEDICAL	FULL_LOCAL_RIVAL_EDITION; NO_NEW_CARD_MEANING
H3	f11r	HERBAL	17	4	4	Duftblüten für klares Spülwasser und Pflegeöl	Von der kleinblütigen abgebildeten Pflanze sammle Blüten und junge Blätter am kühlen Morgen. Koche einen Teil kurz in verdünntem Wein, wringe ihn durch feine Leinwand, lasse den Auszug stehen und seihe ihn nochmals bis zur klaren örtlichen Qualitätsstufe. Bewahre frische Blüten für den zweiten Posten zurück. Miss vom klaren Auszug eine kleine Portion in das letzte Spülwasser für Badetücher und duftende Arbeitswäsche. Erwärme die zurückbehaltenen Blüten langsam in Öl, filtere den Feststoff ab und verwahre das Duftöl für hölzerne Kämme, Lederzeug und die äußere Pflege der Badhausbänke.	Morgenernte > Wein-Auszug > zweimal filtrieren > klar prüfen > Anteil ins Spülwasser > zweite Blütenportion in Öl > filtrieren > lagern	Lehrt Klarprüfung und zwei getrennte Produktlinien aus demselben Bildbesitzer.	Das Pflanzenbild stützt nur den OWNER; Wein, Wäsche, Kämme und Bänke fehlen sichtbar.	Duftwässer, Ölauszüge und Wäschepflege sind plausible Haushalts-/Badhauspraktiken; ein illustrierter technischer Artikel dieser genauen Form ist nicht belegt.	Die Lesung benötigt eine nicht sichtbare Duftqualität und drei verschiedene Gebrauchsgegenstände.	[IMAGE:Vom Duftveilchen.] [GENRE:Nimm im ersten Frühjahr] [IMAGE:Blüten und junge Blätter], [GENRE:koche sie in reinem Wein], [GENRE:wringe sie durch ein feines Tuch], [GENRE:lasse den Auszug stehen und seihe ihn nochmals] [CARD:KLAR?=bis klar] [EXEMPLAR:nach örtlicher Prüfung], [GENRE:dann lasse ihn abkühlen]. [EXEMPLAR:Behalte einen Teil der frischen Blüten für die zweite Arznei zurück]. [GENRE:Nimm vom ersten Auszug und gib ihn als Trank] [GENRE:bei bedrücktem Gemüt und beschwerter Brust] [CARD:MASS?=in einem Maß] [EXEMPLAR:kleiner örtlicher Größe]. [EXEMPLAR:Nimm die zurückbehaltenen Blüten], [GENRE:erwärme sie in Olivenöl] [CARD:BEREIT?=bis bereit] [EXEMPLAR:nach örtlichem Kriterium], [GENRE:und streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren].	IATROMEDICAL; NONMEDICAL=25/30; IATROMEDICAL=28/30. Die medizinische Veilchenlesung besitzt stärkere Herbalkonventionen; der Rivale vermeidet Gemüts-, Brust- und Augenkrankheiten, muss aber eine Duftwerkstatt ergänzen.	4	4	25	28	IATROMEDICAL	FULL_LOCAL_RIVAL_EDITION; NO_NEW_CARD_MEANING
H4	f55v	HERBAL	18	4	4	Breitblatt-Auszug zum Reinigen und eine gebundene Werkstattpaste	Vom breiten Blattkraut richte zuerst einen kalten Reinigungsansatz ein. Nimm eine bemessene Portion Blätter, zerstoße sie, füge Weißwein und Wasser hinzu, verschließe den Topf und lasse ihn kühl stehen. Wringe den Ansatz durch Leinwand, lasse Trub absitzen und verwahre den klaren Lauf. Wasche damit fleckige Tücher, Beckenränder und glatte Arbeitsbretter; prüfe zuvor eine kleine verborgene Stelle. Nimm einen Anteil der zurückbehaltenen Blätter, führe ihn als zweiten Ansatz, erwärme ihn gelinde und mische ihn mit Honig zu einer haftenden Paste. Trage die warme Paste dünn auf rissige Holzfugen oder Lederkanten auf und entferne Überschuss nach dem Abkühlen.	Blätter messen > kalter Auszug > filtrieren/setzen > Reinigungsprobe > Tücher/Becken/Bretter > zweiter Ansatz > Honigbinder > Fugen-/Lederpaste	Lehrt offene Artikelprosa mit Wechsel von Flüssigreiniger zu gebundenem Restprodukt.	Das breite Blatt ist sichtbar; Tücher, Becken, Bretter, Honig und Reparaturziel sind nicht sichtbar.	Pflanzliche Reinigungs- und Bindemittel sind plausible Werkstattstoffe; die konkrete Allium-/Wegerich-Zuweisung bleibt ungesichert.	Honig als Holz- oder Lederbinder ist schwächer als als medizinischer Salbenträger, und kein repariertes Objekt ist abgebildet.	[IMAGE:Vom breiten Lauch.] [EXEMPLAR:Setze den ersten Posten an], [CARD:MASS?=nimm nach Maß] [EXEMPLAR:ein örtliches Maß] [IMAGE:breiter Blätter], [GENRE:zerstoße sie], [GENRE:füge Weißwein hinzu], [GENRE:verschließe das Gefäß und lasse es kühl stehen]. [CARD:MASS?=Miss eine Portion ab], [GENRE:wringe sie durch Leinwand und lasse sie klar absetzen], [GENRE:verwahre den klaren Auszug]. [GENRE:Wasche damit eine unreine äußere Wunde] [EXEMPLAR:einmal oder nach örtlicher Vorschrift]. [CARD:MASS?=Nimm nach Maß] [EXEMPLAR:eine Portion der zurückbehaltenen Blätter], [EXEMPLAR:lege sie an die bezeichnete äußere Stelle], [GENRE:erwärme sie gelinde], [CARD:ANSATZ?=führe sie als zweiten Ansatz], [GENRE:mische sie mit Honig] [GENRE:und lege den warmen Umschlag frisch auf].	IATROMEDICAL; NONMEDICAL=26/30; IATROMEDICAL=28/30. Iatromedizin liest Wundwäsche und Umschlag; der Rivale liest dieselbe Flüssig-/Feststoffgabel als Reinigung und Reparaturpaste.	5	5	26	28	IATROMEDICAL	FULL_LOCAL_RIVAL_EDITION; NO_NEW_CARD_MEANING
H5	f56r	HERBAL	27	7	6	Klebkraut für Fleckprobe, Etikettenleim und haltbaren Vorrat	Vom klebrigen Feuchtkraut sammle zu Beginn der Blüte nur eine kleine bemessene Menge und halte es von trockenem Vorrat getrennt. Zerstoße frische klebrige Blätter, lege sie kurz auf einen einzelnen alten Leder- oder Stofffleck und prüfe die Zielstelle, bevor du den Gebrauch beendest und mit Wasser nachwäschst. Verwirf die Probe, wenn Farbe oder Faser leiden. Nimm vom übrigen Kraut die blühenden Stiele, trockne sie im Schatten, zerreibe sie grob und lagere sie trocken. Setze daraus mit mildem Wein einen schwachen Auszug an, seihe ihn durch Tuch, füge wenig Honig hinzu und erwärme gelinde. Wähle je Arbeit einen kleinen Anteil als Leim für Papieretiketten oder als dünne Markierpaste an Vorratsgefäßen.	Kleinkollektion > isolierte Fleckprobe > kurz anwenden > abwaschen/verwerfen > Rest trocknen > Wein-Auszug > Honigbinder > Etiketten-/Gefäßmarkierung	Lehrt Zielprobe, Abbruchregel, Vorrat und kleine portionsweise Ausgabe.	Ein feuchtigkeitsliebendes oder klebrig wirkendes Kraut ist bildlich möglich; Leder, Stoff, Etiketten und Gefäße fehlen.	Pflanzenleime und Markierpasten sind handwerklich plausibel, doch Sonnentau als konkreter Klebrohstoff ist hochriskant.	Die angenommene technische Klebkraft und zwei Gebrauchszwecke sind weder sichtbar noch aus einem Kartenanker ableitbar.	[IMAGE:Vom rundblättrigen Sonnentau.] [GENRE:Sammle] [IMAGE:das ganze oberirdische Kraut im feuchten Moor] [EXEMPLAR:zu Beginn der Blüte] [CARD:MASS?=in einem Maß] [EXEMPLAR:nur eine kleine örtliche Menge]. [GENRE:Zerstoße die frischen klebrigen Blätter und lege sie auf] [EXEMPLAR:eine einzelne Warze oder ein Hühnerauge]; [CARD:ANWENDEN?=wende sie an] [EXEMPLAR:nur kurz] [CARD:ZIEL?=an der Zielstelle] [EXEMPLAR:der bezeichneten Haut]. [GENRE:Nimm die Auflage wieder ab und wasche die Stelle mit Wasser]; [CARD:ANWENDEN?=wiederhole den Gebrauch] [EXEMPLAR:nur falls vertragen], [GENRE:dann beende ihn]. [IMAGE:Nimm vom übrigen Kraut die blühenden Stiele], [GENRE:trockne sie im Schatten, zerreibe sie grob und verwahre sie trocken]. [GENRE:Setze daraus mit mildem Wein einen schwachen Auszug an und seihe ihn durch ein Tuch]. [GENRE:Füge Honig hinzu, erwärme gelinde und gib den Auszug als Brusttrank] [GENRE:bei trockenem Husten]. [CARD:ANTEIL?=Wähle davon einen Anteil] [EXEMPLAR:je Gabe] [CARD:MASS?=nach Maß] [EXEMPLAR:in kleiner örtlicher Menge].	IATROMEDICAL; NONMEDICAL=23/30; IATROMEDICAL=26/30. Der Rivale vermeidet Warzen- und Hustenheilung, ist aber botanisch und produktgeschichtlich mindestens ebenso spekulativ wie die medizinische Sonnentauedition.	5	6	23	26	IATROMEDICAL	FULL_LOCAL_RIVAL_EDITION; NO_NEW_CARD_MEANING
B1	f81v	BIO	66	24	21	Morgendliche Badhausbeschickung und Grundkreislauf	Vor Öffnung des Badhauses schließt der Betreiber den unteren Ablauf, spült den oberen Vorratskasten und prüft Brunnenzulauf, Feuer und freie Becken. Er setzt aus dem bereitgelegten Pflanzenzusatz eine milde Waschcharge an, teilt sie nach örtlichem Maß und verbindet sie mit dem erwärmten Hauptwasser. Die Mischung ruht, bis Trub absinkt; der klare Teil wird durch Tuch in das Hauptbecken geführt und auf eine für gewöhnliche Reinigung angenehme Wärme gebracht. Ein Anteil geht an die Nebenbecken, ein anderer bleibt als Nachfüllposten aktiv. Während des Dienstes prüft der Betreiber Füllstand, Geruch, Trübung und Wärme, füllt nur aus dem aktiven Posten nach und hält Rücklauf und Zielstation auseinander. Nach dem letzten Nutzer lässt er gebrauchte Flüssigkeit ab, spült Becken und Lauf, fängt wiederverwendbares klares Wasser getrennt und schließt mit Vorrats- und Brennholzeintrag.	Ablauf schließen > Zulauf spülen > Pflanzencharge > messen/mischen > setzen/filtern > temperieren > Becken verteilen > überwachen/nachfüllen > ablassen > reinigen/buchen	Lehrt den vollständigen gemeinsamen Badhaus-Grundkreislauf mit OWNER, ACTIVE und TARGET.	Becken, verbindende Läufe und Figuren stützen Badhausbetrieb; Kräutercharge, Feuer und Buchung bleiben exemplarisch.	Öffentliche/private Bäder, Wannen, Heiz- und Wasserführung sind zeitgenössisch plausibel; die Seite ist kein nachgewiesener technischer Plan.	Die organischen Figuren- und Beckenbilder können therapeutische Körperanwendung statt gewöhnlichen Betrieb zeigen.	[IMAGE:A002+A003:Becken und verbindende Läufe liefern nur die sichtbare Apparaturkulisse.] [GENRE:A005+A007+A020:Spüle den ersten Arbeitsort, setze eine Kräuter-Badeflotte an und führe mehrere recordlokale Posten zusammen.] [EXEMPLAR:A008+A009+A012:Temperiere, lasse stehen und prüfe den Arbeitszustand.] [GENRE:A001+A005+A015:Verwende einen Teil als äußere Badewaschung und spüle danach Arbeitsort oder Gefäß.] [EXEMPLAR:A006+A013+A014:Nachfüllen, absetzen, durch Tuch klären und an die nächste im Exemplar bezeichnete Station übergeben.]	NONMEDICAL; NONMEDICAL=28/30; IATROMEDICAL=27/30. Beide Lesungen teilen Bad, Kräuterflotte und Apparat; nur Patient, Indikation und Heilziel entfallen zugunsten von Betreiber, Nutzer und Dienstschluss.	4	5	28	27	NONMEDICAL	FULL_LOCAL_RIVAL_EDITION; NO_NEW_CARD_MEANING
B2	f82r	BIO	62	26	22	Einzelbecken für gewöhnliches Sitz- und Waschbad	Reinige vor jedem Dienst das kleine Becken, den Zulauf und das Sitzbrett. Bereite aus klarem Wasser und einer kleinen duftenden Pflanzenportion eine frische Charge, führe sie durch Tuch und temperiere sie in einem Nebengefäß. Lasse den Badgast erst einsteigen, wenn Füllhöhe und Wärme örtlich geprüft sind. Führe den aktiven Posten langsam an die bezeichnete Beckenstelle, halte eine kühle Reserve zurück und ergänze nur nach Maß. Reiche ein warmes Tuch für die gewöhnliche äußere Reinigung, ohne Krankheit oder Körperteil im Register zu benennen. Nach dem Gebrauch öffne den Ablauf, fange brauchbares Vorwasser getrennt, spüle Becken und Tuch, gib den kühleren Schlussgang und lasse die Station offen trocknen.	Einzelbecken reinigen > Duftcharge > filtern/temperieren > Nutzer einlassen > langsam füllen > Reserve/nach Maß > Tuchdienst > ablassen/spülen/trocknen	Lehrt eine kurze kundenbezogene Arbeitszelle ohne therapeutische Diagnose.	Figuren in Becken stützen tatsächliches Baden; ob gewöhnlich oder therapeutisch, ist nicht sichtbar entschieden.	Sitz-, Schwitz- und Waschbäder sowie Tuchdienst sind spätmittelalterliche Badehauspraxis; die genaue Abfolge bleibt Rekonstruktion.	Der Nutzer ist eine stille Exemplarrolle, und die körpernahe Darstellung kann ebenso gut eine Behandlung bezeichnen.	[IMAGE:A004:Die Figuren- und Zonenkomposition erlaubt Badende, jedoch keine textlich identifizierte Krankheit.] [GENRE:A001+A005+A021:Reinige das Gefäß, bereite eine temperierte Kräuterflotte und führe die Badende in ein örtliches Teil- oder Sitzbad.] [EXEMPLAR:A006+A008+A009+A013:Kläre durch Tuch, halte die Charge warm, benutze sie am bezeichneten Bereich und lasse sie ab.] [GENRE:A015+A021:Bereite einen zweiten kühleren oder wieder erwärmten Waschgang und schließe mit örtlicher Waschung oder warmer Tuchauflage.]	TIE; NONMEDICAL=28/30; IATROMEDICAL=28/30. Dieselbe Apparatur trägt Teilbad und warme Auflage; der Rivale streicht Indikation und Therapie, gewinnt aber keine zusätzliche Kartenstütze.	4	4	28	28	TIE	FULL_LOCAL_RIVAL_EDITION; NO_NEW_CARD_MEANING
B3	f83r	BIO	86	38	34	Langer Reinigungs-, Rücklauf- und Wiederbeschickungszyklus	Sperre nach dem Hauptdienst den warmen Beckenstrang vom Frischwasser ab und markiere Hauptbecken, Rücklauf und unteren Sammelort als getrennte Stationen. Lasse die gebrauchte Charge in den Absetzkasten laufen, halte groben Trub zurück und ziehe die obere klare Fraktion in ein Nebengefäß. Spüle den leeren Beckenboden, öffne den ersten Zulauf und führe eine kleine warme Frischportion hinein. Verbinde nur nach Geruchs- und Sichtprobe einen ausgewählten Anteil des geklärten Vorpostens mit dieser Frischportion. Temperiere den aktiven Posten, verteile ihn nacheinander auf zwei Becken und prüfe an jeder Zielstation freien Ablauf. Fange den unteren Lauf auf, lasse ihn nochmals setzen, wechsle das Filtertuch und führe die klare Fraktion in den Arbeitskreislauf zurück. Wiederhole den Wasch- und Ablassgang nur einmal. Wenn ein Lauf trüb bleibt, trenne ihn als Scheuerwasser ab; wenn Geruch, Wärme und Klarheit genügen, halte ihn für die nächste gewöhnliche Reinigung bereit. Zum Schluss spüle alle sichtbaren Auslässe, öffne die Leitungen zum Trocknen, setze ACTIVE und TARGET zurück und vermerke verbrauchtes Wasser, Tuch und Brennstoff.	Strang isolieren > gebraucht ablassen > setzen > klare Fraktion ziehen > Becken spülen > Frischwasser > Voranteil prüfen/mischen > temperieren/verteilen > auffangen > erneut filtern > einmal wiederholen > trocknen/buchen	Lehrt den längsten Wartungszyklus, mehrere Stationen und kontrollierten PREVIOUS-Rückgriff.	Viele Becken, Läufe und Auslässe stützen einen hydraulischen Zyklus; konkrete Flussrichtung und Wiederverwendung sind nicht beschriftet.	Bad- und Wasseranlagen verlangen Reinigung, Heizung, Filtration und Abfluss; ein geschlossenes modernes Rückgewinnungssystem wäre anachronistisch.	Die angenommene Wiederverwendung klarer Fraktionen ist hygienisch und technisch riskant und kann eine bloße Bildmetapher übermechanisieren.	[GENRE:A001+A005+A022:Setze eine Bade- oder Waschflotte ab, teile einen Posten zu und führe ihn an den Arbeitsort.] [EXEMPLAR:A008+A010+A013:Nachfüllen, mischen, temperieren und den bezeichneten Körper- oder Beckenbereich benetzen.] [GENRE:A015+A022:Als äußere Lavage oder Badewaschung gebrauchen, danach spülen und ablassen.] [EXEMPLAR:A009+A012+A018:Eine zweite Charge bis zum örtlichen Prüfzustand führen und den Wasch-/Ablassgang wiederholen.] [IMAGE:A002+A003:Die Schlussfolge wird an sichtbaren Auslass- und Beckenformen vollzogen, ohne ihnen Kartenwörter zuzuschreiben.]	NONMEDICAL; NONMEDICAL=28/30; IATROMEDICAL=27/30. Iatromedizin liest denselben Ablauf als Lavage-/Badzyklus; der Rivale erklärt die lange Apparatefolge direkter, verliert aber den möglichen Körperzweck der Figuren.	4	5	28	27	NONMEDICAL	FULL_LOCAL_RIVAL_EDITION; NO_NEW_CARD_MEANING
B4	f83r	BIO	47	20	16	Filtertuch-, Beckenrand- und Leitungswartung	Nimm nach dem warmen Dienst das gebrauchte Filtertuch aus seinem Rahmen und halte den Restposten im Nebengefäß getrennt. Wähle einen kleinen Anteil sauberen Warmwassers, temperiere ihn und tränke damit ein grobes Arbeitstuch. Wische Beckenrand, Sitzbrett und sichtbare Ablagerungen am Zulauf ab; lege das warme Tuch kurz auf eine verhärtete Stelle und löse sie ohne scharfes Werkzeug. Führe den aktiven Posten durch frische Leinwand, spüle den Arbeitsort und lasse die schmutzige Fraktion vollständig ab. Fülle eine kleine Schlussportion nach, prüfe den freien Lauf und hänge beide Tücher getrennt zum Trocknen. Vermerke, welches Tuch für helle Wäsche und welches nur für Beckenarbeit wiederverwendet werden darf.	Filtertuch entnehmen > Warmwasseranteil > Tuch temperieren > Ränder/Sitz/Zulauf reinigen > Ablagerung lösen > Rest filtrieren > ablassen > nachspülen > Tücher trennen/trocknen	Lehrt warme mechanische Reinigung und getrennte Tuchkreisläufe.	Becken und Läufe stützen Wartung; Filtertuch, Sitzbrett und Ablagerung sind lokale Ergänzungen.	Tuchfilter und manuelle Wannenreinigung sind einfache historische Techniken; der genaue Servicezettel ist nicht extern belegt.	Menschennahe Bildpartien können eine Haut- oder Wundwäsche besser motivieren als eine Kalkablagerung.	[GENRE:A006+A007+A023:Tauche ein Tuch oder eine Auflage in den vorbereiteten Waschzusatz.] [EXEMPLAR:A008+A010:Temperiere einen ausgewählten Anteil und führe den aktiven Posten weiter.] [GENRE:A004+A005+A015+A023:Wasche eine äußere Haut- oder Wundstelle und lege das warme Tuch auf.] [EXEMPLAR:A006+A012+A013:Seihe den Rest, spüle den Arbeitsort, lasse die verbrauchte Flüssigkeit ab und fülle eine Schlussportion nach.]	NONMEDICAL; NONMEDICAL=28/30; IATROMEDICAL=26/30. Der medizinische Text setzt Haut/Wunde und warme Auflage; der Rivale setzt Beckenrand/Ablagerung und behält Filter-, Spül- und Ablassfolge unverändert.	4	5	28	26	NONMEDICAL	FULL_LOCAL_RIVAL_EDITION; NO_NEW_CARD_MEANING
B5	f83r	BIO	11	5	3	Zeitlich gehaltener Wärme- und Übergabeposten	Ziehe den recordlokalen Restposten in das kleine Heizgefäß ab, erwärme ihn genau einmal und halte ihn bedeckt für die örtlich bestimmte Frist. Prüfe danach Geruch, Klarheit und ausreichende Wärme, verbinde ihn nur bei gleicher Qualität mit dem vorigen B5-Posten und übergib eine bemessene Portion an die nächste Badhausstation. Notiere Übergabezeit und Ziel, damit der Posten nicht ein zweites Mal erhitzt wird.	Rest abziehen > einmal erwärmen > bedeckt halten > Qualität prüfen > B5-Vorposten vergleichen/verbinden > messen > nächste Station > Zeit notieren	Lehrt einen kurzen serviceinternen Übergabezettel mit Zeitkontrolle.	Der apparative f83r-Kontext stützt Stationen und Auslässe; ein Patient ist in diesem Nachtrag nicht nötig.	Chargenübergabe und einmaliges Erwärmen sind einfache Werkstattpraxis, aber kein spezifisch belegter mittelalterlicher Formulartyp.	Zeit, Qualitätsprobe und Heizverbot sind vollständig exemplarisch und nicht durch die elf Karten ausgedrückt.	[EXEMPLAR:A008+A009+A024:Ziehe den recordlokalen Restposten ab, erwärme ihn einmal und halte ihn für die örtliche Frist.] [EXEMPLAR:A010+A013+A014+A024:Führe ihn nach örtlichem Maß an die nächste Station.]	NONMEDICAL; NONMEDICAL=28/30; IATROMEDICAL=23/30. Der technische Service braucht weniger Patient- und Therapierollen als ein medizinischer Nachtrag und gewinnt deshalb klar an lokaler Ökonomie.	3	4	28	23	NONMEDICAL	FULL_LOCAL_RIVAL_EDITION; NO_NEW_CARD_MEANING
