unit_id	page	theory	C1_formal_fidelity	C2_iconography_fit	C3_workflow_executability	C4_assumption_economy	C5_historical_genre_fit	C6_cross_unit_purpose	unsupported_assumption_cost	total_of_30
H1	f10r	NONMEDICAL	5	4	5	4	4	4	5	26
H1	f10r	IATROMEDICAL	5	5	5	4	5	4	5	28
H2	f10r	NONMEDICAL	5	4	5	4	4	4	4	26
H2	f10r	IATROMEDICAL	5	5	5	4	5	4	4	28
H3	f11r	NONMEDICAL	5	4	4	4	4	4	4	25
H3	f11r	IATROMEDICAL	5	5	5	4	5	4	4	28
H4	f55v	NONMEDICAL	5	4	5	4	4	4	5	26
H4	f55v	IATROMEDICAL	5	5	5	4	5	4	5	28
H5	f56r	NONMEDICAL	5	3	4	4	3	4	5	23
H5	f56r	IATROMEDICAL	5	4	4	4	5	4	6	26
B1	f81v	NONMEDICAL	5	5	5	4	5	4	4	28
B1	f81v	IATROMEDICAL	5	4	5	4	5	4	5	27
B2	f82r	NONMEDICAL	5	5	5	4	5	4	4	28
B2	f82r	IATROMEDICAL	5	5	5	4	5	4	4	28
B3	f83r	NONMEDICAL	5	5	5	4	5	4	4	28
B3	f83r	IATROMEDICAL	5	4	5	4	5	4	5	27
B4	f83r	NONMEDICAL	5	5	5	4	5	4	4	28
B4	f83r	IATROMEDICAL	5	4	5	4	4	4	5	26
B5	f83r	NONMEDICAL	5	5	5	5	4	4	3	28
B5	f83r	IATROMEDICAL	5	3	4	4	3	4	4	23
B6	f83r	NONMEDICAL	5	5	5	5	4	4	3	28
B6	f83r	IATROMEDICAL	5	3	4	4	3	4	4	23
A1	f67r2	NONMEDICAL	5	4	5	4	4	3	4	25
A1	f67r2	IATROMEDICAL	5	4	5	4	5	3	6	26
A2	f68r1	NONMEDICAL	5	4	5	5	4	3	3	26
A2	f68r1	IATROMEDICAL	5	4	5	4	5	3	5	26
A3	f69v	NONMEDICAL	5	4	5	5	4	3	3	26
A3	f69v	IATROMEDICAL	5	4	5	4	5	3	4	26
