combined_group_ordinal	unit_id	section_axis	page	source_locus	field_or_local_address	statement_or_locus_unit	opaque_whole_card_or_local_group_key	surface_display_only	fixed_exact_mnemonic	strict_formal_prompt	template_or_diagram_role	terminal_or_local_status	technical_system	complete_local_technical_default	technical_local_noun_source	selected_iatromedical_comparator	medical_local_noun_source	local_comparison_winner	strongest_local_technical_contradiction	compiler_channel_inherited	field_and_reflow_contract	formal_roundtrip	technical_content_status	medical_content_status	identity_contract
1	H1	HERBAL_MATERIAL	f10r	f10r.2	F001	H1-S001	P:65f320e75510b2f38182	dchey	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	IMAGE	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
2	H1	HERBAL_MATERIAL	f10r	f10r.2	F001	H1-S001	P:dedc383b600397a301ee	cthoor	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[unteren Wurzelstock als sichtbaren Pflanzenteil wählen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:säubere ihn]	GENRE	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
3	H1	HERBAL_MATERIAL	f10r	f10r.2	F001	H1-S001	P:4d4559019a961b834aa1	char	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[Erde und Fremdstoff mit Wasser abwaschen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	REGISTER	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
4	H1	HERBAL_MATERIAL	f10r	f10r.2	F001	H1-S001	P:80ebbbbf238eee9f0aef	chty	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[beschädigte Fasern aussortieren]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:zerschneide ihn]	GENRE	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
5	H1	HERBAL_MATERIAL	f10r	f10r.2	F001	H1-S001	P:df1098831679a8ad1b39	os	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[sauberen Wurzelstock grob schneiden]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:gib ihn in den Brennhafen]	GENRE	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
6	H1	HERBAL_MATERIAL	f10r	f10r.2	F001	H1-S001	P:12efe866f335461823a6	chair	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[Schnittgut im Mazeriergefäß mit Wasser bedecken]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:füge Quellwasser hinzu]	GENRE	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
7	H1	HERBAL_MATERIAL	f10r	f10r.2	F001	H1-S001	P:62ff059766b21c7de083	otytchol	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[Auszug umrühren und eine Prüfportion abnehmen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:fange den ersten Lauf im Glas auf]	GENRE	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	EXEMPLAR_WHOLE_CARD	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
8	H1	HERBAL_MATERIAL	f10r	f10r.2	F001	H1-S001	P:276a7c2d74d1143446f4	oky	ANWENDEN?	NONE	ACTION_APPLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01]	V60_EXACT_VALUE+V53/V64_LOCAL_ARGUMENT	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	CARD|GENRE	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	EXACT_MNEMONIC	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
9	H1	HERBAL_MATERIAL	f10r	f10r.2	F001	H1-S001	P:2f1c5e56e8f0ff459065	daiin	MASS?	VORGABEPARAMETER?	PARAMETER_ASSIGN	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollwert für die Prüfportion in das Losregister eintragen]	V60_EXACT_VALUE+V63_FORMAL_CHANNEL_SEPARATE+V53/V64_LOCAL_ARGUMENT	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	CARD|FORMAL|EXEMPLAR	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	EXACT_MNEMONIC_PLUS_FORMAL_CONVERGENT	APPEND_FIELD>SPACE	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
10	H1	HERBAL_MATERIAL	f10r	f10r.2	F001	H1-S001	P:a6939862e33ece5a0483	etyd	UNKNOWN	NONE	EXEMPLAR_ONLY	NONCLOSE	PLANT_STOCK_AND_ADDITIVE_BATCH	LOCAL[trockenen Rest als H1-R02 verwahren]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	GENRE|GENRE	IATROMEDICAL	Prüfstreifen und Werkstattzweck besitzen keinen sichtbaren Eigentümer.	EXEMPLAR_WHOLE_CARD	OPEN_FIELD_CUT>LINE_RESET	PASS	LOCAL_NONMEDICAL_EXEMPLAR_NOT_CARD_MEANING	SEPARATE_SELECTED_COMPARATOR_NOT_CARD_MEANING	NO_NEW_CARD;EXACT_PROSE_ID_ATOMIC;ASTRO_PAGE_LOCAL;NO_CROSSPAGE_ID
