unit_id	page	nonmedical_prediction	strongest_contradiction_to_nonmedical	strongest_contradiction_to_iatromedical	current_discriminator	unit_winner_under_frozen_rubric
H1	f10r	Wurzel ernten > reinigen > schneiden > mit Wasser/Asche ausziehen > klären > messen > Probestoff > Wannen/Tuch reinigen > zweiten Lauf gewinnen > lagern	Die aufwendige Pflanzenillustration und Wurzelgliederung passen unmittelbarer zu einem Arzneiherbal als zu einem Scheuermittelregister.	Krankheit, Einnahme und Dosis sind nicht sichtbar und nicht Kartenwerte.	ICONOGRAPHY_AND_HISTORICAL_GENRE_ONLY; NO_CARD_SEMANTIC_DISCRIMINATOR	IATROMEDICAL
H2	f10r	Frühernte > pressen > erste Farbfraktion > spätere Fraktion > H2-Vorposten aufnehmen > Probestreifen > Färbebad > Öl-/Wachspaste > lagern	Die zweifache Produktgabel Farbe plus Holz-/Lederpaste ist produktreicher und annahmelastiger als ein einziger medizinischer Salbenartikel.	Geschwür, Schwellung und Salbenzweck stammen vollständig aus dem medizinischen Exemplar.	ICONOGRAPHY_AND_HISTORICAL_GENRE_ONLY; NO_CARD_SEMANTIC_DISCRIMINATOR	IATROMEDICAL
H3	f11r	Morgenernte > Wein-Auszug > zweimal filtrieren > klar prüfen > Anteil ins Spülwasser > zweite Blütenportion in Öl > filtrieren > lagern	Die Lesung benötigt eine nicht sichtbare Duftqualität und drei verschiedene Gebrauchsgegenstände.	Gemüt, Brust und Auge sind drei nicht sichtbare medizinische Zielergänzungen.	ICONOGRAPHY_AND_HISTORICAL_GENRE_ONLY; NO_CARD_SEMANTIC_DISCRIMINATOR	IATROMEDICAL
H4	f55v	Blätter messen > kalter Auszug > filtrieren/setzen > Reinigungsprobe > Tücher/Becken/Bretter > zweiter Ansatz > Honigbinder > Fugen-/Lederpaste	Honig als Holz- oder Lederbinder ist schwächer als als medizinischer Salbenträger, und kein repariertes Objekt ist abgebildet.	Wunde und Körperstelle sind nicht abgebildet; die Flüssig-/Feststoffgabel bleibt technisch lesbar.	ICONOGRAPHY_AND_HISTORICAL_GENRE_ONLY; NO_CARD_SEMANTIC_DISCRIMINATOR	IATROMEDICAL
H5	f56r	Kleinkollektion > isolierte Fleckprobe > kurz anwenden > abwaschen/verwerfen > Rest trocknen > Wein-Auszug > Honigbinder > Etiketten-/Gefäßmarkierung	Die angenommene technische Klebkraft und zwei Gebrauchszwecke sind weder sichtbar noch aus einem Kartenanker ableitbar.	Sonnentau, Warze und Husten ergeben eine besonders riskante doppelte Heiltradition.	ICONOGRAPHY_AND_HISTORICAL_GENRE_ONLY; NO_CARD_SEMANTIC_DISCRIMINATOR	IATROMEDICAL
B1	f81v	Ablauf schließen > Zulauf spülen > Pflanzencharge > messen/mischen > setzen/filtern > temperieren > Becken verteilen > überwachen/nachfüllen > ablassen > reinigen/buchen	Die organischen Figuren- und Beckenbilder können therapeutische Körperanwendung statt gewöhnlichen Betrieb zeigen.	Badeapparat und Nutzer reichen aus; eine therapeutische Indikation fehlt.	ICONOGRAPHY_AND_HISTORICAL_GENRE_ONLY; NO_CARD_SEMANTIC_DISCRIMINATOR	NONMEDICAL
B2	f82r	Einzelbecken reinigen > Duftcharge > filtern/temperieren > Nutzer einlassen > langsam füllen > Reserve/nach Maß > Tuchdienst > ablassen/spülen/trocknen	Der Nutzer ist eine stille Exemplarrolle, und die körpernahe Darstellung kann ebenso gut eine Behandlung bezeichnen.	Badende sind sichtbar, aber Krankheit und Therapieart nicht.	ICONOGRAPHY_AND_HISTORICAL_GENRE_ONLY; NO_CARD_SEMANTIC_DISCRIMINATOR	TIE
B3	f83r	Strang isolieren > gebraucht ablassen > setzen > klare Fraktion ziehen > Becken spülen > Frischwasser > Voranteil prüfen/mischen > temperieren/verteilen > auffangen > erneut filtern > einmal wiederholen > trocknen/buchen	Die angenommene Wiederverwendung klarer Fraktionen ist hygienisch und technisch riskant und kann eine bloße Bildmetapher übermechanisieren.	Die lange Leitungs-/Ablassfolge ist apparativ stärker verankert als eine Körperlavage.	ICONOGRAPHY_AND_HISTORICAL_GENRE_ONLY; NO_CARD_SEMANTIC_DISCRIMINATOR	NONMEDICAL
B4	f83r	Filtertuch entnehmen > Warmwasseranteil > Tuch temperieren > Ränder/Sitz/Zulauf reinigen > Ablagerung lösen > Rest filtrieren > ablassen > nachspülen > Tücher trennen/trocknen	Menschennahe Bildpartien können eine Haut- oder Wundwäsche besser motivieren als eine Kalkablagerung.	Tuch und warme Waschung können ebenso Gerätewartung sein.	ICONOGRAPHY_AND_HISTORICAL_GENRE_ONLY; NO_CARD_SEMANTIC_DISCRIMINATOR	NONMEDICAL
B5	f83r	Rest abziehen > einmal erwärmen > bedeckt halten > Qualität prüfen > B5-Vorposten vergleichen/verbinden > messen > nächste Station > Zeit notieren	Zeit, Qualitätsprobe und Heizverbot sind vollständig exemplarisch und nicht durch die elf Karten ausgedrückt.	Der technische Nachtrag benötigt weder Patient noch Körperziel.	ICONOGRAPHY_AND_HISTORICAL_GENRE_ONLY; NO_CARD_SEMANTIC_DISCRIMINATOR	NONMEDICAL
