global_index	section	page	unit_id	locus	opaque_identity	surface_display_only	rival_complete_local_reading	iatromedical_comparator	shared_formal_layer	semantic_status
1	HERBAL_MATERIAL	f10r	H1	f10r.2	65f320e75510b2f38182	dchey	LOCAL[Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen]	Nimm die faserige untere Wurzel	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
2	HERBAL_MATERIAL	f10r	H1	f10r.2	dedc383b600397a301ee	cthoor	LOCAL[unteren Wurzelstock als sichtbaren Pflanzenteil wählen]	wasche sie in fließendem Wasser	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
3	HERBAL_MATERIAL	f10r	H1	f10r.2	4d4559019a961b834aa1	char	LOCAL[Erde und Fremdstoff mit Wasser abwaschen]	Daraus, aus demselben Ansatz	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
4	HERBAL_MATERIAL	f10r	H1	f10r.2	80ebbbbf238eee9f0aef	chty	LOCAL[beschädigte Fasern aussortieren]	Gleichmäßig bearbeiten	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
5	HERBAL_MATERIAL	f10r	H1	f10r.2	df1098831679a8ad1b39	os	LOCAL[sauberen Wurzelstock grob schneiden]	zerstoße sie zu grobem Pulver	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
6	HERBAL_MATERIAL	f10r	H1	f10r.2	12efe866f335461823a6	chair	LOCAL[Schnittgut im Mazeriergefäß mit Wasser bedecken]	gib Rotwein hinzu	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
7	HERBAL_MATERIAL	f10r	H1	f10r.2	62ff059766b21c7de083	otytchol	LOCAL[Auszug umrühren und eine Prüfportion abnehmen]	trinke es bei Magenschmerz	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
8	HERBAL_MATERIAL	f10r	H1	f10r.2	276a7c2d74d1143446f4	oky	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01]	Die aktive Portion verwenden	ACTION_APPLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
9	HERBAL_MATERIAL	f10r	H1	f10r.2	2f1c5e56e8f0ff459065	daiin	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollwert für die Prüfportion in das Losregister eintragen]	Ein vorgeschriebenes Maß	PARAMETER_ASSIGN	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
10	HERBAL_MATERIAL	f10r	H1	f10r.2	a6939862e33ece5a0483	etyd	LOCAL[trockenen Rest als H1-R02 verwahren]	bewahre die übrige Wurzel trocken auf	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
11	HERBAL_MATERIAL	f10r	H1	f10r.5	9ad66e67803a12e745de	qokchy	LOCAL[gelagerten Wurzelrest H1-R02 aufnehmen]	gebrauche die frisch bereitete Arznei	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
12	HERBAL_MATERIAL	f10r	H1	f10r.5	e8a6105b5c3a6220b440	qotchol	LOCAL[zweiten Auszug gelinde erwärmen]	wende sie warm an	EXEMPLAR_ONLY	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
13	HERBAL_MATERIAL	f10r	H1	f10r.5	dcda95c81a5460feb191	chol	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[formale Verknüpfung mit dem laufenden Wurzelauszug H1-P01 buchen]	Mit der vorigen Zubereitung weiter	LINK_ACTIVE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
14	HERBAL_MATERIAL	f10r	H1	f10r.5	e0b630cb1b5df5e7105b	cthy	BEREIT?=Freigabestand der aktiven Charge prüfen ; LOCAL[Arbeitsstand H1-P02 freigeben]	Sobald die Zubereitung gebrauchsfertig ist	STATE_GATE	LOCAL_TECHNICAL_EXEMPLAR_NOT_CARD_GLOSS
