unit_id	section_axis	input_or_owner_slot	deterministic_process_graph	output_or_final_state	execution_rule	field_or_locus_coverage	group_coverage	commit_or_lookup_contract	cross_unit_contract	graph_status
H1	HERBAL_MATERIAL	skabiosen-/Teufelsabbiss-naher Wiesenpflanzen-Wurzelstock	H1:OWNER|H1-R01|F001|H1-P01+H1-R02|F002|H1-P02 || OWNER->COLLECT_ROOT->WASH->CUT->MACERATE->APPLY_TEST->ASSIGN_MEASURE->STORE_REST->RESUME->LINK_ACTIVE->READY_GATE	H1-P01/H1-P02 Wurzelauszug für Materialprüfung + H1-R02 Trockenreserve	FOLLOW_FIELD_PATH;APPLY_V62_STATEMENT_TRANSITION;EXECUTE_LICENSED_V63_TEMPLATE;EXPAND_EXEMPLAR_LOCALLY;COMMIT_ONLY_OBSERVED_TERMINAL	2	14	OBSERVED_PROSE_CLOSE_ONLY	MATERIAL_PROCESS_SCHEDULE_IS_EDITORIAL_AXIS_ONLY;NO_VISIBLE_CROSS_UNIT_POINTER	COMPLETE_LOCAL_EXEMPLAR_PROCESS_NOT_CARD_SEMANTICS
H2	HERBAL_MATERIAL	obere Teile derselben skabiosenartigen Bildpflanze	H2:OWNER|F003|H2-P01|F004|H2-P02|F005|H2-P02+H2-P03 || OWNER->COLLECT_TOPS->PRESS->ASSIGN_MEASURE->SELECT_EARLY->LINK_PREVIOUS->MACERATE->SELECT_LATE->PARALLEL_LINK->STRAIN_EQUAL->COMPARE->STORE	H2-P01 Pressauszug + H2-P02/H2-P03 frühe/späte Vergleichsserie	FOLLOW_FIELD_PATH;APPLY_V62_STATEMENT_TRANSITION;EXECUTE_LICENSED_V63_TEMPLATE;EXPAND_EXEMPLAR_LOCALLY;COMMIT_ONLY_OBSERVED_TERMINAL	3	24	OBSERVED_PROSE_CLOSE_ONLY	MATERIAL_PROCESS_SCHEDULE_IS_EDITORIAL_AXIS_ONLY;NO_VISIBLE_CROSS_UNIT_POINTER	COMPLETE_LOCAL_EXEMPLAR_PROCESS_NOT_CARD_SEMANTICS
H3	HERBAL_MATERIAL	kleine Schattenpflanze, Veilchen als Leitbild	H3:OWNER|F006|H3-P01|F007|H3-R02|F008|H3-T03|F009|H3-P02 || OWNER->COLLECT_AND_SORT->MACERATE->DOUBLE_STRAIN->CLEAR_GATE_COMMIT->RESERVE_FLOWER->DOSE_SAMPLES->ASSIGN_MEASURE->EXTRACT_LEAF->READY_GATE->STORE_SEPARATE	H3-P01 geklärte Probenserie + H3-P02 Blattauszug + H3-R02 Referenzblüte	FOLLOW_FIELD_PATH;APPLY_V62_STATEMENT_TRANSITION;EXECUTE_LICENSED_V63_TEMPLATE;EXPAND_EXEMPLAR_LOCALLY;COMMIT_ONLY_OBSERVED_TERMINAL	4	17	OBSERVED_PROSE_CLOSE_ONLY	MATERIAL_PROCESS_SCHEDULE_IS_EDITORIAL_AXIS_ONLY;NO_VISIBLE_CROSS_UNIT_POINTER	COMPLETE_LOCAL_EXEMPLAR_PROCESS_NOT_CARD_SEMANTICS
H4	HERBAL_MATERIAL	breitblättriges Kraut; Allium/Wegerich unentschieden	H4:OWNER|F010|H4-P01|F011|H4-P02|F012|H4-P03|F013|H4-P04 || OWNER->STANDARD_SLOT->ASSIGN_MEASURE->WASH_AND_MACERATE->COMMIT_LIQUOR1->SEPARATE_AND_PRESS->COMMIT_CAKE->PARALLEL_WASH_AND_STRAIN->COMMIT_LIQUOR2->TARGET_SLOT->LINK_ACTIVE->COMPARE_AND_STORE_PAIR	H4-P01/H4-P03 Blattflotten + H4-P02 Presskuchen, als H4-P04 Paarposten	FOLLOW_FIELD_PATH;APPLY_V62_STATEMENT_TRANSITION;EXECUTE_LICENSED_V63_TEMPLATE;EXPAND_EXEMPLAR_LOCALLY;COMMIT_ONLY_OBSERVED_TERMINAL	4	18	OBSERVED_PROSE_CLOSE_ONLY	MATERIAL_PROCESS_SCHEDULE_IS_EDITORIAL_AXIS_ONLY;NO_VISIBLE_CROSS_UNIT_POINTER	COMPLETE_LOCAL_EXEMPLAR_PROCESS_NOT_CARD_SEMANTICS
H5	HERBAL_MATERIAL	feuchtlandliebende drüsige/borstige Pflanze; Sonnentau als enger Rivale	H5:OWNER|F014|H5-R01|F015|H5-P01@T01|F016|H5-P01@T02|F017|H5-R02+R03|F018|H5-R03@T04|F019|H5-P02|F020|H5-R05 || OWNER->COLLECT_AND_PART->ASSIGN_MEASURE->SOAK_AND_PRESS->APPLY_TEST->ASSIGN_TARGET_AFTER_ACTION->APPLY_SECOND->DRY_COMMIT->SEPARATE_PARTS->DRY_STORE->RESUME_TO_STORAGE->INTRODUCE_FRESH_RESIDUE->MAKE_BINDER->SELECT_FLOWER_PART->ASSIGN_MEASURE	H5-P01 Mucilage-Beschichtungsprobe + H5-P02 frische Klebmasse + trockene Teile-/Referenzlose	FOLLOW_FIELD_PATH;APPLY_V62_STATEMENT_TRANSITION;EXECUTE_LICENSED_V63_TEMPLATE;EXPAND_EXEMPLAR_LOCALLY;COMMIT_ONLY_OBSERVED_TERMINAL	7	27	OBSERVED_PROSE_CLOSE_ONLY	MATERIAL_PROCESS_SCHEDULE_IS_EDITORIAL_AXIS_ONLY;NO_VISIBLE_CROSS_UNIT_POINTER	COMPLETE_LOCAL_EXEMPLAR_PROCESS_NOT_CARD_SEMANTICS
B1	BIO_PROCESS	gemischte Figuren-, Becken- und Laufanlage	F021:FLUSH > F022:SETUP > F023:CHARGE > F024:RETURN > F025:ROUTE > F026:CHARGE > F027:HEAT > F028:CIRCULATE > F029:SETTLE > F030:FILTER > F031:FLUSH > F032:FLUSH > F033:SERVICE > F034:RETURN > F035:SETTLE > F036:CIRCULATE > F037:FILTER > F038:HEAT > F039:ROUTE > F040:DRAIN > F041:MAINTENANCE > F042:RETURN > F043:HANDOFF > F044:ROUTE || B1:Q001:FLUSH > B1:Q002:SETUP > B1:Q003:CHARGE > B1:Q004:RETURN > B1:Q005:ROUTE > B1:Q006:CHARGE > B1:Q007:HEAT > B1:Q008:CIRCULATE > B1:Q009:SETTLE > B1:Q010:FILTER > B1:Q011:FLUSH > B1:Q012:FLUSH > B1:Q013:SERVICE > B1:Q014:RETURN > B1:Q015:SETTLE > B1:Q016:CIRCULATE > B1:Q017:FILTER > B1:Q018:HEAT > B1:Q019:ROUTE > B1:Q020:DRAIN > B1:Q021:MAINTENANCE > B1:Q022:RETURN > B1:Q023:HANDOFF > B1:Q024:ROUTE	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T018;PREVIOUS_ITEM=B1:I004	FOLLOW_FIELDS;SELECT_FROZEN_LOCAL_PHASE;OVERRIDE_ONLY_BY_LICENSED_TERMINAL/TEMPER/APPLY/STATE;APPLY_V62_ENVELOPE;COMMIT_ONLY_OBSERVED_TERMINAL	24	66	OBSERVED_PROSE_CLOSE_ONLY	MATERIAL_PROCESS_SCHEDULE_IS_EDITORIAL_AXIS_ONLY;NO_VISIBLE_CROSS_UNIT_POINTER	COMPLETE_LOCAL_EXEMPLAR_PROCESS_NOT_CARD_SEMANTICS
B2	BIO_PROCESS	figurennahe Einzelstation mit mehreren Zugängen und kreuzförmigem Bauteil	F045:SETUP > F046:MAINTENANCE > F047:CHARGE > F048:ROUTE > F049:HEAT > F050:CHARGE > F051:CHARGE > F052:SERVICE > F053:ROUTE > F054:FILTER > F055:SERVICE > F056:HEAT > F057:SETTLE > F058:MAINTENANCE > F059:HEAT > F060:DRAIN > F061:RETURN > F062:FILTER > F063:CHARGE > F064:ROUTE > F065:FILTER > F066:MAINTENANCE > F067:RETURN > F068:FLUSH > F069:DRAIN > F070:HANDOFF || B2:Q001:SETUP > B2:Q002:MAINTENANCE > B2:Q003:CHARGE > B2:Q004:ROUTE > B2:Q005:HEAT > B2:Q006:CHARGE > B2:Q007:CHARGE > B2:Q008:SERVICE > B2:Q009:ROUTE > B2:Q010:FILTER > B2:Q011:SERVICE > B2:Q012:HEAT > B2:Q013:SETTLE > B2:Q014:MAINTENANCE > B2:Q015:HEAT > B2:Q016:DRAIN > B2:Q017:RETURN > B2:Q018:FILTER > B2:Q019:CHARGE > B2:Q020:ROUTE > B2:Q021:FILTER > B2:Q022:MAINTENANCE > B2:Q023:RETURN > B2:Q024:FLUSH > B2:Q025:DRAIN > B2:Q026:HANDOFF	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I004;TARGET/STATION=B2:T012;PREVIOUS_ITEM=B2:I003	FOLLOW_FIELDS;SELECT_FROZEN_LOCAL_PHASE;OVERRIDE_ONLY_BY_LICENSED_TERMINAL/TEMPER/APPLY/STATE;APPLY_V62_ENVELOPE;COMMIT_ONLY_OBSERVED_TERMINAL	26	62	OBSERVED_PROSE_CLOSE_ONLY	MATERIAL_PROCESS_SCHEDULE_IS_EDITORIAL_AXIS_ONLY;NO_VISIBLE_CROSS_UNIT_POINTER	COMPLETE_LOCAL_EXEMPLAR_PROCESS_NOT_CARD_SEMANTICS
B3	BIO_PROCESS	lange Figuren-/Röhrenanlage mit zwei offenen Auslässen ohne lokale Figur	F071:SETUP > F072:SETTLE > F073:DRAIN > F074:CHARGE > F075:CHARGE > F076:ROUTE > F077:CHARGE > F078:DRAIN > F079:SERVICE > F080:CIRCULATE > F081:SERVICE > F082:RETURN > F083:FLUSH > F084:FILTER > F085:DRAIN > F086:MAINTENANCE > F087:SETUP > F088:CHARGE > F089:CIRCULATE > F090:DRAIN > F091:DRAIN > F092:HANDOFF > F093:DRAIN > F094:RETURN > F095:DRAIN > F096:DRAIN > F097:MAINTENANCE > F098:HANDOFF > F099:FLUSH > F100:FLUSH > F101:FLUSH > F102:FLUSH > F103:SERVICE > F104:SETTLE > F105:MAINTENANCE > F106:FILTER > F107:RETURN > F108:HANDOFF || B3:Q001:SETUP > B3:Q002:SETTLE > B3:Q003:DRAIN > B3:Q004:CHARGE > B3:Q005:CHARGE > B3:Q006:ROUTE > B3:Q007:CHARGE > B3:Q008:DRAIN > B3:Q009:SERVICE > B3:Q010:CIRCULATE > B3:Q011:SERVICE > B3:Q012:RETURN > B3:Q013:FLUSH > B3:Q014:FILTER > B3:Q015:DRAIN > B3:Q016:MAINTENANCE > B3:Q017:SETUP > B3:Q018:CHARGE > B3:Q019:CIRCULATE > B3:Q020:DRAIN > B3:Q021:DRAIN > B3:Q022:HANDOFF > B3:Q023:DRAIN > B3:Q024:RETURN > B3:Q025:DRAIN > B3:Q026:DRAIN > B3:Q027:MAINTENANCE > B3:Q028:HANDOFF > B3:Q029:FLUSH > B3:Q030:FLUSH > B3:Q031:FLUSH > B3:Q032:FLUSH > B3:Q033:SERVICE > B3:Q034:SETTLE > B3:Q035:MAINTENANCE > B3:Q036:FILTER > B3:Q037:RETURN > B3:Q038:HANDOFF	OWNER=B3:O01;ACTIVE_ITEM/PREPARATION=B3:I004;TARGET/STATION=B3:T016;PREVIOUS_ITEM=B3:I003	FOLLOW_FIELDS;SELECT_FROZEN_LOCAL_PHASE;OVERRIDE_ONLY_BY_LICENSED_TERMINAL/TEMPER/APPLY/STATE;APPLY_V62_ENVELOPE;COMMIT_ONLY_OBSERVED_TERMINAL	38	86	OBSERVED_PROSE_CLOSE_ONLY	MATERIAL_PROCESS_SCHEDULE_IS_EDITORIAL_AXIS_ONLY;NO_VISIBLE_CROSS_UNIT_POINTER	COMPLETE_LOCAL_EXEMPLAR_PROCESS_NOT_CARD_SEMANTICS
B4	BIO_PROCESS	warmer Nachgang an gemischtem Figur-/Stationsowner	F109:SETUP > F110:FLUSH > F111:MAINTENANCE > F112:HEAT > F113:RETURN > F114:FILTER > F115:MAINTENANCE > F116:FLUSH > F117:FLUSH > F118:RETURN > F119:CHARGE > F120:RETURN > F121:DRAIN > F122:DRAIN > F123:SETTLE > F124:DRAIN > F125:SETTLE > F126:DRAIN > F127:RETURN > F128:HANDOFF || B4:Q001:SETUP > B4:Q002:FLUSH > B4:Q003:MAINTENANCE > B4:Q004:HEAT > B4:Q005:RETURN > B4:Q006:FILTER > B4:Q007:MAINTENANCE > B4:Q008:FLUSH > B4:Q009:FLUSH > B4:Q010:RETURN > B4:Q011:CHARGE > B4:Q012:RETURN > B4:Q013:DRAIN > B4:Q014:DRAIN > B4:Q015:SETTLE > B4:Q016:DRAIN > B4:Q017:SETTLE > B4:Q018:DRAIN > B4:Q019:RETURN > B4:Q020:HANDOFF	OWNER=B4:O01;ACTIVE_ITEM/PREPARATION=B4:I007;TARGET/STATION=B4:T012;PREVIOUS_ITEM=B4:I006	FOLLOW_FIELDS;SELECT_FROZEN_LOCAL_PHASE;OVERRIDE_ONLY_BY_LICENSED_TERMINAL/TEMPER/APPLY/STATE;APPLY_V62_ENVELOPE;COMMIT_ONLY_OBSERVED_TERMINAL	20	47	OBSERVED_PROSE_CLOSE_ONLY	MATERIAL_PROCESS_SCHEDULE_IS_EDITORIAL_AXIS_ONLY;NO_VISIBLE_CROSS_UNIT_POINTER	COMPLETE_LOCAL_EXEMPLAR_PROCESS_NOT_CARD_SEMANTICS
B5	BIO_PROCESS	kurzer menschenarmer Wärme-/Übergabenachtrag	F129:DRAIN > F130:HEAT > F131:SETTLE > F132:ROUTE > F133:HANDOFF || B5:Q001:DRAIN > B5:Q002:HEAT > B5:Q003:SETTLE > B5:Q004:ROUTE > B5:Q005:HANDOFF	OWNER=B5:O01;ACTIVE_ITEM/PREPARATION=B5:I001;TARGET/STATION=B5:T002;PREVIOUS_ITEM=B5:I002	FOLLOW_FIELDS;SELECT_FROZEN_LOCAL_PHASE;OVERRIDE_ONLY_BY_LICENSED_TERMINAL/TEMPER/APPLY/STATE;APPLY_V62_ENVELOPE;COMMIT_ONLY_OBSERVED_TERMINAL	5	11	OBSERVED_PROSE_CLOSE_ONLY	MATERIAL_PROCESS_SCHEDULE_IS_EDITORIAL_AXIS_ONLY;NO_VISIBLE_CROSS_UNIT_POINTER	COMPLETE_LOCAL_EXEMPLAR_PROCESS_NOT_CARD_SEMANTICS
