feature_index	formal_feature	support_union_pages	absence_union_pages
1	COMPONENT:E	29	37
2	COMPONENT:F	52	14
3	COMPONENT:M	19	47
4	COMPONENT:P	57	9
5	COMPONENT:T	40	26
6	FIRST_GROUP_PREFIX_1:B	49	17
7	FIRST_GROUP_PREFIX_1:C	27	39
8	FIRST_GROUP_PREFIX_1:D	49	17
9	FIRST_GROUP_PREFIX_1:K	23	43
10	FIRST_GROUP_PREFIX_1:L	30	36
11	FIRST_GROUP_PREFIX_1:P	43	23
12	FIRST_GROUP_PREFIX_1:Q	45	21
13	FIRST_GROUP_PREFIX_2:AA	14	52
14	FIRST_GROUP_PREFIX_2:AB	16	50
15	FIRST_GROUP_PREFIX_2:AC	13	53
16	FIRST_GROUP_PREFIX_2:AK	25	41
17	FIRST_GROUP_PREFIX_2:AL	9	57
18	FIRST_GROUP_PREFIX_2:AQ	51	15
19	FIRST_GROUP_PREFIX_2:BA	34	32
20	FIRST_GROUP_PREFIX_2:BK	22	44
21	FIRST_GROUP_PREFIX_2:BL	9	57
22	FIRST_GROUP_PREFIX_2:CA	24	42
23	FIRST_GROUP_PREFIX_2:DA	49	17
24	FIRST_GROUP_PREFIX_2:KA	22	44
25	FIRST_GROUP_PREFIX_2:LA	28	38
26	FIRST_GROUP_PREFIX_2:PA	19	47
27	FIRST_GROUP_PREFIX_2:PK	22	44
28	FIRST_GROUP_PREFIX_2:QA	30	36
29	FIRST_GROUP_PREFIX_2:QK	18	48
30	FIRST_GROUP_PREFIX_2:QL	9	57
31	FIRST_GROUP_PREFIX_3:ABA	9	57
32	FIRST_GROUP_PREFIX_3:AKA	20	46
33	FIRST_GROUP_PREFIX_3:AQA	25	41
34	FIRST_GROUP_PREFIX_3:AQK	38	28
35	FIRST_GROUP_PREFIX_3:BAC	10	56
36	FIRST_GROUP_PREFIX_3:BAG	24	42
37	FIRST_GROUP_PREFIX_3:BKA	12	54
38	FIRST_GROUP_PREFIX_3:BKJ	8	58
39	FIRST_GROUP_PREFIX_3:BLA	8	58
40	FIRST_GROUP_PREFIX_3:CAB	9	57
41	FIRST_GROUP_PREFIX_3:CAC	8	58
42	FIRST_GROUP_PREFIX_3:DAQ	46	20
43	FIRST_GROUP_PREFIX_3:KAB	8	58
44	FIRST_GROUP_PREFIX_3:KAQ	14	52
45	FIRST_GROUP_PREFIX_3:LAB	9	57
46	FIRST_GROUP_PREFIX_3:LAC	10	56
47	FIRST_GROUP_PREFIX_3:PAB	9	57
48	FIRST_GROUP_PREFIX_3:PKA	15	51
49	FIRST_GROUP_PREFIX_3:QAB	13	53
50	FIRST_GROUP_PREFIX_3:QAC	8	58
51	FIRST_GROUP_PREFIX_3:QKA	14	52
52	LAST_GROUP_SUFFIX_1:B	57	9
53	LAST_GROUP_SUFFIX_1:C	45	21
54	LAST_GROUP_SUFFIX_1:E	14	52
55	LAST_GROUP_SUFFIX_1:F	20	46
56	LAST_GROUP_SUFFIX_1:G	50	16
57	LAST_GROUP_SUFFIX_2:AB	51	15
58	LAST_GROUP_SUFFIX_2:AC	37	29
59	LAST_GROUP_SUFFIX_2:AE	13	53
60	LAST_GROUP_SUFFIX_2:AF	19	47
61	LAST_GROUP_SUFFIX_2:AG	49	17
62	LAST_GROUP_SUFFIX_2:BA	54	12
63	LAST_GROUP_SUFFIX_2:BB	15	51
64	LAST_GROUP_SUFFIX_2:CA	23	43
65	LAST_GROUP_SUFFIX_2:KA	21	45
66	LAST_GROUP_SUFFIX_2:LA	8	58
67	LAST_GROUP_SUFFIX_2:QA	26	40
68	LAST_GROUP_SUFFIX_2:UA	24	42
69	LAST_GROUP_SUFFIX_3:ABA	34	32
70	LAST_GROUP_SUFFIX_3:ABB	12	54
71	LAST_GROUP_SUFFIX_3:ACA	19	47
72	LAST_GROUP_SUFFIX_3:AQA	20	46
73	LAST_GROUP_SUFFIX_3:BAB	29	37
74	LAST_GROUP_SUFFIX_3:BAC	17	49
75	LAST_GROUP_SUFFIX_3:BAF	11	55
76	LAST_GROUP_SUFFIX_3:BAG	38	28
77	LAST_GROUP_SUFFIX_3:BBA	16	50
78	LAST_GROUP_SUFFIX_3:CAB	10	56
79	LAST_GROUP_SUFFIX_3:CAC	8	58
80	LAST_GROUP_SUFFIX_3:CAG	8	58
81	LAST_GROUP_SUFFIX_3:KAB	15	51
82	LAST_GROUP_SUFFIX_3:QAB	22	44
83	LAST_GROUP_SUFFIX_3:QAG	13	53
84	LAST_GROUP_SUFFIX_3:QKA	13	53
85	LAST_GROUP_SUFFIX_3:UAB	8	58
86	LEFT_BOUNDARY:ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:UNCERTAIN_SMALL_SPACE	10	56
87	LEFT_BOUNDARY:ZL3b:DEFINITE_SPACE;IT2a:NONE;RF1b:DEFINITE_SPACE	15	51
88	LEFT_BOUNDARY:ZL3b:DRAWING_INTERRUPTION;IT2a:DRAWING_INTERRUPTION;RF1b:DRAWING_INTERRUPTION	49	17
89	LEFT_BOUNDARY:ZL3b:UNCERTAIN_SMALL_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	51	15
90	LEFT_BOUNDARY:ZL3b:UNCERTAIN_SMALL_SPACE;IT2a:DEFINITE_SPACE;RF1b:NONE	43	23
91	LEFT_BOUNDARY:ZL3b:UNCERTAIN_SMALL_SPACE;IT2a:NONE;RF1b:DEFINITE_SPACE	21	45
92	RIGHT_BOUNDARY:ZL3b:DEFINITE_SPACE;IT2a:DEFINITE_SPACE;RF1b:UNCERTAIN_SMALL_SPACE	10	56
93	RIGHT_BOUNDARY:ZL3b:DEFINITE_SPACE;IT2a:NONE;RF1b:DEFINITE_SPACE	15	51
94	RIGHT_BOUNDARY:ZL3b:DRAWING_INTERRUPTION;IT2a:DRAWING_INTERRUPTION;RF1b:DRAWING_INTERRUPTION	49	17
95	RIGHT_BOUNDARY:ZL3b:UNCERTAIN_SMALL_SPACE;IT2a:DEFINITE_SPACE;RF1b:DEFINITE_SPACE	51	15
96	RIGHT_BOUNDARY:ZL3b:UNCERTAIN_SMALL_SPACE;IT2a:DEFINITE_SPACE;RF1b:NONE	43	23
