body	entry_pair_occurrences	internal_pair_occurrences	entry_pair_mean_normalized_position	internal_pair_mean_normalized_position	internal_minus_entry	direction	claim
aiin	116	75	0.309377	0.627731	0.318354	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
air	26	5	0.249184	0.712266	0.463082	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
al	39	22	0.510795	0.677573	0.166778	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
am	8	16	0.750000	0.958333	0.208333	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
ar	68	22	0.360395	0.666752	0.306357	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
chdy	12	19	0.730471	0.629956	-0.100516	INTERNAL_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
chedy	42	126	0.331060	0.553210	0.222151	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
cheey	4	18	0.477679	0.308152	-0.169527	INTERNAL_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
cheo	5	4	0.231667	0.526515	0.294848	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
chey	13	54	0.302376	0.497258	0.194883	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
chol	8	4	0.139881	0.386409	0.246528	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
chy	4	11	0.394643	0.626263	0.231620	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
oaiin	4	2	0.250000	0.777778	0.527778	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
odaiin	7	5	0.031746	0.605556	0.573810	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
ody	6	5	0.314286	0.775000	0.460715	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
oiin	17	8	0.094118	0.435435	0.341317	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
ol	73	55	0.184727	0.673641	0.488914	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
olchedy	13	2	0.120726	0.916667	0.795940	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
or	50	50	0.226713	0.546061	0.319348	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
oraiin	10	2	0.222222	0.166666	-0.055556	INTERNAL_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
oral	4	2	0.000000	0.909091	0.909091	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
shedy	9	43	0.159820	0.481349	0.321528	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
shey	6	19	0.111111	0.283765	0.172654	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
y	31	22	0.795801	0.831566	0.035764	ENTRY_EARLIER	BODY_CONTROLLED_RECORD_LOCATION_CONTRAST
