role_cell_id	source_cell_id	form	opaque_head_id	eva_transcription_label	sta_code	body	occurrences	reader_exact_occurrences	record_location_axis	free_form_proxy_axis	body_affinity_axis	selected_formal_role	revised_body_role_de	structural_role_render_de	aggressive_pharmaceutical_renderer_de	body_role_confidence	head_structural_confidence	head_semantic_confidence	live_rivals	herbal_visual_override_de	literal_head_lexeme	literal_body_lexeme_confidence	eva_initial_credit	sound_credit	component_export_credit	status
G736-C001	G735-C001	paiin	H1	p	P1	aiin	7	6	ENTRY	LOW_FREE_FORM_PROXY	CLUSTER_A_FORM_STATE_HEAVY	PARAGRAPH_OR_RECORD_OPENER	Ordinalstufe III	Eintrag: Ordinalstufe III	Form-/Zustandseintrag: Ordinalstufe III	HIGH	HIGH	LOW	HEAD=RUBRIC|RECIPE_COMMAND|PAGE_HEAD|BOUND_ENTRY_MARKER || BODY=Grad III|Menge III|Dosis III|Klasse III	NONE	UNRESOLVED	ZERO	0	0	0	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE
G736-C002	G735-C002	saiin	H2	s	C2	aiin	109	89	ENTRY	HIGH_FREE_FORM_PROXY	CLUSTER_B_MATERIA_VALUE_HEAVY	LINE_ITEM_OR_SUBENTRY_MARKER	Ordinalstufe III	Posten: Ordinalstufe III	Material-/Wertposten: Ordinalstufe III	HIGH	HIGH	LOW	HEAD=HEADWORD|MATERIA_ITEM|INGREDIENT_ITEM|BATCH_MARKER|OPAQUE_NAME_FRAGMENT || BODY=Grad III|Menge III|Dosis III|Klasse III	NONE	UNRESOLVED	ZERO	0	0	0	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE
G736-C003	G735-C003	raiin	H3	r	C1	aiin	62	45	INTERNAL_OR_FINAL	HIGH_FREE_FORM_PROXY	CLUSTER_B_MATERIA_VALUE_HEAVY	LATE_REFERENCE_OR_ITEM_CLOSE	Ordinalstufe III	Ordinalstufe III [interner Bezug]	Ordinalstufe III; interner Zutaten-/Wertbezug	HIGH	MEDIUM_HIGH	LOW	HEAD=INGREDIENT|VALUE|PART|SOURCE|REFERENCE|ITEM_CLOSE || BODY=Grad III|Menge III|Dosis III|Klasse III	NONE	UNRESOLVED	ZERO	0	0	0	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE
G736-C004	G735-C004	laiin	H4	l	B2	aiin	13	7	INTERNAL_OR_FINAL	LOW_FREE_FORM_PROXY	CLUSTER_A_FORM_STATE_HEAVY	INTERNAL_BOUND_FIELD_OPERATOR	Ordinalstufe III	internes Feld: Ordinalstufe III	internes Form-/Zustandsfeld: Ordinalstufe III	HIGH	MEDIUM_HIGH	LOW	HEAD=FORM_FIELD|STATE_FIELD|MATERIAL_CARRIER|LIQUID_OR_EXTRACT|OPAQUE_BINDER || BODY=Grad III|Menge III|Dosis III|Klasse III	NONE	UNRESOLVED	ZERO	0	0	0	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE
G736-C005	G735-C005	pchedy	H1	p	P1	chedy	35	25	ENTRY	LOW_FREE_FORM_PROXY	CLUSTER_A_FORM_STATE_HEAVY	PARAGRAPH_OR_RECORD_OPENER	getrocknetes Ergebnis, Form I	Eintrag: getrocknetes Ergebnis, Form I	Form-/Zustandseintrag: getrocknetes Ergebnis, Form I	HIGH	HIGH	LOW	HEAD=RUBRIC|RECIPE_COMMAND|PAGE_HEAD|BOUND_ENTRY_MARKER || BODY=Trockenbindung I|Zustandsabschluss	NONE	UNRESOLVED	ZERO	0	0	0	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE
G736-C006	G735-C006	schedy	H2	s	C2	chedy	7	4	ENTRY	HIGH_FREE_FORM_PROXY	CLUSTER_B_MATERIA_VALUE_HEAVY	LINE_ITEM_OR_SUBENTRY_MARKER	getrocknetes Ergebnis, Form I	Posten: getrocknetes Ergebnis, Form I	Material-/Wertposten: getrocknetes Ergebnis, Form I	HIGH	HIGH	LOW	HEAD=HEADWORD|MATERIA_ITEM|INGREDIENT_ITEM|BATCH_MARKER|OPAQUE_NAME_FRAGMENT || BODY=Trockenbindung I|Zustandsabschluss	NONE	UNRESOLVED	ZERO	0	0	0	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE
G736-C007	G735-C007	rchedy	H3	r	C1	chedy	10	6	INTERNAL_OR_FINAL	HIGH_FREE_FORM_PROXY	CLUSTER_B_MATERIA_VALUE_HEAVY	LATE_REFERENCE_OR_ITEM_CLOSE	getrocknetes Ergebnis, Form I	getrocknetes Ergebnis, Form I [interner Bezug]	getrocknetes Ergebnis, Form I; interner Zutaten-/Wertbezug	HIGH	MEDIUM_HIGH	LOW	HEAD=INGREDIENT|VALUE|PART|SOURCE|REFERENCE|ITEM_CLOSE || BODY=Trockenbindung I|Zustandsabschluss	NONE	UNRESOLVED	ZERO	0	0	0	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE
G736-C008	G735-C008	lchedy	H4	l	B2	chedy	116	75	INTERNAL_OR_FINAL	LOW_FREE_FORM_PROXY	CLUSTER_A_FORM_STATE_HEAVY	INTERNAL_BOUND_FIELD_OPERATOR	getrocknetes Ergebnis, Form I	internes Feld: getrocknetes Ergebnis, Form I	internes Form-/Zustandsfeld: getrocknetes Ergebnis, Form I	HIGH	MEDIUM_HIGH	LOW	HEAD=FORM_FIELD|STATE_FIELD|MATERIAL_CARRIER|LIQUID_OR_EXTRACT|OPAQUE_BINDER || BODY=Trockenbindung I|Zustandsabschluss	NONE	UNRESOLVED	ZERO	0	0	0	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE
G736-C009	G735-C009	pshedy	H1	p	P1	shedy	3	3	ENTRY	LOW_FREE_FORM_PROXY	CLUSTER_A_FORM_STATE_HEAVY	PARAGRAPH_OR_RECORD_OPENER	angefeuchtetes oder eingeweichtes Ergebnis, Form I	Eintrag: angefeuchtetes oder eingeweichtes Ergebnis, Form I	Form-/Zustandseintrag: angefeuchtetes oder eingeweichtes Ergebnis, Form I	HIGH	HIGH	LOW	HEAD=RUBRIC|RECIPE_COMMAND|PAGE_HEAD|BOUND_ENTRY_MARKER || BODY=feuchte Bindung I|Paste	NONE	UNRESOLVED	ZERO	0	0	0	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE
G736-C010	G735-C010	sshedy	H2	s	C2	shedy	6	4	ENTRY	HIGH_FREE_FORM_PROXY	CLUSTER_B_MATERIA_VALUE_HEAVY	LINE_ITEM_OR_SUBENTRY_MARKER	angefeuchtetes oder eingeweichtes Ergebnis, Form I	Posten: angefeuchtetes oder eingeweichtes Ergebnis, Form I	Material-/Wertposten: angefeuchtetes oder eingeweichtes Ergebnis, Form I	HIGH	HIGH	LOW	HEAD=HEADWORD|MATERIA_ITEM|INGREDIENT_ITEM|BATCH_MARKER|OPAQUE_NAME_FRAGMENT || BODY=feuchte Bindung I|Paste	NONE	UNRESOLVED	ZERO	0	0	0	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE
