body	components	inherited_default_de	revised_concrete_default_de	semantic_family	role_confidence	literal_lexeme_confidence	evidence_channels	primary_evidence	live_rivals	revision_decision	scope_rule	target_occurrences	target_reader_exact_occurrences	herbal_visual_override_de	confirmed_lexeme	component_export_credit
aiin	a+III	Typ/Charge III	Ordinalstufe III	ORDINAL_VALUE	HIGH	ZERO	TARGET_LADDER|ALTERNATE_READERS|HISTORICAL_ARCHITECTURE	Complete bounded minim family and repeated quality/amount carriers; dimension changes with the visible host	Grad III|Menge III|Dosis III|Klasse III	NARROW_FROM_CHARGE_TO_HOST_SELECTED_ORDINAL	Only inside the registered whole form; no free aiin lexeme or universal numeric unit	191	147	NONE	0	0
chedy	ch+e+d+y	getrockneter Zustand	getrocknetes Ergebnis, Form I	DRY_RESULT	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE|ALTERNATE_READERS	ch dry-state family plus e-tier and d-y result contrast; all four headed forms occur	Trockenbindung I|Zustandsabschluss	REMOVE_UNSUPPORTED_MATERIAL_NOUN	Only as inherited body role inside registered exact wholes	168	110	NONE	0	0
shedy	sh+e+d+y	angefeuchteter/eingeweichter Zustand	angefeuchtetes oder eingeweichtes Ergebnis, Form I	MOIST_RESULT	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE|ALTERNATE_READERS	sh state family contrasts with ch and d-y marks a result form; all four headed forms occur	feuchte Bindung I|Paste	REMOVE_HEAD_DERIVED_PATIENTS	Only as inherited body role inside registered exact wholes	52	34	NONE	0	0
ol	o+l	Stoff/Material	Stoff- oder Materialträger	MATERIAL_CARRIER	MEDIUM_HIGH	ZERO	TARGET_COMPOSITION|COEXISTENCE|HISTORICAL_ARCHITECTURE	Productive OL carrier families and coexistence with AL and OR; 128 headed occurrences	Mischung|Eigenschaftsträger|grammatical carrier	RETAIN_ROLE_NOT_NOUN	Only as bound role in registered OL families	128	107	NONE	0	0
or	o+r	Teil/Portion	Teil- oder Portionsträger	PART_OR_PORTION_CARRIER	MEDIUM_HIGH	ZERO	TARGET_COMPOSITION|COEXISTENCE|HISTORICAL_ARCHITECTURE	Productive OR families and 48 ar/or coexistence lines; 100 headed occurrences	Pflanzenteil|Portion|Referenzträger	RETAIN_ROLE_NOT_UNIT	Only as bound role in registered OR families	100	79	NONE	0	0
ar	a+R[0 minims]	Fraktionsklasse I	Teil- oder Fraktionsstufe I	PART_SERIES	MEDIUM	ZERO	TARGET_LADDER|EXACT_FRAMES|COEXISTENCE	AR minim ladder and exact H1/H2 frames; distinct from OR on 48 lines	unbezifferte Portion|Formcode I	RETAIN_BROADER_PART_SERIES	Only in the registered headed wholes; bare ar is not globalized	90	65	NONE	0	0
chey	ch+e+y	Trockenform I	trockene Form I	DRY_STATE	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	ch/e/y state lattice and 67 headed occurrences	attributive Trockenbindung I	SIMPLIFY	Only in registered exact wholes	67	52	NONE	0	0
al	a+L[0 minims]	Rohstoffform I	Rohstoff- oder Materialstufe I	MATERIAL_SERIES	MEDIUM	ZERO	TARGET_COMPOSITION|COEXISTENCE	AL/OL contrast on 20 lines and four-head distribution	unangesetzter Rohstoff|Formcode I	RETAIN_BROADER_MATERIAL_SERIES	Only in registered exact wholes; bare al is not globalized	61	53	NONE	0	0
y	y	unmarkierte Grundform	unmarkierte Grund- oder Schlussform	BASE_OR_CLOSE	MEDIUM_HIGH	ZERO	TARGET_POSITION|STATE_LATTICE	Terminal-y closes several state families; 53 headed occurrences	resultative closure without lexical content	RETAIN_NONLEXICAL_ROLE	Only in registered exact wholes	53	47	NONE	0	0
air	a+i+R	Fraktionsklasse II	Teil- oder Fraktionsstufe II	PART_SERIES	MEDIUM	ZERO	TARGET_LADDER|EXISTING_IMAGE_AUDIT|ALTERNATE_READER_BOUNDARY	The AR minim ladder supplies the formal tier-II default; separately, five already inspected Herbal page-head p...air forms accompany conspicuous underground structures and RF1b splits one pdair as p|air	Wurzel- oder Untergrundteil in the five inherited Herbal visual cases|Formcode II	SEPARATE_FORMAL_DEFAULT_FROM_HERBAL_VISUAL_OVERRIDE	Use part/fraction tier II in the 96-form grid; only the already observed Herbal p...air family may receive the root/underground-part override; never infer species or export air globally	31	22	Wurzel- oder Untergrundteil; nur die fünf bereits in GDT623 VIS006 geprüften Herbal-p...air-Köpfe	0	0
chdy	ch+d+y	getrocknete Kurz-/Kompaktform	getrocknetes Ergebnis, Grundform	DRY_RESULT	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	ch plus d-y result contrast; 31 headed occurrences	unmarked dry result	REMOVE_UNSUPPORTED_COMPACTNESS	Only in registered exact wholes	31	21	NONE	0	0
oiin	o+iin	Zubereitungsform III	Zubereitungsform III	PREPARATION_CLASS	MEDIUM_HIGH	ZERO	TARGET_LADDER|HISTORICAL_ARCHITECTURE	on/oin/oiin/oiiin ladder and inherited o preparation frame	Extrakt|Dekokt|learned whole	RETAIN_ROLE	Only in registered exact wholes	25	17	NONE	0	0
shey	sh+e+y	Feucht-/Einweichform I	feuchte oder angeweichte Form I	MOIST_STATE	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	sh/e/y state lattice and 25 headed occurrences	attributive Feuchtbindung I	SIMPLIFY	Only in registered exact wholes	25	19	NONE	0	0
am	a+m	Maß-/Einheitsform I; am Zeilenende Eintragsabschluss	Eintragsabschluss I	ENTRY_CLOSE	HIGH_POSITIONAL	ZERO	TARGET_POSITION|TARGET_LADDER	21/24 headed occurrences are line-final and the bare family is also strongly final	Maß-/Einheitsform I|mischen|Restmenge	PROMOTE_CLOSE_OVER_MEASURE	Entry-close default only in final position; otherwise unit/measure rival remains	24	16	NONE	0	0
cheey	ch+ee+y	Trockenform II	trockene Form II	DRY_STATE	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	ch/ee/y state lattice and direct contrast with chey	attributive Trockenbindung II	SIMPLIFY	Only in registered exact wholes	22	17	NONE	0	0
chy	ch+y	Trocken-Grundform	trockene Grundform	DRY_STATE	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	Base member of ch state family	ungraded dry state	SIMPLIFY	Only in registered exact wholes	15	12	NONE	0	0
olchedy	ol+ch+e+d+y	getrockneter Zubereitungsstoff	Materialträger, getrocknetes Ergebnis I	DRIED_MATERIAL	HIGH	ZERO	TARGET_COMPOSITION|CARRIER_STATE	Visible OL carrier plus chedy result form	getrockneter Ansatz|dry extract	REMOVE_HEAD_DERIVED_SUBSTANCE	Only in registered exact wholes	15	5	NONE	0	0
chol	ch+ol	trockener Stoff/Trockengut	Trockenmaterial	DRY_MATERIAL	HIGH	ZERO	TARGET_COMPOSITION|VALUE_FRAMES	Productive ch+OL family and replicated OL+value expressions	dry quality without nominal carrier	SIMPLIFY	Only in registered exact wholes	12	11	NONE	0	0
odaiin	o+d+a+III	Zubereitungsdosis III	Zubereitung: Dosis oder Wert III	PREPARATION_DOSE	HIGH	ZERO	TARGET_COMPOSITION|VALUE_LADDER|HISTORICAL_ARCHITECTURE	o preparation frame plus complete d+a-value family	Grad III|prepared state III	RETAIN_DIMENSION_RIVAL	Only in registered exact wholes; no historical unit named	12	9	NONE	0	0
oraiin	o+r+a+III	Portion III	Teil oder Portion: Wert III	PORTION_VALUE	HIGH	ZERO	TARGET_COMPOSITION|VALUE_LADDER	OR carrier plus aIII value	stage III|nominal carrier III	RETAIN_DIMENSION_RIVAL	Only in registered exact wholes	12	8	NONE	0	0
ody	o+d+y	aufbereitete/fertige Grundform	fertig aufbereitete Grundform	PREPARED_RESULT	HIGH	ZERO	TARGET_COMPOSITION|STATE_LATTICE	o preparation plus d-y result; no k/t temperature head	resultative grammatical form	RETAIN_ROLE	Only in registered exact wholes	11	10	NONE	0	0
