visible_surface	master_card_id	joint_tuple_id	master_head_form	surface_role	short_meaning_de	component_reading	macro_id	observed_event_count	direct_lookup_unique	context_needed_for_card_identity	previous_short_meaning_de	unique_short_meaning_de	gloss_revision
aiin	MC039	2f1c5e56e8f0ff459065	aiin	MASTER_HEAD_FORM	Sollmaß	AIIN_TARGET_MEASURE	M04	3	YES	NO	Sollmaß	Sollmaß	UNCHANGED_UNIQUE
al	MC154	dd0ecaf5e27d81befffc	al	MASTER_HEAD_FORM	dorthin	AL_TO	M05	1	YES	NO	dorthin	dorthin	UNCHANGED_UNIQUE
cfhy	MC129	bdad9f9ea8b80f141496	cfhy	FIXED_REGISTERED_FORM	auswringen	MEMORIZED_WHOLE_CARD	M07	1	YES	NO	auswringen	auswringen	UNCHANGED_UNIQUE
chaiin	MC039	2f1c5e56e8f0ff459065	aiin	OTHER_REGISTERED_ALLOGRAPH	Sollmaß	AIIN_TARGET_MEASURE	M04	1	YES	NO	Sollmaß	Sollmaß	UNCHANGED_UNIQUE
chair	MC014	12efe866f335461823a6	chair	FIXED_REGISTERED_FORM	Wasserzulauf	CH_INLET+AIR_WATER	M06	1	YES	NO	Wasserzulauf	Wasserzulauf	UNCHANGED_UNIQUE
chal	MC154	dd0ecaf5e27d81befffc	al	OTHER_REGISTERED_ALLOGRAPH	dorthin	AL_TO	M05	1	YES	NO	dorthin	dorthin	UNCHANGED_UNIQUE
char	MC055	4d4559019a961b834aa1	char	MASTER_HEAD_FORM	daraus	AR_FROM	M05	2	YES	NO	daraus	aus dem Ansatz	DISAMBIGUATED_DUPLICATE
chary	MC009	0bdc8b6db811b4e67a63	chary	FIXED_REGISTERED_FORM	daraus	AR_FROM+Y_CURRENT	M05	1	YES	NO	daraus	aus diesem Posten	DISAMBIGUATED_DUPLICATE
chckhal	MC022	21ed2873b71e57269c08	chckhal	FIXED_REGISTERED_FORM	zur Zielstelle durchleiten	CKH_THROUGH+AL_TO	M06	1	YES	NO	zur Zielstelle durchleiten	zur Zielstelle durchleiten	UNCHANGED_UNIQUE
chckhy	MC035	2cc8bb3c2af19607888f	chckhy	MASTER_HEAD_FORM	durchleiten	CKH_THROUGH+Y_ITEM	M06	3	YES	NO	durchleiten	durchleiten	UNCHANGED_UNIQUE
chdal	MC001	00d8ebe3c68294eeac39	chdal	FIXED_REGISTERED_FORM	dort umsetzen	CHD_TRANSFER+AL_TO	M06	1	YES	NO	dort umsetzen	dort umsetzen	UNCHANGED_UNIQUE
chdy	MC074	6f7ff8287eddf4da9fdb	chdy	MASTER_HEAD_FORM	umsetzen	CHD~CHED_TRANSFER+Y_ITEM	M06	1	YES	NO	umsetzen	laufenden Posten umsetzen	DISAMBIGUATED_DUPLICATE
cheal	MC154	dd0ecaf5e27d81befffc	al	OTHER_REGISTERED_ALLOGRAPH	dorthin	AL_TO	M05	1	YES	NO	dorthin	dorthin	UNCHANGED_UNIQUE
chealror	MC146	d788d8d72d41b25a3c71	chealror	FIXED_REGISTERED_FORM	Ansatz von dort zur Zielstelle	AL_TO+R_FRAME+OR_BATCH	M03	1	YES	NO	Ansatz von dort zur Zielstelle	Ansatz von dort zur Zielstelle	UNCHANGED_UNIQUE
checthy	MC161	e0b630cb1b5df5e7105b	checthy	MASTER_HEAD_FORM	bereit	CTH_READY+Y_CURRENT	M08	2	YES	NO	bereit	bereit	UNCHANGED_UNIQUE
chedain	MC145	d784b2abcaf1a3703de2	chedain	FIXED_REGISTERED_FORM	Portion umsetzen	CHED_TRANSFER+AIN_PORTION	M04	1	YES	NO	Portion umsetzen	Portion umsetzen	UNCHANGED_UNIQUE
chedchy	MC064	5e8441397e7c0faf042b	chedchy	FIXED_REGISTERED_FORM	umsetzen	CHED_TRANSFER+CHY_ITEM	M06	1	YES	NO	umsetzen	diesen Posten überführen	DISAMBIGUATED_DUPLICATE
