previous_duplicate_gloss_de	master_card_id	joint_tuple_id	master_head_form	registered_surface_family	component_reading	unique_short_meaning_de	teaching_contrast_de	observed_occurrences	dossiers
umsetzen; Schluss	MC005	07913ef9b1fb773cd325	okchedy	okchedy|qokchedy	OK+CHED_TRANSFER+CLOSE	angesetzten Inhalt überführen; Schluss	OK+CHED: erst ansetzen, dann den Inhalt überführen	2	D1_ROOT_BATH_RIGHT_WHEEL;D4_FRESH_PLANT_LEFT_WHEEL
daraus	MC009	0bdc8b6db811b4e67a63	chary	chary	AR_FROM+Y_CURRENT	aus diesem Posten	AR+Y verweist ausdrücklich auf den aktuellen Posten	1	D4_FRESH_PLANT_LEFT_WHEEL
Zutat dorthin	MC010	0ec6a45e2950e8e7061d	chodaly	chodaly	HO_INGREDIENT+AL_TO+Y_ITEM	diese Zutat zur Stelle bringen	HO+AL+Y trägt die aktuell ausgewählte Zutat zum Ziel	1	D4_FRESH_PLANT_LEFT_WHEEL
weiterfuehren	MC016	1496a731803a9f48d2e1	rol	rol	R_FRAME+OL_CONTINUE	vom vorigen Gang weiterführen	R+OL übernimmt aus dem vorausliegenden Gang	1	D1_ROOT_BATH_RIGHT_WHEEL
fortsetzen; Schluss	MC019	1b1ffdd869fb1429ad03	oldy	oldy	OL_CONTINUE+DY_CLOSE	Fortsetzung abschließen	OL+DY beendet die laufende Fortsetzung	2	D3_STORED_APPLICATION_THREE_WHEELS
bereit weiterfuehren	MC021	204b04837409088c48f9	oltchy	oltchy	OL_CONTINUE+CTH_READY+Y_CURRENT	bereiten Posten weiterführen	OL+CTH+Y führt den aktuell bereiten Posten weiter	1	D3_STORED_APPLICATION_THREE_WHEELS
Fortsetzung einsetzen	MC024	232195d6ff2f326322f7	qokol	qokol	OK_SET+OL_CONTINUE	Fortsetzung ansetzen	OK+OL setzt die Fortsetzung als neuen Gang an	1	D3_STORED_APPLICATION_THREE_WHEELS
umsetzen; Schluss	MC025	259b2b3b0bf859882e2c	dchedy	dchedy|schedy|tchedy	CHED_TRANSFER+TERMINAL	Posten überführen; Schluss	unmarkierte geschlossene CHED-Überführung	4	D1_ROOT_BATH_RIGHT_WHEEL;D2_CLEAR_EXTRACT_STAR_ATLAS;D4_FRESH_PLANT_LEFT_WHEEL
Posten ansetzen	MC026	276a7c2d74d1143446f4	choky	choky|oky|qoky	OK_SET+Y_OPEN	aktuellen Posten ansetzen	OK+Y setzt den unmittelbar gemeinten Posten an	10	D1_ROOT_BATH_RIGHT_WHEEL;D2_CLEAR_EXTRACT_STAR_ATLAS;D3_STORED_APPLICATION_THREE_WHEELS;D4_FRESH_PLANT_LEFT_WHEEL
Gefaess	MC027	27d97af8c96eb056c2e6	oykchor	oykchor	MEMORIZED_VESSEL_CARD	Ansatzgefäß	Gefäß für den weitergeführten Pflanzenansatz	1	D1_ROOT_BATH_RIGHT_WHEEL
fortsetzen; Schluss	MC028	28ffbc88b97772a75f1e	olchedy	olchedy|qolchedy	OL_CONTINUE+CHED_TRANSFER+TERMINAL_CLOSE	weiterüberführen; Schluss	OL+CHED führt beim Fortsetzen zugleich über	3	D1_ROOT_BATH_RIGHT_WHEEL;D2_CLEAR_EXTRACT_STAR_ATLAS;D4_FRESH_PLANT_LEFT_WHEEL
länger wärmen	MC032	2c1a5fd92b9e3c762242	cheeky	cheeky	CHK_WARM+GRADE_2+Y_OPEN	länger erwärmen und offen halten	CHK+Grad II+offenes Y lässt den Wärmgang offen	2	D3_STORED_APPLICATION_THREE_WHEELS
Fortsetzung einsetzen	MC041	322281bd391aa621f568	okchol	okchol	OK_SET+CH_WRAPPER+OL_CONTINUE	weiterlaufenden Posten aufnehmen	OK+CH+OL nimmt einen bereits laufenden Posten auf	1	D2_CLEAR_EXTRACT_STAR_ATLAS
Zutat dorthin	MC049	428a5e3662aa57b4b256	schoal	schoal	HO_INGREDIENT+AL_TO	Zutat an die Arbeitsstelle geben	HO+AL setzt eine neue Zutat an der Arbeitsstelle ab	1	D2_CLEAR_EXTRACT_STAR_ATLAS
Auslass	MC051	433713294b25b0a12f66	lchedal	lchedal	L_OUT+CHED_TRANSFER+AL_TO	zur Ablaufstelle führen	L+CHED+AL bezeichnet den Weg zum Ablaufziel	1	D1_ROOT_BATH_RIGHT_WHEEL
daraus	MC055	4d4559019a961b834aa1	char	char|dar|sar	AR_FROM	aus dem Ansatz	freie AR-Quellkarte greift auf den aktiven Ansatz zurück	5	D1_ROOT_BATH_RIGHT_WHEEL;D2_CLEAR_EXTRACT_STAR_ATLAS;D4_FRESH_PLANT_LEFT_WHEEL
Folgeumsetzung; Schluss	MC057	4de12cf322dfb76ded1e	otchedy	otchedy|qotchedy	OT_FOLLOW+CHED_TRANSFER+TERMINAL_CLOSE	nächsten Posten überführen; Schluss	OT+CHED schließt die folgende Überführung	2	D4_FRESH_PLANT_LEFT_WHEEL
umsetzen	MC064	5e8441397e7c0faf042b	chedchy	chedchy	CHED_TRANSFER+CHY_ITEM	diesen Posten überführen	CHED+CHY überführt den markierten Bearbeitungsposten	1	D4_FRESH_PLANT_LEFT_WHEEL
Auslass	MC065	5eff216ba51fbfb21f22	ls	ls	L_OUT+S_PORT	Durchlassöffnung	kurze L+S-Portkarte zwischen Ansatz und Klarlauf	1	D2_CLEAR_EXTRACT_STAR_ATLAS
Folgeumsetzung; Schluss	MC067	601b77449028deed39de	otchdy	otchdy	OT_FOLLOW+CHD_TRANSFER+TERMINAL_CLOSE	Folgegang vollziehen; Schluss	OT+CHD schließt den nächsten ganzen Arbeitsgang	1	D3_STORED_APPLICATION_THREE_WHEELS
umsetzen	MC074	6f7ff8287eddf4da9fdb	chdy	chdy|chedy	CHD~CHED_TRANSFER+Y_ITEM	laufenden Posten umsetzen	CHD~CHED+Y setzt den allgemein laufenden Posten um	11	D1_ROOT_BATH_RIGHT_WHEEL;D3_STORED_APPLICATION_THREE_WHEELS;D4_FRESH_PLANT_LEFT_WHEEL
Waschgang	MC084	7f68f60279efe6b28cd7	rshedy	rshedy	RSHE_WASH_WHOLE_CARD+DY_CLOSE	Waschgang abschließen	RSHE+DY ist ein vollständiger geschlossener Waschgang	1	D2_CLEAR_EXTRACT_STAR_ATLAS
umsetzen; Schluss	MC088	87411f84689b4f93a303	qokchdy	qokchdy	OK+CHD_TRANSFER+CLOSE	Umsetzung ansetzen; Schluss	OK+CHD: einen eigenen Umsetzgang ansetzen	3	D1_ROOT_BATH_RIGHT_WHEEL;D3_STORED_APPLICATION_THREE_WHEELS;D4_FRESH_PLANT_LEFT_WHEEL
Posten ansetzen	MC103	9ad66e67803a12e745de	chokchy	chokchy|okchy|qokchy	OK_SET+CH_WRAPPER+Y_OPEN	Posten zur Weiterbearbeitung ansetzen	OK+CH+Y setzt einen eingehüllten Bearbeitungsposten an	3	D1_ROOT_BATH_RIGHT_WHEEL;D4_FRESH_PLANT_LEFT_WHEEL
kurz weiterfuehren	MC104	9bb7122b386ebbc6138f	keol	keol	E_SHORT+OL_CONTINUE	kurz weiterbearbeiten	K+E+OL bezeichnet kurze fortgesetzte Bearbeitung	1	D4_FRESH_PLANT_LEFT_WHEEL
kurz weiterfuehren	MC106	a06244ef1f2b37ca44c1	teol	teol	E_SHORT+OL_CONTINUE	kurz weiterleiten	T+E+OL bezeichnet kurze fortgesetzte Leitung	1	D1_ROOT_BATH_RIGHT_WHEEL
Folgeposten	MC107	a48efd6c4491a046ba78	qotchy	qotchy	OT_FOLLOW+CHY_ITEM	anschließender Arbeitsposten	OT+CHY nimmt den anschließenden bearbeiteten Posten	1	D2_CLEAR_EXTRACT_STAR_ATLAS
bereit weiterfuehren	MC112	a8f891de626fc00028e9	octheol	octheol	CTH_READY+OL_CONTINUE	bereitgestellten Gang fortsetzen	CTH+OL setzt den bereitgestellten Gang als Ganzes fort	1	D2_CLEAR_EXTRACT_STAR_ATLAS
Gefaess	MC118	b38d70daefd663d74625	ly	ly	MEMORIZED_VESSEL_CARD	Sammelgefäß	Gefäß vor dem längeren Sammelschritt	1	D1_ROOT_BATH_RIGHT_WHEEL
Klarlauf	MC119	b5df9126607030b95175	cheey	cheey|shey	SHEY_CLEAR_LIQUID_WHOLE	klarer Auszug	Stoffkarte des gewonnenen Klarlaufs	4	D2_CLEAR_EXTRACT_STAR_ATLAS;D3_STORED_APPLICATION_THREE_WHEELS
absetzen; Schluss	MC128	bc4f1f5c006c74a4d26d	cheedy	cheedy|shedy|tedy	SHED_SETTLE+GRADE_1+DY_CLOSE	kurz absetzen lassen; Schluss	SHED+Grad I schließt nach kurzem Absetzen	12	D1_ROOT_BATH_RIGHT_WHEEL;D2_CLEAR_EXTRACT_STAR_ATLAS;D3_STORED_APPLICATION_THREE_WHEELS;D4_FRESH_PLANT_LEFT_WHEEL
Waschgang	MC130	be0974b366c981dc1eef	lsho	lsho	LSH_WASH	Waschgang beginnen	LSH eröffnet die folgende Waschsequenz	1	D1_ROOT_BATH_RIGHT_WHEEL
weiterfuehren	MC134	c205570c49d4d93c23d3	qolky	qolky	Q_FRAME+OL_CONTINUE+KY_PATH	auf dem Arbeitsweg weiterleiten	Q+OL+KY hält die Fortsetzung auf dem gebundenen Weg	1	D1_ROOT_BATH_RIGHT_WHEEL
umsetzen; Schluss	MC139	d225b7a7b95da7aee437	dchdy	dchdy	D+CHD_TRANSFER+CLOSE	weitergeführten Posten überführen; Schluss	D+CHD nach bereits laufender Weiterführung	1	D1_ROOT_BATH_RIGHT_WHEEL
Klarlauf	MC141	d4a31dbcf1ed6d9e5aa9	tshey	tshey	T_FRAME+SHEY_CLEAR_FLOW	Klarlauf zugeben	T+SHEY bringt Klarlauf in den nächsten Gang	1	D2_CLEAR_EXTRACT_STAR_ATLAS
absetzen; Schluss	MC151	db167f8e9b53eefb58f8	qokshedy	qokshedy	OK_SET+SHED_SETTLE+CLOSE	Absetzgang ansetzen; Schluss	OK+SHED setzt einen eigenen Absetzgang an	1	D4_FRESH_PLANT_LEFT_WHEEL
Gefaess	MC159	df1098831679a8ad1b39	os	os	MEMORIZED_VESSEL_CARD	Mischgefäß	Gefäß für Wurzelteil und Wasserzulauf	1	D1_ROOT_BATH_RIGHT_WHEEL
länger wärmen	MC166	f0db6d30cd34f4cb2a4d	chkeey	chkeey	CHK_WARM+GRADE_2+Y_CURRENT	diesen Posten länger warm halten	CHK+Grad II bindet die Wärme an den aktuellen Posten	1	D2_CLEAR_EXTRACT_STAR_ATLAS
