statement_id	record_unit_id	page	loci	event_count	surface_sequence	master_head_sequence	unique_literal_sequence_de	fluent_workshop_sentence_de	disambiguated_card_count	precision_notes_de	statement_status
H1-S001	H1	f10r	f10r.2	10	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	Wurzel -> Ansatz bereit -> aus dem Ansatz -> Teil abtrennen -> Mischgefäß -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> aktuellen Posten ansetzen -> Sollmaß -> kleiner Restteil	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	3	char: daraus -> aus dem Ansatz | os: Gefaess -> Mischgefäß | choky: Posten ansetzen -> aktuellen Posten ansetzen	UNIQUE_CARD_DEFAULTS_COMPLETE
H1-S002	H1	f10r	f10r.5	4	qokchy qotchol chol cthy	chokchy qotchol cheol checthy	Posten zur Weiterbearbeitung ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	1	chokchy: Posten ansetzen -> Posten zur Weiterbearbeitung ansetzen	UNIQUE_CARD_DEFAULTS_COMPLETE
H2-S001	H2	f10r	f10r.6	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.	0	keine Änderung	UNIQUE_CARD_DEFAULTS_COMPLETE
H2-S002	H2	f10r	f10r.8	8	qotchor chor otol chol cholor chol daiin dar	otchor chor otol cheol cholor cheol aiin char	Folgeansatz -> Ansatz -> danach fortsetzen -> fortsetzen -> Fortsetzungsansatz -> fortsetzen -> Sollmaß -> aus dem Ansatz	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	1	char: daraus -> aus dem Ansatz	UNIQUE_CARD_DEFAULTS_COMPLETE
H2-S003	H2	f10r	f10r.9	7	oykchor shor chor chy kaiiin dy chodaiin	oykchor chor chor chey kaiiin chey chodaiin	Ansatzgefäß -> Ansatz -> Ansatz -> dieser Posten -> Weichstufe -> dieser Posten -> Zutatenmaß	Gib den weitergefuehrten Folgeansatz in das Gefaess, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmass ein.	1	oykchor: Gefaess -> Ansatzgefäß	UNIQUE_CARD_DEFAULTS_COMPLETE
H3-S001	H3	f11r	f11r.1	7	tshol schoal cfhy shfydaiin cphy shey tchody	tshol schoal cfhy shfydaiin cphy cheey tchody	Zutat entnehmen -> Zutat an die Arbeitsstelle geben -> auswringen -> Standmaß -> nachseihen -> klarer Auszug -> kalt stellen	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	2	schoal: Zutat dorthin -> Zutat an die Arbeitsstelle geben | cheey: Klarlauf -> klarer Auszug	UNIQUE_CARD_DEFAULTS_COMPLETE
H3-S002	H3	f11r	f11r.1	1	shoyty	shoyty	Zutatenteil	Lege einen Zutatenteil zurueck.	0	keine Änderung	UNIQUE_CARD_DEFAULTS_COMPLETE
H3-S003	H3	f11r	f11r.4	5	dchol chy kchy dy daiin	dchol chey kchy chey aiin	Voriges -> dieser Posten -> diesen Posten bearbeiten -> dieser Posten -> Sollmaß	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmass ein.	0	keine Änderung	UNIQUE_CARD_DEFAULTS_COMPLETE
H3-S004	H3	f11r	f11r.7	4	qotchy okchol cthy dy	qotchy okchol checthy chey	anschließender Arbeitsposten -> weiterlaufenden Posten aufnehmen -> bereit -> dieser Posten	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	2	qotchy: Folgeposten -> anschließender Arbeitsposten | okchol: Fortsetzung einsetzen -> weiterlaufenden Posten aufnehmen	UNIQUE_CARD_DEFAULTS_COMPLETE
H4-S001	H4	f55v	f55v.5	5	qokaiin chaiin ykain ykan ody	okaiin aiin ykain ykan ody	auf Sollmaß einstellen -> Sollmaß -> Postenportion -> dieser Anteil -> kühlen	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	0	keine Änderung	UNIQUE_CARD_DEFAULTS_COMPLETE
H4-S002	H4	f55v	f55v.5	3	daiin chedy talam	aiin chdy talam	Sollmaß -> laufenden Posten umsetzen -> am Ziel verwahren	Setze den Posten nach Sollmass um und verwahre ihn am Ziel.	1	chdy: umsetzen -> laufenden Posten umsetzen	UNIQUE_CARD_DEFAULTS_COMPLETE
H4-S003	H4	f55v	f55v.11	4	ykaiin cheoar cheeky oldy	ykaiin cheoar cheeky oldy	Postenmaß -> Auszug entnehmen -> länger erwärmen und offen halten -> Fortsetzung abschließen	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	2	cheeky: länger wärmen -> länger erwärmen und offen halten | oldy: fortsetzen; Schluss -> Fortsetzung abschließen	UNIQUE_CARD_DEFAULTS_COMPLETE
H4-S004	H4	f55v	f55v.11	6	aiin okal oltchy or y orain	aiin okal oltchy chor chey orain	Sollmaß -> dort ansetzen -> bereiten Posten weiterführen -> Ansatz -> dieser Posten -> Ansatzportion	Stelle das Sollmass ein, setze dort an, fuehre den bereiten Ansatz weiter und nimm davon eine Portion.	1	oltchy: bereit weiterfuehren -> bereiten Posten weiterführen	UNIQUE_CARD_DEFAULTS_COMPLETE
H5-S001	H5	f56r	f56r.5|f56r.7	9	chochor cho chodaly daiin sho kchol otchor choky dal	chochor cho chodaly aiin cho kchol otchor choky al	Zutatenansatz -> Zutat -> diese Zutat zur Stelle bringen -> Sollmaß -> Zutat -> weiter bearbeiten -> Folgeansatz -> aktuellen Posten ansetzen -> dorthin	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmass, bearbeite die naechste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	2	chodaly: Zutat dorthin -> diese Zutat zur Stelle bringen | choky: Posten ansetzen -> aktuellen Posten ansetzen	UNIQUE_CARD_DEFAULTS_COMPLETE
H5-S002	H5	f56r	f56r.8	4	schol choy choky cheeckhody	dchol choy choky cheeckhody	Voriges -> diese Zutat -> aktuellen Posten ansetzen -> auftragen	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	1	choky: Posten ansetzen -> aktuellen Posten ansetzen	UNIQUE_CARD_DEFAULTS_COMPLETE
H5-S003	H5	f56r	f56r.12	4	sh cho kchey qokokchy	sh cho kchey qokokchy	Staengel -> Zutat -> diesen Posten kurz bearbeiten -> erneut ansetzen	Nimm den Staengel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.	0	keine Änderung	UNIQUE_CARD_DEFAULTS_COMPLETE
H5-S004	H5	f56r	f56r.13	3	okchy chokcheo kchal	chokchy chokcheo kchal	Posten zur Weiterbearbeitung ansetzen -> Auszug zugeben -> an der Zielstelle bearbeiten	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	1	chokchy: Posten ansetzen -> Posten zur Weiterbearbeitung ansetzen	UNIQUE_CARD_DEFAULTS_COMPLETE
H5-S005	H5	f56r	f56r.18	4	sho chokchy kchoar sotodan	cho chokchy kchoar sotodan	Zutat -> Posten zur Weiterbearbeitung ansetzen -> Auszug daraus -> danach anwenden	Setze den Ansatz als Zutat an, nimm den Auszug daraus und wende ihn danach an.	1	chokchy: Posten ansetzen -> Posten zur Weiterbearbeitung ansetzen	UNIQUE_CARD_DEFAULTS_COMPLETE
H5-S006	H5	f56r	f56r.19	3	otchey keol daiin	otchey keol aiin	nächster Teilposten -> kurz weiterbearbeiten -> Sollmaß	Nimm den Folgeposten, fuehre ihn kurz weiter und stelle das Sollmass ein.	2	otchey: Folgeposten -> nächster Teilposten | keol: kurz weiterfuehren -> kurz weiterbearbeiten	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S001	B1	f81v	f81v.2	1	qokedy	qokedy	kurz ansetzen; Schluss	Setze kurz an und schließe	0	keine Änderung	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S002	B1	f81v	f81v.2|f81v.7	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	okaiin kair okal char cheol chkain olkain al cheol rol dl cholor cheol sheckhal aiin qokeedal aiin chckhy dchedy	auf Sollmaß einstellen -> Beckenwasser -> dort ansetzen -> aus dem Ansatz -> fortsetzen -> eine Portion -> weitere Portion -> dorthin -> fortsetzen -> vom vorigen Gang weiterführen -> Zusatz -> Fortsetzungsansatz -> fortsetzen -> kurz zur Zielstelle durchleiten -> Sollmaß -> dort länger halten -> Sollmaß -> durchleiten -> Posten überführen; Schluss	Stelle das Sollmass ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, fuehre den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmass ein, halte dort laenger, leite durch, setze um und schliesse.	3	char: daraus -> aus dem Ansatz | rol: weiterfuehren -> vom vorigen Gang weiterführen | dchedy: umsetzen; Schluss -> Posten überführen; Schluss	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S003	B1	f81v	f81v.7|f81v.17	2	qol sshkchdy	cheol sshkchdy	fortsetzen -> schwenken	Führe weiter, schwenke den Posten und schließe	0	keine Änderung	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S004	B1	f81v	f81v.17	3	chedy ol shedy	chdy cheol cheedy	laufenden Posten umsetzen -> fortsetzen -> kurz absetzen lassen; Schluss	Setze um, führe weiter, lass absetzen und schließe	2	chdy: umsetzen -> laufenden Posten umsetzen | cheedy: absetzen; Schluss -> kurz absetzen lassen; Schluss	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S005	B1	f81v	f81v.17	1	qolchedy	olchedy	weiterüberführen; Schluss	Führe den Posten weiter und schließe	1	olchedy: fortsetzen; Schluss -> weiterüberführen; Schluss	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S006	B1	f81v	f81v.17	4	qokain shckhy dl ral	okain chckhy dl ral	eine Portion zugeben -> durchleiten -> Zusatz -> zur Zielstelle	Gib eine Portion und den Zusatz zu, leite durch, fuehre zur Zielstelle und uebergib an den folgenden Umsetzschritt.	0	keine Änderung	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S007	B1	f81v	f81v.18	1	qokchdy	qokchdy	Umsetzung ansetzen; Schluss	Setze die abgekühlte Badmischung um und schließe	1	qokchdy: umsetzen; Schluss -> Umsetzung ansetzen; Schluss	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S008	B1	f81v	f81v.18	5	chey ol cheky ol shedy	chey cheol cheky cheol cheedy	dieser Posten -> fortsetzen -> kurz wärmen -> fortsetzen -> kurz absetzen lassen; Schluss	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	1	cheedy: absetzen; Schluss -> kurz absetzen lassen; Schluss	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S009	B1	f81v	f81v.18	1	qokedy	qokedy	kurz ansetzen; Schluss	Setze kurz an und schließe	0	keine Änderung	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S010	B1	f81v	f81v.18	1	qokedy	qokedy	kurz ansetzen; Schluss	Setze kurz an und schließe	0	keine Änderung	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S011	B1	f81v	f81v.18	2	chckhy qoky	chckhy choky	durchleiten -> aktuellen Posten ansetzen	Leite durch und setze den Posten an	1	choky: Posten ansetzen -> aktuellen Posten ansetzen	UNIQUE_CARD_DEFAULTS_COMPLETE
B1-S012	B1	f81v	f81v.21	3	lsho qokey lshedy	lsho okey lshedy	Waschgang beginnen -> kurz ansetzen -> waschen; Schluss	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	1	lsho: Waschgang -> Waschgang beginnen	UNIQUE_CARD_DEFAULTS_COMPLETE
