event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	master_card_id	surface_display	master_head_form	component_reading	previous_short_meaning_de	unique_short_meaning_de	gloss_revision	step_closure_role
1	E001	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	MC071	dchey	dchey	MEMORIZED_WHOLE_CARD	Wurzel	Wurzel	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
2	E002	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	MC158	cthoor	cthoor	CTH_READY+OR_BATCH	Ansatz bereit	Ansatz bereit	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
3	E003	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	MC055	char	char	AR_FROM	daraus	aus dem Ansatz	DISAMBIGUATED_DUPLICATE	NO_EVENT_CLOSE
4	E004	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	MC086	chty	chety	CH_PARTITION+TY_PART	Teil abtrennen	Teil abtrennen	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
5	E005	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	MC159	os	os	MEMORIZED_VESSEL_CARD	Gefaess	Mischgefäß	DISAMBIGUATED_DUPLICATE	NO_EVENT_CLOSE
6	E006	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	MC014	chair	chair	CH_INLET+AIR_WATER	Wasserzulauf	Wasserzulauf	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
7	E007	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	MC069	otytchol	otytchol	OT_FOLLOW+TY_PART+OL_CONTINUE	naechsten Teilposten weiterfuehren	naechsten Teilposten weiterfuehren	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
8	E008	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	MC026	oky	choky	OK_SET+Y_OPEN	Posten ansetzen	aktuellen Posten ansetzen	DISAMBIGUATED_DUPLICATE	NO_EVENT_CLOSE
9	E009	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	MC039	daiin	aiin	AIIN_TARGET_MEASURE	Sollmaß	Sollmaß	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
10	E010	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	MC108	etyd	etyd	E_SHORT+TY_PART+D_LOCAL	kleiner Restteil	kleiner Restteil	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
11	E011	H1	f10r	f10r.5	F002	H1-S002	9ad66e67803a12e745de	MC103	qokchy	chokchy	OK_SET+CH_WRAPPER+Y_OPEN	Posten ansetzen	Posten zur Weiterbearbeitung ansetzen	DISAMBIGUATED_DUPLICATE	NO_EVENT_CLOSE
12	E012	H1	f10r	f10r.5	F002	H1-S002	e8a6105b5c3a6220b440	MC163	qotchol	qotchol	OT_FOLLOW+OL_CONTINUE	danach weiterfuehren	danach weiterfuehren	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
13	E013	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	MC153	chol	cheol	OL_CONTINUE	fortsetzen	fortsetzen	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
14	E014	H1	f10r	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	MC161	cthy	checthy	CTH_READY+Y_CURRENT	bereit	bereit	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
15	E015	H2	f10r	f10r.6	F003	H2-S001	7249edc4df3419c26999	MC075	ycheor	ycheor	Y_ITEM+CHEO_EXTRACT+OR_BATCH	Auszugsansatz	Auszugsansatz	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
16	E016	H2	f10r	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	MC161	cthy	checthy	CTH_READY+Y_CURRENT	bereit	bereit	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
17	E017	H2	f10r	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	MC080	chor	chor	OR_BATCH	Ansatz	Ansatz	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
18	E018	H2	f10r	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	MC169	cthaiin	cthaiin	CTH_READY+AIIN_MEASURE	Fertigmaß	Fertigmaß	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
19	E019	H2	f10r	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	MC115	qoctholy	qoctholy	CTH_READY+OL_CONTINUE+Y_CURRENT	bereiten Posten weiterfuehren	bereiten Posten weiterfuehren	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
20	E020	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	MC123	dy	chey	Y_CURRENT_ITEM_CARD	dieser Posten	dieser Posten	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
21	E021	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	MC123	chy	chey	Y_CURRENT_ITEM_CARD	dieser Posten	dieser Posten	UNCHANGED_UNIQUE	NO_EVENT_CLOSE
