canvas_id	unit_index	A_region	B_region	prediction	A_result	B_result	joint	A_reason	B_reason
1006194	1	LEFT	left	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	The partition structure radiates toward one central region; no opposite-half pair of interior arcs joins the same two boundary poles.	The retained interior boundaries spread from different points around the central enclosure toward different outer positions. They do not form nonstraight members running between one pair of shared boundary poles on both sides of a diameter.
1006194	2	RIGHT	right	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	The sector lines end at different outer positions and inner circular neighbourhoods. No shared pair of boundary poles is joined by the required bowed interior members.	The observable framework consists of rings and radial divisions. It has no pair of distinct boundary poles joined by the required interior bowed members in opposite halves; the radial divisions terminate at different ring positions.
1006196	1	RIGHT	right	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	The retained layout has an enclosing ring and radial organisation around one central region, not two shared boundary poles with an interior arc on each side.	The retained partitioning is arranged around a central enclosure with different outer endpoints. The additional curved connector does not provide two nonstraight interior members joining the same two boundary poles in opposite halves.
1006199	1	LEFT	left	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	No pair of nonstraight interior partition members, one per half, joins the same two boundary poles of this whole composition.	The long compartments and sector lines radiate around the central region and end at many distinct outer positions. No pair of shared boundary poles carries interior bowed members in both halves.
1006199	2	MIDDLE	middle	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	No pair of nonstraight interior partition members, one per half, joins the same two boundary poles of this whole composition.	The curving boundaries form an annular lobed circuit, while the other dividers are radial. They do not join a common pair of opposite boundary poles as two interior members on opposite sides.
1006199	3	RIGHT	right	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	No pair of nonstraight interior partition members, one per half, joins the same two boundary poles of this whole composition.	The pointed curved partitions join multiple positions around the central ring and outer wheel; they do not share one pair of boundary endpoints. The spokes reinforce a centre-based arrangement rather than a two-pole arc family.
1006200	1	EXTREME_LEFT_CLIPPED_FRAGMENT	far-left clipped fragment	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	UNRESOLVED	UNRESOLVED	UNRESOLVED	The whole frame and possible connections are outside this rendering; the fragment cannot establish or refute the two-pole arrangement.	Most of this possible whole circular unit, including its centre and opposite boundary, is outside the supplied rendering. The common-pole requirement cannot be tested on the fragment.
1006200	2	MAIN_CENTRE_RIGHT	main centre-right	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	The visible framework comprises nested circular bands, without nonstraight interior members sharing two distinct boundary poles on opposite halves.	After the uniform icon exclusion, the major framework is concentric annuli with local container boundaries. None of those retained interior boundaries forms the required opposite-half members connecting the same two boundary poles.
1006201	1	MAIN	main	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	The visible framework comprises nested circular bands, without nonstraight interior members sharing two distinct boundary poles on opposite halves.	The retained boundaries form nested circular annuli and short local compartment outlines. They have no two distinct common boundary poles joined by opposite-half nonstraight interior members.
1006203	1	LEFT	left	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	The visible framework comprises nested circular bands, without nonstraight interior members sharing two distinct boundary poles on opposite halves.	The major retained lines form nested circular compartments rather than opposite-half bowed members connecting one shared pair of boundary poles.
1006203	2	MIDDLE_LEFT	middle-left	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	The visible framework comprises nested circular bands, without nonstraight interior members sharing two distinct boundary poles on opposite halves.	The visible retained framework is concentric. It lacks the required pole-to-pole interior family across the whole circle; the small hole cannot hide that entire large-scale arrangement.
1006203	3	MIDDLE_RIGHT	middle-right	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	The visible framework comprises nested circular bands, without nonstraight interior members sharing two distinct boundary poles on opposite halves.	After complete icon exclusion, the retained major curves remain concentric annular boundaries. There is no pair of shared boundary poles carrying an interior member on each side.
1006203	4	RIGHT	right	BOTH_HALF_INTERIOR_ARCS_SAME_TWO_BOUNDARY_POLES	CONTRADICTED	CONTRADICTED	CONTRADICTED	The visible framework comprises nested circular bands, without nonstraight interior members sharing two distinct boundary poles on opposite halves.	The retained curves are closed concentric courses, not interior arcs ending at one shared pair of opposite poles. The neighbouring wheel cannot supply missing members of this whole unit.
