gdt756_body_token_id	page	locus	token_ordinal	body_offset_after_ychor	line_position	surface	reader_exact	independent_axes_at_position	gdt756_candidate_de	gdt758_candidate_de	candidate_changed	candidate_origin	working_confidence	alternate_1_de	alternate_2_de	exact_whole_default	candidate_not_plaintext	confirmed_lexeme	component_export_credit
G756-B001	f6v	f6v.8	2	1	MIDDLE	chor	1	NONE	Blätter	Blüten-/Samenstand	1	GDT758_GLOBAL_FOLLOWER_AUDIT	C1_CONVERGENT_EXPLORATORY	Pflanzenteil ohne nähere Bestimmung	Trockenheits-/Zustandsmarker	1	1	0	0
G756-B002	f6v	f6v.8	3	2	MIDDLE	okchey	1	HOT|DRY|PREPARATION|MIDDLE_STAGE	heiße trockene Zubereitung	heiße trockene Zubereitung	0	GDT756_BODY_PRIOR	C1_FRAME_CONSTRAINED	trockne bei mittlerer Hitze	Pulver	1	1	0	0
G756-B003	f6v	f6v.8	4	3	LAST	qokom	1	HOT|AMOUNT|PREPARATION|PROCESS	erhitze eine Handvoll	erhitze eine Handvoll	0	GDT756_BODY_PRIOR	C1_FRAME_CONSTRAINED	eine Handvoll heiße Zubereitung	miss eine Dosis ab	1	1	0	0
G756-B004	f9v	f9v.11	2	1	MIDDLE	chshoty	1	NONE	weiche ein	kalte Trockenzubereitung	1	GDT758_GLOBAL_FOLLOWER_AUDIT	C0_SINGLETON_EXPLORATORY	kühle und trockne	eingeweichte Zubereitung	1	1	0	0
G756-B005	f9v	f9v.11	3	2	MIDDLE	oky	0	NONE	heiß am Anfang	erste Wärmestufe	1	GDT758_GLOBAL_FOLLOWER_AUDIT	C1_RECURRENT_EXPLORATORY	erhitze zuerst	heiße Zubereitung	1	1	0	0
G756-B006	f9v	f9v.11	4	3	LAST	kaiin	0	NONE	heiß im dritten Grad	heiß im dritten Grad	0	GDT756_BODY_PRIOR	C1_FRAME_CONSTRAINED	dritter Grad	erhitze stark	1	1	0	0
G756-B007	f17v	f17v.15	2	1	MIDDLE	cthy	1	MATERIAL	Wurzel	Blattgut	1	GDT758_GLOBAL_FOLLOWER_AUDIT	C2_CROSS_PASS_EXPLORATORY	oberirdisches Kraut	Pflanzenteil ohne nähere Bestimmung	1	1	0	0
G756-B008	f17v	f17v.15	3	2	MIDDLE	cheeky	1	HOT|DRY|BEGIN_STAGE|END_STAGE	trockne vollständig, dann erwärme	trockne vollständig, dann erwärme	0	GDT756_BODY_PRIOR	C1_FRAME_CONSTRAINED	heiß und trocken	Ende, dann Anfang	1	1	0	0
G756-B009	f17v	f17v.15	4	3	MIDDLE	cheo	1	DRY|PREPARATION	trockene Zubereitung	trockene Zubereitung	0	GDT756_BODY_PRIOR	C1_FRAME_CONSTRAINED	getrocknetes Kraut	Pulver	1	1	0	0
G756-B010	f17v	f17v.15	5	4	MIDDLE	otor	1	COLD|AMOUNT|MATERIAL|PREPARATION	eine kalte Portion	eine kalte Portion	0	GDT756_BODY_PRIOR	C1_FRAME_CONSTRAINED	kalter Arzneistoff	kalte Zubereitung	1	1	0	0
G756-B011	f17v	f17v.15	6	5	LAST	oteol	1	COLD|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	kühle bis zur Mittelstufe	kühle bis zur Mittelstufe	0	GDT756_BODY_PRIOR	C1_FRAME_CONSTRAINED	kalte Zubereitung	kühler Arzneistoff	1	1	0	0
G756-B012	f19v	f19v.9	2	1	MIDDLE	oky	1	NONE	heiß am Anfang	erste Wärmestufe	1	GDT758_GLOBAL_FOLLOWER_AUDIT	C1_RECURRENT_EXPLORATORY	erhitze zuerst	heiße Zubereitung	1	1	0	0
G756-B013	f19v	f19v.9	3	2	MIDDLE	chor	1	NONE	Blätter	Blüten-/Samenstand	1	GDT758_GLOBAL_FOLLOWER_AUDIT	C1_CONVERGENT_EXPLORATORY	Pflanzenteil ohne nähere Bestimmung	Trockenheits-/Zustandsmarker	1	1	0	0
G756-B014	f19v	f19v.9	4	3	MIDDLE	ytol	0	NONE	kühle den Arzneistoff ab	kühle den Arzneistoff ab	0	GDT756_BODY_PRIOR	C0_FORCED_CONTEXT	kalter Arzneistoff	weiche ein	1	1	0	0
G756-B015	f19v	f19v.9	5	4	MIDDLE	chol	1	NONE	trockenes Kraut	trocken/getrocknet	1	GDT758_GLOBAL_FOLLOWER_AUDIT	C2_MULTIWHOLE_EXPLORATORY	Trockenstoff	trockne	1	1	0	0
G756-B016	f19v	f19v.9	6	5	MIDDLE	oky	0	NONE	heiß am Anfang	erste Wärmestufe	1	GDT758_GLOBAL_FOLLOWER_AUDIT	C1_RECURRENT_EXPLORATORY	erhitze zuerst	heiße Zubereitung	1	1	0	0
G756-B017	f19v	f19v.9	7	6	LAST	ddor	0	NONE	miss eine Portion ab	miss eine Portion ab	0	GDT756_BODY_PRIOR	C1_FRAME_CONSTRAINED	eine Portion	zweiter Teil	1	1	0	0
G756-B018	f22v	f22v.7	2	1	MIDDLE	chor	1	NONE	Blätter	Blüten-/Samenstand	1	GDT758_GLOBAL_FOLLOWER_AUDIT	C1_CONVERGENT_EXPLORATORY	Pflanzenteil ohne nähere Bestimmung	Trockenheits-/Zustandsmarker	1	1	0	0
G756-B019	f22v	f22v.7	3	2	MIDDLE	qokchol	1	HOT|DRY|MATERIAL	heiß getrocknetes Kraut	erhitzt und getrocknet	1	GDT758_GLOBAL_FOLLOWER_AUDIT	C2_MULTIWHOLE_EXPLORATORY	heiß-trockener Zustand	erhitzte Trockenzubereitung	1	1	0	0
