gdt758_occurrence_id	surface	page	physical_folio	locus	token_ordinal	line_token_count	normalized_position	line_position	paragraph_first_token	paragraph_last_token	section	language	hand	written_line_eva	immediate_left_surface	immediate_left_reader_exact	immediate_right_surface	immediate_right_reader_exact	formula_predecessor	directly_after_ychor	left_extent	right_extent	left_boundary_reason	right_boundary_reason	boundary_complete	independent_anchor_count	independent_anchor_surfaces	independent_anchor_tags	independent_anchor_evidence	field_channel	slot_class	suspect_neighbor_cells_with_axes_excluded	target_cache_value_background_not_used_as_anchor	gdt758_primary_candidate_de	gdt758_renderer_value_de	gdt758_working_confidence	all_172_productive_compound_axes_excluded_from_field	reader_exact_target	exact_whole_only	literal_identity	confirmed_lexeme	component_export_credit
G758-O0001	s	f2r	f2	f2r.2	3	5	0.500000	MIDDLE	0	0	H	A	1	dorchory chkar s shor cthy	chkar	1	shor	1	NONE	0	2	2	LINE_EDGE_AFTER_R2	LINE_EDGE_AFTER_R2	1	1	chkar	HOT|DRY|PART	L1 chkar=erste heiß getrocknete Fraktion [HOT|DRY|PART;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	1	Samen-/Saatgutposten	je / zu gleichen Teilen	je	C2_ORDERED_VALUE_EXPLORATORY	1	1	1	OPEN	0	0
G758-O0002	cthy	f2r	f2	f2r.2	5	5	1.000000	LAST	0	0	H	A	1	dorchory chkar s shor cthy	shor	1	LINE_EDGE	0	NONE	0	4	0	LINE_EDGE_AFTER_R4	LINE_EDGE_AFTER_R0	1	1	chkar	HOT|DRY|PART	L3 chkar=erste heiß getrocknete Fraktion [HOT|DRY|PART;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	0	CTH-Drogenmaterial	Blattgut / Blattdroge	Blattgut	C2_CROSS_PASS_EXPLORATORY	1	1	1	OPEN	0	0
G758-O0003	chor	f2r	f2	f2r.3	4	7	0.500000	MIDDLE	0	0	H	A	1	qotaiin cthey y chor chy ydy chaiin	y	1	chy	1	NONE	0	3	3	LINE_EDGE_AFTER_R3	LINE_EDGE_AFTER_R3	1	1	cthey	MATERIAL	L2 cthey=Pflanzendroge, Form I [MATERIAL;W3_SOLID_WORKING_THEORY]	MATERIA_OR_INGREDIENT	LEMMA_OR_INGREDIENT	0	Pflanzen-/Reproduktionsteil	Pflanzenteil, wahrscheinlich Blüten-/Samenstand	Blüten-/Samenstand	C1_CONVERGENT_EXPLORATORY	1	1	1	OPEN	0	0
G758-O0004	chol	f2r	f2	f2r.5	4	7	0.500000	MIDDLE	0	0	H	A	1	otochor al shodaiin chol dan ytchaiin dan	shodaiin	1	dan	1	NONE	0	3	3	LINE_EDGE_AFTER_R3	LINE_EDGE_AFTER_R3	1	1	shodaiin	MOIST|AMOUNT|PREPARATION	L1 shodaiin=drei Portionen Feuchtansatz [MOIST|AMOUNT|PREPARATION;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	0	trocken; nominal trockenes Gut/Material	trocken / getrocknet	trocken/getrocknet	C2_MULTIWHOLE_EXPLORATORY	1	1	1	OPEN	0	0
G758-O0005	cthy	f2r	f2	f2r.6	9	9	1.000000	LAST	0	0	H	A	1	saiin dain d dkol sor ytoldy dchol dchy cthy	dchy	1	LINE_EDGE	0	NONE	0	2	0	PRIOR_CLOSE_BEFORE_R3	LINE_EDGE_AFTER_R0	1	2	dchy|dchol	DRY|AMOUNT|MATERIAL|BEGIN_STAGE	L2 dchol=Maß trockenen Materials [DRY|AMOUNT|MATERIAL;W3_SOLID_WORKING_THEORY] || L1 dchy=eine Portion Trockendroge in Grundform [DRY|AMOUNT|MATERIAL|BEGIN_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	0	CTH-Drogenmaterial	Blattgut / Blattdroge	Blattgut	C2_CROSS_PASS_EXPLORATORY	1	1	1	OPEN	0	0
G758-O0006	chol	f2r	f2	f2r.7	4	5	0.750000	MIDDLE	0	0	H	A	1	shor ckhy daiiny chol dan	daiiny	1	dan	1	NONE	0	3	1	LINE_EDGE_AFTER_R3	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	1	trocken; nominal trockenes Gut/Material	trocken / getrocknet	trocken/getrocknet	C2_MULTIWHOLE_EXPLORATORY	1	1	1	OPEN	0	0
G758-O0007	s	f2r	f2	f2r.8	4	9	0.375000	MIDDLE	0	0	H	A	1	kydain shaiin qoy s shol fodan yksh olsheey daiildy	qoy	1	shol	1	NONE	0	3	5	LINE_EDGE_AFTER_R3	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	OPEN	UNASSIGNED	0	Samen-/Saatgutposten	je / zu gleichen Teilen	je	C2_ORDERED_VALUE_EXPLORATORY	1	1	1	OPEN	0	0
G758-O0008	chor	f2r	f2	f2r.12	3	11	0.200000	MIDDLE	0	0	H	A	1	okol chy chor cthor yor an chan saiin chety chyky sal	chy	1	cthor	1	NONE	0	2	4	LINE_EDGE_AFTER_R2	STRICT_INITIAL_BEFORE_R5	1	1	cthor	AMOUNT|MATERIAL	R1 cthor=eine Portion Pflanzendroge [AMOUNT|MATERIAL;W3_SOLID_WORKING_THEORY]	QUANTITY_OR_PART	QUANTITY_REFERENT_OR_PART_NAME	0	Pflanzen-/Reproduktionsteil	Pflanzenteil, wahrscheinlich Blüten-/Samenstand	Blüten-/Samenstand	C1_CONVERGENT_EXPLORATORY	1	1	1	OPEN	0	0
G758-O0009	chor	f2v	f2	f2v.1	6	8	0.714286	MIDDLE	0	0	H	A	1	kooiin cheo pchor otaiin odain chor dair shty	odain	0	dair	1	NONE	0	2	2	STRICT_INITIAL_BEFORE_R3	LINE_EDGE_AFTER_R2	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	0	Pflanzen-/Reproduktionsteil	Pflanzenteil, wahrscheinlich Blüten-/Samenstand	Blüten-/Samenstand	C1_CONVERGENT_EXPLORATORY	1	1	1	OPEN	0	0
G758-O0010	chor	f2v	f2	f2v.2	8	9	0.875000	MIDDLE	0	0	H	A	1	kcho kchy sho shol qotcho loeees qoty chor daiin	qoty	1	daiin	1	NONE	0	1	1	STRICT_INITIAL_BEFORE_R2	LINE_EDGE_AFTER_R1	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	0	Pflanzen-/Reproduktionsteil	Pflanzenteil, wahrscheinlich Blüten-/Samenstand	Blüten-/Samenstand	C1_CONVERGENT_EXPLORATORY	1	1	1	OPEN	0	0
