page	locus	section	written_line_eva	token_candidate_map_de	uncomposed_candidate_render_de	span_composed_candidate_render_de	recipe_command_rival_render_de	applied_span_rule_ids	changed_token_count	changed_surfaces	body_token_count	all_body_tokens_have_candidate_default	candidate_line_not_plaintext	confirmed_lexeme
f6v	f6v.8	H	ychor chor okchey qokom	ychor→ferner/ebenso | chor→Blüten-/Samenstand | okchey→heiße trockene Zubereitung | qokom→erhitze eine Handvoll	ferner/ebenso: Blüten-/Samenstand; heiße trockene Zubereitung; erhitze eine Handvoll	ferner/ebenso: Blüten-/Samenstand; heiße trockene Zubereitung; erhitze eine Handvoll	nimm: Blüten-/Samenstand; heiße trockene Zubereitung; erhitze eine Handvoll	NONE	1	chor	3	1	1	0
f9v	f9v.11	H	ychor chshoty oky kaiin	ychor→ferner/ebenso | chshoty→kalte Trockenzubereitung | oky→erste Wärmestufe | kaiin→heiß im dritten Grad	ferner/ebenso: kalte Trockenzubereitung; erste Wärmestufe; heiß im dritten Grad	ferner/ebenso: kalte Trockenzubereitung; von der ersten bis zur dritten Wärmestufe erhitzen	nimm: kalte Trockenzubereitung; von der ersten bis zur dritten Wärmestufe erhitzen	G758-S01	2	chshoty|oky	3	1	1	0
f17v	f17v.15	H	ychor cthy cheeky cheo otor oteol	ychor→ferner/ebenso | cthy→Blattgut | cheeky→trockne vollständig, dann erwärme | cheo→trockene Zubereitung | otor→eine kalte Portion | oteol→kühle bis zur Mittelstufe	ferner/ebenso: Blattgut; trockne vollständig, dann erwärme; trockene Zubereitung; eine kalte Portion; kühle bis zur Mittelstufe	ferner/ebenso: Blattgut; trockne vollständig, dann erwärme; trockene Zubereitung; eine kalte Portion; kühle bis zur Mittelstufe	nimm: Blattgut; trockne vollständig, dann erwärme; trockene Zubereitung; eine kalte Portion; kühle bis zur Mittelstufe	NONE	1	cthy	5	1	1	0
f19v	f19v.9	H	ychor oky chor ytol chol oky ddor	ychor→ferner/ebenso | oky→erste Wärmestufe | chor→Blüten-/Samenstand | ytol→kühle den Arzneistoff ab | chol→trocken/getrocknet | oky→erste Wärmestufe | ddor→miss eine Portion ab	ferner/ebenso: erste Wärmestufe; Blüten-/Samenstand; kühle den Arzneistoff ab; trocken/getrocknet; erste Wärmestufe; miss eine Portion ab	ferner/ebenso: Blüten-/Samenstand auf erster Wärmestufe; kühle den Arzneistoff ab; trocken/getrocknet; erste Wärmestufe; miss eine Portion ab	nimm: Blüten-/Samenstand auf erster Wärmestufe; kühle den Arzneistoff ab; trocken/getrocknet; erste Wärmestufe; miss eine Portion ab	G758-S02	4	oky|chor|chol|oky	6	1	1	0
f22v	f22v.7	H	ychor chor qokchol chory	ychor→ferner/ebenso | chor→Blüten-/Samenstand | qokchol→erhitzt und getrocknet | chory→frische Blätter	ferner/ebenso: Blüten-/Samenstand; erhitzt und getrocknet; frische Blätter	ferner/ebenso: erhitzt und getrockneter Blüten-/Samenstand; frische Blätter	nimm: erhitzt und getrockneter Blüten-/Samenstand; frische Blätter	G758-S03	2	chor|qokchol	3	1	1	0
f23r	f23r.5	H	ychor qokchol ytym chol dair chol ar ol ol dol dain	ychor→ferner/ebenso | qokchol→erhitzt und getrocknet | ytym→eine Handvoll gekühltes Kraut | chol→trocken/getrocknet | dair→zweiter Teil | chol→trocken/getrocknet | ar→Anteil | ol→Arzneistoff | ol→Arzneistoff | dol→eine Dosis | dain→zweiter Grad	ferner/ebenso: erhitzt und getrocknet; eine Handvoll gekühltes Kraut; trocken/getrocknet; zweiter Teil; trocken/getrocknet; Anteil; Arzneistoff; Arzneistoff; eine Dosis; zweiter Grad	ferner/ebenso: erhitzt und getrocknet; eine Handvoll gekühltes Kraut; trocken/getrocknet; zweiter Teil; trocken/getrocknet; Anteil; Arzneistoff; Arzneistoff; eine Dosis; zweiter Grad	nimm: erhitzt und getrocknet; eine Handvoll gekühltes Kraut; trocken/getrocknet; zweiter Teil; trocken/getrocknet; Anteil; Arzneistoff; Arzneistoff; eine Dosis; zweiter Grad	NONE	4	qokchol|chol|chol|ar	10	1	1	0
f24r	f24r.8	H	ychor s om qoear daiin qokeol	ychor→ferner/ebenso | s→je | om→eine Handvoll | qoear→nimm den ersten Teil | daiin→dritter Grad | qokeol→heiß im zweiten Grad	ferner/ebenso: je; eine Handvoll; nimm den ersten Teil; dritter Grad; heiß im zweiten Grad	ferner/ebenso: je eine Handvoll; nimm den ersten Teil; dritter Grad; heiß im zweiten Grad	nimm: je eine Handvoll; nimm den ersten Teil; dritter Grad; heiß im zweiten Grad	G758-S04	1	s	5	1	1	0
f45v	f45v.9	H	ychor cthy chol qokom sy sa ykchom	ychor→ferner/ebenso | cthy→Blattgut | chol→trocken/getrocknet | qokom→erhitze eine Handvoll | sy→Samen | sa→gib Samen zu | ykchom→erhitze und trockne eine Handvoll	ferner/ebenso: Blattgut; trocken/getrocknet; erhitze eine Handvoll; Samen; gib Samen zu; erhitze und trockne eine Handvoll	ferner/ebenso: trockenes Blattgut; erhitze eine Handvoll; Samen; gib Samen zu; erhitze und trockne eine Handvoll	nimm: trockenes Blattgut; erhitze eine Handvoll; Samen; gib Samen zu; erhitze und trockne eine Handvoll	G758-S05	2	cthy|chol	6	1	1	0
f86v5	f86v5.20	T	ychor ar aiin ytaly otaiin ykaiin otal ytar aiin ytaiiil	ychor→ferner/ebenso | ar→Anteil | aiin→drei Einheiten | ytaly→kalte Zubereitung | otaiin→kalt im dritten Grad | ykaiin→erhitze auf den dritten Grad | otal→kalter Rohstoff, erster Grad | ytar→nimm den ersten gekühlten Teil | aiin→drei Einheiten | ytaiiil→drei Einheiten	ferner/ebenso: Anteil; drei Einheiten; kalte Zubereitung; kalt im dritten Grad; erhitze auf den dritten Grad; kalter Rohstoff, erster Grad; nimm den ersten gekühlten Teil; drei Einheiten; drei Einheiten	ferner/ebenso: drei Anteile; kalte Zubereitung; kalt im dritten Grad; erhitze auf den dritten Grad; kalter Rohstoff, erster Grad; nimm den ersten gekühlten Teil; drei Einheiten; drei Einheiten	nimm: drei Anteile; kalte Zubereitung; kalt im dritten Grad; erhitze auf den dritten Grad; kalter Rohstoff, erster Grad; nimm den ersten gekühlten Teil; drei Einheiten; drei Einheiten	G758-S06	1	ar	9	1	1	0
f93r	f93r.28	H	ychor odol chodaiin s	ychor→ferner/ebenso | odol→abgemessene Zubereitung | chodaiin→drei Dosen Trockenansatz | s→zu gleichen Teilen	ferner/ebenso: abgemessene Zubereitung; drei Dosen Trockenansatz; zu gleichen Teilen	ferner/ebenso: drei abgemessene Dosen Trockenansatz; zu gleichen Teilen	nimm: drei abgemessene Dosen Trockenansatz; zu gleichen Teilen	G758-S07	2	odol|s	3	1	1	0
f99r	f99r.52	P	ychor ols or agairom	ychor→ferner/ebenso | ols→abgeseihtes Endprodukt | or→eine Portion | agairom→eine Handvoll, dritter Anteil	ferner/ebenso: abgeseihtes Endprodukt; eine Portion; eine Handvoll, dritter Anteil	ferner/ebenso: abgeseihtes Endprodukt; eine Portion; eine Handvoll, dritter Anteil	nimm: abgeseihtes Endprodukt; eine Portion; eine Handvoll, dritter Anteil	NONE	1	ols	3	1	1	0
