analogy_id	candidate_surface	known_neighbor_surface	levenshtein_distance	within_closest_layer	selected_radius	known_neighbor_reading_ids	known_neighbor_levels	known_neighbor_max_score_not_probability	known_neighbor_occurrences	known_neighbor_pages	known_neighbor_core_axes	known_neighbor_union_axes	known_neighbor_best_gloss_de	known_neighbor_all_glosses_de	candidate_consensus_axes	candidate_analogy_confidence_level	relation_scope	literal_identity_credit	component_export_credit
G758-A0001	ar	a	1	1	1	a#GLOBAL	W2_PROVISIONAL_WORKING	55	9	7	PART	PART	je, zu gleichen Teilen	je, zu gleichen Teilen	PART|MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0002	ar	air	1	1	1	air#GLOBAL	W3_SOLID_WORKING_THEORY	76	56	35	PART|MATERIAL	PART|MATERIAL	zweite Drogenfraktion	zweite Drogenfraktion	PART|MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0003	ar	al	1	1	1	al#1	W2_PROVISIONAL_WORKING	46	3	3	MATERIAL	MATERIAL	Material I	Material I	PART|MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0004	ar	an	1	1	1	an#GLOBAL	W2_PROVISIONAL_WORKING	47	5	4	NONE	NONE	Wertstufe I	Wertstufe I	PART|MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0005	ar	ary	1	1	1	ary#GLOBAL	W3_SOLID_WORKING_THEORY	66	15	13	PART|MATERIAL|CLOSE|END_STAGE	PART|MATERIAL|CLOSE|END_STAGE	Drogenfraktion I, abgeschlossen	Drogenfraktion I, abgeschlossen	PART|MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0006	ar	as	1	1	1	as#GLOBAL	W2_PROVISIONAL_WORKING	58	11	10	PART	PART	ein gleicher Teil der Arzneispecies	ein gleicher Teil der Arzneispecies	PART|MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0007	ar	dar	1	1	1	dar#1	W3_SOLID_WORKING_THEORY	61	5	5	PART	PART	abgemessener Anteil I	abgemessener Anteil I	PART|MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0008	ar	kar	1	1	1	kar#GLOBAL	W3_SOLID_WORKING_THEORY	66	57	42	HOT|PART|MATERIAL	HOT|PART|MATERIAL	heiße Drogenfraktion I	heiße Drogenfraktion I	PART|MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0009	ar	or	1	1	1	or#1	W2_PROVISIONAL_WORKING	48	5	3	AMOUNT|MATERIAL	AMOUNT|MATERIAL	Drogenportion	Drogenportion	PART|MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0010	ar	tar	1	1	1	tar#1	W2_PROVISIONAL_WORKING	56	2	2	COLD|PART|MATERIAL	COLD|PART|MATERIAL	kalter Drogenanteil I	kalter Drogenanteil I	PART|MATERIAL	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0011	chol	chal	1	1	1	chal#1	W2_PROVISIONAL_WORKING	46	2	2	DRY|MATERIAL|BEGIN_STAGE	DRY|MATERIAL|BEGIN_STAGE	trockenes Material I, Anfangsstufe	trockenes Material I, Anfangsstufe	DRY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0012	chol	chl	1	1	1	chl#GLOBAL	W3_SOLID_WORKING_THEORY	76	28	20	DRY|PROCESS	DRY|PROCESS	trocknen	trocknen	DRY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0013	chol	cho	1	1	1	cho#GLOBAL	W2_PROVISIONAL_WORKING	56	75	51	DRY|PREPARATION	DRY|PREPARATION	Trockenansatz	Trockenansatz	DRY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0014	chol	chod	1	1	1	chod#GLOBAL	W3_SOLID_WORKING_THEORY	71	8	8	DRY|PREPARATION	DRY|PREPARATION	Trockenansatz abschließen	Trockenansatz abschließen	DRY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
G758-A0015	chol	cholo	1	1	1	cholo#GLOBAL	W2_PROVISIONAL_WORKING	48	2	2	DRY|MATERIAL|PREPARATION	DRY|MATERIAL|PREPARATION	Trockenstoff in Ansatzform	Trockenstoff in Ansatzform	DRY	A3_DISTANCE1_MULTIWHOLE_CONSENSUS	EXACT_WHOLE_EDIT_ANALOGY_ONLY	0	0
