surface	neighbor_side	side_frequency_rank	exact_pair_expression	neighbor_surface	exact_pair_count	target_exact_neighbor_contexts	conditional_rate	neighbor_background_pairs_same_side	all_exact_adjacent_pairs	baseline_rate	descriptive_lift	neighbor_exact_occurrences	neighbor_is_ordered_value_form	neighbor_is_formula_whole	relation_is_exact_whole_adjacency_only	semantic_equivalence_inferred	component_export_credit
chor	LEFT	1	chol chor	chol	7	139	0.050360	251	16657	0.015069	3.341999	303	0	0	1	0	0
chor	LEFT	2	daiin chor	daiin	5	139	0.035971	412	16657	0.024734	1.454303	602	0	0	1	0	0
chor	LEFT	3	chor chor	chor	4	139	0.028777	141	16657	0.008465	3.399561	176	0	0	1	0	0
chor	LEFT	4	or chor	or	4	139	0.028777	181	16657	0.010866	2.648277	235	0	0	1	0	0
chor	LEFT	5	dal chor	dal	3	139	0.021583	81	16657	0.004863	4.438316	147	0	0	1	0	0
chor	LEFT	6	dar chor	dar	3	139	0.021583	122	16657	0.007324	2.946751	195	0	0	1	0	0
chor	LEFT	7	aiin chor	aiin	2	139	0.014388	253	16657	0.015189	0.947309	338	1	0	1	0	0
chor	LEFT	8	ar chor	ar	2	139	0.014388	176	16657	0.010566	1.361756	242	0	0	1	0	0
chor	LEFT	9	chy chor	chy	2	139	0.014388	76	16657	0.004563	3.153540	114	0	0	1	0	0
chor	LEFT	10	cthy chor	cthy	2	139	0.014388	49	16657	0.002942	4.891205	85	0	0	1	0	0
chor	LEFT	11	doiin chor	doiin	2	139	0.014388	6	16657	0.000360	39.944844	9	0	0	1	0	0
chor	LEFT	12	oky chor	oky	2	139	0.014388	44	16657	0.002642	5.447024	80	0	0	1	0	0
chor	LEFT	13	qokchor chor	qokchor	2	139	0.014388	5	16657	0.000300	47.933813	7	0	1	1	0	0
chor	LEFT	14	qotaiin chor	qotaiin	2	139	0.014388	50	16657	0.003002	4.793381	77	0	0	1	0	0
chor	LEFT	15	qotchor chor	qotchor	2	139	0.014388	10	16657	0.000600	23.966906	11	0	0	1	0	0
chor	LEFT	16	qotor chor	qotor	2	139	0.014388	18	16657	0.001081	13.314948	22	0	0	1	0	0
chor	LEFT	17	s chor	s	2	139	0.014388	99	16657	0.005943	2.420900	154	0	0	1	0	0
chor	LEFT	18	shor chor	shor	2	139	0.014388	63	16657	0.003782	3.804271	77	0	0	1	0	0
chor	LEFT	19	ycheor chor	ycheor	2	139	0.014388	5	16657	0.000300	47.933813	6	0	1	1	0	0
chor	LEFT	20	ychor chor	ychor	2	139	0.014388	13	16657	0.000780	18.436082	13	0	1	1	0	0
chor	LEFT	21	cfhar chor	cfhar	1	139	0.007194	1	16657	0.000060	119.834532	1	0	0	1	0	0
chor	LEFT	22	chckhy chor	chckhy	1	139	0.007194	86	16657	0.005163	1.393425	115	0	0	1	0	0
chor	LEFT	23	chcthey chor	chcthey	1	139	0.007194	5	16657	0.000300	23.966906	6	0	0	1	0	0
chor	LEFT	24	chdal chor	chdal	1	139	0.007194	9	16657	0.000540	13.314948	13	0	0	1	0	0
chor	LEFT	25	chedy chor	chedy	1	139	0.007194	219	16657	0.013148	0.547190	296	0	0	1	0	0
chor	LEFT	26	cheeky chor	cheeky	1	139	0.007194	17	16657	0.001021	7.049090	22	0	0	1	0	0
chor	LEFT	27	cheo chor	cheo	1	139	0.007194	27	16657	0.001621	4.438316	36	0	0	1	0	0
chor	LEFT	28	cheokchet chor	cheokchet	1	139	0.007194	1	16657	0.000060	119.834532	1	0	0	1	0	0
chor	LEFT	29	cheom chor	cheom	1	139	0.007194	2	16657	0.000120	59.917266	7	0	0	1	0	0
chor	LEFT	30	cheor chor	cheor	1	139	0.007194	46	16657	0.002762	2.605099	56	0	0	1	0	0
chor	LEFT	31	chey chor	chey	1	139	0.007194	212	16657	0.012727	0.565257	282	0	0	1	0	0
chor	LEFT	32	chokchol chor	chokchol	1	139	0.007194	4	16657	0.000240	29.958633	4	0	0	1	0	0
chor	LEFT	33	chokor chor	chokor	1	139	0.007194	1	16657	0.000060	119.834532	5	0	0	1	0	0
chor	LEFT	34	chos chor	chos	1	139	0.007194	16	16657	0.000961	7.489658	27	0	0	1	0	0
chor	LEFT	35	choty chor	choty	1	139	0.007194	26	16657	0.001561	4.609020	32	0	0	1	0	0
chor	LEFT	36	chr chor	chr	1	139	0.007194	4	16657	0.000240	29.958633	6	0	0	1	0	0
chor	LEFT	37	chyty chor	chyty	1	139	0.007194	4	16657	0.000240	29.958633	4	0	0	1	0	0
chor	LEFT	38	ckhy chor	ckhy	1	139	0.007194	18	16657	0.001081	6.657474	25	0	0	1	0	0
chor	LEFT	39	cphol chor	cphol	1	139	0.007194	7	16657	0.000420	17.119219	10	0	0	1	0	0
chor	LEFT	40	cthodoaly chor	cthodoaly	1	139	0.007194	1	16657	0.000060	119.834532	1	0	0	1	0	0
chor	LEFT	41	cthody chor	cthody	1	139	0.007194	8	16657	0.000480	14.979317	12	0	0	1	0	0
chor	LEFT	42	cthom chor	cthom	1	139	0.007194	2	16657	0.000120	59.917266	5	0	0	1	0	0
chor	LEFT	43	cthor chor	cthor	1	139	0.007194	32	16657	0.001921	3.744829	39	0	0	1	0	0
chor	LEFT	44	dair chor	dair	1	139	0.007194	39	16657	0.002341	3.072680	63	0	0	1	0	0
chor	LEFT	45	dam chor	dam	1	139	0.007194	11	16657	0.000660	10.894048	37	0	0	1	0	0
chor	LEFT	46	dor chor	dor	1	139	0.007194	43	16657	0.002581	2.786850	48	0	0	1	0	0
chor	LEFT	47	dshy chor	dshy	1	139	0.007194	5	16657	0.000300	23.966906	6	0	0	1	0	0
chor	LEFT	48	dy chor	dy	1	139	0.007194	79	16657	0.004743	1.516893	149	0	0	1	0	0
chor	LEFT	49	kain chor	kain	1	139	0.007194	24	16657	0.001441	4.993106	36	0	0	1	0	0
chor	LEFT	50	kchol chor	kchol	1	139	0.007194	17	16657	0.001021	7.049090	19	0	0	1	0	0
chor	LEFT	51	kchom chor	kchom	1	139	0.007194	1	16657	0.000060	119.834532	1	0	0	1	0	0
chor	LEFT	52	kedy chor	kedy	1	139	0.007194	10	16657	0.000600	11.983453	16	0	0	1	0	0
chor	LEFT	53	keol chor	keol	1	139	0.007194	13	16657	0.000780	9.218041	16	0	0	1	0	0
chor	LEFT	54	ochaiin chor	ochaiin	1	139	0.007194	1	16657	0.000060	119.834532	1	0	0	1	0	0
chor	LEFT	55	ochoaiin chor	ochoaiin	1	139	0.007194	1	16657	0.000060	119.834532	1	0	0	1	0	0
chor	LEFT	56	oees chor	oees	1	139	0.007194	6	16657	0.000360	19.972422	7	0	0	1	0	0
chor	LEFT	57	okol chor	okol	1	139	0.007194	36	16657	0.002161	3.328737	50	0	0	1	0	0
chor	LEFT	58	okor chor	okor	1	139	0.007194	16	16657	0.000961	7.489658	16	0	0	1	0	0
chor	LEFT	59	ol chor	ol	1	139	0.007194	263	16657	0.015789	0.455645	376	0	0	1	0	0
chor	LEFT	60	oldal chor	oldal	1	139	0.007194	1	16657	0.000060	119.834532	2	0	0	1	0	0
chor	LEFT	61	oor chor	oor	1	139	0.007194	2	16657	0.000120	59.917266	2	0	0	1	0	0
chor	LEFT	62	oraiin chor	oraiin	1	139	0.007194	15	16657	0.000901	7.988969	21	0	0	1	0	0
chor	LEFT	63	otcham chor	otcham	1	139	0.007194	3	16657	0.000180	39.944844	5	0	0	1	0	0
chor	LEFT	64	otchor chor	otchor	1	139	0.007194	13	16657	0.000780	9.218041	16	0	0	1	0	0
chor	LEFT	65	otchy chor	otchy	1	139	0.007194	28	16657	0.001681	4.279805	36	0	0	1	0	0
chor	LEFT	66	otor chor	otor	1	139	0.007194	20	16657	0.001201	5.991727	24	0	0	1	0	0
chor	LEFT	67	pchodol chor	pchodol	1	139	0.007194	2	16657	0.000120	59.917266	2	0	0	1	0	0
chor	LEFT	68	pshol chor	pshol	1	139	0.007194	2	16657	0.000120	59.917266	2	0	0	1	0	0
chor	LEFT	69	qockhol chor	qockhol	1	139	0.007194	4	16657	0.000240	29.958633	5	0	0	1	0	0
chor	LEFT	70	qokaiin chor	qokaiin	1	139	0.007194	180	16657	0.010806	0.665747	241	0	0	1	0	0
chor	LEFT	71	qokain chor	qokain	1	139	0.007194	195	16657	0.011707	0.614536	256	0	0	1	0	0
chor	LEFT	72	qokar chor	qokar	1	139	0.007194	102	16657	0.006124	1.174848	132	0	0	1	0	0
chor	LEFT	73	qokchdy chor	qokchdy	1	139	0.007194	24	16657	0.001441	4.993106	29	0	0	1	0	0
chor	LEFT	74	qokchol chor	qokchol	1	139	0.007194	13	16657	0.000780	9.218041	15	0	0	1	0	0
