ordered_value_hit_count_rank	ordered_value_share_rank_min20_right_contexts	aiin_hit_count_rank	surface	reader_exact_occurrences	exact_right_contexts	ordered_value_follower_hits	ordered_value_follower_counts	ordered_value_conditional_rate	ordered_value_baseline_rate	ordered_value_descriptive_lift	aiin_follower_hits	aiin_conditional_rate	aiin_baseline_rate	aiin_descriptive_lift	gdt758_target	ordered_value_family_is_working_structural_label	numeric_value_or_unit_confirmed	component_export_credit
1	4	1	or	235	181	44	ain:1|aiin:36|aiiin:7	0.243094	0.021613	11.247821	36	0.198895	0.016029	12.408219	0	1	0	0
2	7	3	ar	242	176	27	ain:5|aiin:16|aiiin:6	0.153409	0.021613	7.098153	16	0.090909	0.016029	5.671433	1	1	0	0
3	3	2	s	154	99	25	ain:1|aiin:23|aiiin:1	0.252525	0.021613	11.684203	23	0.232323	0.016029	14.493663	1	1	0	0
4	2	5	r	57	42	11	ain:4|aiin:6|aiiin:1	0.261905	0.021613	12.118188	6	0.142857	0.016029	8.912253	0	1	0	0
5	28	4	ol	376	263	10	ain:1|aiin:9	0.038023	0.021613	1.759294	9	0.034221	0.016029	2.134874	0	1	0	0
6	5	14	sar	45	33	8	ain:5|aiin:3	0.242424	0.021613	11.216835	3	0.090909	0.016029	5.671433	0	1	0	0
7	1	6	ches	28	21	6	ain:1|aiin:5	0.285714	0.021613	13.219841	5	0.238095	0.016029	14.853754	0	1	0	0
8	16	9	otar	110	84	6	ain:1|aiin:4|aiiin:1	0.071429	0.021613	3.304960	4	0.047619	0.016029	2.970751	0	1	0	0
9	20	15	dar	195	122	6	ain:1|aiin:3|aiiin:2	0.049180	0.021613	2.275546	3	0.024590	0.016029	1.534076	0	1	0	0
10	6	7	lor	30	24	5	aiin:4|aiiin:1	0.208333	0.021613	9.639468	4	0.166667	0.016029	10.397628	0	1	0	0
11	8	13	sor	34	30	4	ain:1|aiin:3	0.133333	0.021613	6.169259	3	0.100000	0.016029	6.238577	0	1	0	0
12	10	8	char	55	44	4	aiin:4	0.090909	0.021613	4.206313	4	0.090909	0.016029	5.671433	0	1	0	0
13	22	80	qol	124	86	4	ain:2|aiin:1|aiiin:1	0.046512	0.021613	2.152067	1	0.011628	0.016029	0.725416	0	1	0	0
14	NA	10	eees	7	4	3	aiin:3	0.750000	0.021613	34.702083	3	0.750000	0.016029	46.789326	0	1	0	0
15	NA	18	ols	12	5	3	aiin:2|aiiin:1	0.600000	0.021613	27.761667	2	0.400000	0.016029	24.954307	1	1	0	0
16	NA	19	qoar	7	6	3	aiin:2|aiiin:1	0.500000	0.021613	23.134722	2	0.333333	0.016029	20.795256	0	1	0	0
17	NA	43	rar	11	9	3	ain:2|aiin:1	0.333333	0.021613	15.423148	1	0.111111	0.016029	6.931752	0	1	0	0
18	NA	11	o	33	16	3	aiin:3	0.187500	0.021613	8.675521	3	0.187500	0.016029	11.697331	0	1	0	0
19	9	12	tar	33	25	3	aiin:3	0.120000	0.021613	5.552333	3	0.120000	0.016029	7.486292	0	1	0	0
20	13	99	sain	53	37	3	ain:2|aiiin:1	0.081081	0.021613	3.751577	0	0.000000	0.016029	0.000000	0	1	0	0
21	36	16	chor	176	141	3	aiin:3	0.021277	0.021613	0.984456	3	0.021277	0.016029	1.327357	1	1	0	0
22	NA	17	los	5	5	2	aiin:2	0.400000	0.021613	18.507778	2	0.400000	0.016029	24.954307	0	1	0	0
23	NA	31	oees	7	6	2	aiin:1|aiiin:1	0.333333	0.021613	15.423148	1	0.166667	0.016029	10.397628	0	1	0	0
24	NA	92	lr	9	7	2	ain:2	0.285714	0.021613	13.219841	0	0.000000	0.016029	0.000000	0	1	0	0
25	NA	20	qokees	7	7	2	aiin:2	0.285714	0.021613	13.219841	2	0.285714	0.016029	17.824505	0	1	0	0
26	NA	21	os	14	10	2	aiin:2	0.200000	0.021613	9.253889	2	0.200000	0.016029	12.477154	0	1	0	0
27	NA	52	qor	19	13	2	ain:1|aiin:1	0.153846	0.021613	7.118376	1	0.076923	0.016029	4.798905	0	1	0	0
28	NA	57	shear	17	15	2	ain:1|aiin:1	0.133333	0.021613	6.169259	1	0.066667	0.016029	4.159051	0	1	0	0
29	NA	60	chos	27	16	2	aiin:1|aiiin:1	0.125000	0.021613	5.783681	1	0.062500	0.016029	3.899110	0	1	0	0
30	NA	22	ytar	21	16	2	aiin:2	0.125000	0.021613	5.783681	2	0.125000	0.016029	7.798221	0	1	0	0
31	NA	62	shar	24	18	2	ain:1|aiin:1	0.111111	0.021613	5.141049	1	0.055556	0.016029	3.465876	0	1	0	0
32	11	66	chees	29	23	2	aiin:1|aiiin:1	0.086957	0.021613	4.023430	1	0.043478	0.016029	2.712425	0	1	0	0
33	12	23	lkar	29	24	2	aiin:2	0.083333	0.021613	3.855787	2	0.083333	0.016029	5.198814	0	1	0	0
34	14	67	chal	35	25	2	aiin:1|aiiin:1	0.080000	0.021613	3.701556	1	0.040000	0.016029	2.495431	0	1	0	0
35	15	24	chear	38	27	2	aiin:2	0.074074	0.021613	3.427366	2	0.074074	0.016029	4.621168	0	1	0	0
36	17	87	air	44	29	2	ain:2	0.068966	0.021613	3.190996	0	0.000000	0.016029	0.000000	0	1	0	0
37	18	73	dair	63	39	2	ain:1|aiin:1	0.051282	0.021613	2.372792	1	0.025641	0.016029	1.599635	0	1	0	0
38	21	74	sol	49	41	2	ain:1|aiin:1	0.048780	0.021613	2.257046	1	0.024390	0.016029	1.521604	0	1	0	0
39	23	25	dor	48	43	2	aiin:2	0.046512	0.021613	2.152067	2	0.046512	0.016029	2.901664	0	1	0	0
40	25	26	cheor	56	46	2	aiin:2	0.043478	0.021613	2.011715	2	0.043478	0.016029	2.712425	0	1	0	0
41	33	93	okar	91	71	2	ain:1|aiiin:1	0.028169	0.021613	1.303365	0	0.000000	0.016029	0.000000	0	1	0	0
42	NA	88	alor	6	4	1	aiiin:1	0.250000	0.021613	11.567361	0	0.000000	0.016029	0.000000	0	1	0	0
43	NA	27	ror	10	4	1	aiin:1	0.250000	0.021613	11.567361	1	0.250000	0.016029	15.596442	0	1	0	0
44	NA	28	ls	7	5	1	aiin:1	0.200000	0.021613	9.253889	1	0.200000	0.016029	12.477154	0	1	0	0
45	NA	29	oteor	7	5	1	aiin:1	0.200000	0.021613	9.253889	1	0.200000	0.016029	12.477154	0	1	0	0
46	NA	30	oar	9	6	1	aiin:1	0.166667	0.021613	7.711574	1	0.166667	0.016029	10.397628	0	1	0	0
47	NA	95	olar	7	6	1	aiiin:1	0.166667	0.021613	7.711574	0	0.000000	0.016029	0.000000	0	1	0	0
48	NA	32	rol	14	6	1	aiin:1	0.166667	0.021613	7.711574	1	0.166667	0.016029	10.397628	0	1	0	0
49	NA	33	shos	7	6	1	aiin:1	0.166667	0.021613	7.711574	1	0.166667	0.016029	10.397628	0	1	0	0
50	NA	34	teody	6	6	1	aiin:1	0.166667	0.021613	7.711574	1	0.166667	0.016029	10.397628	0	1	0	0
51	NA	35	ytal	12	6	1	aiin:1	0.166667	0.021613	7.711574	1	0.166667	0.016029	10.397628	0	1	0	0
52	NA	36	chod	7	7	1	aiin:1	0.142857	0.021613	6.609921	1	0.142857	0.016029	8.912253	0	1	0	0
53	NA	37	chodar	8	7	1	aiin:1	0.142857	0.021613	6.609921	1	0.142857	0.016029	8.912253	0	1	0	0
54	NA	38	okeeor	8	7	1	aiin:1	0.142857	0.021613	6.609921	1	0.142857	0.016029	8.912253	0	1	0	0
55	NA	39	sheos	7	7	1	aiin:1	0.142857	0.021613	6.609921	1	0.142857	0.016029	8.912253	0	1	0	0
56	NA	100	ypchedy	11	7	1	ain:1	0.142857	0.021613	6.609921	0	0.000000	0.016029	0.000000	0	1	0	0
57	NA	40	kor	13	8	1	aiin:1	0.125000	0.021613	5.783681	1	0.125000	0.016029	7.798221	0	1	0	0
58	NA	41	chdal	13	9	1	aiin:1	0.111111	0.021613	5.141049	1	0.111111	0.016029	6.931752	0	1	0	0
59	NA	42	chdar	12	9	1	aiin:1	0.111111	0.021613	5.141049	1	0.111111	0.016029	6.931752	0	1	0	0
60	NA	44	chs	11	10	1	aiin:1	0.100000	0.021613	4.626944	1	0.100000	0.016029	6.238577	0	1	0	0
61	NA	45	lkchedy	11	10	1	aiin:1	0.100000	0.021613	4.626944	1	0.100000	0.016029	6.238577	0	1	0	0
62	NA	46	qokeeo	14	10	1	aiin:1	0.100000	0.021613	4.626944	1	0.100000	0.016029	6.238577	0	1	0	0
63	NA	47	ycheey	17	11	1	aiin:1	0.090909	0.021613	4.206313	1	0.090909	0.016029	5.671433	0	1	0	0
64	NA	48	ytor	12	11	1	aiin:1	0.090909	0.021613	4.206313	1	0.090909	0.016029	5.671433	0	1	0	0
65	NA	49	yteedy	19	12	1	aiin:1	0.083333	0.021613	3.855787	1	0.083333	0.016029	5.198814	0	1	0	0
66	NA	50	cheos	22	13	1	aiin:1	0.076923	0.021613	3.559188	1	0.076923	0.016029	4.798905	0	1	0	0
67	NA	51	otam	39	13	1	aiin:1	0.076923	0.021613	3.559188	1	0.076923	0.016029	4.798905	0	1	0	0
68	NA	53	okair	17	14	1	aiin:1	0.071429	0.021613	3.304960	1	0.071429	0.016029	4.456126	0	1	0	0
69	NA	54	olor	22	14	1	aiin:1	0.071429	0.021613	3.304960	1	0.071429	0.016029	4.456126	0	1	0	0
70	NA	55	she	17	14	1	aiin:1	0.071429	0.021613	3.304960	1	0.071429	0.016029	4.456126	0	1	0	0
