record	page	statements	events	complete_polished_reading_de
H1	f10r	2	14	[H1-S001] Den laufenden Posten kurz abnehmen; den Ansatz im Arbeitsgang bereitstellen und aus dem Vorrat eintragen; den Fluessigkeitslauf abnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz eintragen. [H1-S002] den laufenden Posten ansetzen; dann danach weiter abnehmen; dann fortsetzen; dann ihn bereithalten.
H2	f10r	3	24	[H2-S001] Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen. [H2-S002] Danach vom Ansatz abnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Sollmass aus dem Vorrat weiterfuehren. [H2-S003] Im Arbeitsgang den aktuellen Ansatz zudosieren; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiterdosieren und anschliessend im Arbeitsgang nach Sollmass abnehmen.
H3	f11r	4	17	[H3-S001] Den Ansatz am Ziel weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen. [H3-S002] den laufenden Posten im Arbeitsgang halten und eintragen. [H3-S003] Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Sollmass weiterfuehren. [H3-S004] danach den laufenden Posten; dann weiter ansetzen; dann ihn bereithalten; dann ihn beibehalten.
H4	f55v	4	18	[H4-S001] Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachportion zudosieren; den Arbeitsgang schliessen. [H4-S002] nach Sollmass; dann den laufenden Posten umsetzen; dann den Posten verwahren. [H4-S003] den laufenden Posten nach Sollmass zudosieren; dann kurz im Arbeitsgang aus dem Vorrat abnehmen; dann laenger ihn erwaermen; dann fortsetzen; den Schritt schliessen. [H4-S004] Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter eintragen, als Ansatz beibehalten und als Ansatzportion fuehren.
H5	f56r	6	27	[H5-S001] Eine Zutat fuer den Ansatz abnehmen, zur Zielstelle bringen und nach Sollmass weiter zudosieren; danach vom Ansatz abnehmen und den Posten an der Zielstelle ansetzen. [H5-S002] den vorigen Vorgang wiederaufnehmen; dann den laufenden Posten die Zutat; dann ihn ansetzen; dann laenger im Arbeitsgang durch den Durchlass abnehmen; den Schritt schliessen. [H5-S003] halten; dann die Zutat; dann kurz den laufenden Posten zudosieren; dann ihn ansetzen und ansetzen. [H5-S004] den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und abnehmen; dann zur Zielstelle zudosieren. [H5-S005] die Zutat; dann den laufenden Posten ansetzen; dann die Zutat aus dem Vorrat zudosieren; dann danach im Arbeitsgang als Portion. [H5-S006] danach den laufenden Posten; dann weiter kurz zudosieren; dann nach Sollmass.
B1	f81v	21	66	[B1-S001] Kurz ansetzen und den Schritt schliessen. [B1-S002] Nach Sollmass ansetzen und die laufende Fluessigkeit zudosieren. An der Zielstelle aus dem Vorrat weiterarbeiten: eine Portion und dann eine weitere Portion zudosieren, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen. [B1-S003] fortsetzen; dann halten, zudosieren und umsetzen; den Schritt schliessen. [B1-S004] den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen. [B1-S005] weiter umsetzen; den Schritt schliessen. [B1-S006] als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zur Zielstelle kuehlen. [B1-S007] ansetzen und umsetzen; den Schritt schliessen. [B1-S008] Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen. [B1-S009] kurz ansetzen; den Schritt schliessen. [B1-S010] kurz ansetzen; den Schritt schliessen. [B1-S011] den laufenden Posten durch den Durchlass; dann ihn ansetzen. [B1-S012] Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen. [B1-S013] Kurz waschen und den Schritt schliessen. [B1-S014] Den Posten umsetzen und auffangen; zur Zielstelle weiterleiten und umsetzen, dort fortsetzen und danach zum Vorrat wechseln. [B1-S015] kurz den laufenden Posten eintragen; dann ansetzen und umsetzen; den Schritt schliessen. [B1-S016] zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen. [B1-S017] zur Zielstelle; dann kurz fortsetzen; dann umsetzen; den Schritt schliessen. [B1-S018] den laufenden Posten weiterleiten; dann weiter kurz halten; dann im Arbeitsgang bis zur Arbeitsstufe; dann laenger auffangen; den Schritt schliessen. [B1-S019] absetzen lassen; den Schritt schliessen. [B1-S020] kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen. [B1-S021] zur Zielstelle.
B2	f82r	22	62	[B2-S001] Umsetzen und den Schritt schliessen. [B2-S002] weiter umsetzen; den Schritt schliessen. [B2-S003] als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen. [B2-S004] An der Zielstelle ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen. [B2-S005] Den Posten an der Zielstelle ansetzen und nach Sollmass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen. [B2-S006] danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann kurz ihn durch den Durchlass halten; dann ihn ansetzen. [B2-S007] kurz halten; den Schritt schliessen. [B2-S008] danach nach Sollmass; dann aus dem Vorrat ansetzen; dann absetzen lassen; den Schritt schliessen. [B2-S009] weiter kurz halten; den Schritt schliessen. [B2-S010] laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann fortsetzen; dann laenger ihn halten. [B2-S011] als Portion ansetzen; dann aus dem Vorrat; dann als Portion ansetzen; dann laenger ansetzen; den Schritt schliessen. [B2-S012] Den Posten weiterleiten und abnehmen; laenger halten, kurz bereithalten, laenger ansetzen und laenger weiterleiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen. [B2-S013] weiterleiten und umsetzen; den Schritt schliessen. [B2-S014] aus dem Vorrat weiterleiten. [B2-S015] kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen. [B2-S016] An der Zielstelle aus dem Vorrat weiterleiten und umsetzen. Kurz abnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einfuellen, umsetzen und schliessen. [B2-S017] kurz zur Zielstelle kuehlen und halten; dann zur Zielstelle; den Schritt schliessen. [B2-S018] laenger ansetzen; den Schritt schliessen. [B2-S019] kuehlen und absetzen lassen; den Schritt schliessen. [B2-S020] danach laenger; den Schritt schliessen. [B2-S021] laenger ansetzen; den Schritt schliessen. [B2-S022] im Arbeitsgang weiterleiten und umsetzen; den Schritt schliessen.
B3	f83r	34	86	[B3-S001] Laenger auffangen und den Schritt schliessen. [B3-S002] danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen. [B3-S003] den laufenden Posten beibehalten; dann nach Sollmass; dann ihn beibehalten; dann weiterleiten und umsetzen; den Schritt schliessen. [B3-S004] nach Sollmass ansetzen; dann danach zur Zielstelle; dann aus dem Vorrat. [B3-S005] umsetzen; den Schritt schliessen. [B3-S006] den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen. [B3-S007] nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen. [B3-S008] weiterleiten und umsetzen; den Schritt schliessen. [B3-S009] den laufenden Posten ansetzen. [B3-S010] zur Zielstelle einfuellen und umsetzen; dann danach kurz; den Schritt schliessen. [B3-S011] kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus dem Vorrat. [B3-S012] den Ansatz; dann absetzen lassen; den Schritt schliessen. [B3-S013] nach Sollmass ansetzen; dann als Portion zudosieren; dann kurz den laufenden Posten bereithalten; dann kurz ansetzen; den Schritt schliessen. [B3-S014] die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen. [B3-S015] weiterleiten und umsetzen; den Schritt schliessen. [B3-S016] im Arbeitsgang weiterleiten; dann ansetzen und umsetzen; den Schritt schliessen. [B3-S017] laenger ansetzen; den Schritt schliessen. [B3-S018] absetzen lassen; den Schritt schliessen. [B3-S019] kurz ansetzen und halten; den Schritt schliessen. [B3-S020] zur Zielstelle; dann weiterleiten und umsetzen; den Schritt schliessen. [B3-S021] Nach Sollmass ansetzen und den Posten bereithalten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereithalten, umsetzen und schliessen. [B3-S022] danach umsetzen; den Schritt schliessen. [B3-S023] weiterleiten und umsetzen; den Schritt schliessen. [B3-S024] umsetzen; den Schritt schliessen. [B3-S025] ansetzen und umsetzen; den Schritt schliessen. [B3-S026] Laenger aus dem Vorrat arbeiten; nach Sollmass weiterleiten, den Posten umsetzen, eine Portion ansetzen und bereithalten; den Ansatz an der Zielstelle kuehlen, laenger auffangen und schliessen. [B3-S027] danach laenger; den Schritt schliessen. [B3-S028] laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen. [B3-S029] fortsetzen; dann vollstaendig den laufenden Posten eintragen; dann kurz ansetzen; den Schritt schliessen. [B3-S030] den laufenden Posten ansetzen; dann nach Sollmass; dann die laufende Fluessigkeit umsetzen; dann danach umsetzen; den Schritt schliessen. [B3-S031] laenger ansetzen; den Schritt schliessen. [B3-S032] Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen. [B3-S033] weiterleiten; den Schritt schliessen. [B3-S034] Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereithalten und eintragen; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.
B4	f83r	16	47	[B4-S001] Laenger ansetzen und den Schritt schliessen. [B4-S002] den laufenden Posten fortsetzen; dann laenger ihn ansetzen; dann kurz ansetzen; den Schritt schliessen. [B4-S003] Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, fortsetzen, absetzen und schliessen. [B4-S004] den laufenden Posten ansetzen und befestigen; den Schritt schliessen. [B4-S005] als Portion; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen. [B4-S006] kurz durch den Durchlass halten; den Schritt schliessen. [B4-S007] kurz durch den Durchlass halten; den Schritt schliessen. [B4-S008] nach Sollmass; dann laenger den laufenden Posten erwaermen; dann laenger ihn halten; dann kurz ansetzen; den Schritt schliessen. [B4-S009] absetzen lassen; den Schritt schliessen. [B4-S010] fortsetzen; den Schritt schliessen. [B4-S011] Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, fortsetzen, kurz weiterleiten und zudosieren, dann schliessen. [B4-S012] weiterleiten und umsetzen; den Schritt schliessen. [B4-S013] weiter ansetzen; dann absetzen lassen; den Schritt schliessen. [B4-S014] den Ansatz; dann den laufenden Posten beibehalten; dann kurz ihn im Arbeitsgang durch den Durchlass; dann ihn die laufende Fluessigkeit; den Schritt schliessen. [B4-S015] Eine Portion ansetzen, den Posten laenger halten, eine Portion zudosieren, durch den Durchlass an der Zielstelle abnehmen, kurz auffangen, weiterleiten, umsetzen und schliessen. [B4-S016] weiter als Portion zudosieren; dann zur Zielstelle; dann aus dem Vorrat zudosieren; dann absetzen lassen; den Schritt schliessen.
B5	f83r	3	11	[B5-S001] Danach umsetzen und den Schritt schliessen. [B5-S002] ansetzen und umsetzen; den Schritt schliessen. [B5-S003] An der Zielstelle absetzen und dort weiterarbeiten; weiterleiten und fortsetzen, an der Zielstelle umsetzen, nach Sollmass fortsetzen, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.
