statement_id	record	events	prior_grade	repair_focus	before_de	after_de	card_sequence_unchanged	component_sequence_unchanged
H1-S001	H1	10	DENSE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	Den laufenden Posten kurz abnehmen; den Ansatz im Arbeitsgang bereitstellen und aus dem Vorrat eintragen; den Fluessigkeitslauf abnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz eintragen.	Den laufenden Posten kurz abnehmen; den Ansatz im Arbeitsgang bereitstellen und aus dem Vorrat eintragen; den Fluessigkeitslauf abnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz eintragen.	YES	YES
H2-S001	H2	9	DENSE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	Vom laufenden Ansatz kurz abnehmen; den Posten bereithalten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	YES	YES
H2-S002	H2	8	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	danach den Ansatz abnehmen; dann den Ansatz; dann danach fortsetzen; dann fortsetzen; dann den Ansatz fortsetzen; dann fortsetzen; dann nach Sollmass; dann aus dem Vorrat.	Danach vom Ansatz abnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Sollmass aus dem Vorrat weiterfuehren.	YES	YES
H2-S003	H2	7	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	den laufenden Posten den Ansatz im Arbeitsgang zudosieren; dann den Ansatz; dann den Ansatz; dann ihn beibehalten; dann bis zur Arbeitsstufe zudosieren; dann ihn beibehalten; dann im Arbeitsgang nach Sollmass abnehmen.	Im Arbeitsgang den aktuellen Ansatz zudosieren; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiterdosieren und anschliessend im Arbeitsgang nach Sollmass abnehmen.	YES	YES
H3-S001	H3	7	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	Den Ansatz am Ziel weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen.	Den Ansatz am Ziel weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, abnehmen und den Schritt schliessen.	YES	YES
H3-S003	H3	5	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	den vorigen Vorgang wiederaufnehmen; dann den laufenden Posten beibehalten; dann ihn zudosieren; dann ihn beibehalten; dann nach Sollmass.	Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zudosieren und ihn bis zum Sollmass weiterfuehren.	YES	YES
H4-S001	H4	5	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachportion zudosieren; den Arbeitsgang schliessen.	Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachportion zudosieren; den Arbeitsgang schliessen.	YES	YES
H4-S004	H4	6	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	nach Sollmass; dann zur Zielstelle ansetzen; dann weiter den laufenden Posten eintragen; dann den Ansatz; dann ihn beibehalten; dann den Ansatz als Portion.	Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter eintragen, als Ansatz beibehalten und als Ansatzportion fuehren.	YES	YES
H5-S001	H5	9	DENSE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	Eine Zutat fuer den Ansatz abnehmen, zur Zielstelle bringen und nach Sollmass weiter zudosieren; danach vom Ansatz abnehmen und den Posten an der Zielstelle ansetzen.	Eine Zutat fuer den Ansatz abnehmen, zur Zielstelle bringen und nach Sollmass weiter zudosieren; danach vom Ansatz abnehmen und den Posten an der Zielstelle ansetzen.	YES	YES
B1-S002	B1	19	DENSE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	nach Sollmass ansetzen; dann die laufende Fluessigkeit zudosieren; dann zur Zielstelle ansetzen; dann aus dem Vorrat; dann fortsetzen; dann als Portion zudosieren; dann weiter als Portion zudosieren; dann zur Zielstelle; dann fortsetzen; dann weiter kuehlen; dann weiterleiten; dann den Ansatz fortsetzen; dann fortsetzen; dann kurz durch den Durchlass zur Zielstelle halten; dann nach Sollmass; dann laenger zur Zielstelle ansetzen; dann nach Sollmass; dann den laufenden Posten durch den Durchlass; dann umsetzen; den Schritt schliessen.	Nach Sollmass ansetzen und die laufende Fluessigkeit zudosieren. An der Zielstelle aus dem Vorrat weiterarbeiten: eine Portion und dann eine weitere Portion zudosieren, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	YES	YES
B1-S008	B1	5	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	den laufenden Posten beibehalten; dann fortsetzen; dann kurz ihn erwaermen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	YES	YES
B1-S014	B1	5	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	den laufenden Posten umsetzen; dann ihn auffangen; dann zur Zielstelle weiterleiten und umsetzen; dann fortsetzen; dann danach aus dem Vorrat.	Den Posten umsetzen und auffangen; zur Zielstelle weiterleiten und umsetzen, dort fortsetzen und danach zum Vorrat wechseln.	YES	YES
B2-S004	B2	5	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	zur Zielstelle ansetzen; dann den laufenden Posten durch den Durchlass weiterleiten; dann weiterleiten und umsetzen; dann laenger ihn ansetzen; dann kurz durch den Durchlass weiterleiten; den Schritt schliessen.	An der Zielstelle ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen.	YES	YES
B2-S005	B2	8	WORKABLE	REMOVE_DUPLICATED_SEQUENCE_WORDS_AND_ATTACH_NOMINAL_SLOTS	den laufenden Posten zur Zielstelle ansetzen; dann nach Sollmass auffangen; dann ihn durch den Durchlass; dann nach Sollmass ansetzen; dann nach Sollmass ansetzen; dann kurz bis bereit im Arbeitsgang fortsetzen; dann laenger ihn erwaermen; dann weiterleiten; den Schritt schliessen.	Den Posten an der Zielstelle ansetzen und nach Sollmass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen.	YES	YES
