target_surface	source_surface	source_recipe	source_event_count	edit_operation	old_char	new_char	edit_index	shared_context_score	candidate_recipe	transform_rule	transform_reason	licensed_close_assumption
alched	lched	L+CHD	2	INS		a	0	5	AL+CHD	VISIBLE_AL_FRAME	initial a turns L into AL	NO
alfshed	alaiin	AL+AIIN	3	INS		d	6	2	AL+AIIN+D_ADDR	VISIBLE_D_ADDRESS	visible d adds a local address	NO
alfshed	qokeed	OK+EE+D_ADDR	3	INS		h	4	2	OK+EE+SH+D_ADDR	VISIBLE_SH_FRAME	s+h carries the SH action	NO
alfshed	alchdy	AL+CHD+DY	1	INS		d	6	2	AL+CHD+DY+D_ADDR	VISIBLE_D_ADDRESS	visible d adds a local address	YES
alfshed	oleeed	OL+EEE+D_ADDR	1	INS		h	4	2	OL+EEE+SH+D_ADDR	VISIBLE_SH_FRAME	s+h carries the SH action	NO
alfshed	alolor	OL+OR	1	INS		d	6	2	OL+OR+D_ADDR	VISIBLE_D_ADDRESS	visible d adds a local address	NO
alfshed	dchsed	D_ADDR+CH+S+E+D_ADDR	1	INS		h	4	2	D_ADDR+CH+SH+E+D_ADDR	VISIBLE_SH_FRAME	s+h carries the SH action	NO
alfshed	altedy	AL+T+E+D_ADDR+Y	1	INS		d	6	2	AL+T+E+D_ADDR+Y+D_ADDR	VISIBLE_D_ADDRESS	visible d adds a local address	NO
alkain	lkain	L+K+AIN	2	INS		a	0	5	AL+K+AIN	VISIBLE_AL_FRAME	initial a turns L into AL	NO
alkain	olkain	OL+K+AIN	2	SUB	o	a	0	5	AL+K+AIN	VISIBLE_SUBSTITUTION	substituted sign changes the visible atom	NO
archytaiin	shfydaiin	SH+Y+AIIN	1	INS		t	5	4	SH+Y+T+AIIN	VISIBLE_INSERT_T	inserted sign adds its atom	NO
archytaiin	sotchaiin	S+OT+AIIN	1	INS		t	5	4	S+OT+T+AIIN	VISIBLE_INSERT_T	inserted sign adds its atom	NO
archytaiin	otoldaiin	OT+OL+D_ADDR+AIIN	1	INS		t	5	4	OT+OL+T+D_ADDR+AIIN	VISIBLE_INSERT_T	inserted sign adds its atom	NO
archytaiin	cheekaiin	CH+K+EE+K+AIIN	1	INS		t	5	4	CH+K+EE+T+K+AIIN	VISIBLE_INSERT_T	inserted sign adds its atom	NO
archytaiin	sheolaiin	SH+E+OL+AIIN	1	INS		t	5	4	SH+E+T+OL+AIIN	VISIBLE_INSERT_T	inserted sign adds its atom	NO
archytaiin	okeolaiin	OK+E+OL+AIIN	1	INS		t	5	4	OK+E+T+OL+AIIN	VISIBLE_INSERT_T	inserted sign adds its atom	NO
archytaiin	qotedaiin	OT+E+AIIN	1	INS		t	5	4	OT+E+T+AIIN	VISIBLE_INSERT_T	inserted sign adds its atom	NO
archytaiin	keeodaiin	K+EE+O+D_ADDR+AIIN	1	INS		t	5	4	K+EE+O+T+D_ADDR+AIIN	VISIBLE_INSERT_T	inserted sign adds its atom	NO
arsa	ain	AIN	19	INS		a	3	1	AIN+A_ADDR	VISIBLE_INSERT_A	inserted sign adds its atom	NO
arsa	amy	AM_ADDR+Y	1	INS		a	3	1	AM_ADDR+Y+A_ADDR	VISIBLE_INSERT_A	inserted sign adds its atom	NO
arsa	air	AIR	5	INS		a	3	1	AIR+A_ADDR	VISIBLE_INSERT_A	inserted sign adds its atom	NO
arsa	aly	AL+Y	3	INS		a	3	1	AL+Y+A_ADDR	VISIBLE_INSERT_A	inserted sign adds its atom	NO
