atom	working_value_de	factor_family	atom_occurrence_count	event_count	physical_page_count	physical_pages	exact_known_event_count	new_composition_event_count	transfer_result
Y	AKTIVER POSTEN	ARGUMENT	215	204	4	f1r|f24v|f81r|f95v	129	75	OBSERVED_WITH_FIXED_VALUE
OK	SETZEN	ACTION_HEAD	87	87	4	f1r|f24v|f81r|f95v	67	20	OBSERVED_WITH_FIXED_VALUE
OL	FORTSETZEN	ORDER_CONTROL	112	111	4	f1r|f24v|f81r|f95v	86	25	OBSERVED_WITH_FIXED_VALUE
OT	DANACH	ORDER_CONTROL	58	58	4	f1r|f24v|f81r|f95v	44	14	OBSERVED_WITH_FIXED_VALUE
AL	ZIELORT	RELATION	37	37	4	f1r|f24v|f81r|f95v	18	19	OBSERVED_WITH_FIXED_VALUE
CH	NEHMEN	ACTION_HEAD	131	120	4	f1r|f24v|f81r|f95v	54	66	OBSERVED_WITH_FIXED_VALUE
SH	HALTEN	ACTION_HEAD	121	118	4	f1r|f24v|f81r|f95v	64	54	OBSERVED_WITH_FIXED_VALUE
AR	AUSGANG	RELATION	68	67	4	f1r|f24v|f81r|f95v	42	25	OBSERVED_WITH_FIXED_VALUE
K	GEBEN	ACTION_HEAD	75	74	4	f1r|f24v|f81r|f95v	35	39	OBSERVED_WITH_FIXED_VALUE
AIIN	WERT	ARGUMENT	68	68	4	f1r|f24v|f81r|f95v	43	25	OBSERVED_WITH_FIXED_VALUE
S	WÄHLEN	ACTION_HEAD	51	49	4	f1r|f24v|f81r|f95v	13	36	OBSERVED_WITH_FIXED_VALUE
CHD	UMSETZEN	ACTION_HEAD	46	46	4	f1r|f24v|f81r|f95v	29	17	OBSERVED_WITH_FIXED_VALUE
OR	EINHEIT	ARGUMENT	39	38	4	f1r|f24v|f81r|f95v	25	13	OBSERVED_WITH_FIXED_VALUE
L	VERBINDUNG	RELATION	22	20	4	f1r|f24v|f81r|f95v	12	8	OBSERVED_WITH_FIXED_VALUE
T	EINSTELLEN	ACTION_HEAD	66	66	4	f1r|f24v|f81r|f95v	31	35	OBSERVED_WITH_FIXED_VALUE
AIN	ANTEIL	ARGUMENT	52	52	4	f1r|f24v|f81r|f95v	40	12	OBSERVED_WITH_FIXED_VALUE
R	MARKIEREN	ACTION_HEAD	12	12	4	f1r|f24v|f81r|f95v	6	6	OBSERVED_WITH_FIXED_VALUE
P	EINSETZEN	ACTION_HEAD	32	32	4	f1r|f24v|f81r|f95v	10	22	OBSERVED_WITH_FIXED_VALUE
AIR	LAUF	RELATION	4	4	2	f1r|f81r	3	1	OBSERVED_WITH_FIXED_VALUE
E	GRAD I	GRADE	129	124	4	f1r|f24v|f81r|f95v	74	50	OBSERVED_WITH_FIXED_VALUE
EE	GRAD II	GRADE	41	41	4	f1r|f24v|f81r|f95v	27	14	OBSERVED_WITH_FIXED_VALUE
EEE	GRAD III	GRADE	2	2	2	f24v|f81r	0	2	OBSERVED_WITH_FIXED_VALUE
DY	SCHLUSS	FORMAL_CONTROL	79	79	4	f1r|f24v|f81r|f95v	58	21	OBSERVED_WITH_FIXED_VALUE
O	AUSFÜHRUNG	FORMAL_CONTROL	139	135	4	f1r|f24v|f81r|f95v	46	89	OBSERVED_WITH_FIXED_VALUE
CARRIER_Q	BEGINNMARKER	FORMAL_CONTROL	7	7	3	f24v|f81r|f95v	2	5	OBSERVED_WITH_FIXED_VALUE
IIN	STUFE	FORMAL_CONTROL	11	11	4	f1r|f24v|f81r|f95v	4	7	OBSERVED_WITH_FIXED_VALUE
DA	ZWEITE STUFE	FORMAL_CONTROL	1	1	1	f1r	1	0	OBSERVED_WITH_FIXED_VALUE
D_ADDR	HIER	LOCAL_OR_CLASS_SIGN	85	85	4	f1r|f24v|f81r|f95v	28	57	OBSERVED_WITH_FIXED_VALUE
