factorized_id	statement_id	event_id	physical_page	register	prose_block_id	owner_id	card_ordinal_in_statement	surface	visible_recipe	focus_atom_ordinal	focus_occurrence_ordinal	focus_core	focus_value_de	focus_family	selector_rule	attachment_geometry	selected_action_event_id	selected_action_card_ordinal	selected_action_atom_ordinal	target_card_offset	action_core	action_value_de	head_kind	r_topology	duplicate_mode	duplicate_role	paired_focus_atom_ordinal	lookahead_cards	owner_boundary_crossed	statement_boundary_crossed	selector_supported_outside_page	selector_supported_outside_register	head_supported_outside_page	head_supported_outside_register	event_admission_color	factorized_result
G404-A00001	G404-S001	G404-E0001	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	1	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	4	1	Y	AKTIVER POSTEN	ARGUMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0001	1	3	0	CH	NEHMEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	AMBER	PASS_FIXED_FACTORS
G404-A00002	G404-S001	G404-E0002	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	2	ykal	Y+K+AL	1	1	Y	AKTIVER POSTEN	ARGUMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	G404-E0002	2	2	0	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00003	G404-S001	G404-E0002	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	2	ykal	Y+K+AL	3	1	AL	ZIELORT	RELATION	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0002	2	2	0	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00004	G404-S001	G404-E0003	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	3	ar	AR	1	1	AR	AUSGANG	RELATION	AL_AR_ORDERED_FALLBACK	PREVIOUS_CARD_ACTION	G404-E0002	2	2	-1	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00005	G404-S001	G404-E0004	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	4	ataiin	A_ADDR+T+AIIN	3	1	AIIN	WERT	ARGUMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0004	4	2	0	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00006	G404-S001	G404-E0006	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	6	shory	SH+OR+Y	2	1	OR	EINHEIT	ARGUMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0006	6	1	0	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00007	G404-S001	G404-E0006	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	6	shory	SH+OR+Y	3	1	Y	AKTIVER POSTEN	ARGUMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0006	6	1	0	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00008	G404-S001	G404-E0007	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	7	cthres	CH+T+R+E+S	4	1	E	GRAD I	GRADE	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0007	7	2	0	T	EINSTELLEN	ORDINARY_ACTION_HEAD	R_POSITIONAL_TAIL	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	AMBER	PASS_FIXED_FACTORS
G404-A00009	G404-S001	G404-E0008	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	8	y	Y	1	1	Y	AKTIVER POSTEN	ARGUMENT	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0007	7	5	-1	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00010	G404-S001	G404-E0009	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	9	kor	K+OR	2	1	OR	EINHEIT	ARGUMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0009	9	1	0	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00011	G404-S001	G404-E0010	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	10	sholdy	SH+OL+D_ADDR+Y	4	1	Y	AKTIVER POSTEN	ARGUMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0010	10	1	0	SH	HALTEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00012	G404-S001	G404-E0011	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	11	sory	S+OR+Y	2	1	OR	EINHEIT	ARGUMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0011	11	1	0	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00013	G404-S001	G404-E0011	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	11	sory	S+OR+Y	3	1	Y	AKTIVER POSTEN	ARGUMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0011	11	1	0	S	WÄHLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00014	G404-S001	G404-E0012	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	12	ckhar	CH+K+AR	3	1	AR	AUSGANG	RELATION	AL_AR_ORDERED_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0012	12	2	0	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00015	G404-S001	G404-E0013	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	13	or	OR	1	1	OR	EINHEIT	ARGUMENT	PREVIOUS_CARD_STACK	PREVIOUS_CARD_ACTION	G404-E0012	12	2	-1	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00016	G404-S001	G404-E0014	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	14	y	Y	1	1	Y	AKTIVER POSTEN	ARGUMENT	INHERITED_ACTION_STACK	INHERITED_ACTION	G404-E0012	12	2	-2	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00017	G404-S001	G404-E0015	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	15	kair	K+AIR	2	1	AIR	LAUF	RELATION	L_AIR_RIGHT_FALLBACK	SAME_CARD_LEFT_ACTION	G404-E0015	15	1	0	K	GEBEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
G404-A00018	G404-S001	G404-E0016	f1r	SOURCE_SECTION_T	F1R_PROSE_01	F1R_TEXT_BLOCK_A	16	chtaiin	CH+T+AIIN	3	1	AIIN	WERT	ARGUMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	G404-E0016	16	2	0	T	EINSTELLEN	ORDINARY_ACTION_HEAD	NONE	SINGLE	SINGLE	NONE	0	NO	NO	YES	YES	YES	YES	GREEN	PASS_FIXED_FACTORS
