surface	occurrence_count	one_edit_source_count	best_shared_context_score	distinct_candidate_recipe_count	selected_recipe	selection_status	manual_recipe_seen_in_one_edit_candidates	candidate_recipes_by_weight	supporting_surfaces_for_selection	transform_rules_for_selection
alched	1	1	5	1	AL+CHD	NEW_VISIBLE_COMPOSITION	YES	AL+CHD::2	lched	VISIBLE_AL_FRAME
alfshed	1	7	2	7	AL+LOCAL_CHAR_F+SH+E+D_ADDR	NEW_MICROFORM_OLD_FACTORS	NO	AL+AIIN+D_ADDR::3 | OK+EE+SH+D_ADDR::3 | AL+CHD+DY+D_ADDR::1 | AL+T+E+D_ADDR+Y+D_ADDR::1 | D_ADDR+CH+SH+E+D_ADDR::1 | OL+EEE+SH+D_ADDR::1 | OL+OR+D_ADDR::1		
alkain	1	2	5	1	AL+K+AIN	NEW_VISIBLE_COMPOSITION	YES	AL+K+AIN::4	lkain|olkain	VISIBLE_AL_FRAME|VISIBLE_SUBSTITUTION
archytaiin	1	8	4	8	AR+CH+Y+T+AIIN	NEW_VISIBLE_COMPOSITION	NO	CH+K+EE+T+K+AIIN::1 | K+EE+O+T+D_ADDR+AIIN::1 | OK+E+T+OL+AIIN::1 | OT+E+T+AIIN::1 | OT+OL+T+D_ADDR+AIIN::1 | S+OT+T+AIIN::1 | SH+E+T+OL+AIIN::1 | SH+Y+T+AIIN::1		
arsa	1	6	1	6	AR+S+A_ADDR	NEW_MICROFORM_OLD_FACTORS	NO	AIN+A_ADDR::19 | AIR+A_ADDR::5 | AL+Y+A_ADDR::3 | AL+O+A_ADDR::1 | AM_ADDR+Y+A_ADDR::1 | A_ADDR+Y+A_ADDR::1		
ase	1	1	2	1	A_ADDR+S+E	NEW_VISIBLE_COMPOSITION	YES	A_ADDR+S+E::4	as	VISIBLE_E_GRADE
ataiin	1	5	5	4	A_ADDR+T+AIIN	NEW_VISIBLE_COMPOSITION	YES	OT+O+IIN::9 | A_ADDR+T+AIIN::4 | T+AL+AIIN::3 | T+AR+AIIN::1	ltaiin|taiin	VISIBLE_INSERT_A|VISIBLE_SUBSTITUTION
cfhaiin	1	1	6	1	CH+LOCAL_CHAR_F+AIIN	NEW_VISIBLE_COMPOSITION	NO	CH+F+AIIN::2		
cfhoaiin	1	3	5	3	CH+LOCAL_CHAR_F+O+AIIN	NEW_VISIBLE_COMPOSITION	NO	CH+O+T+AIIN::2 | CH+O+K+AIIN::1 | Y+SH+K+O+AIIN::1		
cfhol	1	3	4	1	CH+LOCAL_CHAR_F+OL	NEW_VISIBLE_COMPOSITION	NO	CH+F+OL::10		
cha	1	2	3	2	CH+A_ADDR	NEW_VISIBLE_COMPOSITION	NO	CH+AL::7 | AR::3		
chals	1	3	4	2	CH+AL+S	NEW_VISIBLE_COMPOSITION	YES	CH+AL+S::9 | CH+A_ADDR+L+S::1	chal|chaly	VISIBLE_INSERT_S|VISIBLE_SUBSTITUTION
chcth	1	1	5	1	CH+CH+T	NEW_VISIBLE_COMPOSITION	YES	CH+CH+T::8	chcthy	VISIBLE_REMOVE_Y
chcthykedy	1	5	5	5	CH+CH+T+Y+K+E+DY	NEW_VISIBLE_COMPOSITION	NO	CH+E+CH+P+K+E+DY::1 | CH+O+P+K+CHD+Y::1 | CH+OR+SH+K+E+DY::1 | CH+P+SH+K+EE+DY::1 | OL+K+EE+K+DY::1		
chdykain	1	1	6	1	CHD+Y+K+AIN	NEW_VISIBLE_COMPOSITION	NO	CH+Y+K+AIN::2		
chdyty	1	2	4	2	CHD+Y+T+Y	NEW_MICROFORM_OLD_FACTORS	NO	CH+OT+Y+Y::3 | T+Y+Y::1		
cheeodam	1	1	6	1	CH+EE+O+D_ADDR+AM_ADDR	NEW_MICROFORM_OLD_FACTORS	NO	CH+EE+O+D_ADDR+Y+M_LOCAL::1		
chefar	1	3	5	3	CH+E+LOCAL_CHAR_F+AR	NEW_VISIBLE_COMPOSITION	NO	CH+F+AR::2 | CHD+F+AR::2 | CH+E+F+AR::1		
chetyry	1	1	5	1	CH+E+T+Y+R+Y	NEW_MICROFORM_OLD_FACTORS	NO	CH+E+T+E+R+Y::2		
chocfhey	1	2	7	2	CH+O+CH+LOCAL_CHAR_F+E+Y	NEW_VISIBLE_COMPOSITION	YES	CH+O+CH+F+E+Y::1 | CH+O+CH+LOCAL_CHAR_F+E+Y::1	chocfhy	VISIBLE_E_GRADE
