duplicate_id	core	core_value_de	double_scope_reading_de	event_id	physical_page	register	statement_id	locus	owner_de	card_ordinal_in_statement	surface_card	component_recipe	marked_duplicate_recipe	duplicate_atom_ordinal	left_atom	right_atom	previous_card_surface	previous_card_recipe	next_card_surface	next_card_recipe	f13r_s009_focus
RC001	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E0032	f10r	HERBAL	P1009-S001	f10r.4	zweiknolliges blauköpfiges Heilkraut	32	chcthy	CH+CH+T+Y	[CH>CH]+T+Y	1	CARD_START	T	chaiin	CH+AIIN	ctho	CH+T+O	NO
RC002	OR	EINHEIT	die äußere Einheit öffnen; darin die aktive Untereinheit öffnen	P912-E0228	f13r	HERBAL	P1009-S009	f13r.10	große Wurzelkrone mit Blatt und Blütenstand	3	okorory	OK+OR+OR+Y	OK+[OR>OR]+Y	2	OK	Y	kchy	K+Y	STATEMENT_END	STATEMENT_END	YES
RC003	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1008-E0041	f18r	HERBAL	P1009-S020	f18r.6	große abgebildete Blütenpflanze	11	chcthy	CH+CH+T+Y	[CH>CH]+T+Y	1	CARD_START	T	ytol	T+OL	dar	D_ADDR+AR	NO
RC004	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E0252	f55v	HERBAL	P1009-S024	f55v.4	große aromatische Doldenpflanze	16	chckhdy	CH+CH+K+D_ADDR+Y	[CH>CH]+K+D_ADDR+Y	1	CARD_START	K	okar	OK+AR	cheody	CH+E+O+Y	NO
RC005	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E0337	f56r	HERBAL	P1009-S028	f56r.1	stachelköpfiges Kraut in mehreren Reifestufen	3	chchs	CH+CH+S	[CH>CH]+S	1	CARD_START	S	chal	CH+AL	y	Y	NO
RC006	OK	SETZEN	die äußere Einheit setzen; darin den aktiven Unterposten setzen	P912-E0409	f56r	HERBAL	P1009-S030	f56r.12	stachelköpfiges Kraut in mehreren Reifestufen	24	qokokchy	OK+OK+CH+Y	[OK>OK]+CH+Y	1	CARD_START	CH	kchey	K+CH+E+Y	okchy	OK+Y	NO
RC007	OL	FORTSETZEN	den äußeren Gang fortsetzen; darin den inneren Gang fortsetzen	P912-E1823	f67r2	CELESTIAL	P1009-S035	f67r2.30	zwei getrennte Himmelsräder und Tabelle	3	olol	OL+OL	[OL>OL]	1	CARD_START	CARD_END	ochol	O+OL	STATEMENT_END	STATEMENT_END	NO
RC008	AR	AUSGANG	den äußeren Ausgang wählen; darin den lokalen Ausgang wählen	P1003-E0559	f71v	CELESTIAL	P1009-S045	f71v.1	erste lokale Figuren-/Sternringgruppe	2	parar	P+AR+AR	P+[AR>AR]	2	P	CARD_END	osheo	O+SH+E+O	oteeodaiin	OT+EE+O+D_ADDR+AIIN	NO
RC009	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P1008-E0294	f72r	CELESTIAL	P1009-S061	f72r2.32	Tierkreis-Ringgruppe F	7	chchs	CH+CH+S	[CH>CH]+S	1	CARD_START	S	chs	CH+O+S	ar	AR	NO
RC010	OL	FORTSETZEN	den äußeren Gang fortsetzen; darin den inneren Gang fortsetzen	P1008-E0374	f72r	CELESTIAL	P1009-S067	f72r3.14	Tierkreis-Ringgruppe H	2	ykeolol	Y+K+E+OL+OL	Y+K+E+[OL>OL]	4	E	CARD_END	oteodar	OT+E+O+D_ADDR+AR	y	Y	NO
RC011	AR	AUSGANG	den äußeren Ausgang wählen; darin den lokalen Ausgang wählen	P1008-E0426	f72r	CELESTIAL	P1009-S068	f72r3.26	Tierkreis-Ringgruppe I	2	arary	P+AR+AR	P+[AR>AR]	2	P	CARD_END	oteey	OT+EE+Y	eeer	EEE+DY	NO
RC012	OL	FORTSETZEN	den äußeren Gang fortsetzen; darin den inneren Gang fortsetzen	P1008-E0440	f72r	CELESTIAL	P1009-S069	f72r3.26	Tierkreis-Ringgruppe I	13	olol	OL+OL	[OL>OL]	1	CARD_START	CARD_END	otedar	OT+E+O+D_ADDR+AR	choty	CH+OT+Y	NO
RC013	CH	NEHMEN	äußere Einheit nehmen; darin die aktive Untereinheit nehmen	P912-E0489	f75r	BIOLOGICAL	P1009-S077	f75r.6	großes Bad-/Stationsblatt mit dreieckiger Insel	8	chcthy	CH+CH+T+Y	[CH>CH]+T+Y	1	CARD_START	T	qokain	OK+AIN	qokeedy	OK+EE+DY	NO
