order	event_id	record_unit_id	locus	field_id	statement_id	surface	joint_tuple_id	small_value_de	lexicon_source	record_restart_before
1	E362	B5	f83r.47	F129	B5-S001	otchdy	601b77449028deed39de	Folgeumsetzung; Schluss	B5_LOCAL_UNANALYSED_CARD	NO
2	E363	B5	f83r.47	F130	B5-S002	qokchdy	87411f84689b4f93a303	Ansatz umsetzen; Schluss	B3_LATEST_PRIOR_TRANSFER	NO
3	E364	B5	f83r.47	F131	B5-S003	shedal	abb23e5e6936b4147f76	an der Stelle absetzen	B3_LATEST_PRIOR_TRANSFER	NO
4	E365	B5	f83r.48	F132	B5-S003	dal	dd0ecaf5e27d81befffc	Stelle	B4_LATEST_PRIOR_TRANSFER	NO
5	E366	B5	f83r.48	F132	B5-S003	cheol	dcda95c81a5460feb191	fortsetzen	B4_LATEST_PRIOR_TRANSFER	NO
6	E367	B5	f83r.48	F132	B5-S003	lol	8c97dfde96fbc78e3355	warm	B5_LOCAL_UNANALYSED_CARD	NO
7	E368	B5	f83r.48	F132	B5-S003	chdal	00d8ebe3c68294eeac39	an der Stelle umsetzen	B5_LOCAL_UNANALYSED_CARD	NO
8	E369	B5	f83r.48	F132	B5-S003	aiin	2f1c5e56e8f0ff459065	Mass	B4_LATEST_PRIOR_TRANSFER	NO
9	E370	B5	f83r.49	F133	B5-S003	sol	dcda95c81a5460feb191	fortsetzen	B4_LATEST_PRIOR_TRANSFER	NO
10	E371	B5	f83r.49	F133	B5-S003	daiiin	fcc1deda9e24ec268eb0	zweite Oeffnungsstufe	B5_LOCAL_UNANALYSED_CARD	NO
11	E372	B5	f83r.49	F133	B5-S003	chedy	6f7ff8287eddf4da9fdb	dies umsetzen	B4_LATEST_PRIOR_TRANSFER	NO
12	E373	B6	f83r.52	F134	B6-S001	solkeey	1bfd786e6b8b63734a59	laenger auffangen	B6_LOCAL_UNANALYSED_CARD	YES
13	E374	B6	f83r.52	F134	B6-S001	qekey	43eb9aa12959b4d5cdc9	roh	B6_LOCAL_UNANALYSED_CARD	NO
14	E375	B6	f83r.52	F134	B6-S001	raly	3e9c7f217843b588489d	erste Oeffnung	B6_LOCAL_UNANALYSED_CARD	NO
15	E376	B6	f83r.52	F134	B6-S001	ol	dcda95c81a5460feb191	fortsetzen	B4_LATEST_PRIOR_TRANSFER	NO
16	E377	B6	f83r.54	F135	B6-S001	daiin	2f1c5e56e8f0ff459065	Mass	B4_LATEST_PRIOR_TRANSFER	NO
17	E378	B6	f83r.54	F135	B6-S001	ol	dcda95c81a5460feb191	fortsetzen	B4_LATEST_PRIOR_TRANSFER	NO
18	E379	B6	f83r.54	F135	B6-S001	dain	53cd0637c6820ba5e91f	Tuch	B4_LATEST_PRIOR_TRANSFER	NO
19	E380	B6	f83r.54	F135	B6-S001	chey	b921a237be883a820352	dies	B4_LATEST_PRIOR_TRANSFER	NO
20	E381	B6	f83r.54	F135	B6-S001	ldalor	97ddca78c9ebcc956d04	bezeichnete Stelle	B6_LOCAL_UNANALYSED_CARD	NO
