root	fixed_default_de	decision	events	physical_pages	registers	surface_inventory	short_teaching_rule_de
SHED	ABSETZEN	KEEP	59	4	BIOLOGICAL	shedy:46,shedaiin:3,rshedy:2,shedal:2,oshedy:1,lshed:1,solshed:1,shedkedy:1,opshedy:1,dolshed:1	kurz in Ruhe-/Haltezustand geben; Bio terminal
SOLK	AUFFANGEN	KEEP	22	5	BIOLOGICAL,PHARMA	olkeedy:5,olkeey:3,solkeey:2,solkeedy:2,olkar:1,olky:1,qolkeeoly:1,qolkary:1,olkedy:1,qolkeedy:1,qolky:1,solkaiin:1,solkey:1,qolkain:1	an lokaler Sammelstelle aufnehmen
LSH	SPUELEN	KEEP	17	5	BIOLOGICAL,PHARMA	lshedy:6,lsheedy:2,ofalsheky:1,salshcthdy:1,lshety:1,lsho:1,ssholshecthy:1,posalshy:1,salshey:1,pdalshdy:1,olsheody:1	Posten oder Durchlass mit Arbeitsflüssigkeit durchgehen
CPH	UMLEITEN	REVISE_FROM_RUECKFUEHREN	12	8	BIOLOGICAL,HERBAL,PHARMA,ZODIAC	cphol:2,cphy:1,ychocphy:1,cphedy:1,cphal:1,checphedy:1,lchcphedy:1,shocphedy:1,cpheey:1,cphocthy:1,ocphy:1	in Gegen-, Empfangs- oder zweiten Lauf führen
HO	TEIL	REVISE_FROM_STOFFTEIL	11	6	HERBAL,ZODIAC	cho:6,shochy:1,chochor:1,chodaly:1,choy:1,choeteedy:1	Teil des jeweils sichtbaren Pflanzen-, Figuren- oder Objektbesitzers
AN	ZUSATZ	KEEP	9	5	BIOLOGICAL,HERBAL,ZODIAC	ykeesan:1,ykan:1,sotodan:1,qokan:1,qotan:1,dokan:1,oeoldan:1,oran:1,otakaizan:1	weiterer Posten oder zusätzliche Klasse
CFH	TRENNEN	REVISE_FROM_PRESSEN	5	5	HERBAL,ZODIAC	cfhy:2,chocfhy:2,cfholdy:1	Trennhandlung; im Pflanzenregister lokal auspressen
OS	DAZU	KEEP	4	3	HERBAL,ZODIAC	os:4	additive Fortsetzung
LD	BEFESTIGEN	KEEP	1	1	BIOLOGICAL	qokylddy:1	aktiven Einsatz/Posten festsetzen
RESUME_CARD	WIEDERAUFNEHMEN	KEEP	1	1	HERBAL	schol:1	vorigen aktiven Posten wieder aufnehmen
