event_id	root	fixed_default_de	register	physical_page	source_page	locus	usage_class	surface	component_recipe	register_expansion_de	complete_context_id	complete_context_de	decision
P912-E0013	OS	DAZU	HERBAL	f10r	f10r	f10r.2	PROSE	os	OS	dazu	P917-I0012	Auch entnehmen entlang des Laufs.	KEEP
P912-E0080	CFH	TRENNEN	HERBAL	f10r	f10r	f10r.10	PROSE	cfhy	CFH+Y	auspressen und trennen	P917-I0048	Danach den Ansatz und diesen Posten pressen.	REVISE_FROM_PRESSEN
P912-E0095	CFH	TRENNEN	HERBAL	f11r	f11r	f11r.1	PROSE	cfhy	CFH+Y	auspressen und trennen	P917-I0058	Diesen Posten pressen.	REVISE_FROM_PRESSEN
P912-E0097	CPH	UMLEITEN	HERBAL	f11r	f11r	f11r.1	PROSE	cphy	CPH+Y	in zweiten Durchgang umleiten	P917-I0060	Diesen Posten rückführen.	REVISE_FROM_RUECKFUEHREN
P912-E0193	CFH	TRENNEN	HERBAL	f13r	f13r	f13r.5	PROSE	cfholdy	CFH+OL+DY	auspressen und trennen	P917-I0121	Weiter pressen; fertig.	REVISE_FROM_PRESSEN
P912-E0212	HO	TEIL	HERBAL	f13r	f13r	f13r.8	PROSE	shochy	HO+Y	Teil der gezeigten Pflanze	P917-I0132	Den Stoffteil und diesen Posten ansetzen.	REVISE_FROM_STOFFTEIL
P912-E0239	AN	ZUSATZ	HERBAL	f55v	f55v	f55v.2	PROSE	ykeesan	Y+K+EE+S+AN	zusatz	P917-I0154	Diesen Posten länger zugeben und wählen.	KEEP
P912-E0241	OS	DAZU	HERBAL	f55v	f55v	f55v.3	PROSE	os	OS	dazu	P917-I0156	Auch weiter als eine Portion ausführen unter q-Träger.	KEEP
P912-E0262	AN	ZUSATZ	HERBAL	f55v	f55v	f55v.5	PROSE	ykan	Y+K+AN	zusatz	P917-I0169	Diesen Posten zugeben.	KEEP
P912-E0289	HO	TEIL	HERBAL	f55v	f55v	f55v.8	PROSE	cho	HO	Teil der gezeigten Pflanze	P917-I0187	Weiter danach von der Entnahmestelle aus diesem Teil den Stoffteil und diesen Posten einstellen und ausführen zur Ziel- oder Anschlussstelle.	REVISE_FROM_STOFFTEIL
P912-E0342	CPH	UMLEITEN	HERBAL	f56r	f56r	f56r.1	PROSE	ychocphy	Y+CH+O+CPH+Y	in zweiten Durchgang umleiten	P917-I0216	Diesen Posten entnehmen, ausführen und rückführen.	REVISE_FROM_RUECKFUEHREN
P912-E0367	HO	TEIL	HERBAL	f56r	f56r	f56r.5	PROSE	chochor	HO+CH+OR	Teil der gezeigten Pflanze	P917-I0234	Den Stoffteil und den Ansatz entnehmen.	REVISE_FROM_STOFFTEIL
P912-E0368	HO	TEIL	HERBAL	f56r	f56r	f56r.5	PROSE	cho	HO	Teil der gezeigten Pflanze	P917-I0235	Nach Sollmaß den Stoffteil und diesen Posten zugeben, entnehmen und ausführen zur Ziel- oder Anschlussstelle.	REVISE_FROM_STOFFTEIL
P912-E0369	HO	TEIL	HERBAL	f56r	f56r	f56r.5	PROSE	chodaly	HO+AL+Y	Teil der gezeigten Pflanze	P917-I0235	Nach Sollmaß den Stoffteil und diesen Posten zugeben, entnehmen und ausführen zur Ziel- oder Anschlussstelle.	REVISE_FROM_STOFFTEIL
P912-E0382	RESUME_CARD	WIEDERAUFNEHMEN	HERBAL	f56r	f56r	f56r.8	PROSE	schol	RESUME_CARD	wiederaufnehmen	P917-I0242	Davon ausgehend den Stoffteil und diesen Posten ansetzen zur Ziel- oder Anschlussstelle.	KEEP
P912-E0383	HO	TEIL	HERBAL	f56r	f56r	f56r.8	PROSE	choy	HO+Y	Teil der gezeigten Pflanze	P917-I0242	Davon ausgehend den Stoffteil und diesen Posten ansetzen zur Ziel- oder Anschlussstelle.	REVISE_FROM_STOFFTEIL
P912-E0407	HO	TEIL	HERBAL	f56r	f56r	f56r.12	PROSE	cho	HO	Teil der gezeigten Pflanze	P917-I0261	Den Stoffteil und diesen Posten kurz zugeben und entnehmen.	REVISE_FROM_STOFFTEIL
P912-E0436	AN	ZUSATZ	HERBAL	f56r	f56r	f56r.18	PROSE	sotodan	S+OT+O+D_ADDR+AN	zusatz	P917-I0281	Danach aus diesem Teil wählen und ausführen.	KEEP
P912-E0446	SHED	ABSETZEN	BIOLOGICAL	f75r	f75r	f75r.1	PROSE	shedy	SHED+DY	absetzen	P917-I0289	Danach von der Entnahmestelle absetzen; fertig.	KEEP
P912-E0462	SOLK	AUFFANGEN	BIOLOGICAL	f75r	f75r	f75r.3	PROSE	olkar	SOLK+AR	auffangen	P917-I0301	Von der Entnahmestelle auffangen.	KEEP
