left_slot	right_slot	left_before_right_cards	right_before_left_cards	workshop_rule
PREFIX_SELECTOR	CURRENT_REFERENT	11	0	DEFAULT_LEFT_BEFORE_RIGHT
PROCESS_BODY	CURRENT_REFERENT	10	2	TWO_LEARNED_FRONTING_EXCEPTIONS_EXIST
PREFIX_SELECTOR	ADDRESS	7	0	DEFAULT_LEFT_BEFORE_RIGHT
PREFIX_SELECTOR	PROCESS_BODY	7	0	DEFAULT_LEFT_BEFORE_RIGHT
PROCESS_BODY	COMMIT	6	0	DEFAULT_LEFT_BEFORE_RIGHT
ADDRESS	CURRENT_REFERENT	5	0	DEFAULT_LEFT_BEFORE_RIGHT
PROCESS_BODY	VALUE_STAGE	5	0	DEFAULT_LEFT_BEFORE_RIGHT
PREFIX_SELECTOR	COMMIT	3	0	DEFAULT_LEFT_BEFORE_RIGHT
PREFIX_SELECTOR	VALUE_STAGE	3	0	DEFAULT_LEFT_BEFORE_RIGHT
PROCESS_BODY	ADDRESS	3	1	TWO_LEARNED_FRONTING_EXCEPTIONS_EXIST
CURRENT_REFERENT	PROCESS_BODY	2	10	TWO_LEARNED_FRONTING_EXCEPTIONS_EXIST
ADDRESS	COMMIT	1	0	DEFAULT_LEFT_BEFORE_RIGHT
ADDRESS	PROCESS_BODY	1	3	TWO_LEARNED_FRONTING_EXCEPTIONS_EXIST
CURRENT_REFERENT	COMMIT	1	0	DEFAULT_LEFT_BEFORE_RIGHT
