master_card_id	canonical_surface	canonical_value_de	semantic_recipe	visible_component_order	visible_macro_order	default_order_without_renderer_and_ol	fits_default_slot_order	ol_placement	renderer_frames	event_support	writer_instruction_de
MC026	choky	einsetzen	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	OK_SET>Y_CURRENT_ITEM	PREFIX_SELECTOR>CURRENT_REFERENT	PREFIX_SELECTOR>CURRENT_REFERENT	YES	NO_OL	NONE	10	Schreibe Rahmen/Selektor, dann Prozesskörper, Adresse, Wert/Stufe, aktuellen Posten und Schluss; OL darf als Fortsetzungszeichen vor- oder nachgestellt werden.
MC120	okaiin	bemessen	OK+AIIN	OK_SET>AIIN_TARGET_MEASURE	PREFIX_SELECTOR>VALUE_STAGE	PREFIX_SELECTOR>VALUE_STAGE	YES	NO_OL	NONE	9	Schreibe Rahmen/Selektor, dann Prozesskörper, Adresse, Wert/Stufe, aktuellen Posten und Schluss; OL darf als Fortsetzungszeichen vor- oder nachgestellt werden.
MC017	okain	Anteil zugeben	OK+AIN	OK>AIN_PORTION	PREFIX_SELECTOR>VALUE_STAGE	PREFIX_SELECTOR>VALUE_STAGE	YES	NO_OL	NONE	7	Schreibe Rahmen/Selektor, dann Prozesskörper, Adresse, Wert/Stufe, aktuellen Posten und Schluss; OL darf als Fortsetzungszeichen vor- oder nachgestellt werden.
MC161	checthy	bereit	Y+CTH	CTH_READY>Y_CURRENT	PROCESS_BODY>CURRENT_REFERENT	PROCESS_BODY>CURRENT_REFERENT	YES	NO_OL	NONE	7	Schreibe Rahmen/Selektor, dann Prozesskörper, Adresse, Wert/Stufe, aktuellen Posten und Schluss; OL darf als Fortsetzungszeichen vor- oder nachgestellt werden.
MC040	okal	dorthin einsetzen	OK+AL	OK_SET>AL_TO	PREFIX_SELECTOR>ADDRESS	PREFIX_SELECTOR>ADDRESS	YES	NO_OL	NONE	6	Schreibe Rahmen/Selektor, dann Prozesskörper, Adresse, Wert/Stufe, aktuellen Posten und Schluss; OL darf als Fortsetzungszeichen vor- oder nachgestellt werden.
MC035	chckhy	durchleiten	Y+CKH	CKH_THROUGH>Y_ITEM	PROCESS_BODY>CURRENT_REFERENT	PROCESS_BODY>CURRENT_REFERENT	YES	NO_OL	NONE	4	Schreibe Rahmen/Selektor, dann Prozesskörper, Adresse, Wert/Stufe, aktuellen Posten und Schluss; OL darf als Fortsetzungszeichen vor- oder nachgestellt werden.
MC103	chokchy	den laufenden Posten einsetzen und weiterbearbeiten	OK+Y[SUBTYPE=SET_AND_CONTINUE_ITEM]	OK>Y	PREFIX_SELECTOR>CURRENT_REFERENT	PREFIX_SELECTOR>CURRENT_REFERENT	YES	NO_OL	NONE	3	Schreibe Rahmen/Selektor, dann Prozesskörper, Adresse, Wert/Stufe, aktuellen Posten und Schluss; OL darf als Fortsetzungszeichen vor- oder nachgestellt werden.
MC060	otaiin	Folgemaß	OT+AIIN	OT_FOLLOW>AIIN_MEASURE	PREFIX_SELECTOR>VALUE_STAGE	PREFIX_SELECTOR>VALUE_STAGE	YES	NO_OL	NONE	3	Schreibe Rahmen/Selektor, dann Prozesskörper, Adresse, Wert/Stufe, aktuellen Posten und Schluss; OL darf als Fortsetzungszeichen vor- oder nachgestellt werden.
MC093	otal	danach dorthin	OT+AL	OT_NEXT>AL_TO	PREFIX_SELECTOR>ADDRESS	PREFIX_SELECTOR>ADDRESS	YES	NO_OL	NONE	3	Schreibe Rahmen/Selektor, dann Prozesskörper, Adresse, Wert/Stufe, aktuellen Posten und Schluss; OL darf als Fortsetzungszeichen vor- oder nachgestellt werden.
MC113	shedal	am Ziel absetzen	AL+SHED	SHED_SETTLE>AL_TO	PROCESS_BODY>ADDRESS	PROCESS_BODY>ADDRESS	YES	NO_OL	NONE	2	Schreibe Rahmen/Selektor, dann Prozesskörper, Adresse, Wert/Stufe, aktuellen Posten und Schluss; OL darf als Fortsetzungszeichen vor- oder nachgestellt werden.
