primitive_id	primitive	role	output	leaf_train_fraction	direct_chunk_initial_rate	direct_chunk_final_rate
0	C	syllabic_carrier	ve	0.0723746506189	0.690657439446	0.0103806228374
1	E	suffix_operator	x	0.0265814842279	0.0298953662182	0.0179372197309
2	F	literal_carrier	n	0.000399292681536	0.571428571429	0
3	I	literal_carrier	p	0.0111916034453	0	0.833333333333
4	K	syllabic_carrier	de	0.00596657349837	0.352	0.012
5	N	literal_carrier	u	0.0293080828247	0	0.963963963964
6	P	syllabic_carrier	re	0.00122069476927	0.644859813084	0
7	S	prefix_operator	e	0.0308368033769	0.7	0.0208791208791
8	T	syllabic_carrier	ne	0.0067879755861	0.712209302326	0.0203488372093
9	a	connector	bue	0.0914380240716	0.13309352518	0.13309352518
10	b	literal_carrier	l	0.000136900347955	0	0.916666666667
11	c	literal_carrier	m	4.56334493184e-05	0.25	1
12	d	literal_carrier	e	0.0830756944841	0.63548951049	0.191433566434
13	e	prefix_operator	x	0.0628714847984	0.0443490701001	0.0200286123033
14	f	literal_carrier	y	0.00250983971251	0.304545454545	0.0681818181818
15	g	literal_carrier	r	0.00083281045006	0.027397260274	0.958904109589
16	h	literal_carrier	c	2.28167246592e-05	0	0
17	i	literal_carrier	s	0.00817979579031	0.00502512562814	0.0251256281407
18	j	literal_carrier	o	7.98585363071e-05	0.142857142857	0.428571428571
19	k	context_abbreviation_mark	ve	0.0644116137129	0.548292682927	0.0146341463415
20	l	connector	p	0.0684615823399	0.716216216216	0.160660660661
21	m	literal_carrier	v	0.00622896583195	0.0289855072464	0.927536231884
22	n	literal_carrier	i	0.000981119160345	0.0348837209302	0.953488372093
23	o	literal_carrier	x	0.16082368376	0.335701598579	0.232682060391
24	p	null_layout	<EMPTY>	0.00878443899378	0.534965034965	0.0174825174825
25	q	prefix_operator	ve	0.038697165022	0.965317919075	0.00578034682081
26	r	literal_carrier	a	0.046660201928	0.641711229947	0.379679144385
27	s	suffix_operator	e	0.0169528264218	0.591527987897	0.361573373676
28	t	context_abbreviation_mark	e	0.0373623866294	0.650056625142	0.0169875424689
29	u	literal_carrier	d	5.70418116479e-05	0	1
30	v	literal_carrier	f	1.14083623296e-05	1	0
31	x	suffix_operator	te	0.000159717072614	0.5	0.285714285714
32	y	wholeform_logogram	lume	0.116525012834	0.272844272844	0.711068211068
33	z	literal_carrier	b	2.28167246592e-05	0.5	0
