action_case_id	page	locus	action_ordinal	action_surface	action_gloss_de	semantic_item_count	item_ranks	item_ordinals	item_surfaces	item_glosses_de	lexical_first_terminal_rank	lexical_first_terminal_ordinal	lexical_first_terminal_surface	lexical_first_terminal_gloss_de	lexical_terminal_field_count	later_lexical_terminal_ranks_blocked	operator_terminal_rank	operator_terminal_ordinal	operator_terminal_surface	operator_terminal_gloss_de	operator_matches_lexical_first	path_class	best_endpoint_ranks	best_endpoint_ordinals	best_endpoint_surfaces	best_endpoint_glosses_de	strict_decision	exploratory_decision	first_blocker_rank	first_blocker_ordinal	first_blocker_surface	first_blocker_gloss_de	first_blocker_class	blocker_inside_selected_endpoint	practical_reading_de	decision_reason_de	prior_shorter_holds_preserved	portable_default	new_relation_edge	word_delta	status
A002	f104v	f104v.2	2	qoteed	Auszug vollständig abkühlen und abziehen	3	1|2|3	3|4|5	chockhy|otaiin|ydaiin	trockene Arzneizubereitung, Gradanfang|kalter Ansatz, Grad III|davon drei Maße	NONE	NONE	NONE	NONE	0	NONE	NONE	NONE	NONE	NONE	0	NO_COHERENT_PRODUCT_PATH	NONE	NONE	NONE	NONE	STOP	STOP_NO_PATH	1	3	chockhy	trockene Arzneizubereitung, Gradanfang	MATERIAL_AND_GRADE_RESET	0	Auszug abkühlen und abziehen; danach trockene Zubereitung und kalter III-Ansatz.	Der Auszug springt sofort zu trockener Zubereitung am Gradanfang; kein terminaler Materialwert.	1	NO	0	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
A003	f104v	f104v.2	6	qokamdy	ein Maß nehmen und erhitzen	4	1|2|3|4	7|8|9|10	otarar|alched|otair|oram	Unteranteil I des Anteils I des kalten Ansatzes|Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen|Anteil II des kalten Ansatzes|eine Maßportion Ansatz	2	8	alched	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	1	NONE	2	8	alched	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	1	EARLIER_COMPLETION_BLOCKS_LONGER	2	8	alched	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	STOP	STOP_EARLY_CONFLICT	1	7	otarar	Unteranteil I des Anteils I des kalten Ansatzes	TEMPERATURE_AND_OPERATION_CONFLICT	0	Kalten Ansatzanteil erhitzen; später abgeschlossene mittelgetrocknete Rohdroge.	Der kalte Anteil vor dem Abschlusswert widerspricht der Erhitzung; Rohdroge und Trocknung wechseln Material und Operation.	1	NO	0	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
A004	f105r	f105r.2	6	qodor	eine Portion des Ansatzes abmessen	4	1|2|3|4	7|8|9|10	ches|or|cheey|okees	trockenes Drogenmaterial, Mittelstufe|Drogenportion|trocken am Ende des Grades|Charge vollständig erhitzten Ansatzes	4	10	okees	Charge vollständig erhitzten Ansatzes	1	NONE	NONE	NONE	NONE	NONE	0	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	NONE	NONE	NONE	STOP	PRESERVE_SHORTER_HOLD	3	9	cheey	trocken am Ende des Grades	DEGREE_RESET	0	Ansatzportion abmessen; trockene Mitteldroge und Portion, danach Gradende.	Der frühere Portion-Hold bleibt; Gradende überschreibt die unmittelbar geschriebene Mittelstufe und sperrt den längeren Pfad.	1	NO	0	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
A005	f105r	f105r.2	11	odar	Anteil I des Ansatzes abmessen	2	1|2	12|13	cheody|qody	getrocknete Masse|fertige Zubereitung	2	13	qody	fertige Zubereitung	1	NONE	2	13	qody	fertige Zubereitung	1	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2	12|13	cheody|qody	getrocknete Masse|fertige Zubereitung	HOLD	HOLD_COHERENT_ENDPOINT	2	13	qody	fertige Zubereitung	UNLICENSED_DRYING_AND_FINISHING	1	Ansatzanteil abmessen; getrocknete Masse als mögliche fertige Zubereitung.	Masse zu fertiger Zubereitung ist konkret; Abmessen erzeugt Trocknung und Fertigstellung jedoch nicht.	1	NO	0	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
A006	f105r	f105r.31	5	aiijy	in drei Bündel abfüllen und schließen	8	1|2|3|4|5|6|7|8	6|7|8|9|10|11|12|13	cpheesy|okal|lkedy|lkar|chedy|qokaiin|or|fchoky	vollständig bereitetes und abgeschlossenes Arzneikompositum|Rohstoffklasse I im heißen Ansatz, Gradanfang|bis zur mittleren Heizstufe erhitztes Holz|Anteil I der erhitzten Holzdroge|mittlere Trockenstufe erreicht|heiß, Grad III|Drogenportion|heiß-trockene Blütenzubereitung in Grundform	1	6	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	1	NONE	1	6	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	1	EARLIER_COMPLETION_BLOCKS_LONGER	1	6	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	HOLD	PRESERVE_PRIOR_HOLD	2	7	okal	Rohstoffklasse I im heißen Ansatz, Gradanfang	NEW_MATERIAL_BLOCK	0	Drei Bündel abfüllen und schließen; vollständig bereitetes, abgeschlossenes Arzneikompositum. Patient und Dreizahl bleiben offen.	Der unmittelbare Abschlusswert passt zum Schließen; der folgende heiße Rohstoffblock beendet jede längere Fortsetzung.	1	NO	0	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
A009	f105v	f105v.14	3	qokaiir	nimm den heißen Drogenanteil III	4	1|2|3|4	4|5|6|7	olpchedy|olord|aiiin|tail	fertiges Holzextraktpulver|abgezogene Portion Holzauszug|Menge IV|kaltgestellte Rohdroge II	1	4	olpchedy	fertiges Holzextraktpulver	1	NONE	1	4	olpchedy	fertiges Holzextraktpulver	1	EARLIER_COMPLETION_BLOCKS_LONGER	1	4	olpchedy	fertiges Holzextraktpulver	STOP	STOP_EARLY_MATERIAL_CONFLICT	1	4	olpchedy	fertiges Holzextraktpulver	MATERIAL_AND_OPERATION_CONFLICT	1	Heißen Drogenanteil nehmen; rechts steht fertiges Holzextraktpulver.	Das unmittelbare Fertigprodukt wechselt von Drogenanteil zu Holzextraktpulver und führt ungeschriebene Verarbeitung ein.	1	NO	0	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
A012	f106r	f106r.23	2	qckhedy	das Arzneikompositum bis zur Mittelstufe aufbereiten	8	1|2|3|4|5|6|7|8	3|4|5|6|7|8|9|10	dair|al|qokedy|shecphy|qokchy|otedy|dar|aror	abgemessener Anteil II|Rohstoffklasse I|heiße Mittelstufe erreicht|bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum|heiß und trocken am Anfang des Grades|kalter Ansatz, Mittelstufe erreicht|abgemessener Anteil I|eine Portion des Drogenanteils I	4	6	shecphy	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	1	NONE	4	6	shecphy	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	1	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2|3|4	3|4|5|6	dair|al|qokedy|shecphy	abgemessener Anteil II|Rohstoffklasse I|heiße Mittelstufe erreicht|bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	ADMIT_EXISTING_C021	REPLAY_C021	5	7	qokchy	heiß und trocken am Anfang des Grades	STATE_AND_DEGREE_RESET	0	Arzneikompositum bis zur Mitte aufbereiten; terminal eingeweicht und abgeschlossen.	Der vierte Wert stellt Arzneikompositum und Mittelstufe exakt wieder her; C021 bleibt die zugelassene Kante.	1	NO	0	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
A014	f107r	f107r.2	2	qoteos	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	3	1|2|3	3|4|5	aiin|shedy|oteed	Menge III|mittlere Feuchtstufe erreicht|vollständig abgekühlter und abgezogener Auszug	3	5	oteed	vollständig abgekühlter und abgezogener Auszug	1	NONE	3	5	oteed	vollständig abgekühlter und abgezogener Auszug	1	LOCALLY_READABLE_PRODUCT_ENDPOINT	1|2|3	3|4|5	aiin|shedy|oteed	Menge III|mittlere Feuchtstufe erreicht|vollständig abgekühlter und abgezogener Auszug	HOLD	HOLD_COHERENT_ENDPOINT	3	5	oteed	vollständig abgekühlter und abgezogener Auszug	UNLICENSED_DRAWING	1	Gekühlte Charge nehmen; möglicher Mengen- und Feuchteblock endet im vollständig abgezogenen Auszug.	Kälte passt, aber Nehmen einer Charge erklärt vollständiges Abziehen nicht.	1	NO	0	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
A015	f107r	f107r.2	6	qor	nimm eine Drogenportion	5	1|2|3|4|5	7|8|9|10|11	aiin|cheockhy|olkeey|qotain|chey	Menge III|trocken angesetztes Arzneikompositum am Gradanfang|Holzansatz vollständig erhitzt|kalter Ansatz, Grad II|trocken in der Mitte des Grades	3	9	olkeey	Holzansatz vollständig erhitzt	1	NONE	NONE	NONE	NONE	NONE	0	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	NONE	NONE	NONE	STOP	STOP_RESET	2	8	cheockhy	trocken angesetztes Arzneikompositum am Gradanfang	MATERIAL_RESET	0	Drogenportion nehmen; danach Menge, Kompositum und wechselnde Ansatzwerte.	Der Stoff wechselt früh von Droge zu Arzneikompositum; spätere Hitze- und Kältewerte bilden keinen einheitlichen Patienten.	1	NO	0	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
A017	f10r	f10r.2	1	dchey	Eine abgemessene Portion bis zur Mittelstufe trocknen	9	1|2|3|4|5|6|7|8|9	2|3|4|5|6|7|8|9|10	cthoor|char|chty|os|chair|otytchol|oky|daiin|etyd	eine Portion Krautansatz|trockener Drogenanteil I|trocken-kalt am Gradanfang|Ansatzcharge|trockener Drogenanteil II|nachgekühlter Trockenstoff im Ansatz|heißer Ansatz am Anfang des Grades|Qualitätsgrad III des erhitzten Ansatzes|bis Mittelstufe gekühlte Zubereitung, abgeschlossen	9	10	etyd	bis Mittelstufe gekühlte Zubereitung, abgeschlossen	1	NONE	9	10	etyd	bis Mittelstufe gekühlte Zubereitung, abgeschlossen	1	RESET_OR_BREAK_BEFORE_ATTRACTION	NONE	NONE	NONE	NONE	STOP	PRESERVE_SHORTER_HOLD	3	4	chty	trocken-kalt am Gradanfang	DEGREE_AND_TEMPERATURE_RESET	0	Portion mitteltrocknen; erst nach mehreren Material- und Gradwechseln erscheint eine abgeschlossene Kühlzubereitung.	Der Kraut-/Drogen-Hold auf den ersten zwei Werten bleibt; kalt am Gradanfang sperrt den längeren Pfad.	1	NO	0	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
