terminal_field_id	action_case_id	page	locus	rank	ordinal	surface	gloss_de	completion_stems	material_heads	first_in_window	blocked_by_earlier_terminal	operator_terminal	manual_endpoint_member	path_class	strict_decision	exploratory_decision	new_relation_edge	status
TM001	A003	f104v	f104v.2	2	8	alched	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	abgeschlossen	droge	1	0	1	1	EARLIER_COMPLETION_BLOCKS_LONGER	STOP	STOP_EARLY_CONFLICT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM002	A004	f105r	f105r.2	4	10	okees	Charge vollständig erhitzten Ansatzes	vollständig	ansatz|charge	1	0	0	0	RESET_OR_BREAK_BEFORE_ATTRACTION	STOP	PRESERVE_SHORTER_HOLD	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM003	A005	f105r	f105r.2	2	13	qody	fertige Zubereitung	fertig	zubereitung	1	0	1	1	LOCALLY_READABLE_PRODUCT_ENDPOINT	HOLD	HOLD_COHERENT_ENDPOINT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM004	A006	f105r	f105r.31	1	6	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	vollständig|abgeschlossen	arzneikompositum	1	0	1	1	EARLIER_COMPLETION_BLOCKS_LONGER	HOLD	PRESERVE_PRIOR_HOLD	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM005	A009	f105v	f105v.14	1	4	olpchedy	fertiges Holzextraktpulver	fertig	holz|pulver	1	0	1	1	EARLIER_COMPLETION_BLOCKS_LONGER	STOP	STOP_EARLY_MATERIAL_CONFLICT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM006	A012	f106r	f106r.23	4	6	shecphy	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	abgeschlossen	arzneikompositum	1	0	1	1	LOCALLY_READABLE_PRODUCT_ENDPOINT	ADMIT_EXISTING_C021	REPLAY_C021	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM007	A014	f107r	f107r.2	3	5	oteed	vollständig abgekühlter und abgezogener Auszug	vollständig	auszug	1	0	1	1	LOCALLY_READABLE_PRODUCT_ENDPOINT	HOLD	HOLD_COHERENT_ENDPOINT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM008	A015	f107r	f107r.2	3	9	olkeey	Holzansatz vollständig erhitzt	vollständig	ansatz|holz	1	0	0	0	RESET_OR_BREAK_BEFORE_ATTRACTION	STOP	STOP_RESET	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM009	A017	f10r	f10r.2	9	10	etyd	bis Mittelstufe gekühlte Zubereitung, abgeschlossen	abgeschlossen	zubereitung	1	0	1	0	RESET_OR_BREAK_BEFORE_ATTRACTION	STOP	PRESERVE_SHORTER_HOLD	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM010	A024	f115r	f115r.1	4	7	teeedy	vollständig abgekühlte Zubereitung, fertig	fertig|vollständig	zubereitung	1	0	1	1	LOCALLY_READABLE_PRODUCT_ENDPOINT	HOLD	HOLD_COHERENT_ENDPOINT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM011	A024	f115r	f115r.1	6	9	oechedy	fertige, bis zur Mittelstufe getrocknete Masse	fertig	masse	0	1	0	0	LOCALLY_READABLE_PRODUCT_ENDPOINT	HOLD	HOLD_COHERENT_ENDPOINT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM012	A027	f115r	f115r.23	8	13	ldy	fertig aufbereitetes Holz	fertig	holz	1	0	1	0	RESET_OR_BREAK_BEFORE_ATTRACTION	STOP	STOP_RESET	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM013	A028	f116r	f116r.12	8	9	olchdy	Holz im Ansatz fertig getrocknet	fertig	ansatz|holz	1	0	1	0	RESET_OR_BREAK_BEFORE_ATTRACTION	STOP	STOP_RESET	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM014	A029	f23r	f23r.6	3	8	dchey	fertige abgemessene Mittelstufen-Trockenportion	fertig	portion	1	0	1	0	RESET_OR_BREAK_BEFORE_ATTRACTION	STOP	PRESERVE_SHORTER_HOLD	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM015	A032	f24v	f24v.15	1	2	kchod	heißer Auszug aus Trockengut, abgezogen und abgeschlossen	abgeschlossen	auszug|gut	1	0	1	1	EARLIER_COMPLETION_BLOCKS_LONGER	STOP	STOP_EARLY_CONFLICT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM016	A032	f24v	f24v.15	3	4	ochdy	fertige Trockenmasse	fertig	masse	0	1	0	0	EARLIER_COMPLETION_BLOCKS_LONGER	STOP	STOP_EARLY_CONFLICT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM017	A036	f27r	f27r.9	1	2	keeod	vollständig erhitzter und abgezogener Auszug	vollständig	auszug	1	0	1	1	EARLIER_COMPLETION_BLOCKS_LONGER	STOP	STOP_EARLY_CONFLICT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM018	A041	f49r	f49r.16	2	3	dchey	fertige abgemessene Mittelstufen-Trockenportion	fertig	portion	1	0	1	1	LOCALLY_READABLE_PRODUCT_ENDPOINT	STOP	HOLD_COHERENT_ENDPOINT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM019	A043	f56r	f56r.6	1	3	dchey	fertige abgemessene Mittelstufen-Trockenportion	fertig	portion	1	0	1	1	LOCALLY_READABLE_PRODUCT_ENDPOINT	HOLD	HOLD_COHERENT_ENDPOINT	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
TM020	A047	f76v	f76v.10	4	7	lsheetal	Rohholz I, vollständig eingeweicht und kaltgestellt	vollständig	holz	1	0	0	0	RESET_OR_BREAK_BEFORE_ATTRACTION	STOP	STOP_RESET	0	PASS_V82_42_WINDOWS_203_ITEMS__25_LEXICAL_FIRST_TERMINALS_22_OPERATOR_TERMINALS_9_EXPLORATORY_ENDPOINTS__0_NEW_EDGES__A048_HIGH_HOLD_ZERO_WORD_DELTA
