program_id	program_name_de	herbal_event_count	bio_event_count	workflow_status	workshop_interpretation_de
P01_DOSIEREN	Dosieren und einstellen	16	31	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
P02_MATERIAL_GEBEN	Material geben oder teilen	2	15	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
P03_AM_ZIEL_EINSETZEN	Am Ziel einsetzen	14	37	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
P04_KURZ_BEHANDELN	Kurz behandeln	0	16	INTRODUCED_AT_BIO_STATION	Erst an der sichtbaren Biological-Station als kurzer Kontaktauftrag hinzugefügt.
P05_LANG_BEHANDELN	Lang behandeln oder wärmen	1	25	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
P06_FORTSETZEN	Fortsetzen und folgen	19	37	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
P07_UEBERFUEHREN	Überführen und umsetzen	1	29	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
P08_DURCHLASSEN	Durchlassen und waschen	2	17	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
P09_ABSETZEN_SAMMELN	Absetzen und sammeln	1	27	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
P10_ABZIEHEN_ABFUEHREN	Abziehen und abführen	5	26	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
P11_BEREITEN_SCHLIESSEN	Bereitstellen und schließen	10	6	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
P12_BESTAND_REFERENZIEREN	Bestand referenzieren	29	15	BEGINS_IN_HERBAL_AND_CONTINUES_IN_BIO	Schon bei der Pflanzenzubereitung gelernt; an der Bildstation weiter ausgeführt.
