statement_id	record_unit_id	page	atomic_sequence	program_sequence	distinct_programs	fluent_workshop_translation_de
H1-S001	H1	f10r	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest	P12_BESTAND_REFERENZIEREN → P11_BEREITEN_SCHLIESSEN → P12_BESTAND_REFERENZIEREN → P02_MATERIAL_GEBEN → P12_BESTAND_REFERENZIEREN → P08_DURCHLASSEN → P06_FORTSETZEN → P03_AM_ZIEL_EINSETZEN → P01_DOSIEREN → P11_BEREITEN_SCHLIESSEN	P12_BESTAND_REFERENZIEREN|P11_BEREITEN_SCHLIESSEN|P02_MATERIAL_GEBEN|P08_DURCHLASSEN|P06_FORTSETZEN|P03_AM_ZIEL_EINSETZEN|P01_DOSIEREN	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.
H1-S002	H1	f10r	Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	P03_AM_ZIEL_EINSETZEN → P06_FORTSETZEN → P06_FORTSETZEN → P11_BEREITEN_SCHLIESSEN	P03_AM_ZIEL_EINSETZEN|P06_FORTSETZEN|P11_BEREITEN_SCHLIESSEN	Setze den zurückbehaltenen Posten ein, führe ihn im folgenden Gang weiter und halte ihn bereit.
H2-S001	H2	f10r	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten	P12_BESTAND_REFERENZIEREN → P11_BEREITEN_SCHLIESSEN → P12_BESTAND_REFERENZIEREN → P01_DOSIEREN → P06_FORTSETZEN → P12_BESTAND_REFERENZIEREN → P12_BESTAND_REFERENZIEREN → P01_DOSIEREN → P12_BESTAND_REFERENZIEREN	P12_BESTAND_REFERENZIEREN|P11_BEREITEN_SCHLIESSEN|P01_DOSIEREN|P06_FORTSETZEN	Nimm den laufenden Auszugsansatz und halte ihn bereit. Stelle den Ansatz auf sein Sollmaß; führe den Folgeposten weiter und behalte dabei denselben Posten um die Maßangabe aktiv.
H2-S002	H2	f10r	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle	P06_FORTSETZEN → P12_BESTAND_REFERENZIEREN → P06_FORTSETZEN → P06_FORTSETZEN → P06_FORTSETZEN → P06_FORTSETZEN → P01_DOSIEREN → P12_BESTAND_REFERENZIEREN	P06_FORTSETZEN|P12_BESTAND_REFERENZIEREN|P01_DOSIEREN	Eröffne den Folgeansatz, führe denselben Ansatz als Fortsetzungsansatz weiter und nimm das Sollmaß aus der bezeichneten Quelle.
H2-S003	H2	f10r	Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	P12_BESTAND_REFERENZIEREN → P12_BESTAND_REFERENZIEREN → P12_BESTAND_REFERENZIEREN → P12_BESTAND_REFERENZIEREN → P11_BEREITEN_SCHLIESSEN → P12_BESTAND_REFERENZIEREN → P01_DOSIEREN	P12_BESTAND_REFERENZIEREN|P11_BEREITEN_SCHLIESSEN|P01_DOSIEREN	Richte den Ansatz im Gefäß her, halte ihn als laufenden Posten aktiv, setze die gebundene Arbeitsstufe und füge die Zutat im Sollmaß hinzu.
H3-S001	H3	f11r	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	P12_BESTAND_REFERENZIEREN → P03_AM_ZIEL_EINSETZEN → P10_ABZIEHEN_ABFUEHREN → P09_ABSETZEN_SAMMELN → P08_DURCHLASSEN → P10_ABZIEHEN_ABFUEHREN → P10_ABZIEHEN_ABFUEHREN	P12_BESTAND_REFERENZIEREN|P03_AM_ZIEL_EINSETZEN|P10_ABZIEHEN_ABFUEHREN|P09_ABSETZEN_SAMMELN|P08_DURCHLASSEN	Bringe das Blütenkraut an die Arbeitsstelle, wringe es aus, lasse es die vorgeschriebene Zeit stehen und seihe es nochmals. Nimm nur den Klarauszug ab und schließe den Schritt.
H3-S002	H3	f11r	Zutatfolgeteil	P06_FORTSETZEN	P06_FORTSETZEN	Halte einen weiteren Zutatteil für den folgenden Gang bereit.
H3-S003	H3	f11r	Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß	P06_FORTSETZEN → P12_BESTAND_REFERENZIEREN → P11_BEREITEN_SCHLIESSEN → P12_BESTAND_REFERENZIEREN → P01_DOSIEREN	P06_FORTSETZEN|P12_BESTAND_REFERENZIEREN|P11_BEREITEN_SCHLIESSEN|P01_DOSIEREN	Nimm die Fortsetzung des vorigen Gangs, halte den aktuellen Posten gebunden und miss sein Sollmaß.
H3-S004	H3	f11r	Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	P06_FORTSETZEN → P03_AM_ZIEL_EINSETZEN → P11_BEREITEN_SCHLIESSEN → P12_BESTAND_REFERENZIEREN	P06_FORTSETZEN|P03_AM_ZIEL_EINSETZEN|P11_BEREITEN_SCHLIESSEN|P12_BESTAND_REFERENZIEREN	Wechsle zum Folgeposten, setze die Fortsetzung ein und halte diesen Posten bereit.
H4-S001	H4	f55v	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss	P01_DOSIEREN → P01_DOSIEREN → P01_DOSIEREN → P01_DOSIEREN → P10_ABZIEHEN_ABFUEHREN	P01_DOSIEREN|P10_ABZIEHEN_ABFUEHREN	Stelle das Sollmaß ein, prüfe es und teile den Posten in eine erste und eine zweite Portion. Nimm beide aus diesem Arbeitsschritt und schließe ihn.
H4-S002	H4	f55v	Sollmaß → Umsetzen → Verwahren	P01_DOSIEREN → P07_UEBERFUEHREN → P11_BEREITEN_SCHLIESSEN	P01_DOSIEREN|P07_UEBERFUEHREN|P11_BEREITEN_SCHLIESSEN	Überführe die abgemessene Menge und verwahre sie.
H4-S003	H4	f55v	Postensollmaß → Auszugnahme → Langwärme → Fortschluss	P01_DOSIEREN → P10_ABZIEHEN_ABFUEHREN → P05_LANG_BEHANDELN → P06_FORTSETZEN	P01_DOSIEREN|P10_ABZIEHEN_ABFUEHREN|P05_LANG_BEHANDELN|P06_FORTSETZEN	Nimm das Sollmaß des Postens aus dem gewonnenen Auszug, halte es länger warm und schließe den fortgesetzten Schritt.
H4-S004	H4	f55v	Sollmaß → Zieleinsatz → Fortsetzungszubereitung → Ansatz → Diesposten → Ansatzportion	P01_DOSIEREN → P03_AM_ZIEL_EINSETZEN → P06_FORTSETZEN → P12_BESTAND_REFERENZIEREN → P12_BESTAND_REFERENZIEREN → P01_DOSIEREN	P01_DOSIEREN|P03_AM_ZIEL_EINSETZEN|P06_FORTSETZEN|P12_BESTAND_REFERENZIEREN	Setze das Sollmaß an der bezeichneten Stelle ein. Führe die Zubereitung dort weiter, halte den Ansatz als aktuellen Posten und verwende eine Ansatzportion.
H5-S001	H5	f56r	Zutatenansatz → Zutat → Zutatstelle → Sollmaß → Zutat → Bindefortsetzung → Folgeansatz → Einsetzen → Stelle	P12_BESTAND_REFERENZIEREN → P12_BESTAND_REFERENZIEREN → P03_AM_ZIEL_EINSETZEN → P01_DOSIEREN → P12_BESTAND_REFERENZIEREN → P06_FORTSETZEN → P06_FORTSETZEN → P03_AM_ZIEL_EINSETZEN → P03_AM_ZIEL_EINSETZEN	P12_BESTAND_REFERENZIEREN|P03_AM_ZIEL_EINSETZEN|P01_DOSIEREN|P06_FORTSETZEN	Richte einen Zutatenansatz her. Setze eine weitere Zutat an die bezeichnete Stelle, miss sie und führe sie gebunden weiter. Eröffne danach den Folgeansatz, setze ihn ein und bringe ihn an die Stelle.
H5-S002	H5	f56r	Vorfortsetzung → Zutatposten → Einsetzen → Auftragsschluss	P06_FORTSETZEN → P12_BESTAND_REFERENZIEREN → P03_AM_ZIEL_EINSETZEN → P11_BEREITEN_SCHLIESSEN	P06_FORTSETZEN|P12_BESTAND_REFERENZIEREN|P03_AM_ZIEL_EINSETZEN|P11_BEREITEN_SCHLIESSEN	Nimm die Fortsetzung des vorigen Postens, setze die Zutat ein, trage sie auf und schließe den Schritt.
H5-S003	H5	f56r	Pflanzenteil → Zutat → Kurzbindeposten → Wiedereinsatz	P12_BESTAND_REFERENZIEREN → P12_BESTAND_REFERENZIEREN → P11_BEREITEN_SCHLIESSEN → P03_AM_ZIEL_EINSETZEN	P12_BESTAND_REFERENZIEREN|P11_BEREITEN_SCHLIESSEN|P03_AM_ZIEL_EINSETZEN	Nimm einen Teil der abgebildeten Pflanze und die Zutat, binde den Posten kurz und setze ihn erneut ein.
H5-S004	H5	f56r	Einsetzen → Auszugzugabe → Zielbindung	P03_AM_ZIEL_EINSETZEN → P02_MATERIAL_GEBEN → P03_AM_ZIEL_EINSETZEN	P03_AM_ZIEL_EINSETZEN|P02_MATERIAL_GEBEN	Setze den Posten ein, gib Auszug hinzu und binde beides an der Zielstelle.
H5-S005	H5	f56r	Zutat → Einsetzen → Quellenzutatbindung → Gebrauchen	P12_BESTAND_REFERENZIEREN → P03_AM_ZIEL_EINSETZEN → P12_BESTAND_REFERENZIEREN → P03_AM_ZIEL_EINSETZEN	P12_BESTAND_REFERENZIEREN|P03_AM_ZIEL_EINSETZEN	Gib die Zutat hinzu, setze sie ein, binde die Zutat aus der bezeichneten Quelle und gebrauche den Posten.
H5-S006	H5	f56r	Folgeposten → Kurzbindefortsetzung → Sollmaß	P06_FORTSETZEN → P06_FORTSETZEN → P01_DOSIEREN	P06_FORTSETZEN|P01_DOSIEREN	Nimm den Folgeposten, führe ihn kurz gebunden weiter und prüfe das Sollmaß.
