master_card_id	canonical_surface	canonical_value_de	paradigm_key	grade	semantic_recipe	visible_component_parse	event_support	choice_context
MC128	cheedy	kurz absetzen; Schluss	E_GRADE+DY+SHED	E_SHORT	E_GRADE+DY+SHED[GRADE=E_SHORT]	SHED_SETTLE+GRADE_1+DY_CLOSE	12	SEMANTIC_RECIPE_ONLY
MC082	qokeedy	lange einwirken; Schluss	OK+E_GRADE+DY	EE_LONG	OK+E_GRADE+DY[GRADE=EE_LONG]	OK_SET+GRADE_2+DY_CLOSE	10	SEMANTIC_RECIPE_ONLY
MC083	qokedy	kurz einwirken; Schluss	OK+E_GRADE+DY	E_SHORT	OK+E_GRADE+DY[GRADE=E_SHORT]	OK_SET+GRADE_1+DY_CLOSE	8	SEMANTIC_RECIPE_ONLY
MC002	okeey	LAENGER_SETZEN_ODER_HALTEN	OK+E_GRADE+Y	EE_LONG	OK+E_GRADE+Y[GRADE=EE_LONG]	OK_SET+GRADE_2+Y_CURRENT_ITEM	7	SEMANTIC_RECIPE_ONLY
MC045	olkeedy	lange sammeln; Schluss	E_GRADE+SOLK	EE_LONG	E_GRADE+SOLK[LICENSED_CLOSE=YES]	SOLK_COLLECT+EE_LONG+TERMINAL	3	SEMANTIC_RECIPE_ONLY
MC147	cheky	kurz wärmen	E_GRADE+Y+CHK	E_SHORT	E_GRADE+Y+CHK[GRADE=E_SHORT]	CHK_WARM+GRADE_1+Y_CURRENT_ITEM	3	SEMANTIC_RECIPE_ONLY
MC032	cheeky	länger bearbeiten	E_GRADE+Y+CHK	EE_LONG	E_GRADE+Y+CHK[GRADE=EE_LONG][SUBTYPE=GENERAL_LONG_ADJUSTMENT]	CHK_WARM+GRADE_2+Y_CURRENT_ITEM	2	SEMANTIC_RECIPE_ONLY
MC073	qcthey	kurz vorbereiten	E_GRADE+Y+CTH	E_SHORT	E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=VISIBLE_BOUNDED_STATION]	CTH_READY+GRADE_1+Y_CURRENT	2	OWNER=VISIBLE_BOUNDED_STATION
MC007	okey	KURZ_SETZEN	OK+E_GRADE+Y	E_SHORT	OK+E_GRADE+Y[GRADE=E_SHORT]	OK_SET+GRADE_1+Y_CURRENT_ITEM	2	SEMANTIC_RECIPE_ONLY
MC173	qoteedy	lange Folgestufe; Schluss	OT+E_GRADE+DY	EE_LONG	OT+E_GRADE+DY[GRADE=EE_LONG]	OT_FOLLOW+GRADE_2+CLOSE	2	SEMANTIC_RECIPE_ONLY
MC135	otedy	Kurzfolge; Schluss	OT+E_GRADE+DY	E_SHORT	OT+E_GRADE+DY[GRADE=E_SHORT]	OT_FOLLOW+GRADE_1+CLOSE	2	SEMANTIC_RECIPE_ONLY
MC063	oteey	Langfolge	OT+E_GRADE+Y	EE_LONG	OT+E_GRADE+Y[GRADE=EE_LONG]	OT_FOLLOW+GRADE_2+Y_ITEM	2	SEMANTIC_RECIPE_ONLY
MC058	sheckhal	Kurze Zielpassage	AL+E_GRADE+CKH	E_SHORT	AL+E_GRADE+CKH[GRADE=E_SHORT]	CKH_THROUGH+E_SHORT+AL_TO	1	SEMANTIC_RECIPE_ONLY
MC102	rsheal	Kurzhalt am Ziel	AL+E_GRADE	E_SHORT	AL+E_GRADE[GRADE=E_SHORT]	R_FRAME+SH_REST+E_SHORT+AL_TO	1	SEMANTIC_RECIPE_ONLY
MC110	chkeedy	Langwärmen; Schluss	E_GRADE+DY+CHK	EE_LONG	E_GRADE+DY+CHK[GRADE=EE_LONG]	CHK_WARM+GRADE_2+DY_CLOSE	1	SEMANTIC_RECIPE_ONLY
MC003	sheedy	Langabsetzen; Schluss	E_GRADE+DY+SHED	EE_LONG	E_GRADE+DY+SHED[GRADE=EE_LONG]	SHED_SETTLE+GRADE_2+DY_CLOSE	1	SEMANTIC_RECIPE_ONLY
MC094	cheeety	Vollteil	E_GRADE+TY	EEE_FULL	E_GRADE+TY	EEE_FULL+TY_PART	1	SEMANTIC_RECIPE_ONLY
MC095	sheey	Langhalt	E_GRADE+Y	EE_LONG	E_GRADE+Y	SH_REST+EE_LONG+Y_CURRENT	1	SEMANTIC_RECIPE_ONLY
MC166	chkeey	Langwärmen	E_GRADE+Y+CHK	EE_LONG	E_GRADE+Y+CHK[GRADE=EE_LONG][SUBTYPE=LONG_WARMING]	CHK_WARM+GRADE_2+Y_CURRENT	1	SEMANTIC_RECIPE_ONLY
MC132	sheckhy	Kurzpassage	E_GRADE+Y+CKH	E_SHORT	E_GRADE+Y+CKH[GRADE=E_SHORT]	CKH_THROUGH+E_SHORT+Y_CURRENT	1	SEMANTIC_RECIPE_ONLY
MC137	shecthy	Kurzvorbereitung	E_GRADE+Y+CTH	E_SHORT	E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=UNPICTURED_TRANSITION_ZONE]	CTH_READY+E_SHORT+Y_CURRENT	1	OWNER=UNPICTURED_TRANSITION_ZONE
MC020	solkeey	Langsammlung	E_GRADE+Y+SOLK	EE_LONG	E_GRADE+Y+SOLK	SOLK_COLLECT+EE_LONG+Y_ITEM	1	SEMANTIC_RECIPE_ONLY
MC050	solkey	Kurzsammlung	E_GRADE+Y+SOLK	E_SHORT	E_GRADE+Y+SOLK[GRADE=E_SHORT]	SOLK_COLLECT+E_SHORT+Y_ITEM	1	SEMANTIC_RECIPE_ONLY
MC096	qokeedal	Langer Zieleinsatz	OK+AL+E_GRADE	EE_LONG	OK+AL+E_GRADE	OK_SET+EE_HOLD+AL_TO	1	SEMANTIC_RECIPE_ONLY
MC140	qokeeedy	Volleinsatz; Schluss	OK+E_GRADE+DY	EEE_FULL	OK+E_GRADE+DY[GRADE=EEE_FULL]	OK_SET+GRADE_3+DY_CLOSE	1	SEMANTIC_RECIPE_ONLY
MC165	qockhey	Kurzdurchgang	OK+E_GRADE+Y+CKH	E_SHORT	OK+E_GRADE+Y+CKH[GRADE=E_SHORT]	OK_SET+CKH_THROUGH+E_SHORT+Y_CURRENT	1	SEMANTIC_RECIPE_ONLY
MC150	okeeol	Langfortsetzung	OK+OL+E_GRADE	EE_LONG	OK+OL+E_GRADE[GRADE=EE_LONG]	OK_SET+GRADE_2+OL_CONTINUE	1	SEMANTIC_RECIPE_ONLY
MC106	teol	kurz weiterführen	OL+E_GRADE	E_SHORT	OL+E_GRADE[GRADE=E_SHORT][SUBTYPE=SHORT_CONTINUATION]	E_SHORT+OL_CONTINUE	1	SEMANTIC_RECIPE_ONLY
MC076	dsheol	Kurzhalt	OL+E_GRADE	E_SHORT	OL+E_GRADE[GRADE=E_SHORT][SUBTYPE=SHORT_HOLD]	SH_REST+E_SHORT+OL_CONTINUE	1	SEMANTIC_RECIPE_ONLY
MC018	qotedaiin	Kurzsoll	OT+AIIN+E_GRADE	E_SHORT	OT+AIIN+E_GRADE[GRADE=E_SHORT]	OT_FOLLOW+E_SHORT+AIIN_MEASURE	1	SEMANTIC_RECIPE_ONLY
