paradigm_order	paradigm_key	e_short_forms	ee_long_forms	eee_full_forms	observed_grade_cells	missing_grade_cells	missing_grades	card_types	event_support	completion_policy
1	AL+E_GRADE	rsheal	MISSING	MISSING	1	2	EE_LONG|EEE_FULL	1	1	ONLY_PREDICT_WITH_SISTER_FAMILY
2	AL+E_GRADE+CKH	sheckhal	MISSING	MISSING	1	2	EE_LONG|EEE_FULL	1	1	ONLY_PREDICT_WITH_SISTER_FAMILY
3	E_GRADE+DY+CHK	MISSING	chkeedy	MISSING	1	2	E_SHORT|EEE_FULL	1	1	ONLY_PREDICT_WITH_SISTER_FAMILY
4	E_GRADE+DY+SHED	cheedy	sheedy	MISSING	2	1	EEE_FULL	2	13	EXTEND_DIRECTLY
5	E_GRADE+SOLK	MISSING	olkeedy	MISSING	1	2	E_SHORT|EEE_FULL	1	3	ONLY_PREDICT_WITH_SISTER_FAMILY
6	E_GRADE+TY	MISSING	MISSING	cheeety	1	2	E_SHORT|EE_LONG	1	1	ONLY_PREDICT_WITH_SISTER_FAMILY
7	E_GRADE+Y	MISSING	sheey	MISSING	1	2	E_SHORT|EEE_FULL	1	1	ONLY_PREDICT_WITH_SISTER_FAMILY
8	E_GRADE+Y+CHK	cheky	cheeky|chkeey	MISSING	2	1	EEE_FULL	3	6	EXTEND_DIRECTLY
9	E_GRADE+Y+CKH	sheckhy	MISSING	MISSING	1	2	EE_LONG|EEE_FULL	1	1	ONLY_PREDICT_WITH_SISTER_FAMILY
10	E_GRADE+Y+CTH	qcthey|shecthy	MISSING	MISSING	1	2	EE_LONG|EEE_FULL	2	3	ONLY_PREDICT_WITH_SISTER_FAMILY
11	E_GRADE+Y+SOLK	solkey	solkeey	MISSING	2	1	EEE_FULL	2	2	EXTEND_DIRECTLY
12	OK+AL+E_GRADE	MISSING	qokeedal	MISSING	1	2	E_SHORT|EEE_FULL	1	1	ONLY_PREDICT_WITH_SISTER_FAMILY
13	OK+E_GRADE+DY	qokedy	qokeedy	qokeeedy	3	0		3	19	EXTEND_DIRECTLY
14	OK+E_GRADE+Y	okey	okeey	MISSING	2	1	EEE_FULL	2	9	EXTEND_DIRECTLY
15	OK+E_GRADE+Y+CKH	qockhey	MISSING	MISSING	1	2	EE_LONG|EEE_FULL	1	1	ONLY_PREDICT_WITH_SISTER_FAMILY
16	OK+OL+E_GRADE	MISSING	okeeol	MISSING	1	2	E_SHORT|EEE_FULL	1	1	ONLY_PREDICT_WITH_SISTER_FAMILY
17	OL+E_GRADE	teol|dsheol	MISSING	MISSING	1	2	EE_LONG|EEE_FULL	2	2	ONLY_PREDICT_WITH_SISTER_FAMILY
18	OT+AIIN+E_GRADE	qotedaiin	MISSING	MISSING	1	2	EE_LONG|EEE_FULL	1	1	ONLY_PREDICT_WITH_SISTER_FAMILY
19	OT+E_GRADE+DY	otedy	qoteedy	MISSING	2	1	EEE_FULL	2	4	EXTEND_DIRECTLY
20	OT+E_GRADE+Y	MISSING	oteey	MISSING	1	2	E_SHORT|EEE_FULL	1	2	ONLY_PREDICT_WITH_SISTER_FAMILY
