event_id	page	record	statement_id	surface	exact_card_id	component_recipe	result_components	material_result_classes_de	complete_card_reading_de	step_closed	material_identity_known
E086	f56r	H5	H5-S002	cheeckhody	PROC057	CH+EE+CKH+O+DY	CKH	DURCHGELAUFEN	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	YES	NO
E173	f82r	B2	B2-S004	lcheckhy	PROC101	L+CKH+Y	CKH	DURCHGELAUFEN	LEITEN · DURCHLASS · POSTEN	NO	NO
E176	f82r	B2	B2-S004	lcheckhedy	PROC103	L+CKH+E+DY	CKH	DURCHGELAUFEN	LEITEN · DURCHLASS · KURZ · SCHLUSS	YES	NO
E178	f82r	B2	B2-S005	solkaiin	PROC105	SOLK+AIIN	SOLK	GESAMMELT	SAMMELN · SOLLMASS	NO	NO
E179	f82r	B2	B2-S005	chckhy	PROC075	CKH+Y	CKH	DURCHGELAUFEN	DURCHLASS · POSTEN	NO	NO
E182	f82r	B2	B2-S005	octheol	PROC106	O+CTH+E+OL	CTH	BEREIT	ARBEITSGANG · BEREITEN · KURZ · WEITER	NO	NO
E183	f82r	B2	B2-S005	chkeey	PROC107	CHK+EE+Y	CHK	ERWAERMT	WAERMEN · LANG · POSTEN	NO	NO
E187	f82r	B2	B2-S006	sheckhy	PROC110	SH+E+CKH+Y	CKH	DURCHGELAUFEN	HALTEN · KURZ · DURCHLASS · POSTEN	NO	NO
E192	f82r	B2	B2-S008	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E204	f82r	B2	B2-S012	qcthey	PROC117	CTH+E+Y	CTH	BEREIT	BEREITEN · KURZ · POSTEN	NO	NO
E209	f82r	B2	B2-S012	qokeeedy	PROC119	OK+EEE+DY	OK+EEE+DY	VOLLSTAENDIG_ANGELEGT	ANSETZEN · VOLL · SCHLUSS	YES	NO
E225	f82r	B2	B2-S019	rshedy	PROC128	R+SHED+DY	SHED	ABGESETZT	KUEHLEN · STEHENLASSEN · SCHLUSS	YES	NO
