event_id	page	record	statement_id	surface	exact_card_id	component_recipe	result_components	material_result_classes_de	complete_card_reading_de	step_closed	material_identity_known
E002	f10r	H1	H1-S001	cthoor	PROC002	CTH+O+OR	CTH	BEREIT	BEREITEN · ARBEITSGANG · ANSATZ	NO	NO
E014	f10r	H1	H1-S002	cthy	PROC014	CTH+Y	CTH	BEREIT	BEREITEN · POSTEN	NO	NO
E016	f10r	H2	H2-S001	cthy	PROC014	CTH+Y	CTH	BEREIT	BEREITEN · POSTEN	NO	NO
E018	f10r	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	CTH	BEREIT	BEREITEN · SOLLMASS	NO	NO
E019	f10r	H2	H2-S001	qoctholy	PROC018	O+CTH+OL+Y	CTH	BEREIT	ARBEITSGANG · BEREITEN · WEITER · POSTEN	NO	NO
E054	f11r	H3	H3-S004	cthy	PROC014	CTH+Y	CTH	BEREIT	BEREITEN · POSTEN	NO	NO
E066	f55v	H4	H4-S003	cheeky	PROC046	CHK+EE+Y	CHK	ERWAERMT	WAERMEN · LANG · POSTEN	NO	NO
E086	f56r	H5	H5-S002	cheeckhody	PROC057	CH+EE+CKH+O+DY	CKH	DURCHGELAUFEN	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	YES	NO
E115	f81v	B1	B1-S002	sheckhal	PROC073	SH+E+CKH+AL	CKH	DURCHGELAUFEN	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	NO	NO
E119	f81v	B1	B1-S002	chckhy	PROC075	CKH+Y	CKH	DURCHGELAUFEN	DURCHLASS · POSTEN	NO	NO
E125	f81v	B1	B1-S004	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E128	f81v	B1	B1-S006	shckhy	PROC075	CKH+Y	CKH	DURCHGELAUFEN	DURCHLASS · POSTEN	NO	NO
E134	f81v	B1	B1-S008	cheky	PROC083	CHK+E+Y	CHK	ERWAERMT	WAERMEN · KURZ · POSTEN	NO	NO
E136	f81v	B1	B1-S008	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E139	f81v	B1	B1-S011	chckhy	PROC075	CKH+Y	CKH	DURCHGELAUFEN	DURCHLASS · POSTEN	NO	NO
E146	f81v	B1	B1-S014	qolky	PROC087	SOLK+Y	SOLK	GESAMMELT	SAMMELN · POSTEN	NO	NO
E155	f81v	B1	B1-S016	cheedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E162	f81v	B1	B1-S018	olkeedy	PROC098	SOLK+EE+DY	SOLK	GESAMMELT	SAMMELN · LANG · SCHLUSS	YES	NO
E163	f81v	B1	B1-S019	tedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E164	f81v	B1	B1-S020	cheky	PROC083	CHK+E+Y	CHK	ERWAERMT	WAERMEN · KURZ · POSTEN	NO	NO
E165	f81v	B1	B1-S020	shckhedy	PROC099	SH+CKH+E+DY	CKH	DURCHGELAUFEN	HALTEN · DURCHLASS · KURZ · SCHLUSS	YES	NO
E173	f82r	B2	B2-S004	lcheckhy	PROC101	L+CKH+Y	CKH	DURCHGELAUFEN	LEITEN · DURCHLASS · POSTEN	NO	NO
E176	f82r	B2	B2-S004	lcheckhedy	PROC103	L+CKH+E+DY	CKH	DURCHGELAUFEN	LEITEN · DURCHLASS · KURZ · SCHLUSS	YES	NO
E178	f82r	B2	B2-S005	solkaiin	PROC105	SOLK+AIIN	SOLK	GESAMMELT	SAMMELN · SOLLMASS	NO	NO
E179	f82r	B2	B2-S005	chckhy	PROC075	CKH+Y	CKH	DURCHGELAUFEN	DURCHLASS · POSTEN	NO	NO
E182	f82r	B2	B2-S005	octheol	PROC106	O+CTH+E+OL	CTH	BEREIT	ARBEITSGANG · BEREITEN · KURZ · WEITER	NO	NO
E183	f82r	B2	B2-S005	chkeey	PROC107	CHK+EE+Y	CHK	ERWAERMT	WAERMEN · LANG · POSTEN	NO	NO
E187	f82r	B2	B2-S006	sheckhy	PROC110	SH+E+CKH+Y	CKH	DURCHGELAUFEN	HALTEN · KURZ · DURCHLASS · POSTEN	NO	NO
E192	f82r	B2	B2-S008	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E204	f82r	B2	B2-S012	qcthey	PROC117	CTH+E+Y	CTH	BEREIT	BEREITEN · KURZ · POSTEN	NO	NO
E209	f82r	B2	B2-S012	qokeeedy	PROC119	OK+EEE+DY	OK+EEE+DY	VOLLSTAENDIG_ANGELEGT	ANSETZEN · VOLL · SCHLUSS	YES	NO
E225	f82r	B2	B2-S019	rshedy	PROC128	R+SHED+DY	SHED	ABGESETZT	KUEHLEN · STEHENLASSEN · SCHLUSS	YES	NO
E229	f83r	B3	B3-S001	olkeedy	PROC098	SOLK+EE+DY	SOLK	GESAMMELT	SAMMELN · LANG · SCHLUSS	YES	NO
E231	f83r	B3	B3-S002	chkeedy	PROC132	CHK+EE+DY	CHK	ERWAERMT	WAERMEN · LANG · SCHLUSS	YES	NO
E250	f83r	B3	B3-S011	shecthedchy	PROC136	SH+E+CTH+CHD+Y	CTH	BEREIT	HALTEN · KURZ · BEREITEN · UMSETZEN · POSTEN	NO	NO
E255	f83r	B3	B3-S012	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E258	f83r	B3	B3-S013	shcthey	PROC117	CTH+E+Y	CTH	BEREIT	BEREITEN · KURZ · POSTEN	NO	NO
E266	f83r	B3	B3-S018	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E271	f83r	B3	B3-S021	shcthy	PROC014	CTH+Y	CTH	BEREIT	BEREITEN · POSTEN	NO	NO
E275	f83r	B3	B3-S021	shedal	PROC142	SHED+AL	SHED	ABGESETZT	STEHENLASSEN · ZIELSTELLE	NO	NO
E276	f83r	B3	B3-S021	shecthy	PROC143	SH+E+CTH+Y	CTH	BEREIT	HALTEN · KURZ · BEREITEN · POSTEN	NO	NO
E279	f83r	B3	B3-S021	shcthy	PROC014	CTH+Y	CTH	BEREIT	BEREITEN · POSTEN	NO	NO
E289	f83r	B3	B3-S026	checthy	PROC014	CTH+Y	CTH	BEREIT	BEREITEN · POSTEN	NO	NO
E291	f83r	B3	B3-S026	solkeedy	PROC098	SOLK+EE+DY	SOLK	GESAMMELT	SAMMELN · LANG · SCHLUSS	YES	NO
E310	f83r	B3	B3-S034	checthy	PROC014	CTH+Y	CTH	BEREIT	BEREITEN · POSTEN	NO	NO
E314	f83r	B3	B3-S034	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E325	f83r	B4	B4-S003	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E330	f83r	B4	B4-S006	shckhedy	PROC099	SH+CKH+E+DY	CKH	DURCHGELAUFEN	HALTEN · DURCHLASS · KURZ · SCHLUSS	YES	NO
E331	f83r	B4	B4-S007	shckhedy	PROC099	SH+CKH+E+DY	CKH	DURCHGELAUFEN	HALTEN · DURCHLASS · KURZ · SCHLUSS	YES	NO
E333	f83r	B4	B4-S008	cheeky	PROC046	CHK+EE+Y	CHK	ERWAERMT	WAERMEN · LANG · POSTEN	NO	NO
E336	f83r	B4	B4-S009	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E339	f83r	B4	B4-S011	cheky	PROC083	CHK+E+Y	CHK	ERWAERMT	WAERMEN · KURZ · POSTEN	NO	NO
E347	f83r	B4	B4-S013	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E350	f83r	B4	B4-S014	qockhey	PROC161	O+CKH+E+Y	CKH	DURCHGELAUFEN	ARBEITSGANG · DURCHLASS · KURZ · POSTEN	NO	NO
E355	f83r	B4	B4-S015	chckhal	PROC163	CH+CKH+AL	CKH	DURCHGELAUFEN	ENTNEHMEN · DURCHLASS · ZIELSTELLE	NO	NO
E356	f83r	B4	B4-S015	solkey	PROC164	SOLK+E+Y	SOLK	GESAMMELT	SAMMELN · KURZ · POSTEN	NO	NO
E361	f83r	B4	B4-S016	shedy	PROC078	SHED+DY	SHED	ABGESETZT	STEHENLASSEN · SCHLUSS	YES	NO
E364	f83r	B5	B5-S003	shedal	PROC142	SHED+AL	SHED	ABGESETZT	STEHENLASSEN · ZIELSTELLE	NO	NO
E373	f83r	B6	B6-S001	solkeey	PROC170	SOLK+EE+Y	SOLK	GESAMMELT	SAMMELN · LANG · POSTEN	NO	NO
