statement_id	page	record	surface_sequence	result_sequence_de	complete_working_reading_de	result_events	closed_result_events	precise_acceptance_criterion
H1-S001	f10r	H1	dchey cthoor char chty os chair otytchol oky daiin etyd	BEREIT	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.	1	0	MASTER_OR_PICTURE
H2-S001	f10r	H2	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	BEREIT	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass im Arbeitsgang weiter bereiten und als aktuellen Posten verfuegbar lassen.	3	0	MASTER_OR_PICTURE
B3-S001	f83r	B3	olkeedy	GESAMMELT	An der oberen offenen Faecherstation: Laenger sammeln und den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B6-S001	f83r	B6	solkeey qekey raly ol daiin ol dain chey ldalor	GESAMMELT	An der rechten S-Lauf-Nebenstation: Den Posten laenger sammeln, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.	1	0	MASTER_OR_PICTURE
H1-S002	f10r	H1	qokchy qotchol chol cthy	BEREIT	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	1	0	MASTER_OR_PICTURE
H5-S002	f56r	H5	schol choy choky cheeckhody	DURCHGELAUFEN	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	1	1	MASTER_OR_PICTURE
B1-S002	f81v	B1	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	DURCHGELAUFEN	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	2	0	MASTER_OR_PICTURE
B3-S002	f83r	B3	qotal chkeedy	ERWAERMT	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
H4-S003	f55v	H4	ykaiin cheoar cheeky oldy	ERWAERMT	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.	1	0	MASTER_OR_PICTURE
B4-S003	f83r	B4	chedy otal otchey qokeey qoky tol shedy	ABGESETZT	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, stehen lassen und schliessen.	1	1	MASTER_OR_PICTURE
B5-S003	f83r	B5	shedal dal cheol lol chdal aiin sol daiiin chedy	ABGESETZT	An der linken offenen Nebenstation: An der Zielstelle stehen lassen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, bis zur zweiten Stufe fuehren und den Posten umsetzen.	1	0	MASTER_OR_PICTURE
H3-S004	f11r	H3	qotchy okchol cthy dy	BEREIT	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	1	0	MASTER_OR_PICTURE
B1-S004	f81v	B1	chedy ol shedy	ABGESETZT	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann weiterarbeiten; dann stehen lassen; den Schritt schliessen.	1	1	MASTER_OR_PICTURE
B2-S004	f82r	B2	qokal lcheckhy lched qokeey lcheckhedy	DURCHGELAUFEN	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass leiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass leiten und schliessen.	2	1	MASTER_OR_PICTURE
B2-S005	f82r	B2	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	GESAMMELT -> DURCHGELAUFEN -> BEREIT -> ERWAERMT	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass sammeln. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	4	0	MASTER_OR_PICTURE
