page	domain	visible_items	exercise_de	forbidden_shortcut_de	pass_condition_de
f10r	PROSE	38	Besitzer bestimmen; erste vollständige Aussage mit Karten und Automatenzuständen vorwärts/rückwärts schreiben.	Zeilenende als Satzende behandeln	Alle sichtbaren Elemente in Originalreihenfolge und richtiger lokaler Bindung.
f11r	PROSE	17	Besitzer bestimmen; erste vollständige Aussage mit Karten und Automatenzuständen vorwärts/rückwärts schreiben.	Zeilenende als Satzende behandeln	Alle sichtbaren Elemente in Originalreihenfolge und richtiger lokaler Bindung.
f55v	PROSE	18	Besitzer bestimmen; erste vollständige Aussage mit Karten und Automatenzuständen vorwärts/rückwärts schreiben.	Zeilenende als Satzende behandeln	Alle sichtbaren Elemente in Originalreihenfolge und richtiger lokaler Bindung.
f56r	PROSE	27	Besitzer bestimmen; erste vollständige Aussage mit Karten und Automatenzuständen vorwärts/rückwärts schreiben.	Zeilenende als Satzende behandeln	Alle sichtbaren Elemente in Originalreihenfolge und richtiger lokaler Bindung.
f81v	PROSE	66	Besitzer bestimmen; erste vollständige Aussage mit Karten und Automatenzuständen vorwärts/rückwärts schreiben.	Zeilenende als Satzende behandeln	Alle sichtbaren Elemente in Originalreihenfolge und richtiger lokaler Bindung.
f82r	PROSE	62	Besitzer bestimmen; erste vollständige Aussage mit Karten und Automatenzuständen vorwärts/rückwärts schreiben.	Zeilenende als Satzende behandeln	Alle sichtbaren Elemente in Originalreihenfolge und richtiger lokaler Bindung.
f83r	PROSE	153	Besitzer bestimmen; erste vollständige Aussage mit Karten und Automatenzuständen vorwärts/rückwärts schreiben.	Zeilenende als Satzende behandeln	Alle sichtbaren Elemente in Originalreihenfolge und richtiger lokaler Bindung.
f67r2	ASTRO	190	Ersten lokalen Namensraum und einen Locus wählen; gesamte Etikette kopieren; danach RESET.	Start, Drehrichtung oder Seitenkey erfinden	Alle sichtbaren Elemente in Originalreihenfolge und richtiger lokaler Bindung.
f68r1	ASTRO	65	Ersten lokalen Namensraum und einen Locus wählen; gesamte Etikette kopieren; danach RESET.	Start, Drehrichtung oder Seitenkey erfinden	Alle sichtbaren Elemente in Originalreihenfolge und richtiger lokaler Bindung.
f69v	ASTRO	140	Ersten lokalen Namensraum und einen Locus wählen; gesamte Etikette kopieren; danach RESET.	Start, Drehrichtung oder Seitenkey erfinden	Alle sichtbaren Elemente in Originalreihenfolge und richtiger lokaler Bindung.
