page	locus	target_surfaces	zl3b_line	v32_tokenwise_de	v33_tokenwise_de	complete_v33
f100r	f100r.14	otal	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo	Blüten-/Fruchtstand; reproduktiver Teil | [chkeey:?] | kalt am Ende des Grades | [qokeody:?] | [qoteold:?] | [qokeol:?] | [so:?] | Wurzel, Typ/Charge III | Ansatz aus kaltem Rohstoff, Form I | [ykeeeo:?]	Blüten-/Fruchtstand; reproduktiver Teil | [chkeey:?] | kalt am Ende des Grades | [qokeody:?] | [qoteold:?] | [qokeol:?] | [so:?] | Wurzel, Typ/Charge III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [ykeeeo:?]	False
f103r	f103r.1	qotal|okal	pchedal shdy ytechypchy otey lshey qoteey qotal shedy yshdal dain okal daldy	[pchedal:?] | feucht am Anfang des Grades, abgeschlossen | [ytechypchy:?] | kalter Ansatz in der Mitte des Grades | eingeweichtes Drogenholz, Form I | kalt am Ende des Grades | [qotal:?] | feucht in der Mitte des Grades, abgeschlossen | [yshdal:?] | Grad-/Maßwert II | Ansatz aus heißem Rohstoff, Form I | abgemessene Rohstoffmenge I, abgeschlossen	[pchedal:?] | feucht am Anfang des Grades, abgeschlossen | [ytechypchy:?] | kalter Ansatz in der Mitte des Grades | eingeweichtes Drogenholz, Form I | kalt am Ende des Grades | Rohstoffklasse I, kalt am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | [yshdal:?] | Grad-/Maßwert II | Rohstoffklasse I im Ansatz, heiß am Gradanfang | abgemessene Rohstoffmenge I, abgeschlossen	False
f103r	f103r.17	qokal	sar shey qokey keedy qokeey chckhy qokal oty or aiin	Samenfraktion I | feucht in der Mitte des Grades | heiß in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades | Arzneikompositum: trocken, Gradanfang | heiße Substanz | kalter Ansatz am Anfang des Grades | Drogenportion | Menge III	Samenfraktion I | feucht in der Mitte des Grades | heiß in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades | Arzneikompositum: trocken, Gradanfang | Rohstoffklasse I, heiß am Gradanfang | kalter Ansatz am Anfang des Grades | Drogenportion | Menge III	True
f103r	f103r.21	otal|qokal	pcheam sokedy dalkar otal qokal chepy okedy qoky pchedy okaly qokeedy lor	[pcheam:?] | [sokedy:?] | [dalkar:?] | Ansatz aus kaltem Rohstoff, Form I | heiße Substanz | [chepy:?] | heißer Ansatz in der Mitte des Grades, abgeschlossen | heiß am Anfang des Grades | getrocknetes Pulver | [okaly:?] | heiß am Ende des Grades, abgeschlossen | Holzportion	[pcheam:?] | [sokedy:?] | [dalkar:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Rohstoffklasse I, heiß am Gradanfang | [chepy:?] | heißer Ansatz in der Mitte des Grades, abgeschlossen | heiß am Anfang des Grades | getrocknetes Pulver | [okaly:?] | heiß am Ende des Grades, abgeschlossen | Holzportion	False
f103r	f103r.24	okeal|qokal	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky	[tchoky:?] | [okeal:?] | feucht in der Mitte des Grades, abgeschlossen | heiße Substanz | kalter Ansatz am Anfang des Grades | [opchedy:?] | kalt im qo-Rahmen, Grad II | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kalter Ansatz in der Mitte des Grades | Grad-/Maßwert II | kalter Ansatz am Ende des Grades | heißer Ansatz am Anfang des Grades	[tchoky:?] | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | feucht in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | kalter Ansatz am Anfang des Grades | [opchedy:?] | kalt im qo-Rahmen, Grad II | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kalter Ansatz in der Mitte des Grades | Grad-/Maßwert II | kalter Ansatz am Ende des Grades | heißer Ansatz am Anfang des Grades	False
f103r	f103r.29	chal	qokeeechy shokeey qochey qokeey chal chedy	[qokeeechy:?] | heiß-feuchter Ansatz am Gradende | [qochey:?] | heiß am Ende des Grades | [chal:?] | trocken in der Mitte des Grades, abgeschlossen	[qokeeechy:?] | heiß-feuchter Ansatz am Gradende | [qochey:?] | heiß am Ende des Grades | Rohstoffklasse I, trocken am Gradanfang | trocken in der Mitte des Grades, abgeschlossen	False
f103r	f103r.3	chal	yshdain sheek cheoty eeokal chedy chckhy or orol okaiin eeal ot kar otar chal	[yshdain:?] | [sheek:?] | [cheoty:?] | [eeokal:?] | trocken in der Mitte des Grades, abgeschlossen | Arzneikompositum: trocken, Gradanfang | Drogenportion | Drogenstoffportion | heiß, Grad III, im Ansatzrahmen | [eeal:?] | [ot:?] | heiße Drogenfraktion I | kalte Drogenfraktion I im Ansatz | [chal:?]	[yshdain:?] | [sheek:?] | [cheoty:?] | [eeokal:?] | trocken in der Mitte des Grades, abgeschlossen | Arzneikompositum: trocken, Gradanfang | Drogenportion | Drogenstoffportion | heiß, Grad III, im Ansatzrahmen | [eeal:?] | [ot:?] | heiße Drogenfraktion I | kalte Drogenfraktion I im Ansatz | Rohstoffklasse I, trocken am Gradanfang	False
f103r	f103r.31	chal|qokal	soiin chol kaiin chal okaiin shckhy qokal shdar shchdy okaiin chty	Samen/Saatgutzubereitung, Form III | trocken; nominal trockenes Gut/Material | heiß, Grad III | [chal:?] | heiß, Grad III, im Ansatzrahmen | Arzneikompositum: feucht, Gradanfang | heiße Substanz | [shdar:?] | [shchdy:?] | heiß, Grad III, im Ansatzrahmen | [chty:?]	Samen/Saatgutzubereitung, Form III | trocken; nominal trockenes Gut/Material | heiß, Grad III | Rohstoffklasse I, trocken am Gradanfang | heiß, Grad III, im Ansatzrahmen | Arzneikompositum: feucht, Gradanfang | Rohstoffklasse I, heiß am Gradanfang | [shdar:?] | [shchdy:?] | heiß, Grad III, im Ansatzrahmen | [chty:?]	False
f103r	f103r.32	qokal	okeey shedy qokedy qokal shety otedy shcthy oraiin	heißer Ansatz am Ende des Grades | feucht in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades, abgeschlossen | heiße Substanz | [shety:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | Portion III	heißer Ansatz am Ende des Grades | feucht in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | [shety:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | Portion III	False
f103r	f103r.33	qokal	qokeey chechy qokey shckhy choldy qokal y shedy yteedy qotail shedy	heiß am Ende des Grades | [chechy:?] | heiß in der Mitte des Grades | Arzneikompositum: feucht, Gradanfang | [choldy:?] | heiße Substanz | [y:?] | feucht in der Mitte des Grades, abgeschlossen | [yteedy:?] | [qotail:?] | feucht in der Mitte des Grades, abgeschlossen	heiß am Ende des Grades | [chechy:?] | heiß in der Mitte des Grades | Arzneikompositum: feucht, Gradanfang | [choldy:?] | Rohstoffklasse I, heiß am Gradanfang | [y:?] | feucht in der Mitte des Grades, abgeschlossen | [yteedy:?] | [qotail:?] | feucht in der Mitte des Grades, abgeschlossen	False
