family	surface	decomposition	quality_position	v32_meaning_de	v33_meaning_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	final_status
BASE	al	AL	BASE	Rohstoffklasse I	Rohstoffklasse I	204	63	167	167	V32_BASE
CH	chal	CH+ZERO_E+AL	START	OPEN	Rohstoffklasse I, trocken am Gradanfang	42	26	35	35	ACCEPTED_V33
CH	cheal	CH+E+AL	MIDDLE	OPEN	Rohstoffklasse I, trocken in der Gradmitte	26	13	25	25	ACCEPTED_V33
CH	cheeal	CH+EE+AL	END	OPEN	Rohstoffklasse I, trocken am Gradende	3	3	2	2	ACCEPTED_V33
CH	cheeeal	CH+EEE+AL	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	1	1	1	1	OBSERVED_EEE_OUTSIDE_THREE_POSITION_AXIS
SH	shal	SH+ZERO_E+AL	START	OPEN	Rohstoffklasse I, feucht am Gradanfang	15	12	11	11	ACCEPTED_V33
SH	sheal	SH+E+AL	MIDDLE	OPEN	Rohstoffklasse I, feucht in der Gradmitte	14	12	13	13	ACCEPTED_V33
SH	sheeal	SH+EE+AL	END	OPEN	Rohstoffklasse I, feucht am Gradende	2	2	1	1	ACCEPTED_V33
SH	sheeeal	SH+EEE+AL	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
K	kal	K+ZERO_E+AL	START	OPEN	Rohstoffklasse I, heiß am Gradanfang	25	21	14	14	ACCEPTED_V33
K	keal	K+E+AL	MIDDLE	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
K	keeal	K+EE+AL	END	OPEN	NOT_ASSIGNED	1	1	0	0	OBSERVED_ZERO_EXACT_SUPERFORM_WARNING
K	keeeal	K+EEE+AL	EEE_OUTSIDE_AXIS	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
T	tal	T+ZERO_E+AL	START	OPEN	Rohstoffklasse I, kalt am Gradanfang	20	13	14	14	ACCEPTED_V33
