surface	page	locus	zl3b_line	it2a_line	rf1b_line	reader_support	working_meaning_de	decision
chal	f104r	f104r.24	daiin char qotal okechol olkeeor olkeeodal lkaiin chal keeedy qokam	daiin char qotal okechol olkeeor olkeeodal lkaiin chalkeeedy qokam	daiin char qotal okechol olkeeor ol keeodal lkaiin chal keee y qokam	READER_VARIANT	Rohstoffklasse I, trocken am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chal	f106r	f106r.29	saiin chal chlal okal ykalaiin okain qokain ar okaiin char aiiny		saiin chal chlal okal ykalaiin okain qokain ar okaiin chor aiiny	READER_VARIANT	Rohstoffklasse I, trocken am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chal	f106v	f106v.42	py chal shedy qoteedy cheyky okedaiin otedy odaiin chdy chy keedy lkey	pychal shedy qoteedy cheyky okedaiin otedy odaiin chdy chy keedy lkey	py chal shedy qotee y cheyky okedaiin ote y odaiin chdy chy kee y lkey	READER_VARIANT	Rohstoffklasse I, trocken am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chal	f108r	f108r.19	dchedy okeedar shchy okol kedy okeedy chal raiin otedy chtal om	dchedy okeedar shchy okol kedy okeedy chal raiin otedy chtal om	dchedy okee ar shchy okol kedy okeedy chalraiin otedy chtal om	READER_VARIANT	Rohstoffklasse I, trocken am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chal	f113r	f113r.23	ykeoeshy qokaiin chal kiin chckhey lkchey qokal chocthy lkchor lkchedy lkaiin	ykeoeshy qokaiin chol kiin chckhey lkchey qokal chocthy lkchor lkchedy lkaiin	ykeoeshy qokaiin chol kiin chckhey lkchey qokal chocthy lkchor lkche y lkaiin	READER_VARIANT	Rohstoffklasse I, trocken am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chal	f23r	f23r.10	qok okaiin chkchy s yteain odal chal dy dar ykain	qok okaiin chkchy s yteair odal chal dy dar ykain	qok okaiin chkchy s yteain odal chaldy dar ykain	READER_VARIANT	Rohstoffklasse I, trocken am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
chal	f56r	f56r.1	o chal chchs y oty esedy chy ychocphy chorchy chy	otchal chchsty oty esedy chy ycho cphy chor chy chy	o chal chchs y oty esedy chy ychocphy chorchy chy	READER_VARIANT	Rohstoffklasse I, trocken am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
cheal	f66r	f66r.64	dalcheeeky sheol dairody chekchy shed ykesho l lor sheor cheal	dalcheeeky sheol dairody chekchy shed ykesheo l lor sheor cheyl	dalcheeeky sheol dairody chekchy shed ytesho l lor sheor che l	READER_VARIANT	Rohstoffklasse I, trocken in der Gradmitte	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
cheeal	f83v	f83v.17	qokain cheeal qokaiin sheol qokear cheedy olcheey qokal qokay	qotaiin cheeol qokaiin sheol qokear cheedy olcheey qokal qokaoy	qokain chee l qokaiin sheol qokear chee y olcheey qokal qokany	READER_VARIANT	Rohstoffklasse I, trocken am Gradende	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shal	f103v	f103v.9	pchal shal shorchdy okeor okaiin shedy pchedy qotchedy qotar ol lkar	pchal shal shorchdy okeor okain shedy pchedy qotchedy qotar ol lkar	pchalshal shorch y okear okaiin shedy pchedy qotchedy qotar ol lkar	READER_VARIANT	Rohstoffklasse I, feucht am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
shal	f106r	f106r.1	pshdar shoefy yteedy shal korchy sheky otchedy okshed qotedy qoted yteeody	pshdar shoefy yteedy shol korchy sheky otchedy okshed qotedy qoted yteeody	pshdar shoefy yteedy shal korchy sheky otchedy okshed qotedy qoted ykeeody	READER_VARIANT	Rohstoffklasse I, feucht am Gradanfang	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
