round	surface	mode	dictionary_entries	dictionary_sha256	physical_lines	known_token_positions	unknown_token_positions	complete_multi_token_lines	strict_complete_lines	one_unknown_lines	strict_one_unknown_lines	working_glossary_surfaces
0	BASE_V32	BASE	529	0dfd24b5e901b9599cb1116a0ed5cd5bb676cbac741dd7decdec6ce91439afb2	4128	16398	15941	130	77	225	54	453
1	chal	NEW_EXACT_WHOLE	530	bdba925abd44011d45107fdc36d42211c7562ad6b8a3909f4d2e56938db147c4	4128	16440	15899	131	78	226	53	454
2	cheal	NEW_EXACT_WHOLE	531	e9c2027ecbb7f057b90b568b1575d4b31fcdb245c9bc729c5440304869b1f7d3	4128	16466	15873	131	78	228	54	455
3	cheeal	NEW_EXACT_WHOLE	532	d8b70bef55264aa4c67a9b271813613e91ed8274967b2171aa609d9a3422eff0	4128	16469	15870	131	78	228	54	456
4	shal	NEW_EXACT_WHOLE	533	741ade507cd6a2488dc0d63a49a89c90bf4766622542dae3fb0bb5d3669949e1	4128	16484	15855	131	78	228	54	457
5	sheal	NEW_EXACT_WHOLE	534	02a1f38a99c774d9db509fe05fbfc5f0bd7e8e26d01a125c6007231c02424db8	4128	16498	15841	131	78	230	56	458
6	sheeal	NEW_EXACT_WHOLE	535	9d06860b7c8a666decca3845cd24323d754d8b2bf831c280cb7b6f8f2a394b44	4128	16500	15839	132	78	229	56	459
7	kal	NEW_EXACT_WHOLE	536	19560a55f1a37dc692c570c60043dd90c2c1416d529183d7695724a9a297c070	4128	16525	15814	132	78	232	56	460
8	tal	NEW_EXACT_WHOLE	537	304f83ae6f49951e5082cdf15eb5bafe511435a72039202c6d446fc369d2c46d	4128	16545	15794	132	78	234	56	461
9	oal	NEW_EXACT_WHOLE	538	5bf683af402d6f6f2544a33f3e121af4a6f60216d00e25e0dceeda1e37be51b9	4128	16547	15792	132	78	234	56	462
10	oeeal	NEW_EXACT_WHOLE_LOCAL_ANALOGY	539	3c344d5770f2191f203eddd39fafeccf603f72d70e8da8bb9ae2166c5f13abba	4128	16549	15790	132	78	234	56	463
11	okal	REVISE_AL_QUALITY_MODEL	540	225a85073e57cf8f598eb0352f5d09d4df22d371e69e2fc0703ba8e357d29fce	4128	16549	15790	132	78	234	56	463
12	okeal	NEW_EXACT_WHOLE	541	c6eb152c15457db1cee498904375769f1bea842fa8081fb7e53e91de6a589116	4128	16559	15780	132	78	234	56	464
13	otal	REVISE_AL_QUALITY_MODEL	542	ed13107fdb09626e0c8428b7ed89012f06dd5ae6cce558bc40b4f7400a23c654	4128	16559	15780	132	78	234	56	464
14	oteal	NEW_EXACT_WHOLE	543	33ce0d3b00876663fd3c55f9fc9fe1c68421929a0d4ded2108ac5dc45d54e754	4128	16564	15775	132	78	234	56	465
15	oteeal	NEW_EXACT_WHOLE	544	2d5a229004a9d9ca471a437d44a96026604bdafd6a8c816a3979b2e8d89140bc	4128	16565	15774	132	78	234	56	466
16	qoal	NEW_EXACT_WHOLE	545	fcbf9d0d1eb7bde0f2806ded49138a1c3691846f1864adb46a66399023f3c1be	4128	16570	15769	132	78	234	56	467
17	qokal	REVISE_AL_QUALITY_MODEL	546	4aae918a3373073875f69f907d8c2c57f99ee9859a34a181aa4b911f4c63c36b	4128	16570	15769	132	78	234	56	467
18	qokeal	NEW_EXACT_WHOLE	547	024a95d60504950bd42a73e6deb4abaa9b2711ef1cce4949509b50006d55a46b	4128	16574	15765	132	78	234	56	468
19	qokeeal	NEW_EXACT_WHOLE	548	87d0b9f4c723c70ae8b9f3ecd865c298d4d032ee6f9ea5c2658668023fc4dd1b	4128	16576	15763	132	78	234	56	469
20	qotal	NEW_EXACT_WHOLE	549	8c069884a0349cfb624218b8e3c0770473f8a263b491e57ca541d4b46d79d338	4128	16633	15706	133	78	238	57	470
21	qoteal	NEW_EXACT_WHOLE	550	c5284a99e0570951574b2658fae74d35bb9e4df4dd700b41cce6437794a5871c	4128	16635	15704	133	78	239	57	471
