surface	entry	kind	working_meaning_de	composition	context_rule	status	occurrences	acceptance_mode
chal	chal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I, trocken am Gradanfang	CH_DRY_START+AL_CLASS_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 42 audited occurrences; 35 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_01	42	NEW_EXACT_WHOLE
cheal	cheal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I, trocken in der Gradmitte	CH_DRY_MIDDLE+AL_CLASS_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 26 audited occurrences; 25 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_02	26	NEW_EXACT_WHOLE
cheeal	cheeal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I, trocken am Gradende	CH_DRY_END+AL_CLASS_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 3 audited occurrences; 2 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_03	3	NEW_EXACT_WHOLE
shal	shal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I, feucht am Gradanfang	SH_MOIST_START+AL_CLASS_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 15 audited occurrences; 11 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_04	15	NEW_EXACT_WHOLE
sheal	sheal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I, feucht in der Gradmitte	SH_MOIST_MIDDLE+AL_CLASS_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 14 audited occurrences; 13 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_05	14	NEW_EXACT_WHOLE
sheeal	sheeal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I, feucht am Gradende	SH_MOIST_END+AL_CLASS_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 2 audited occurrences; 1 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_06	2	NEW_EXACT_WHOLE
kal	kal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I, heiß am Gradanfang	K_HOT_START+AL_CLASS_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 25 audited occurrences; 14 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_07	25	NEW_EXACT_WHOLE
tal	tal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I, kalt am Gradanfang	T_COLD_START+AL_CLASS_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 20 audited occurrences; 14 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_08	20	NEW_EXACT_WHOLE
oal	oal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I im Ansatz	O_PREP+AL_CLASS_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 2 audited occurrences; 2 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_09	2	NEW_EXACT_WHOLE
oeeal	oeeal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE_LOCAL_ANALOGY	Rohstoffklasse I im Ansatz, am Gradende	OEEAL_EXACT_WHOLE_LOCAL_ANALOGY;O_AL_PARALLEL;EE_END_RIVAL	exact complete surface only; mode=NEW_EXACT_WHOLE_LOCAL_ANALOGY; 2 audited occurrences; 2 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_10	2	NEW_EXACT_WHOLE_LOCAL_ANALOGY
okal	okal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_REVISE_AL_QUALITY_MODEL	Rohstoffklasse I im Ansatz, heiß am Gradanfang	O_PREP+K_HOT_START+AL_CLASS_I	exact complete surface only; mode=REVISE_AL_QUALITY_MODEL; 123 audited occurrences; 102 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_11	123	REVISE_AL_QUALITY_MODEL
okeal	okeal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Rohstoffklasse I im Ansatz, heiß in der Gradmitte	O_PREP+K_HOT_MIDDLE+AL_CLASS_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 10 audited occurrences; 8 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_12	10	NEW_EXACT_WHOLE
otal	otal@GDT656_EXACT_WHOLE	EXACT_ZL3B_WHOLE_REVISE_AL_QUALITY_MODEL	Rohstoffklasse I im Ansatz, kalt am Gradanfang	O_PREP+T_COLD_START+AL_CLASS_I	exact complete surface only; mode=REVISE_AL_QUALITY_MODEL; 119 audited occurrences; 109 all-reader exact; supersedes current glossary card without deleting material history	NEW_V33_ACCEPTED_ROUND_13	119	REVISE_AL_QUALITY_MODEL
