introduced_round	enabled_by_surface	rank	score	strict_eligible	page	locus	section	language	hand	token_count	known_tokens	context_licensed_tokens	ambiguous_tokens	reader_unstable_tokens	unknown_tokens	coverage_fraction	reader_exact_tokens	split_normalized_tokens	all_three_present	all_present_exact	zl3b_line	token_glosses_de	gloss_sources	scope_states	unknown_ordinals	unknown_surfaces	unknown_ordinal	unknown_surface	previous	following	proposed_default_de	proposal_basis	proposal_strength	proposed_complete_translation_de
1	chal	51	7299200	0	f42r	f42r.20	H	A	1	8	7	3	0	1	1	0.875000	7	7	1	0	shol chol shoky okol sho chol shol chal	feucht; nominal feuchtes Gut/Material | trocken; nominal trockenes Gut/Material | heiß-feuchter Ansatz am Gradanfang | [okol:?] | feuchter Ansatz | trocken; nominal trockenes Gut/Material | feucht; nominal feuchtes Gut/Material | Rohstoffklasse I, trocken am Gradanfang	V13:MOIST_OL_FORM | V13:DRY_OL_FORM | GDT652:STRONG_COMPONENT_GRID | OPEN | V13:TARGET_SURFACE_DEFAULT | V13:DRY_OL_FORM | V13:MOIST_OL_FORM | GDT656:NEW_EXACT_WHOLE	KNOWN_CONTEXT_LICENSED | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE	4	okol	4	okol	shoky	sho	heiß, Material/Zubereitungsstoff, Zubereitung/Ansatz	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	feucht; nominal feuchtes Gut/Material; trocken; nominal trockenes Gut/Material; heiß-feuchter Ansatz am Gradanfang; heiß, Material/Zubereitungsstoff, Zubereitung/Ansatz; feuchter Ansatz; trocken; nominal trockenes Gut/Material; feucht; nominal feuchtes Gut/Material; Rohstoffklasse I, trocken am Gradanfang
1	chal	97	5299400	0	f76r	f76r.38	T	B	2	6	5	0	0	1	1	0.833333	5	5	1	0	oteey lchey chey olsheol qokal chal	kalter Ansatz am Ende des Grades | Drogenholz, trocken gebunden, Form I | trocken in der Mitte des Grades | [olsheol:?] | heiße Substanz | Rohstoffklasse I, trocken am Gradanfang	GDT647:FAMILY_MIGRATION | V13:SCOPED_RESIDUAL_HEAD_FORM | GDT647:FAMILY_MIGRATION | OPEN | V13:TARGET_SURFACE_DEFAULT | GDT656:NEW_EXACT_WHOLE	READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	4	olsheol	4	olsheol	chey	qokal	Material/Zubereitungsstoff, Zubereitung/Ansatz	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	kalter Ansatz am Ende des Grades; Drogenholz, trocken gebunden, Form I; trocken in der Mitte des Grades; Material/Zubereitungsstoff, Zubereitung/Ansatz; heiße Substanz; Rohstoffklasse I, trocken am Gradanfang
2	cheal	6	10298900	0	f108v	f108v.52	S	B	3	11	10	0	0	4	1	0.909091	7	8	1	0	saiin cheol qokeedy qokeedy chedy qokeey cheal llchey daiin okeey qokeey	Samen/Saatgut, Typ/Charge III | trockener Drogenstoff | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | Rohstoffklasse I, trocken in der Gradmitte | [llchey:?] | Grad-/Maßwert III | heißer Ansatz am Ende des Grades | heiß am Ende des Grades	V13:SCOPED_CONCRETE_HEAD_FORM | GDT642:ROUND_01 | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT656:NEW_EXACT_WHOLE | OPEN | V13:CONTEXTUAL_VALUE_SERIES | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE	8	llchey	8	llchey	cheal	daiin	Drogenholz: Grundform	VISIBLE_HEAD_PLUS_FIELD_COMPOSITION	MEDIUM	Samen/Saatgut, Typ/Charge III; trockener Drogenstoff; heiß am Ende des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades; Rohstoffklasse I, trocken in der Gradmitte; Drogenholz: Grundform; Grad-/Maßwert III; heißer Ansatz am Ende des Grades; heiß am Ende des Grades
2	cheal	88	5309400	1	f113v	f113v.44	S	B	3	6	5	3	0	0	1	0.833333	6	6	1	1	daiin cheal otain okar otaiin oloiin	Grad-/Maßwert III | Rohstoffklasse I, trocken in der Gradmitte | kalt im Zubereitungsrahmen, Grad II | heiße Drogenfraktion I im Ansatz | kalt im Zubereitungsrahmen, Grad III | [oloiin:?]	V13:CONTEXTUAL_VALUE_SERIES | GDT656:NEW_EXACT_WHOLE | V13:QUALITY_DEGREE_SERIES | GDT654:NEW_EXACT_WHOLE | V13:QUALITY_DEGREE_SERIES | OPEN	KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE	6	oloiin	6	oloiin	otaiin	<EOS>	Material/Zubereitungsstoff, Zubereitung/Ansatz	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	Grad-/Maßwert III; Rohstoffklasse I, trocken in der Gradmitte; kalt im Zubereitungsrahmen, Grad II; heiße Drogenfraktion I im Ansatz; kalt im Zubereitungsrahmen, Grad III; Material/Zubereitungsstoff, Zubereitung/Ansatz
5	sheal	125	4309500	1	f103r	f103r.44	S	B	3	5	4	0	0	0	1	0.800000	5	5	1	1	odeeey qokeey shey sheal otshedy	[odeeey:?] | heiß am Ende des Grades | feucht in der Mitte des Grades | Rohstoffklasse I, feucht in der Gradmitte | kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen	OPEN | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT656:NEW_EXACT_WHOLE | GDT647:FAMILY_MIGRATION	UNKNOWN_SURFACE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	1	odeeey	1	odeeey	<BOS>	qokeey	Zubereitung/Ansatz, Grundform	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	Zubereitung/Ansatz, Grundform; heiß am Ende des Grades; feucht in der Mitte des Grades; Rohstoffklasse I, feucht in der Gradmitte; kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen
5	sheal	51	7309200	1	f77r	f77r.20	B	B	2	8	7	1	0	0	1	0.875000	8	8	1	1	qotain sheal qokeedy qoteey qokain sheey qotedy dalchedy	kalt im qo-Rahmen, Grad II | Rohstoffklasse I, feucht in der Gradmitte | heiß am Ende des Grades, abgeschlossen | kalt am Ende des Grades | heiß, Grad II | feucht am Ende des Grades | kalt in der Mitte des Grades, abgeschlossen | [dalchedy:?]	V13:QUALITY_DEGREE_SERIES | GDT656:NEW_EXACT_WHOLE | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | V13:TARGET_SURFACE_DEFAULT | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | OPEN	KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE	8	dalchedy	8	dalchedy	qotedy	<EOS>	Rohstoff, fertig aufbereitete Form	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	kalt im qo-Rahmen, Grad II; Rohstoffklasse I, feucht in der Gradmitte; heiß am Ende des Grades, abgeschlossen; kalt am Ende des Grades; heiß, Grad II; feucht am Ende des Grades; kalt in der Mitte des Grades, abgeschlossen; Rohstoff, fertig aufbereitete Form
7	kal	181	3299600	0	f46r	f46r.15	H	B	2	4	3	0	0	2	1	0.750000	1	1	1	0	qokar shol kal alkeody	heiße Drogenfraktion I | feucht; nominal feuchtes Gut/Material | Rohstoffklasse I, heiß am Gradanfang | [alkeody:?]	GDT654:REVISE_CONFLICTING_EXACT | V13:MOIST_OL_FORM | GDT656:NEW_EXACT_WHOLE | OPEN	KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE | UNKNOWN_SURFACE	4	alkeody	4	alkeody	kal	<EOS>	Rohstoff, fertig aufbereitete Form	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	heiße Drogenfraktion I; feucht; nominal feuchtes Gut/Material; Rohstoffklasse I, heiß am Gradanfang; Rohstoff, fertig aufbereitete Form
7	kal	1	12198700	0	f76r	f76r.13	T	B	2	13	12	1	0	2	1	0.923077	10	10	1	0	qokeedy checthy chckhey okal okaiin sheckhey okeedy otey dal y kal chedy sar	heiß am Ende des Grades, abgeschlossen | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | Arzneikompositum: trocken, Gradmitte | Ansatz aus heißem Rohstoff, Form I | heiß, Grad III, im Ansatzrahmen | feuchtes Arzneikompositum in der Gradmitte | heißer Ansatz am Ende des Grades, abgeschlossen | kalter Ansatz in der Mitte des Grades | abgemessene Rohstoffmenge I | [y:?] | Rohstoffklasse I, heiß am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | Samenfraktion I	GDT647:FAMILY_MIGRATION | V13:DRY_BOUND_CTH_MATERIAL | GDT651:REVISED_FOUR_SHELL_CKH_GRID | GDT640:ROUND_03 | V13:TARGET_SURFACE_DEFAULT | GDT651:REVISED_FOUR_SHELL_CKH_GRID | GDT647:FAMILY_MIGRATION | GDT647:FAMILY_MIGRATION | GDT655:NEW_EXACT_WHOLE | OPEN | GDT656:NEW_EXACT_WHOLE | GDT647:FAMILY_MIGRATION | V13:SCOPED_RESIDUAL_HEAD_FORM	KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE	10	y	10	y	dal	kal	Grundform	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	heiß am Ende des Grades, abgeschlossen; trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut; Arzneikompositum: trocken, Gradmitte; Ansatz aus heißem Rohstoff, Form I; heiß, Grad III, im Ansatzrahmen; feuchtes Arzneikompositum in der Gradmitte; heißer Ansatz am Ende des Grades, abgeschlossen; kalter Ansatz in der Mitte des Grades; abgemessene Rohstoffmenge I; Grundform; Rohstoffklasse I, heiß am Gradanfang; trocken in der Mitte des Grades, abgeschlossen; Samenfraktion I
7	kal	212	2199700	0	f77v	f77v.1	B	B	2	3	2	1	0	1	1	0.666667	1	1	1	0	okain y kal	heiß im Zubereitungsrahmen, Grad II | [y:?] | Rohstoffklasse I, heiß am Gradanfang	V13:QUALITY_DEGREE_SERIES | OPEN | GDT656:NEW_EXACT_WHOLE	KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE	2	y	2	y	okain	kal	Grundform	VISIBLE_SINGLE_FIELD_COMPOSITION	LOW	heiß im Zubereitungsrahmen, Grad II; Grundform; Rohstoffklasse I, heiß am Gradanfang
8	tal	37	8299100	0	f83r	f83r.15	B	B	2	9	8	2	0	2	1	0.888889	7	7	1	0	saiin shedal shecthy chey tal shcthy dalchdy qotchedy lchedy	Samen/Saatgut, Typ/Charge III | feuchte abgemessene Rohstoffmenge I in der Gradmitte | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut | trocken in der Mitte des Grades | Rohstoffklasse I, kalt am Gradanfang | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | [dalchdy:?] | kalt und trocken in der Mitte des Grades, abgeschlossen | getrocknetes Drogenholz	V13:SCOPED_CONCRETE_HEAD_FORM | GDT655:NEW_EXACT_WHOLE | V13:MOIST_BOUND_CTH_MATERIAL | GDT647:FAMILY_MIGRATION | GDT656:NEW_EXACT_WHOLE | V13:MOIST_CTH_MATERIAL | OPEN | GDT647:FAMILY_MIGRATION | V13:SCOPED_CONCRETE_HEAD_FORM	KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | KNOWN_EXACT_WHOLE | KNOWN_EXACT_WHOLE | KNOWN_CONTEXT_LICENSED | UNKNOWN_SURFACE | READER_BOUNDARY_UNSTABLE | READER_BOUNDARY_UNSTABLE	7	dalchdy	7	dalchdy	shcthy	qotchedy	Rohstoff, fertig aufbereitete Form	VISIBLE_MULTI_FIELD_COMPOSITION	MEDIUM	Samen/Saatgut, Typ/Charge III; feuchte abgemessene Rohstoffmenge I in der Gradmitte; feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut; trocken in der Mitte des Grades; Rohstoffklasse I, kalt am Gradanfang; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; Rohstoff, fertig aufbereitete Form; kalt und trocken in der Mitte des Grades, abgeschlossen; getrocknetes Drogenholz
