surface	selection_rank	page	locus	reader_support	zl3b_line	tokenwise_v33_de	working_reading_de	syntax_note
chal	1	f83v	f83v.16	ALL_THREE_EXACT	daiin qokal sheckhey qokeey chal qokeey qokaiin chedy sar al	Grad-/Maßwert III | Rohstoffklasse I, heiß am Gradanfang | feuchtes Arzneikompositum in der Gradmitte | heiß am Ende des Grades | Rohstoffklasse I, trocken am Gradanfang | heiß am Ende des Grades | heiß, Grad III | trocken in der Mitte des Grades, abgeschlossen | Samenfraktion I | Rohstoffklasse I	Grad-/Maßwert III; Rohstoffklasse I, heiß am Gradanfang; feuchtes Arzneikompositum in der Gradmitte; heiß am Gradende; Rohstoffklasse I, trocken am Gradanfang; nochmals heiß am Gradende; heiß, Grad III; trocken in der Gradmitte, abgeschlossen; Samenfraktion I; Rohstoffklasse I.	MANUAL_SEQUENCE_READING
cheal	1	f58r	f58r.13	ALL_THREE_EXACT	ytar sheear cheoldy ykeol cheal cheody chal chaiin ol oly	[ytar:?] | [sheear:?] | [cheoldy:?] | [ykeol:?] | Rohstoffklasse I, trocken in der Gradmitte | getrockneter Ansatz | Rohstoffklasse I, trocken am Gradanfang | trocken, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [oly:?]	[ytar:?]; [sheear:?]; [cheoldy:?]; [ykeol:?]; Rohstoffklasse I, trocken in der Gradmitte; getrockneter Ansatz; Rohstoffklasse I, trocken am Gradanfang; trocken, Grad III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [oly:?]	TOKEN_ORDER_BASELINE
cheeal	1	f51r	f51r.12	ALL_THREE_EXACT	yoees ckheey kol cheeal okeor qockhey pchodal	[yoees:?] | Arzneikompositum am Gradende | heiß; nominal heißes Gut/Material | Rohstoffklasse I, trocken am Gradende | [okeor:?] | [qockhey:?] | [pchodal:?]	[yoees:?]; Arzneikompositum am Gradende; heiß; nominal heißes Gut/Material; Rohstoffklasse I, trocken am Gradende; [okeor:?]; [qockhey:?]; [pchodal:?]	TOKEN_ORDER_BASELINE
shal	1	f79r	f79r.5	ALL_THREE_EXACT	qokal shedy chcthy or chear salchey qol shal chey l cheol chol chy	Rohstoffklasse I, heiß am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut | Drogenportion | trockene Fraktion I | [salchey:?] | [qol:?] | Rohstoffklasse I, feucht am Gradanfang | trocken in der Mitte des Grades | [l:?] | trockener Drogenstoff | trocken; nominal trockenes Gut/Material | trocken am Anfang des Grades	Rohstoffklasse I, heiß am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; Drogenportion; trockene Fraktion I; [salchey:?]; [qol:?]; Rohstoffklasse I, feucht am Gradanfang; trocken in der Mitte des Grades; [l:?]; trockener Drogenstoff; trocken; nominal trockenes Gut/Material; trocken am Anfang des Grades	TOKEN_ORDER_BASELINE
shal	2	f113r	f113r.31	ALL_THREE_EXACT	ytaiin okaiin chear ckhar shal shckhy okain o ar chor cky chokain qoky	[ytaiin:?] | heiß, Grad III, im Ansatzrahmen | trockene Fraktion I | [ckhar:?] | Rohstoffklasse I, feucht am Gradanfang | Arzneikompositum: feucht, Gradanfang | heiß im Zubereitungsrahmen, Grad II | [o:?] | Drogenfraktion I | Pflanzen-/Reproduktionsteil | [cky:?] | [chokain:?] | heiß am Anfang des Grades	[ytaiin:?]; heiß, Grad III, im Ansatzrahmen; trockene Fraktion I; [ckhar:?]; Rohstoffklasse I, feucht am Gradanfang; Arzneikompositum: feucht, Gradanfang; heiß im Zubereitungsrahmen, Grad II; [o:?]; Drogenfraktion I; Pflanzen-/Reproduktionsteil; [cky:?]; [chokain:?]; heiß am Anfang des Grades	TOKEN_ORDER_BASELINE
sheal	1	f58v	f58v.18	ALL_THREE_EXACT	taiin chal sheal qockhy dar aiin ockhey qokeey qoaiin aral	kalt, Grad III | Rohstoffklasse I, trocken am Gradanfang | Rohstoffklasse I, feucht in der Gradmitte | [qockhy:?] | abgemessene Fraktion I | Menge III | Ansatz eines Arzneikompositums in der Gradmitte | heiß am Ende des Grades | [qoaiin:?] | [aral:?]	kalt, Grad III; Rohstoffklasse I, trocken am Gradanfang; Rohstoffklasse I, feucht in der Gradmitte; [qockhy:?]; abgemessene Fraktion I; Menge III; Ansatz eines Arzneikompositums in der Gradmitte; heiß am Ende des Grades; [qoaiin:?]; [aral:?]	TOKEN_ORDER_BASELINE
sheeal	1	f108v	f108v.40	ALL_THREE_EXACT	daiin sheeal qokeedy qokeedy qokeedy qotey qokeey qokeey otedy qotaiin	Grad-/Maßwert III | Rohstoffklasse I, feucht am Gradende | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | kalt in der Mitte des Grades | heiß am Ende des Grades | heiß am Ende des Grades | kalter Ansatz in der Mitte des Grades, abgeschlossen | kalt, Grad III	Grad-/Maßwert III; Rohstoffklasse I, feucht am Gradende; dreimal heiß am Gradende, jeweils abgeschlossen; kalt in der Gradmitte; zweimal heiß am Gradende; kalter Ansatz in der Gradmitte, abgeschlossen; kalt, Grad III.	MANUAL_SEQUENCE_READING
kal	1	f76r	f76r.33	ALL_THREE_EXACT	qokedy lkey kal shedy qopchey qo l pchedy okchy chckhy shey lol r ol sheey dar	heiß in der Mitte des Grades, abgeschlossen | [lkey:?] | Rohstoffklasse I, heiß am Gradanfang | feucht in der Mitte des Grades, abgeschlossen | [qopchey:?] | [qo:?] | [l:?] | getrocknetes Pulver | heiß-trockener Ansatz am Anfang des Grades | Arzneikompositum: trocken, Gradanfang | feucht in der Mitte des Grades | Holzstoff | [r:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | feucht am Ende des Grades | abgemessene Fraktion I	heiß in der Mitte des Grades, abgeschlossen; [lkey:?]; Rohstoffklasse I, heiß am Gradanfang; feucht in der Mitte des Grades, abgeschlossen; [qopchey:?]; [qo:?]; [l:?]; getrocknetes Pulver; heiß-trockener Ansatz am Anfang des Grades; Arzneikompositum: trocken, Gradanfang; feucht in der Mitte des Grades; Holzstoff; [r:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; feucht am Ende des Grades; abgemessene Fraktion I	TOKEN_ORDER_BASELINE
kal	2	f107r	f107r.31	ALL_THREE_EXACT	daiin sheol chdy okaiin sheykal shy kl al kal chdy r aiin chain yols	Grad-/Maßwert III | feuchtes Material | trocken am Anfang des Grades, abgeschlossen | heiß, Grad III, im Ansatzrahmen | [sheykal:?] | feucht am Anfang des Grades | [kl:?] | Rohstoffklasse I | Rohstoffklasse I, heiß am Gradanfang | trocken am Anfang des Grades, abgeschlossen | [r:?] | Menge III | trocken, Grad II | [yols:?]	Grad-/Maßwert III; feuchtes Material; trocken am Anfang des Grades, abgeschlossen; heiß, Grad III, im Ansatzrahmen; [sheykal:?]; feucht am Anfang des Grades; [kl:?]; Rohstoffklasse I; Rohstoffklasse I, heiß am Gradanfang; trocken am Anfang des Grades, abgeschlossen; [r:?]; Menge III; trocken, Grad II; [yols:?]	TOKEN_ORDER_BASELINE
tal	1	f58r	f58r.27	ALL_THREE_EXACT	yteor oty chaltar ar sheeetchy tal al chear chear chor ar am	[yteor:?] | kalter Ansatz am Anfang des Grades | [chaltar:?] | Drogenfraktion I | [sheeetchy:?] | Rohstoffklasse I, kalt am Gradanfang | Rohstoffklasse I | trockene Fraktion I | trockene Fraktion I | Pflanzen-/Reproduktionsteil | Drogenfraktion I | [am:?]	[yteor:?]; kalter Ansatz am Anfang des Grades; [chaltar:?]; Drogenfraktion I; [sheeetchy:?]; Rohstoffklasse I, kalt am Gradanfang; Rohstoffklasse I; trockene Fraktion I; trockene Fraktion I; Pflanzen-/Reproduktionsteil; Drogenfraktion I; [am:?]	TOKEN_ORDER_BASELINE
