field_id	page	record_unit_id	locus	surface_sequence	closure_status	anchor_event_count	observed_trigger_sequence	parse_class	template_sequence	required_anonymous_registers	formal_effect_sequence	creative_local_expansion	strongest_rival
F001	f10r	H1	f10r.2	dchey cthoor char chty os chair otytchol oky daiin etyd	OPEN	2	E8:MNEMONIC=ANWENDEN? | E9:FORMAL=VORGABEPARAMETER? | E9:MNEMONIC=MASS?	COMPOSITE_SEQUENCE	APPLY_ACTIVE > REQUEST_STANDARD_PARAMETER > PARAMETER_VALUE	ACTIVE|TARGET	apply(ACTIVE,TARGET?) ; request(parameter_slot) ; parameter_slot := EXEMPLAR_VALUE	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	MNEMONIC_BAG_WITHOUT_ORDER
F002	f10r	H1	f10r.5	qokchy qotchol chol cthy	OPEN	2	E13:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E14:MNEMONIC=BEREIT?	COMPOSITE_SEQUENCE	FORMAL_LINK_ACTIVE_STATE > TEST_READY_STATE	ACTIVE	link(active_work_state) ; test(ACTIVE,READY?)	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	MNEMONIC_BAG_WITHOUT_ORDER
F003	f10r	H2	f10r.6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	OPEN	3	E16:MNEMONIC=BEREIT? | E17:MNEMONIC=ANSATZ? | E22:MNEMONIC=MASS?	COMPOSITE_SEQUENCE	TEST_READY_STATE > BIND_WORKING_BATCH > PARAMETER_VALUE	ACTIVE	test(ACTIVE,READY?) ; assert_or_bind(ACTIVE) ; parameter_slot := EXEMPLAR_VALUE	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	MNEMONIC_BAG_WITHOUT_ORDER
F004	f10r	H2	f10r.8	qotchor chor otol chol cholor chol daiin dar	OPEN	5	E25:MNEMONIC=ANSATZ? | E27:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E28:MNEMONIC=VORIGES? | E29:FORMAL=AKTIVEN_ARBEITSSTAND_VERKNÜPFEN | E30:FORMAL=VORGABEPARAMETER? | E30:MNEMONIC=MASS?	COMPOSITE_SEQUENCE	BIND_WORKING_BATCH > FORMAL_LINK_ACTIVE_STATE > SELECT_PREVIOUS > FORMAL_LINK_ACTIVE_STATE > REQUEST_STANDARD_PARAMETER > PARAMETER_VALUE	ACTIVE|PREVIOUS	assert_or_bind(ACTIVE) ; link(active_work_state) ; ACTIVE := PREVIOUS ; link(active_work_state) ; request(parameter_slot) ; parameter_slot := EXEMPLAR_VALUE	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	MNEMONIC_BAG_WITHOUT_ORDER
F005	f10r	H2	f10r.9	oykchor shor chor chy kaiiin dy chodaiin	OPEN	2	E33:MNEMONIC=ANSATZ? | E34:MNEMONIC=ANSATZ?	COMPOSITE_SEQUENCE	BIND_WORKING_BATCH > BIND_WORKING_BATCH	ACTIVE	assert_or_bind(ACTIVE) ; assert_or_bind(ACTIVE)	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	MNEMONIC_BAG_WITHOUT_ORDER
F006	f11r	H3	f11r.1	tshol schoal cfhy shfydaiin cphy shey tchody	TERMINAL	1	E44:MNEMONIC=KLAR?	SINGLE_TEMPLATE	TEST_CLEAR_STATE	ACTIVE	test(ACTIVE,CLEAR?)	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	MNEMONIC_BAG_WITHOUT_ORDER
F007	f11r	H3	f11r.1	shoyty	OPEN	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	behalte die Blütenkrone zurück	WHOLE_FIELD_EXEMPLAR
F008	f11r	H3	f11r.4	dchol chy kchy dy daiin	OPEN	1	E51:FORMAL=VORGABEPARAMETER? | E51:MNEMONIC=MASS?	COMPOSITE_SEQUENCE	REQUEST_STANDARD_PARAMETER > PARAMETER_VALUE	ACTIVE	request(parameter_slot) ; parameter_slot := EXEMPLAR_VALUE	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	MNEMONIC_BAG_WITHOUT_ORDER
F009	f11r	H3	f11r.7	qotchy okchol cthy dy	OPEN	1	E54:MNEMONIC=BEREIT?	SINGLE_TEMPLATE	TEST_READY_STATE	ACTIVE	test(ACTIVE,READY?)	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	MNEMONIC_BAG_WITHOUT_ORDER
F010	f55v	H4	f55v.5	qokaiin chaiin ykain ykan ody	TERMINAL	2	E56:FORMAL=STANDARDSLOT_SETZEN | E57:MNEMONIC=MASS?	COMPOSITE_SEQUENCE	FORMAL_SET_STANDARD_SLOT > PARAMETER_VALUE	ACTIVE	set(standard_slot) ; parameter_slot := EXEMPLAR_VALUE	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	MNEMONIC_BAG_WITHOUT_ORDER
F011	f55v	H4	f55v.5	daiin chedy talam	TERMINAL	1	E61:FORMAL=VORGABEPARAMETER? | E61:MNEMONIC=MASS?	COMPOSITE_SEQUENCE	REQUEST_STANDARD_PARAMETER > PARAMETER_VALUE	ACTIVE	request(parameter_slot) ; parameter_slot := EXEMPLAR_VALUE	Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal	MNEMONIC_BAG_WITHOUT_ORDER
F012	f55v	H4	f55v.11	ykaiin cheoar cheeky oldy	TERMINAL	0	NONE	EXEMPLAR_ONLY	EXEMPLAR_ONLY	OWNER|ACTIVE	NONE	für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt	WHOLE_FIELD_EXEMPLAR
F013	f55v	H4	f55v.11	aiin okal oltchy or y orain	OPEN	3	E68:MNEMONIC=MASS? | E69:FORMAL=LOKALEN_RELATIONSSLOT_SETZEN | E71:MNEMONIC=ANSATZ?	COMPOSITE_SEQUENCE	PARAMETER_VALUE > FORMAL_SET_RELATION_SLOT > BIND_WORKING_BATCH	ACTIVE|TARGET	parameter_slot := EXEMPLAR_VALUE ; set(local_relation_slot) ; assert_or_bind(ACTIVE)	Ein vorgeschriebenes Maß ; mische beide Anteile zusammen ; bewahre es in einem bedeckten Gefäß ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; gebrauche die fertige Flüssigkeit frisch	MNEMONIC_BAG_WITHOUT_ORDER
F014	f56r	H5	f56r.5	chochor cho chodaly daiin	OPEN	1	E77:FORMAL=VORGABEPARAMETER? | E77:MNEMONIC=MASS?	COMPOSITE_SEQUENCE	REQUEST_STANDARD_PARAMETER > PARAMETER_VALUE	ACTIVE	request(parameter_slot) ; parameter_slot := EXEMPLAR_VALUE	sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß	MNEMONIC_BAG_WITHOUT_ORDER
F015	f56r	H5	f56r.7	sho kchol otchor choky dal	OPEN	2	E81:MNEMONIC=ANWENDEN? | E82:MNEMONIC=ZIEL?	COMPOSITE_SEQUENCE	APPLY_ACTIVE > TARGET_VALUE	ACTIVE|TARGET	apply(ACTIVE,TARGET?) ; TARGET := EXEMPLAR_TARGET	nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen	MNEMONIC_BAG_WITHOUT_ORDER
