example_id	purpose	template_id	statement_id	field_id	page	locus	anchor_event_serial	anchor_channel	pre_register_state	step_1_bind_slots	step_2_execute_template	step_3_apply_register_transition	post_register_state	local_exemplar_expansion	separation_rule	warnings	strongest_contradiction
EX01	exact MASS?	PARAMETER_ASSIGNMENT	H2-S001	F003	f10r	f10r.6	22	EXACT:MASS?	OWNER=UNSET;ACTIVE=UNSET;TARGET=UNSET;PREVIOUS=UNSET	OWNER=H2:O01[POST_FALLBACK];ACTIVE=H2:I001[POST_FALLBACK];PARAMETER_PROMPT=MASS?	SET PARAMETER_PROMPT=MASS? FOR H2:I001[POST_FALLBACK]; VALUE=UNRESOLVED	OWNER:INTRODUCE;ACTIVE:INTRODUCE;TARGET:RESET;PREVIOUS:RESET	OWNER=H2:O01;ACTIVE=H2:I001;TARGET=UNSET;PREVIOUS=UNSET	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	steps 1-3 are anonymous/template-level; local expansion is an exemplar and cannot refill the card	POST_FALLBACK_ORDER_UNRESOLVED	UNLICENSED_EVENT_RESIDUE_REQUIRES_EXEMPLAR
EX02	exact ANWENDEN?	ACTION	B3-S009	F079	f83r	f83r.6	247	EXACT:ANWENDEN?	OWNER=B3:O01;ACTIVE=B3:I001;TARGET=B3:T004;PREVIOUS=B3:I002	OWNER=B3:O01[PRE];ACTIVE=B3:I001[PRE];TARGET=B3:T004[PRE];ACTION_PROMPT=ANWENDEN?	DO ANWENDEN? ON B3:I001[PRE]; TARGET=B3:T004[PRE]	OWNER:CARRY;ACTIVE:CARRY;TARGET:RESUME;PREVIOUS:CARRY	OWNER=B3:O01;ACTIVE=B3:I001;TARGET=B3:T004;PREVIOUS=B3:I002	Die aktive Portion verwenden	steps 1-3 are anonymous/template-level; local expansion is an exemplar and cannot refill the card	NONE	TEMPLATE_CLASS_ONLY;NO_SOURCE_WORD_ORDER_OR_REFERENT
EX03	exact BEREIT?	STATE_CHECK_GATE	H2-S001	F003	f10r	f10r.6	16	EXACT:BEREIT?	OWNER=UNSET;ACTIVE=UNSET;TARGET=UNSET;PREVIOUS=UNSET	OWNER=H2:O01[POST_FALLBACK];ACTIVE=H2:I001[POST_FALLBACK];STATE_PROMPT=BEREIT?;RESULT=UNRESOLVED	CHECK BEREIT? ON H2:I001[POST_FALLBACK]; IF RESULT UNKNOWN THEN HOLD	OWNER:INTRODUCE;ACTIVE:INTRODUCE;TARGET:RESET;PREVIOUS:RESET	OWNER=H2:O01;ACTIVE=H2:I001;TARGET=UNSET;PREVIOUS=UNSET	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	steps 1-3 are anonymous/template-level; local expansion is an exemplar and cannot refill the card	POST_FALLBACK_ORDER_UNRESOLVED	UNLICENSED_EVENT_RESIDUE_REQUIRES_EXEMPLAR
EX04	exact ANSATZ?	SELECTION_REFERENCE	H2-S001	F003	f10r	f10r.6	17	EXACT:ANSATZ?	OWNER=UNSET;ACTIVE=UNSET;TARGET=UNSET;PREVIOUS=UNSET	OWNER=H2:O01[POST_FALLBACK];ACTIVE=H2:I001[POST];SELECTION_PROMPT=ANSATZ?	SELECT H2:I001[POST] BY ANSATZ?	OWNER:INTRODUCE;ACTIVE:INTRODUCE;TARGET:RESET;PREVIOUS:RESET	OWNER=H2:O01;ACTIVE=H2:I001;TARGET=UNSET;PREVIOUS=UNSET	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	steps 1-3 are anonymous/template-level; local expansion is an exemplar and cannot refill the card	POST_FALLBACK_ORDER_UNRESOLVED|SELECTED_REFERENT_REMAINS_ANONYMOUS	UNLICENSED_EVENT_RESIDUE_REQUIRES_EXEMPLAR
EX05	exact ZIEL?	TARGET_ASSIGNMENT	B2-S016	F063	f82r	f82r.26	214	EXACT:ZIEL?	OWNER=B2:O01;ACTIVE=B2:I004;TARGET=UNSET;PREVIOUS=B2:I003	OWNER=B2:O01[PRE];ACTIVE=B2:I004[PRE];TARGET=B2:T011[POST];TARGET_PROMPT=ZIEL?	BIND TARGET_SLOT OF B2:I004[PRE] TO B2:T011[POST]; REFERENT=ANONYMOUS	OWNER:CARRY;ACTIVE:CARRY;TARGET:INTRODUCE;PREVIOUS:CARRY	OWNER=B2:O01;ACTIVE=B2:I004;TARGET=B2:T011;PREVIOUS=B2:I003	An die bezeichnete Zielstelle führen ; kühles Wasser ; zu gleichen Anteilen ; Ein vorgeschriebenes Maß ; das bereitete Öl ; beginne den nächsten abgemessenen Posten ; warmes Wasser || ziehe es ab und beende den Schritt	steps 1-3 are anonymous/template-level; local expansion is an exemplar and cannot refill the card	TARGET_REFERENT_REMAINS_ANONYMOUS	UNLICENSED_EVENT_RESIDUE_REQUIRES_EXEMPLAR
EX06	exact KLAR?	STATE_CHECK_GATE	B2-S012	F059	f82r	f82r.23	203	EXACT:KLAR?	OWNER=B2:O01;ACTIVE=B2:I003;TARGET=B2:T009;PREVIOUS=B2:I001	OWNER=B2:O01[PRE];ACTIVE=B2:I003[PRE];STATE_PROMPT=KLAR?;RESULT=UNRESOLVED	CHECK KLAR? ON B2:I003[PRE]; IF RESULT UNKNOWN THEN HOLD	OWNER:CARRY;ACTIVE:CARRY;TARGET:CARRY;PREVIOUS:RESUME	OWNER=B2:O01;ACTIVE=B2:I003;TARGET=B2:T009;PREVIOUS=B2:I001	ziehe die klare Flüssigkeit ab || Bis die Flüssigkeit klar abläuft ; unter derselben Einstellung ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; tauche vollständig ein und beende den Schritt	steps 1-3 are anonymous/template-level; local expansion is an exemplar and cannot refill the card	NONE	UNLICENSED_EVENT_RESIDUE_REQUIRES_EXEMPLAR
EX07	exact VORIGES?	SELECTION_REFERENCE	B1-S002	F023	f81v	f81v.7	113	EXACT:VORIGES?	OWNER=B1:O01;ACTIVE=B1:I001;TARGET=B1:T001;PREVIOUS=UNSET	OWNER=B1:O01[PRE];PREVIOUS=B1:I001[POST_FALLBACK];REFERENCE_PROMPT=VORIGES?	REFER TO B1:I001[POST_FALLBACK]	OWNER:CARRY;ACTIVE:RESUME;TARGET:INTRODUCE;PREVIOUS:RESUME	OWNER=B1:O01;ACTIVE=B1:I002;TARGET=B1:T005;PREVIOUS=B1:I001	beginne den nächsten abgemessenen Posten ; der zurücklaufende Strom ; mische beide Anteile zusammen ; Daraus, aus demselben Ansatz ; Mit der vorigen Zubereitung weiter ; ein abgemessener Anteil ; das untere Becken ; An die bezeichnete Zielstelle führen ; Mit der vorigen Zubereitung weiter ; bevor es abkühlt ; das bereitete Öl || Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; eine mäßige Menge ; Ein vorgeschriebenes Maß ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; durch die verbundenen Läufe ; spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt	steps 1-3 are anonymous/template-level; local expansion is an exemplar and cannot refill the card	ANTECEDENT_REMAINS_ANONYMOUS|POST_FALLBACK_ORDER_UNRESOLVED	UNLICENSED_EVENT_RESIDUE_REQUIRES_EXEMPLAR
EX08	exact ANTEIL?	SELECTION_REFERENCE	H5-S006	F020	f56r	f56r.19	98	EXACT:ANTEIL?	OWNER=H5:O01;ACTIVE=H5:I003;TARGET=UNSET;PREVIOUS=H5:I002	OWNER=H5:O01[PRE];ACTIVE=H5:I004[POST];SELECTION_PROMPT=ANTEIL?	SELECT H5:I004[POST] BY ANTEIL?	OWNER:CARRY;ACTIVE:INTRODUCE;TARGET:RESET;PREVIOUS:INTRODUCE	OWNER=H5:O01;ACTIVE=H5:I004;TARGET=UNSET;PREVIOUS=H5:I003	Nimm den bezeichneten Anteil ; die helle geöffnete Blüte ; Ein vorgeschriebenes Maß	steps 1-3 are anonymous/template-level; local expansion is an exemplar and cannot refill the card	SELECTED_REFERENT_REMAINS_ANONYMOUS	UNLICENSED_EVENT_RESIDUE_REQUIRES_EXEMPLAR
EX09	exact TEMPERIEREN?	ACTION	B2-S012	F059	f82r	f82r.23	205	EXACT:TEMPERIEREN?	OWNER=B2:O01;ACTIVE=B2:I003;TARGET=B2:T009;PREVIOUS=B2:I001	OWNER=B2:O01[PRE];ACTIVE=B2:I003[PRE];TARGET=B2:T009[PRE];ACTION_PROMPT=TEMPERIEREN?	DO TEMPERIEREN? ON B2:I003[PRE]; TARGET=B2:T009[PRE]	OWNER:CARRY;ACTIVE:CARRY;TARGET:CARRY;PREVIOUS:RESUME	OWNER=B2:O01;ACTIVE=B2:I003;TARGET=B2:T009;PREVIOUS=B2:I001	ziehe die klare Flüssigkeit ab || Bis die Flüssigkeit klar abläuft ; unter derselben Einstellung ; temperiere die Arbeitsflüssigkeit und halte sie lauwarm ; der eingetauchte Teil ; Ein vorgeschriebenes Maß ; Diese aktive Portion ; tauche vollständig ein und beende den Schritt	steps 1-3 are anonymous/template-level; local expansion is an exemplar and cannot refill the card	NONE	UNLICENSED_EVENT_RESIDUE_REQUIRES_EXEMPLAR
EX10	exact SPÜLEN?	TERMINAL_ACTION	B1-S001	F021	f81v	f81v.2	101	EXACT:SPÜLEN?	OWNER=UNSET;ACTIVE=UNSET;TARGET=UNSET;PREVIOUS=UNSET	OWNER=B1:O01[POST_FALLBACK];ACTIVE=B1:I001[POST_FALLBACK];TARGET=B1:T001[POST_FALLBACK];ACTION_PROMPT=SPÜLEN?	DO SPÜLEN? ON B1:I001[POST_FALLBACK]; TARGET=B1:T001[POST_FALLBACK]; KEEP CLOSURE SILENT	OWNER:INTRODUCE;ACTIVE:INTRODUCE;TARGET:INTRODUCE;PREVIOUS:RESET	OWNER=B1:O01;ACTIVE=B1:I001;TARGET=B1:T001;PREVIOUS=UNSET	spüle die bezeichnete Stelle einmal und beende den Schritt	steps 1-3 are anonymous/template-level; local expansion is an exemplar and cannot refill the card	POST_FALLBACK_ORDER_UNRESOLVED|TERMINAL_MNEMONIC_CLOSURE_CONFOUND	TERMINAL_ACTION_VS_FORMAL_CLOSURE_CONFOUND
