trigger_layer	trigger	template_id	required_anonymous_registers	formal_effect	semantic_ceiling
EXACT_CARD_MNEMONIC	MASS?	PARAMETER_VALUE	ACTIVE	parameter_slot := EXEMPLAR_VALUE	WORKING_MNEMONIC_ONLY
EXACT_CARD_MNEMONIC	ANWENDEN?	APPLY_ACTIVE	ACTIVE|TARGET	apply(ACTIVE,TARGET?)	WORKING_MNEMONIC_ONLY
EXACT_CARD_MNEMONIC	BEREIT?	TEST_READY_STATE	ACTIVE	test(ACTIVE,READY?)	WORKING_MNEMONIC_ONLY
EXACT_CARD_MNEMONIC	ANSATZ?	BIND_WORKING_BATCH	ACTIVE	assert_or_bind(ACTIVE)	WORKING_MNEMONIC_ONLY
EXACT_CARD_MNEMONIC	ZIEL?	TARGET_VALUE	TARGET	TARGET := EXEMPLAR_TARGET	WORKING_MNEMONIC_ONLY
EXACT_CARD_MNEMONIC	KLAR?	TEST_CLEAR_STATE	ACTIVE	test(ACTIVE,CLEAR?)	WORKING_MNEMONIC_ONLY
EXACT_CARD_MNEMONIC	VORIGES?	SELECT_PREVIOUS	PREVIOUS	ACTIVE := PREVIOUS	WORKING_MNEMONIC_ONLY
EXACT_CARD_MNEMONIC	ANTEIL?	SELECT_PART	ACTIVE	ACTIVE := part_of(ACTIVE)	WORKING_MNEMONIC_ONLY
EXACT_CARD_MNEMONIC	TEMPERIEREN?	TEMPER_ACTIVE	ACTIVE	temper(ACTIVE)	WORKING_MNEMONIC_ONLY
EXACT_CARD_MNEMONIC	SPÜLEN?	FLUSH_AND_COMMIT	ACTIVE|TARGET	flush(ACTIVE,TARGET?); commit	WORKING_MNEMONIC_ONLY
EXACT_CARD_MNEMONIC	ABLASSEN?	DRAIN_AND_COMMIT	ACTIVE|TARGET	drain(ACTIVE,TARGET?); commit	WORKING_MNEMONIC_ONLY
STRICT_FORMAL_PROMPT	VORGABEPARAMETER?	REQUEST_STANDARD_PARAMETER	ACTIVE	request(parameter_slot)	FORMAL_CONTROL_NOT_SOURCE_WORD
STRICT_FORMAL_PROMPT	STANDARDSLOT_SETZEN	FORMAL_SET_STANDARD_SLOT	ACTIVE	set(standard_slot)	FORMAL_CONTROL_NOT_SOURCE_WORD
STRICT_FORMAL_PROMPT	LOKALEN_RELATIONSSLOT_SETZEN	FORMAL_SET_RELATION_SLOT	TARGET	set(local_relation_slot)	FORMAL_CONTROL_NOT_SOURCE_WORD
STRICT_FORMAL_PROMPT	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	FORMAL_LINK_ACTIVE_STATE	ACTIVE	link(active_work_state)	FORMAL_CONTROL_NOT_SOURCE_WORD
