channel_id	channel_kind	frozen_trigger	template_id	event_occurrence_count	statement_scope_count	field_scope_count	anchor_permission	slot_permission	strongest_limit
EXACT:MASS?	EXACT_CARD_MNEMONIC	MASS?	PARAMETER_ASSIGNMENT	20	19	19	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
EXACT:ANWENDEN?	EXACT_CARD_MNEMONIC	ANWENDEN?	ACTION	10	10	10	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
EXACT:BEREIT?	EXACT_CARD_MNEMONIC	BEREIT?	STATE_CHECK_GATE	7	6	7	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
EXACT:ANSATZ?	EXACT_CARD_MNEMONIC	ANSATZ?	SELECTION_REFERENCE	7	6	6	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
EXACT:ZIEL?	EXACT_CARD_MNEMONIC	ZIEL?	TARGET_ASSIGNMENT	10	9	10	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
EXACT:KLAR?	EXACT_CARD_MNEMONIC	KLAR?	STATE_CHECK_GATE	4	4	4	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
EXACT:VORIGES?	EXACT_CARD_MNEMONIC	VORIGES?	SELECTION_REFERENCE	2	2	2	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
EXACT:ANTEIL?	EXACT_CARD_MNEMONIC	ANTEIL?	SELECTION_REFERENCE	2	2	2	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
EXACT:TEMPERIEREN?	EXACT_CARD_MNEMONIC	TEMPERIEREN?	ACTION	7	7	7	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
EXACT:SPÜLEN?	EXACT_CARD_MNEMONIC	SPÜLEN?	TERMINAL_ACTION	8	8	8	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
EXACT:ABLASSEN?	EXACT_CARD_MNEMONIC	ABLASSEN?	TERMINAL_ACTION	8	8	8	YES	PROMPT_ONLY;NO_VISIBLE_FORM_OR_COMPONENT_INHERITANCE	working mnemonic, not a proven lexeme or phrase
FORMAL:SET(ARG_AIIN)	FORMAL_OPERATION	SET(ARG_AIIN)	PARAMETER_ASSIGNMENT	9	8	9	YES	FORMAL_OPERATOR_ONLY;ARGUMENT_REMAINS_OPAQUE	formal placement/control is not a source-language word
FORMAL:SET(ARG_AL)	FORMAL_OPERATION	SET(ARG_AL)	TARGET_ASSIGNMENT	6	6	6	YES	FORMAL_OPERATOR_ONLY;ARGUMENT_REMAINS_OPAQUE	formal placement/control is not a source-language word
FORMAL:FRAME_O(LINK)	FORMAL_OPERATION	FRAME_O(LINK)	RELATION_LINK	19	13	16	YES	FORMAL_OPERATOR_ONLY;ARGUMENT_REMAINS_OPAQUE	formal placement/control is not a source-language word
FORMAL:MARK	FORMAL_OPERATION	MARK	SELECTION_REFERENCE	7	7	7	YES	FORMAL_OPERATOR_ONLY;ARGUMENT_REMAINS_OPAQUE	formal placement/control is not a source-language word
REGISTER:OWNER	ANONYMOUS_REGISTER	OWNER	SLOT_FILLER_ONLY	0	116	135	NO	all templates as record context	CREATIVE_REGISTER_VALUE_NOT_DECRYPTION;EXACT_CARD_ROLE_NEVER_EXTENDED; operations INTRODUCE=11;CARRY=105;RESUME=0;RESET=0
REGISTER:ACTIVE	ANONYMOUS_REGISTER	ACTIVE	SLOT_FILLER_ONLY	0	116	135	NO	parameter;relation;state;action;terminal;selection	CREATIVE_REGISTER_VALUE_NOT_DECRYPTION;EXACT_CARD_ROLE_NEVER_EXTENDED; operations INTRODUCE=30;CARRY=76;RESUME=10;RESET=0
REGISTER:TARGET	ANONYMOUS_REGISTER	TARGET	SLOT_FILLER_ONLY	0	116	135	NO	target;relation;action;terminal	CREATIVE_REGISTER_VALUE_NOT_DECRYPTION;EXACT_CARD_ROLE_NEVER_EXTENDED; operations INTRODUCE=58;CARRY=35;RESUME=8;RESET=15
REGISTER:PREVIOUS	ANONYMOUS_REGISTER	PREVIOUS	SLOT_FILLER_ONLY	0	116	135	NO	relation;selection	CREATIVE_REGISTER_VALUE_NOT_DECRYPTION;EXACT_CARD_ROLE_NEVER_EXTENDED; operations INTRODUCE=25;CARRY=68;RESUME=14;RESET=9
