card_no	joint_tuple_id	surfaces	events	event_ids	records	component_parse	small_value_de	completion_class	completion_note
HERC01	65f320e75510b2f38182	dchey	1	E001	H1	CH+E+Y	dies kurz abziehen	BIOLOGICAL_COMPONENTS	CH operation, short grade, current item
HERC02	dedc383b600397a301ee	cthoor	1	E002	H1	CTH+O+OR	Ansatz bereit	BIOLOGICAL_COMPONENTS	ready state on the active batch
HERC05	df1098831679a8ad1b39	os	1	E005	H1	OS	Gefäß	HERBAL_WHOLE_CARD	compact container word; no honest shared parse
HERC06	12efe866f335461823a6	chair	1	E006	H1	CH+AIR	Wasser abziehen	BIOLOGICAL_COMPONENTS	water plus draw operation
HERC07	62ff059766b21c7de083	otytchol	1	E007	H1	OT+Y+T+CH+OL	danach dies fuellen und weiter abziehen	BIOLOGICAL_COMPONENTS	ordered fill and draw instruction
HERC10	a6939862e33ece5a0483	etyd	1	E010	H1	E+T+Y	dies kurz fuellen	BIOLOGICAL_COMPONENTS	short fill of current item
HERC11	9ad66e67803a12e745de	chokchy|okchy|qokchy	3	E011|E091|E095	H1|H5	OK+Y	dies ansetzen	BIOLOGICAL_COMPONENTS	activate current item
HERC12	e8a6105b5c3a6220b440	qotchol	1	E012	H1	OT+CH+OL	danach weiter abziehen	BIOLOGICAL_COMPONENTS	next then continue draw
HERC15	7249edc4df3419c26999	ycheor	1	E015	H2	Y+CH+E+OR	diesen Ansatz kurz abziehen	BIOLOGICAL_COMPONENTS	current batch under short draw
HERC17	f3c23f42baf625639e1e	cthaiin	1	E018	H2	CTH+AIIN	auf Maß bereitstellen	BIOLOGICAL_COMPONENTS	ready state plus measure
HERC18	af816c04e65874a0f2fa	qoctholy	1	E019	H2	O+CTH+OL+Y	dies bereit weiterführen	BIOLOGICAL_COMPONENTS	continue current ready item
HERC20	10488b911aae52b3b334	otchor|qotchor	2	E024|E080	H2|H5	OT+CH+OR	danach Ansatz abziehen	BIOLOGICAL_COMPONENTS	next batch draw
HERC21	497cbd9c7401810ff56b	otol	1	E026	H2	OT+OL	danach fortsetzen	BIOLOGICAL_COMPONENTS	portable order pair
HERC23	27d97af8c96eb056c2e6	oykchor	1	E032	H2	O+Y+K+OR	dies dem Ansatz zuführen	BIOLOGICAL_COMPONENTS	current item supplied to batch
HERC24	409de02322e7b2ca0c62	kaiiin	1	E036	H2	K+IIN	bis zur Sollstufe zuführen	BIOLOGICAL_COMPONENTS	supply up to named stage
HERC25	834825c61d048a6b5628	chodaiin	1	E038	H2	CH+O+AIIN	auf Maß abziehen	BIOLOGICAL_COMPONENTS	draw operation governed by measure
HERC26	953ad19b79517fc8a211	tshol	1	E039	H3	T+SH+OL	weiter gefuellt halten	BIOLOGICAL_COMPONENTS	fill, hold, continue
HERC27	428a5e3662aa57b4b256	schoal	1	E040	H3	SH+O+AL	an der Stelle halten	BIOLOGICAL_COMPONENTS	hold at target site
HERC28	bdad9f9ea8b80f141496	cfhy	1	E041	H3	CFHY	auswringen	HERBAL_WHOLE_CARD	learned extraction operation
HERC29	a8af08e69edab8e54f15	shfydaiin	1	E042	H3	SH+Y+AIIN	dies bis zum Maß halten	BIOLOGICAL_COMPONENTS	hold current item to measure
HERC30	deb377381ceaf55ea310	cphy	1	E043	H3	P+Y	dies hineinführen	BIOLOGICAL_COMPONENTS	inward operation on current item
HERC32	2e2027b1951d79911e24	tchody	1	E045	H3	T+CH+O+DY	fuellen und abziehen; Schluss	BIOLOGICAL_COMPONENTS	closed fill-draw cycle
HERC33	577c03a928d674d420d7	shoyty	1	E046	H3	SH+O+Y+T+Y	dies halten und fuellen	BIOLOGICAL_COMPONENTS	hold then fill current item
HERC34	d665560c8ff80799a82c	dchol|schol	2	E047|E083	H3|H5	OL	fortsetzen	BIOLOGICAL_COMPONENTS	wrapper variants of continue
HERC35	b2812c8283c3a62438bd	kchy	1	E049	H3	K+Y	dies zuführen	BIOLOGICAL_COMPONENTS	supply current item
HERC36	a48efd6c4491a046ba78	qotchy	1	E052	H3	OT+Y	nächster Posten	BIOLOGICAL_COMPONENTS	next current-item slot
HERC37	322281bd391aa621f568	okchol	1	E053	H3	OK+OL	weiter ansetzen	BIOLOGICAL_COMPONENTS	activate continuation
HERC39	403c1592f918c8f23b88	ykain	1	E058	H4	Y+K+AIN	eine Portion davon zuführen	BIOLOGICAL_COMPONENTS	portion supplied from current item
HERC40	d929a14ec45749b2e805	ykan	1	E059	H4	Y+K+AIN	eine Portion davon zuführen	BIOLOGICAL_COMPONENTS	same instruction in a second exact card
HERC41	97cc9ac109148723c472	ody	1	E060	H4	O+DY	Arbeitsgang abschließen	BIOLOGICAL_COMPONENTS	active operation plus licensed close
HERC43	e026af581c99322fbd46	talam	1	E063	H4	TALAM	verwahren	HERBAL_WHOLE_CARD	learned storage word
HERC44	f7dc90b2c31fd341f0a4	ykaiin	1	E064	H4	Y+K+AIIN	dies auf Maß zuführen	BIOLOGICAL_COMPONENTS	measured supply of current item
HERC45	807591efc3d3f7ddbfab	cheoar	1	E065	H4	CHEO+AR	Auszug aus der Quelle	HERBAL_COMPONENT_EXTENSION	new extract sign plus source
HERC49	204b04837409088c48f9	oltchy	1	E070	H4	OL+T+Y	dies weiter fuellen	BIOLOGICAL_COMPONENTS	continue fill on current item
HERC50	6afeb5c9ab9f6cbdea0d	orain	1	E073	H4	OR+AIN	Ansatzportion	BIOLOGICAL_COMPONENTS	batch plus portion
HERC51	b9d7b6d68209a9019e7a	chochor	1	E074	H5	HO+CH+OR	Zutat aus dem Ansatz abziehen	HERBAL_COMPONENT_EXTENSION	ingredient sign plus batch draw
HERC52	2cc054357a929df85f64	cho|sho	4	E075|E078|E088|E094	H5	HO	Zutat	HERBAL_COMPONENT_EXTENSION	portable Herbal content sign
HERC53	0ec6a45e2950e8e7061d	chodaly	1	E076	H5	HO+AL+Y	diese Zutat an die Stelle	HERBAL_COMPONENT_EXTENSION	ingredient assigned to target
HERC54	893c570f3fa3fce99711	kchol	1	E079	H5	K+OL	weiter zuführen	BIOLOGICAL_COMPONENTS	continue supply
HERC56	c10aec6d4dd877ec8bd8	choy	1	E084	H5	HO+Y	diese Zutat	HERBAL_COMPONENT_EXTENSION	current ingredient
HERC57	95987d6f198d6d247511	cheeckhody	1	E086	H5	CH+EE+CKH+O+DY	länger durch den Durchlass; Schluss	BIOLOGICAL_COMPONENTS	long passage operation with close
HERC58	ad3581d3144f69a5912d	sh	1	E087	H5	SH	halten	BIOLOGICAL_COMPONENTS	bare hold operation, not a plant part
HERC59	b74e9e65637b7c8538dd	kchey	1	E089	H5	K+E+Y	dies kurz zuführen	BIOLOGICAL_COMPONENTS	short supply of current item
HERC60	1322bc176443fc2a8a86	qokokchy	1	E090	H5	OK+OK+Y	dies erneut ansetzen	BIOLOGICAL_COMPONENTS	repeated activation
HERC61	087a47b5423438cd6b6a	chokcheo	1	E092	H5	OK+CHEO	Auszug ansetzen	HERBAL_COMPONENT_EXTENSION	activate extract
HERC62	75a523fcf039b006f97b	kchal	1	E093	H5	K+AL	an die Stelle zuführen	BIOLOGICAL_COMPONENTS	supply to target
HERC63	c71c72da4e09e0833392	kchoar	1	E096	H5	K+HO+AR	Zutat aus dem Vorrat zuführen	HERBAL_COMPONENT_EXTENSION	supply ingredient from source
HERC64	61a075bc54793c1c781f	sotodan	1	E097	H5	OT+O+AIN	danach eine Portion	BIOLOGICAL_COMPONENTS	next portion in active operation
HERC66	9bb7122b386ebbc6138f	keol	1	E099	H5	K+E+OL	kurz weiter zuführen	BIOLOGICAL_COMPONENTS	short continued supply
