physical_folio	recto_page	verso_page	quire	recto_groups	verso_groups
f2	f2r	f2v	q01	82	51
f3	f3r	f3v	q01	102	60
f4	f4r	f4v	q01	52	56
f5	f5r	f5v	q01	20	37
f6	f6r	f6v	q01	60	79
f7	f7r	f7v	q01	59	49
f8	f8r	f8v	q01	81	91
f9	f9r	f9v	q02	68	68
f10	f10r	f10v	q02	90	47
f11	f11r	f11v	q02	37	32
f13	f13r	f13v	q02	50	52
f14	f14r	f14v	q02	65	59
f15	f15r	f15v	q02	93	54
f16	f16r	f16v	q02	65	67
f17	f17r	f17v	q03	47	112
f18	f18r	f18v	q03	53	53
f19	f19r	f19v	q03	65	65
f20	f20r	f20v	q03	78	78
f21	f21r	f21v	q03	92	56
f22	f22r	f22v	q03	77	76
f23	f23r	f23v	q03	90	68
f24	f24r	f24v	q03	69	54
f25	f25r	f25v	q04	30	43
f27	f27r	f27v	q04	75	28
f28	f28r	f28v	q04	59	49
f29	f29r	f29v	q04	57	66
f30	f30r	f30v	q04	69	42
f32	f32r	f32v	q04	74	77
f35	f35r	f35v	q05	78	80
f36	f36r	f36v	q05	45	71
f37	f37r	f37v	q05	54	76
f38	f38r	f38v	q05	37	58
f42	f42r	f42v	q06	86	86
f44	f44r	f44v	q06	58	86
f45	f45r	f45v	q06	70	68
f47	f47r	f47v	q06	55	83
f49	f49r	f49v	q07	87	146
f51	f51r	f51v	q07	46	69
f52	f52r	f52v	q07	68	56
f53	f53r	f53v	q07	39	48
f54	f54r	f54v	q07	85	50
f56	f56r	f56v	q07	91	80
f87	f87r	f87v	q15	86	54
f93	f93r	f93v	q17	140	43
f96	f96r	f96v	q17	62	35
