card_no	section	surfaces	component_parse	atomic_card_value_de	composition_status	section_local_partition	occurrences	records	semantic_learning_rule	separate_whole_word_needed
PROC001	HERBAL	dchey	CH+E+Y	diesen Posten kurz abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H1	GENERATE_FROM_COMPONENTS	NO
PROC002	HERBAL	cthoor	CTH+O+OR	bereit · Arbeitsgang · Ansatz	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H1	GENERATE_FROM_COMPONENTS	NO
PROC005	HERBAL	os	OS	Arbeitsfach	LEARNED_WHOLE_CARD	LOCAL_SPECIALIST_WHOLE_OR_ATOM	1	H1	LEARN_ONE_SPECIALIST_VALUE	YES
PROC006	HERBAL	chair	CH+AIR	den laufenden Posten durch laufender Bestand abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H1	GENERATE_FROM_COMPONENTS	NO
PROC007	HERBAL	otytchol	OT+Y+T+CH+OL	danach fortsetzen diesen Posten eintragen und abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H1	GENERATE_FROM_COMPONENTS	NO
PROC010	HERBAL	etyd	E+T+Y	diesen Posten kurz eintragen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H1	GENERATE_FROM_COMPONENTS	NO
PROC011	HERBAL	chokchy|okchy|qokchy	OK+Y	den aktuellen Posten in Einsatz bringen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	3	H1|H5	GENERATE_FROM_COMPONENTS	NO
PROC012	HERBAL	qotchol	OT+CH+OL	danach fortsetzen den laufenden Posten abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H1	GENERATE_FROM_COMPONENTS	NO
PROC015	HERBAL	ycheor	Y+CH+E+OR	diesen Posten kurz abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H2	GENERATE_FROM_COMPONENTS	NO
PROC017	HERBAL	cthaiin	CTH+AIIN	bereit · vorgeschriebenes Maß	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H2	GENERATE_FROM_COMPONENTS	NO
PROC018	HERBAL	qoctholy	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dieser Posten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H2	GENERATE_FROM_COMPONENTS	NO
PROC020	HERBAL	otchor|qotchor	OT+CH+OR	danach den Ansatz abziehen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	H2|H5	GENERATE_FROM_COMPONENTS	NO
PROC021	HERBAL	otol	OT+OL	danach · fortsetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H2	GENERATE_FROM_COMPONENTS	NO
PROC023	HERBAL	oykchor	O+Y+K+OR	diesen Posten zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H2	GENERATE_FROM_COMPONENTS	NO
PROC024	HERBAL	kaiiin	K+IIN	den laufenden Posten zuführen bis Sollstufe	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H2	GENERATE_FROM_COMPONENTS	NO
PROC025	HERBAL	chodaiin	CH+O+AIIN	den Arbeitsgang nach vorgeschriebenes Maß abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H2	GENERATE_FROM_COMPONENTS	NO
PROC026	HERBAL	tshol	T+SH+OL	fortsetzen den laufenden Posten eintragen und halten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H3	GENERATE_FROM_COMPONENTS	NO
PROC027	HERBAL	schoal	SH+O+AL	den Arbeitsgang an bezeichnete Stelle halten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H3	GENERATE_FROM_COMPONENTS	NO
PROC028	HERBAL	cfhy	CFH+Y	diesen Posten auswringen	PARTIAL_WITH_LEARNED_ATOM	LOCAL_SPECIALIST_WHOLE_OR_ATOM	1	H3	LEARN_ONE_SPECIALIST_VALUE	YES
PROC029	HERBAL	shfydaiin	SH+Y+AIIN	diesen Posten nach vorgeschriebenes Maß halten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H3	GENERATE_FROM_COMPONENTS	NO
PROC030	HERBAL	cphy	P+Y	diesen Posten hineingeben	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H3	GENERATE_FROM_COMPONENTS	NO
PROC032	HERBAL	tchody	T+CH+O+DY	den Arbeitsgang eintragen und abziehen; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H3	GENERATE_FROM_COMPONENTS	NO
PROC033	HERBAL	shoyty	SH+O+Y+T+Y	diesen Posten halten und eintragen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H3	GENERATE_FROM_COMPONENTS	NO
PROC034	HERBAL	dchol|schol	OL	fortsetzen	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	2	H3|H5	GENERATE_FROM_COMPONENTS	NO
PROC035	HERBAL	kchy	K+Y	diesen Posten zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H3	GENERATE_FROM_COMPONENTS	NO
PROC036	HERBAL	qotchy	OT+Y	danach · dieser Posten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H3	GENERATE_FROM_COMPONENTS	NO
PROC037	HERBAL	okchol	OK+OL	fortsetzen den laufenden Posten ansetzen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H3	GENERATE_FROM_COMPONENTS	NO
PROC039	HERBAL	ykain	Y+K+AIN	diesen Posten nach Portion zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H4	GENERATE_FROM_COMPONENTS	NO
PROC040	HERBAL	ykan	Y+K+AIN	diesen Posten nach Portion zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H4	GENERATE_FROM_COMPONENTS	NO
PROC041	HERBAL	ody	O+DY	Arbeitsgang; Schritt schließen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H4	GENERATE_FROM_COMPONENTS	NO
PROC043	HERBAL	talam	TALAM	den laufenden Posten verwahren	LEARNED_WHOLE_CARD	LOCAL_SPECIALIST_WHOLE_OR_ATOM	1	H4	LEARN_ONE_SPECIALIST_VALUE	YES
PROC044	HERBAL	ykaiin	Y+K+AIIN	diesen Posten nach vorgeschriebenes Maß zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H4	GENERATE_FROM_COMPONENTS	NO
PROC045	HERBAL	cheoar	CH+E+O+AR	den Arbeitsgang von dort kurz abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H4	GENERATE_FROM_COMPONENTS	NO
PROC049	HERBAL	oltchy	OL+T+Y	fortsetzen diesen Posten eintragen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H4	GENERATE_FROM_COMPONENTS	NO
PROC050	HERBAL	orain	OR+AIN	Ansatz · Portion	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H4	GENERATE_FROM_COMPONENTS	NO
PROC051	HERBAL	chochor	HO+CH+OR	den Gabe und Ansatz abziehen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC052	HERBAL	cho|sho	HO	Gabe	COMPOSITIONAL	LOCAL_RECURRENT_COMPOSITION	4	H5	GENERATE_FROM_COMPONENTS	NO
PROC053	HERBAL	chodaly	HO+AL+Y	Gabe · bezeichnete Stelle · dieser Posten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC054	HERBAL	kchol	K+OL	fortsetzen den laufenden Posten zuführen	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
PROC056	HERBAL	choy	HO+Y	Gabe · dieser Posten	COMPOSITIONAL	LOCAL_SINGLETON_COMPOSITION	1	H5	GENERATE_FROM_COMPONENTS	NO
