mutation_family	decision_transition	replay_case_count	weighted_source_occurrence_count	distinct_target_recipe_count	distinct_source_recipe_count
ADJACENT_SWAP	UNCHANGED	6869	7315	3236	1198
ADJACENT_SWAP	CONTEXT_RESCUE	160	223	64	31
ADJACENT_SWAP	CONTEXT_DOWNGRADE_TO_STOP	0	0	0	0
ADJACENT_SWAP	CONTEXT_DOWNGRADE_TO_AMBER	2	2	2	1
ADJACENT_SWAP	CONTEXT_UPGRADE_TO_GREEN	32	32	20	8
ATOM_DELETION	UNCHANGED	10881	11426	2751	1267
ATOM_DELETION	CONTEXT_RESCUE	391	656	58	86
ATOM_DELETION	CONTEXT_DOWNGRADE_TO_STOP	1	1	1	1
ATOM_DELETION	CONTEXT_DOWNGRADE_TO_AMBER	16	16	5	6
ATOM_DELETION	CONTEXT_UPGRADE_TO_GREEN	49	49	22	20
SAME_CLASS_SUBSTITUTION	UNCHANGED	42883	45338	13601	1210
SAME_CLASS_SUBSTITUTION	CONTEXT_RESCUE	206	294	71	26
SAME_CLASS_SUBSTITUTION	CONTEXT_DOWNGRADE_TO_STOP	8	8	6	6
SAME_CLASS_SUBSTITUTION	CONTEXT_DOWNGRADE_TO_AMBER	18	18	11	8
SAME_CLASS_SUBSTITUTION	CONTEXT_UPGRADE_TO_GREEN	362	368	70	78
