replay_id	neighbor_id	context_id	source_recipe	mutation_family	target_recipe	target_is_exact_catalog_key	neutral_identity_route	context_identity_route	identity_route_unchanged	incoming_action	incoming_argument	scope_incoming_action	next_recipe	context_occurrence_count	context_event_ids	neutral_factor_gate_status	context_factor_gate_status	neutral_execution_decision	context_execution_decision	decision_transition	neutral_blocked_factor_rules	context_blocked_factor_rules	context_execution_route	outgoing_action	outgoing_argument	stop_preserves_state	source_identity_used_for_target	meaning_revision	surface_prediction	occurrence_prediction
G448-R000001	G447-N00001	G448-C0001	AIIN	ATOM_DELETION	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	D_ADDR+O+D_ADDR	1	G407-E0332	STOP__EMPTY_RECIPE	STOP__EMPTY_RECIPE	STOP	STOP	UNCHANGED	EMPTY_RECIPE	EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	CH	AIIN	YES	NO	NO	NO	NO
G448-R000002	G447-N00001	G448-C0002	AIIN	ATOM_DELETION	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	SH+OK+AL	1	G407-E1269	STOP__EMPTY_RECIPE	STOP__EMPTY_RECIPE	STOP	STOP	UNCHANGED	EMPTY_RECIPE	EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	CH	AIIN	YES	NO	NO	NO	NO
G448-R000003	G447-N00001	G448-C0003	AIIN	ATOM_DELETION	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIIN	CH	Y	1	G407-E4205	STOP__EMPTY_RECIPE	STOP__EMPTY_RECIPE	STOP	STOP	UNCHANGED	EMPTY_RECIPE	EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	CH	AIIN	YES	NO	NO	NO	NO
G448-R000004	G447-N00001	G448-C0004	AIIN	ATOM_DELETION	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	AIN	CH	CH+O+D_ADDR+AIIN	1	G407-E4185	STOP__EMPTY_RECIPE	STOP__EMPTY_RECIPE	STOP	STOP	UNCHANGED	EMPTY_RECIPE	EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	CH	AIN	YES	NO	NO	NO	NO
G448-R000005	G447-N00001	G448-C0005	AIIN	ATOM_DELETION	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	OR	CH	CH+O+S+AL+S	1	G407-E3866	STOP__EMPTY_RECIPE	STOP__EMPTY_RECIPE	STOP	STOP	UNCHANGED	EMPTY_RECIPE	EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	CH	OR	YES	NO	NO	NO	NO
G448-R000006	G447-N00001	G448-C0006	AIIN	ATOM_DELETION	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	OR	CH	D_ADDR+AR	1	G407-E0283	STOP__EMPTY_RECIPE	STOP__EMPTY_RECIPE	STOP	STOP	UNCHANGED	EMPTY_RECIPE	EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	CH	OR	YES	NO	NO	NO	NO
G448-R000007	G447-N00001	G448-C0007	AIIN	ATOM_DELETION	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	OR	CH	OT+CH+OL	1	G407-E0410	STOP__EMPTY_RECIPE	STOP__EMPTY_RECIPE	STOP	STOP	UNCHANGED	EMPTY_RECIPE	EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	CH	OR	YES	NO	NO	NO	NO
G448-R000008	G447-N00001	G448-C0008	AIIN	ATOM_DELETION	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	Y	CH	CH+O+D_ADDR+AIIN	1	G407-E2091	STOP__EMPTY_RECIPE	STOP__EMPTY_RECIPE	STOP	STOP	UNCHANGED	EMPTY_RECIPE	EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	CH	Y	YES	NO	NO	NO	NO
G448-R000009	G447-N00001	G448-C0009	AIIN	ATOM_DELETION	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	Y	CH	CH+T+OL	1	G407-E0864	STOP__EMPTY_RECIPE	STOP__EMPTY_RECIPE	STOP	STOP	UNCHANGED	EMPTY_RECIPE	EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	CH	Y	YES	NO	NO	NO	NO
G448-R000010	G447-N00001	G448-C0010	AIIN	ATOM_DELETION	EMPTY_RECIPE	NO	IDENTITY_NEW_VISIBLE_RECIPE	IDENTITY_NEW_VISIBLE_RECIPE	YES	CH	Y	CH	NONE	1	G407-E4107	STOP__EMPTY_RECIPE	STOP__EMPTY_RECIPE	STOP	STOP	UNCHANGED	EMPTY_RECIPE	EMPTY_RECIPE	EXECUTION_STOP_EMPTY_RECIPE	CH	Y	YES	NO	NO	NO	NO
