context_id	source_recipe	incoming_action	incoming_argument	scope_incoming_action	next_recipe	occurrence_count	event_ids	statement_ids	physical_pages	owners_de	actual_source_factor_gate_statuses	recomputed_source_factor_gate_status	source_context_gate_matches_actual
G448-C0001	AIIN	CH	AIIN	CH	D_ADDR+O+D_ADDR	1	G407-E0332	P1009-S004	f11r	blühender dreikroniger Sodenstock	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0002	AIIN	CH	AIIN	CH	SH+OK+AL	1	G407-E1269	P1009-S058	f72r	Tierkreis-Ringgruppe E	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0003	AIIN	CH	AIIN	CH	Y	1	G407-E4205	P1009-S617	f89r	Gefäß-/Pflanzenteilgruppe D	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0004	AIIN	CH	AIN	CH	CH+O+D_ADDR+AIIN	1	G407-E4185	P1009-S614	f89r	Gefäß-/Pflanzenteilgruppe C	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0005	AIIN	CH	OR	CH	CH+O+S+AL+S	1	G407-E3866	P1009-S592	f88r	sechzehn Drogenposten und drei Gefäßansätze	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0006	AIIN	CH	OR	CH	D_ADDR+AR	1	G407-E0283	P1009-S002	f10r	zweiknolliges blauköpfiges Heilkraut	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0007	AIIN	CH	OR	CH	OT+CH+OL	1	G407-E0410	P1009-S006	f13r	große Wurzelkrone mit Blatt und Blütenstand	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0008	AIIN	CH	Y	CH	CH+O+D_ADDR+AIIN	1	G407-E2091	P1009-S240	f76r	unbebilderter Textabschnitt A7	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0009	AIIN	CH	Y	CH	CH+T+OL	1	G407-E0864	P1009-S030	f56r	stachelköpfiges Kraut in mehreren Reifestufen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0010	AIIN	CH	Y	CH	NONE	1	G407-E4107	P1009-S610	f89r	Gefäß-/Pflanzenteilgruppe A	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0011	AIIN	CH	Y	CH	O+D_ADDR+L	1	G407-E0349	P1009-S004	f11r	blühender dreikroniger Sodenstock	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0012	AIIN	CH	Y	CH	OL	1	G407-E3788	P1009-S589	f83r	Variantenatlas lokaler Becken und Anwendungen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0013	AIIN	CH	Y	CH	OT+E+O	1	G407-E1267	P1009-S058	f72r	Tierkreis-Ringgruppe E	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0014	AIIN	CH	Y	CH	OT+E+O+SH+AR	1	G407-E1085	P1009-S046	f71v	erste lokale Figuren-/Sternringgruppe	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0015	AIIN	CH	Y	CH	Y	2	G407-E0534|G407-E0893	P1009-S019|P1009-S030	f18r|f56r	große abgebildete Blütenpflanze|stachelköpfiges Kraut in mehreren Reifestufen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0016	AIIN	CH	Y	CH	Y+K+CH+O	1	G407-E0832	P1009-S029	f56r	stachelköpfiges Kraut in mehreren Reifestufen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0017	AIIN	CH	Y	CH	Y+K+OL+Y	1	G407-E1360	P1009-S067	f72r	Tierkreis-Ringgruppe H	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0018	AIIN	CHD	AIN	CHD	NONE	1	G407-E4551	G404-S083	f95v	F95V_WHOLE_PLANT	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0019	AIIN	CHD	Y	CHD	OL	2	G407-E2850|G407-E3776	G404-S043|P1009-S588	f81r|f83r	F81R_LOWER_POOL|Variantenatlas lokaler Becken und Anwendungen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0020	AIIN	CHD	Y	CHD	SH+E+OL	1	G407-E3762	P1009-S585	f83r	Variantenatlas lokaler Becken und Anwendungen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0021	AIIN	CHD	Y	CHD	Y+Y	1	G407-E4170	P1009-S614	f89r	Gefäß-/Pflanzenteilgruppe C	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0022	AIIN	CHD	Y	NONE	Y	1	G407-E2375	P1009-S297	f76r	unbebilderter Textabschnitt D	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0023	AIIN	K	AIIN	K	AL	1	G407-E4310	P1009-S626	f89r	Gefäß-/Pflanzenteilgruppe F	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0024	AIIN	K	AIIN	K	OK+AR	1	G407-E4395	P1009-S627	f89r	Gefäß-/Pflanzenteilgruppe F	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0025	AIIN	K	AIIN	K	OS	1	G407-E0972	P1009-S038	f67r2	zwei getrennte Himmelsräder und Tabelle	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0026	AIIN	K	AIIN	K	Y+K+AIR	1	G407-E0730	P1009-S026	f55v	große aromatische Doldenpflanze	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0027	AIIN	K	OR	K	CH+T+CH+OR	1	G407-E0250	P1009-S001	f10r	zweiknolliges blauköpfiges Heilkraut	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0028	AIIN	K	OR	K	OK+EE+AL	1	G407-E2989	P1009-S391	f81v	gemeinsames zweireihiges Badfeld	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0029	AIIN	K	OR	K	SH+EE+Y	1	G407-E2297	P1009-S277	f76r	unbebilderter Textabschnitt C	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0030	AIIN	K	Y	K	AIIN	1	G407-E0971	P1009-S038	f67r2	zwei getrennte Himmelsräder und Tabelle	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0031	AIIN	K	Y	K	CH+CH+T+Y	1	G407-E2964	P1009-S389	f81v	gemeinsames zweireihiges Badfeld	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0032	AIIN	K	Y	K	CH+O+D_ADDR+Y	1	G407-E4209	P1009-S617	f89r	Gefäß-/Pflanzenteilgruppe D	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0033	AIIN	K	Y	K	CH+T+Y	1	G407-E0344	P1009-S004	f11r	blühender dreikroniger Sodenstock	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0034	AIIN	K	Y	K	D_ADDR+K+AIN	1	G407-E3000	P1009-S394	f81v	gemeinsames zweireihiges Badfeld	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0035	AIIN	K	Y	K	NONE	1	G407-E0901	P1009-S030	f56r	stachelköpfiges Kraut in mehreren Reifestufen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0036	AIIN	K	Y	K	OK+AR	1	G407-E2973	P1009-S390	f81v	gemeinsames zweireihiges Badfeld	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0037	AIIN	K	Y	K	OK+E+DY	1	G407-E3052	P1009-S408	f81v	gemeinsames zweireihiges Badfeld	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0038	AIIN	K	Y	K	OK+E+OL	1	G407-E4331	P1009-S627	f89r	Gefäß-/Pflanzenteilgruppe F	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0039	AIIN	K	Y	K	OL	1	G407-E4257	P1009-S620	f89r	Gefäß-/Pflanzenteilgruppe E	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0040	AIIN	K	Y	K	OT+AR	1	G407-E1237	P1009-S057	f72r	Tierkreis-Ringgruppe D	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0041	AIIN	K	Y	K	OT+Y	1	G407-E0323	P1009-S004	f11r	blühender dreikroniger Sodenstock	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0042	AIIN	K	Y	K	S	1	G407-E0383	P1009-S005	f13r	große Wurzelkrone mit Blatt und Blütenstand	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0043	AIIN	K	Y	K	SH+CH+K+E+Y	1	G407-E0107	G404-S005	f1r	F1R_TEXT_BLOCK_C	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0044	AIIN	K	Y	K	SH+E+T+AR	1	G407-E3487	P1009-S507	f83r	Variantenatlas lokaler Becken und Anwendungen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0045	AIIN	K	Y	K	SH+O+Y	1	G407-E0087	G404-S005	f1r	F1R_TEXT_BLOCK_C	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0046	AIIN	K	Y	K	T+OL	1	G407-E0338	P1009-S004	f11r	blühender dreikroniger Sodenstock	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0047	AIIN	K	Y	K	Y	1	G407-E0837	P1009-S029	f56r	stachelköpfiges Kraut in mehreren Reifestufen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0048	AIIN	K	Y	NONE	CHD+Y	1	G407-E0726	P1009-S026	f55v	große aromatische Doldenpflanze	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0049	AIIN	K	Y	NONE	OK+AL	1	G407-E0782	P1009-S027	f55v	große aromatische Doldenpflanze	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0050	AIIN	K	Y	NONE	Y	1	G407-E3477	P1009-S504	f83r	Variantenatlas lokaler Becken und Anwendungen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0051	AIIN	NONE	NONE	NONE	OK+E+O	1	G407-E1220	P1009-S057	f72r	Tierkreis-Ringgruppe D	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0052	AIIN	OK	AIIN	OK	CH+K+Y	1	G407-E2991	P1009-S391	f81v	gemeinsames zweireihiges Badfeld	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0053	AIIN	OK	AIIN	OK	LOCAL_CHAR_F+AR	1	G407-E0185	G404-S006	f1r	F1R_TEXT_BLOCK_D	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0054	AIIN	OK	AIIN	OK	O+CH+K+Y	1	G407-E4287	P1009-S622	f89r	Gefäß-/Pflanzenteilgruppe E	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0055	AIIN	OK	AIIN	OK	OK+EE+Y	1	G407-E1222	P1009-S057	f72r	Tierkreis-Ringgruppe D	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0056	AIIN	OK	AIIN	OK	OT+AIN	1	G407-E2967	P1009-S389	f81v	gemeinsames zweireihiges Badfeld	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0057	AIIN	OK	AIIN	OK	SH+E+OR	1	G407-E4041	P1009-S605	f88v	zweite Gefaess-/Zutatengruppe	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0058	AIIN	OK	AIN	NONE	OL+K+AIN	1	G407-E4428	G404-S064	f95v	F95V_WHOLE_PLANT	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0059	AIIN	OK	OR	OK	CH+AL	1	G407-E1214	P1009-S056	f72r	Tierkreis-Ringgruppe C	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0060	AIIN	OK	OR	OK	CH+K+Y	1	G407-E4423	G404-S063	f95v	F95V_WHOLE_PLANT	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0061	AIIN	OK	OR	OK	OK+AIIN	1	G407-E0762	P1009-S026	f55v	große aromatische Doldenpflanze	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0062	AIIN	OK	OR	OK	S+AR	1	G407-E3810	P1009-S590	f88r	sechzehn Drogenposten und drei Gefäßansätze	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0063	AIIN	OK	Y	NONE	CH+EE+D_ADDR+Y	1	G407-E2474	P1009-S331	f77r	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0064	AIIN	OK	Y	OK	AL+CHD+DY	1	G407-E4120	P1009-S611	f89r	Gefäß-/Pflanzenteilgruppe B	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0065	AIIN	OK	Y	OK	CARRIER_Q+O+E+K+OL	1	G407-E3852	P1009-S592	f88r	sechzehn Drogenposten und drei Gefäßansätze	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0066	AIIN	OK	Y	OK	CH+E+AR	1	G407-E4362	P1009-S627	f89r	Gefäß-/Pflanzenteilgruppe F	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0067	AIIN	OK	Y	OK	CH+K+AIN	1	G407-E1906	P1009-S198	f76r	unbebilderter Textabschnitt A2	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0068	AIIN	OK	Y	OK	CH+K+OL	1	G407-E4094	P1009-S610	f89r	Gefäß-/Pflanzenteilgruppe A	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0069	AIIN	OK	Y	OK	CH+T+E+O+Y	1	G407-E4086	P1009-S610	f89r	Gefäß-/Pflanzenteilgruppe A	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0070	AIIN	OK	Y	OK	CHD+Y	1	G407-E3289	P1009-S460	f82r	mehrere getrennte Bad- und Leitungsstationen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0071	AIIN	OK	Y	OK	DA+AM_ADDR	1	G407-E4134	P1009-S612	f89r	Gefäß-/Pflanzenteilgruppe B	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0072	AIIN	OK	Y	OK	D_ADDR+OL	1	G407-E2528	P1009-S347	f77r	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0073	AIIN	OK	Y	OK	E+T+Y	1	G407-E0231	P1009-S001	f10r	zweiknolliges blauköpfiges Heilkraut	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0074	AIIN	OK	Y	OK	E+Y	1	G407-E4132	P1009-S612	f89r	Gefäß-/Pflanzenteilgruppe B	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0075	AIIN	OK	Y	OK	K+OL+Y	1	G407-E1423	P1009-S071	f72r	Tierkreis-Ringgruppe J	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0076	AIIN	OK	Y	OK	OK+E+O+AM_ADDR	1	G407-E3945	P1009-S595	f88v	erste Gefaess-/Zutatengruppe	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0077	AIIN	OK	Y	OK	OK+Y	1	G407-E0193	G404-S006	f1r	F1R_TEXT_BLOCK_D	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0078	AIIN	OK	Y	OK	OL+DY	1	G407-E0432	P1009-S007	f13r	große Wurzelkrone mit Blatt und Blütenstand	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0079	AIIN	OK	Y	OK	OL+OR	1	G407-E3008	P1009-S396	f81v	gemeinsames zweireihiges Badfeld	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0080	AIIN	OK	Y	OK	OT+EE+Y	1	G407-E1176	P1009-S053	f72r	Tierkreis-Ringgruppe A	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0081	AIIN	OK	Y	OK	SH+CH+K+Y	1	G407-E3179	P1009-S437	f82r	mehrere getrennte Bad- und Leitungsstationen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0082	AIIN	OK	Y	OK	Y	1	G407-E3361	P1009-S473	f82r	mehrere getrennte Bad- und Leitungsstationen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0083	AIIN	OK	Y	OK	Y+K+E+O+DY	1	G407-E4315	P1009-S626	f89r	Gefäß-/Pflanzenteilgruppe F	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0084	AIIN	P	OR	P	OL+K+E+Y	1	G407-E4247	P1009-S620	f89r	Gefäß-/Pflanzenteilgruppe E	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0085	AIIN	P	Y	P	AL	1	G407-E0917	P1009-S032	f67r2	zwei getrennte Himmelsräder und Tabelle	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0086	AIIN	R	AIIN	R	CH+L+CH+P+SH+EE+Y	1	G407-E2696	P1009-S382	f77r	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0087	AIIN	R	AIN	R	CARRIER_Q+O+AIIN	1	G407-E4391	P1009-S627	f89r	Gefäß-/Pflanzenteilgruppe F	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0088	AIIN	R	OR	R	AM_ADDR	1	G407-E0939	P1009-S033	f67r2	zwei getrennte Himmelsräder und Tabelle	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0089	AIIN	R	Y	CH	CH+O+EE+A_ADDR	1	G407-E0988	P1009-S040	f67r2	zwei getrennte Himmelsräder und Tabelle	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0090	AIIN	R	Y	CH	Y+AL	1	G407-E1154	P1009-S053	f72r	Tierkreis-Ringgruppe A	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0091	AIIN	R	Y	R	AL	1	G407-E1250	P1009-S057	f72r	Tierkreis-Ringgruppe D	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
G448-C0092	AIIN	R	Y	R	CHD+Y	1	G407-E2587	P1009-S360	f77r	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	FACTOR_GREEN_CROSS_PAGE	FACTOR_GREEN_CROSS_PAGE	YES
