remaining_order	group_serial	diagram_id	page	locus	surface	local_namespace	default_whole_name_de
1	42	A1	f67r2	f67r2.17	soraiir	A67_LEFT_CELESTIAL_WHEEL	gelernter Himmelsname SORAIIR
2	81	A1	f67r2	f67r2.33	dokan	A67_LEFT_CELESTIAL_WHEEL	gelernter Himmelsname DOKAN
3	85	A1	f67r2	f67r2.34	oeoldan	A67_LEFT_CELESTIAL_WHEEL	gelernter Himmelsname OEOLDAN
4	115	A1	f67r2	f67r2.45	odaiiin	A67_LEFT_CELESTIAL_WHEEL	gelernter Himmelsname ODAIIIN
5	154	A1	f67r2	f67r2.71	oran	A67_RIGHT_CELESTIAL_WHEEL	gelernter Himmelsname ORAN
6	218	A2	f68r1	f68r1.4	okaiiin	A68_MULTIPANEL_STAR_ATLAS	gelernter Himmelsname OKAIIIN
7	258	A3	f69v	f69v.1	otaza	A69_LEFT_28_PLACE_WHEEL	gelernter Himmelsname OTAZA
8	262	A3	f69v	f69v.1	okoirsh	A69_LEFT_28_PLACE_WHEEL	gelernter Himmelsname OKOIRSH
9	271	A3	f69v	f69v.1	doiir	A69_LEFT_28_PLACE_WHEEL	gelernter Himmelsname DOIIR
10	301	A3	f69v	f69v.2	iokeeor	A69_MIDDLE_CLOUD_WAVE_WHEEL	gelernter Himmelsname IOKEEOR
11	311	A3	f69v	f69v.2	daiial	A69_MIDDLE_CLOUD_WAVE_WHEEL	gelernter Himmelsname DAIIAL
12	381	A3	f69v	f69v.20	saiir	A69_LEFT_28_PLACE_WHEEL	gelernter Himmelsname SAIIR
