decision_order	group_serial	diagram_id	page	locus	position_in_locus	groups_in_locus	surface	parse_alternatives	selected_parse	selected_atomic_value_de	selection_rule
1	3	A1	f67r2	f67r2.1	3	3	aram	AR+AM_ADDR	AR+AM_ADDR	von dort + Gegenfeld	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
2	14	A1	f67r2	f67r2.6	1	1	dchetay	D_ADDR+CH+E+T+A_ADDR+Y	D_ADDR+CH+E+T+A_ADDR+Y	Teiladresse + abziehen + kurz + eintragen + Nebenadresse + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
3	33	A1	f67r2	f67r2.14	1	3	soeey	S_ADDR+O+EE+Y	S_ADDR+O+EE+Y	Sternbezug + Arbeitsgang + laenger + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
4	34	A1	f67r2	f67r2.14	2	3	doiin	D_ADDR+O+IIN	D_ADDR+O+IIN	Teiladresse + Arbeitsgang + Sollstufe	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
5	36	A1	f67r2	f67r2.15	1	1	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY || D_ADDR+OL+CH+S_ADDR+O+Y	D_ADDR+OL+CH+S_ADDR+O+DY	Teiladresse + fortsetzen + abziehen + Sternbezug + Arbeitsgang + Schluss	LOCUS_ENDPOINT
6	37	A1	f67r2	f67r2.16	1	4	odaeiin	O+D_ADDR+A_ADDR+E+IIN	O+D_ADDR+A_ADDR+E+IIN	Arbeitsgang + Teiladresse + Nebenadresse + kurz + Sollstufe	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
7	47	A1	f67r2	f67r2.19	1	4	ydchos	Y+D_ADDR+HO+S_ADDR	Y+D_ADDR+HO+S_ADDR	dies + Teiladresse + Gabe + Sternbezug	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
8	50	A1	f67r2	f67r2.19	4	4	amy	AM_ADDR+Y	AM_ADDR+Y	Gegenfeld + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
9	51	A1	f67r2	f67r2.20	1	2	chocfhy	HO+CFH_CLASS+Y	HO+CFH_CLASS+Y	Gabe + Sternhaufen + dies	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
10	53	A1	f67r2	f67r2.21	1	3	sain	S_ADDR+AIN	S_ADDR+AIN	Sternbezug + Portion	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
11	54	A1	f67r2	f67r2.21	2	3	am	AM_ADDR	AM_ADDR	Gegenfeld	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
12	58	A1	f67r2	f67r2.23	2	2	salsain	AL+S_ADDR+AIN	AL+S_ADDR+AIN	Stelle + Sternbezug + Portion	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
13	59	A1	f67r2	f67r2.24	1	3	sodar	S_ADDR+O+AR	S_ADDR+O+AR	Sternbezug + Arbeitsgang + von dort	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
14	60	A1	f67r2	f67r2.24	2	3	ofar	O+F_ADDR+AR	O+F_ADDR+AR	Arbeitsgang + Aussenbezug + von dort	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
15	62	A1	f67r2	f67r2.25	1	1	ydam	Y+D_ADDR+AM_ADDR	Y+D_ADDR+AM_ADDR	dies + Teiladresse + Gegenfeld	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
16	69	A1	f67r2	f67r2.27	4	4	am	AM_ADDR	AM_ADDR	Gegenfeld	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
17	71	A1	f67r2	f67r2.28	2	2	am	AM_ADDR	AM_ADDR	Gegenfeld	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE
