master_card_id	master_form	registered_surfaces	current_value_de	semantic_scope	common_axes	prose_only_axes	component_formula	event_count	records
MC001	chdal	chdal	Zieltransfer	HAS_COMMON_CORE_AXIS	AL+CHED~CHD	NONE	CHD_TRANSFER+AL_TO	1	B5
MC002	okeey	okeey|qokeey	lange einwirken	HAS_COMMON_CORE_AXIS	OK+Y	EE	OK_SET+GRADE_2+Y_CURRENT_ITEM	7	B1|B2|B3|B4
MC003	sheedy	sheedy	Langabsetzen; Schluss	HAS_COMMON_CORE_AXIS	DY	EE+SHED	SHED_SETTLE+GRADE_2+DY_CLOSE	1	B3
MC004	ldy	ldy	abziehen; Schluss	HAS_COMMON_CORE_AXIS	DY	L	L_OUT+CLOSE_EXACT	2	B2|B3
MC005	okchedy	okchedy|qokchedy	einführen; Schluss	HAS_COMMON_CORE_AXIS	CHED~CHD	NONE	OK+CHED_TRANSFER+CLOSE	2	B1|B3
MC006	chokcheo	chokcheo	Auszug einsetzen	HAS_COMMON_CORE_AXIS	OK	CHEO	CH_RENDERER+OK_ADD+CHEO_EXTRACT	1	H5
MC007	okey	okey|qokey	kurz einwirken	HAS_COMMON_CORE_AXIS	OK+Y	E	OK_SET+GRADE_1+Y_CURRENT_ITEM	2	B1|B2
MC008	lchy	lchy	Abführgut	HAS_COMMON_CORE_AXIS	Y	L	LCH_WITHDRAW+Y_ITEM	1	B2
MC009	chary	chary	Quellposten	HAS_COMMON_CORE_AXIS	AR+Y	NONE	AR_FROM+Y_CURRENT	1	B3
MC010	chodaly	chodaly	Zielzugabe	HAS_COMMON_CORE_AXIS	AL+Y	HO	HO_INGREDIENT+AL_TO+Y_ITEM	1	H5
MC011	lchedar	lchedar	Quellabführung	HAS_COMMON_CORE_AXIS	AR+CHED~CHD	L	L_OUT+CHED_TRANSFER+AR_FROM	1	B2
MC012	dl	dl	Zusatz	LOCAL_WHOLE_CARD	NONE	NONE	DL_BATH_ADDITIVE_WHOLE_CARD	2	B1
MC013	otchor	otchor|qotchor	Folgeansatz	HAS_COMMON_CORE_AXIS	OT+OR	NONE	OT_FOLLOW+OR_BATCH	2	H2|H5
MC014	chair	chair	Zuguss	PROSE_COMPONENT_CARD	NONE	AIR	CH_INLET+AIR_WATER	1	H1
MC015	qokokchy	qokokchy	erneut einsetzen	HAS_COMMON_CORE_AXIS	OK+Y	NONE	OK_SET+OK_REPEAT+Y_CURRENT	1	H5
MC016	rol	rol	Anschluss	HAS_COMMON_CORE_AXIS	OL	NONE	R_FRAME+OL_CONTINUE	1	B1
MC017	okain	okain|qokain	Anteil zugeben	PROSE_COMPONENT_CARD	NONE	AIN	OK+AIN_PORTION	7	B1|B2|B3|B4
MC018	qotedaiin	qotedaiin	Kurzsoll	HAS_COMMON_CORE_AXIS	OT+AIIN	E	OT_FOLLOW+E_SHORT+AIIN_MEASURE	1	B3
MC019	oldy	oldy	fertig	HAS_COMMON_CORE_AXIS	OL+DY	NONE	OL_CONTINUE+DY_CLOSE	2	B4|H4
MC020	solkeey	solkeey	Langsammlung	HAS_COMMON_CORE_AXIS	Y	EE+SOLK	SOLK_COLLECT+EE_LONG+Y_ITEM	1	B6
MC021	oltchy	oltchy	Folgebereitung	HAS_COMMON_CORE_AXIS	OL+Y	CTH	OL_CONTINUE+CTH_READY+Y_CURRENT	1	H4
MC022	chckhal	chckhal	Zielpassage	HAS_COMMON_CORE_AXIS	AL	CKH	CKH_THROUGH+AL_TO	1	B4
MC023	kair	kair	Beckenlauf	PROSE_COMPONENT_CARD	NONE	AIR	K_BASIN+AIR_WATER	1	B1
MC024	qokol	qokol	Weiter einsetzen	HAS_COMMON_CORE_AXIS	OK+OL	NONE	OK_SET+OL_CONTINUE	1	B4
MC025	dchedy	dchedy|schedy|tchedy	überführen; Schluss	HAS_COMMON_CORE_AXIS	CHED~CHD	NONE	CHED_TRANSFER+TERMINAL	4	B1|B2|B3
MC026	choky	choky|oky|qoky	einsetzen	HAS_COMMON_CORE_AXIS	OK+Y	NONE	OK_SET+Y_CURRENT_ITEM	10	B1|B2|B3|B4|H1|H5
MC027	oykchor	oykchor	Zubereitungsgefäß	LOCAL_WHOLE_CARD	NONE	NONE	MEMORIZED_VESSEL_CARD	1	H2
MC028	olchedy	olchedy|qolchedy	weiterführen; Schluss	HAS_COMMON_CORE_AXIS	OL+DY+CHED~CHD	NONE	OL_CONTINUE+CHED_TRANSFER+TERMINAL_CLOSE	3	B1|B2|B3
MC029	lar	lar	Quellabzug	HAS_COMMON_CORE_AXIS	AR	L	L_OUT+AR_FROM	1	B2
MC030	lo	lo	Abzug	PROSE_COMPONENT_CARD	NONE	L	L_OUT+O_RESIDUAL_BRANCH	1	B3
MC031	dalchdy	dalchdy	Zieltransfer; Schluss	HAS_COMMON_CORE_AXIS	AL+CHED~CHD	NONE	D+AL_TO+CHD_TRANSFER+CLOSE	1	B3
MC032	cheeky	cheeky	länger bearbeiten	HAS_COMMON_CORE_AXIS	Y	EE+CHK	CHK_WARM+GRADE_2+Y_CURRENT_ITEM	2	B4|H4
MC033	oiiin	oiiin|soiiin	Arbeitsstufe	PROSE_COMPONENT_CARD	NONE	IIN	IIN_TARGET_STAGE	2	B1|B3
MC034	cho	cho|sho	weitere Zutat	PROSE_COMPONENT_CARD	NONE	HO	HO_INGREDIENT	4	H5
MC035	chckhy	chckhy|shckhy	durchleiten	HAS_COMMON_CORE_AXIS	Y	CKH	CKH_THROUGH+Y_ITEM	4	B1|B2
MC036	solkaiin	solkaiin	Sollsammlung	HAS_COMMON_CORE_AXIS	AIIN	SOLK	SOLK_COLLECT+AIIN_MEASURE	1	B2
MC037	tchody	tchody	kalt stellen; Schluss	LOCAL_WHOLE_CARD	DY	NONE	TCHO_COOL+DY_CLOSE	1	H3
MC038	lshedy	lshedy	Waschgang; Schluss	HAS_COMMON_CORE_AXIS	DY	LSH	LSH_WASH+DY_CLOSE	2	B1
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	Sollwert	HAS_COMMON_CORE_AXIS	AIIN	NONE	AIIN_TARGET_MEASURE	20	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5
MC040	okal	okal|qokal	dorthin einsetzen	HAS_COMMON_CORE_AXIS	OK+AL	NONE	OK_SET+AL_TO	6	B1|B2|B3|H4
MC041	okchol	okchol	weiter einsetzen	HAS_COMMON_CORE_AXIS	OK+OL	NONE	OK_SET+CH_WRAPPER+OL_CONTINUE	1	H3
MC042	cheedar	cheedar	Quelltransfer	HAS_COMMON_CORE_AXIS	AR+CHED~CHD	NONE	CHED_TRANSFER+AR_FROM	1	B3
MC043	shecthedchy	shecthedchy	Vorbereitungstransfer	HAS_COMMON_CORE_AXIS	Y+CHED~CHD	CTH	CTH_READY+CHED_TRANSFER+Y_CURRENT	1	B3
MC044	qokar	qokar	Quelleinsatz	HAS_COMMON_CORE_AXIS	OK+AR	NONE	OK_SET+AR_FROM	1	B2
